ticker,date,open,high,low,close,volume
ACHV,2003-02-27,4576,4642,4400,4620,0
ACHV,2003-02-28,4642,4840,4510,4840,1
ACHV,2003-03-03,4708,4840,4312,4422,0
ACHV,2003-03-04,4422,4488,4268,4356,0
ACHV,2003-03-05,4400,4532,4400,4510,1
ACHV,2003-03-06,4422,4466,4290,4290,0
ACHV,2003-03-07,4268,4620,4180,4400,1
ACHV,2003-03-10,4598,4598,4422,4554,0
ACHV,2003-03-11,4532,4576,4510,4510,0
ACHV,2003-03-12,4444,4620,4400,4444,1
ACHV,2003-03-13,4488,4620,4422,4510,0
ACHV,2003-03-14,4510,4796,4400,4796,1
ACHV,2003-03-17,4818,5060,4620,4774,0
ACHV,2003-03-18,4663.9995,4752,4532,4752,0
ACHV,2003-03-19,4642,4840,4642,4796,0
ACHV,2003-03-20,4906,5060,4796,5060,0
ACHV,2003-03-21,5082,5940,4972,5522,5
ACHV,2003-03-24,5896,5896,4840,5170,1
ACHV,2003-03-25,5170,5324,5170,5192,0
ACHV,2003-03-26,5258,5258,5192,5192,0
ACHV,2003-03-27,5213.9995,5213.9995,5060,5192,0
ACHV,2003-03-28,5213.9995,5434,5060,5280,0
ACHV,2003-03-31,5302,5346,5213.9995,5213.9995,1
ACHV,2003-04-01,5192,5346,5126,5148,0
ACHV,2003-04-02,5148,5390,4466,4730,5
ACHV,2003-04-03,4862,5060,4642,4774,9
ACHV,2003-04-04,5060,5060,4663.9995,4774,5
ACHV,2003-04-07,4730,4774,4620,4663.9995,2
ACHV,2003-04-08,4598,4730,4290,4290,2
ACHV,2003-04-09,4422,4774,4422,4774,1
ACHV,2003-04-10,4840,4840,4400,4708,2
ACHV,2003-04-11,4642,5148,4642,4950,1
ACHV,2003-04-14,4884,5170,4884,5038,0
ACHV,2003-04-15,5060,5390,4972,5390,1
ACHV,2003-04-16,5390,5456,5280,5346,1
ACHV,2003-04-17,5368,5874,5302,5742,3
ACHV,2003-04-21,5544,5918,5434,5763.9995,3
ACHV,2003-04-22,5830,6050,5654,5763.9995,2
ACHV,2003-04-23,6248,6863.999,6050,6556,10
ACHV,2003-04-24,6600,8140,6600,8074,10
ACHV,2003-04-25,8140,8250,7040,7810,7
ACHV,2003-04-28,7700,8250,7370,7590,2
ACHV,2003-04-29,7590,8030,7370,7568,2
ACHV,2003-04-30,7612,7612,7282,7436.001,1
ACHV,2003-05-01,7436.001,7656,7260,7392,2
ACHV,2003-05-02,7568,8030,7370,7963.999,2
ACHV,2003-05-05,8052,8998,7744,8800,4
ACHV,2003-05-06,9020,9438,8140,8800,2
ACHV,2003-05-07,8800,9504,8470,8844,4
ACHV,2003-05-08,8800,9350,8800,9196,2
ACHV,2003-05-09,9284,9284,8910,9086,1
ACHV,2003-05-12,9086,9086,8536,8712,1
ACHV,2003-05-13,8712,8910,8294,8910,1
ACHV,2003-05-14,8910,9020,8690,9020,0
ACHV,2003-05-15,9020,9020,8140,8800,0
ACHV,2003-05-16,8756,9020,8712,8866,3
ACHV,2003-05-19,8976,9218,8294,8470,2
ACHV,2003-05-20,7832,8712,7590,8624,2
ACHV,2003-05-21,8404,8756,8250,8734,1
ACHV,2003-05-22,8624,8910,8294,8756,1
ACHV,2003-05-23,8690,8888,8470,8756,0
ACHV,2003-05-27,8580,9240,8492,9218,1
ACHV,2003-05-28,9240,9327.999,8778,8888,2
ACHV,2003-05-29,9020,9240,8250,8646,1
ACHV,2003-05-30,8602,9086,8470,8910,3
ACHV,2003-06-02,9196,9196,8250,8800,4
ACHV,2003-06-03,8800,8800,7304,7590,10
ACHV,2003-06-04,7920,8250,7216,8140,5
ACHV,2003-06-05,8030,8316,7920,8250,1
ACHV,2003-06-06,8360,8470,7458,7458,3
ACHV,2003-06-09,7040,8118,6688,7480,2
ACHV,2003-06-10,7326,8580,7326,8140,1
ACHV,2003-06-11,7832,8250,7832,8096,0
ACHV,2003-06-12,8096,8250,8096,8250,1
ACHV,2003-06-13,8250,8382,8096,8096,2
ACHV,2003-06-16,8096,8646,7480,8646,1
ACHV,2003-06-17,8668,8668,8250,8250,1
ACHV,2003-06-18,8382,8426,8162,8360,0
ACHV,2003-06-19,8074,8690,8074,8470,1
ACHV,2003-06-20,8580,8690,8492,8580,0
ACHV,2003-06-23,8756,8756,7920,8118,0
ACHV,2003-06-24,7920,8118,7722,7920,0
ACHV,2003-06-25,7722,7942,7700,7700,0
ACHV,2003-06-26,8030,8448,7920,8206,0
ACHV,2003-06-27,8338,8448,7810,8316,1
ACHV,2003-06-30,8536,8536,7920,8140,1
ACHV,2003-07-01,8470,8470,8030,8184,0
ACHV,2003-07-02,8492,8492,8206,8360,1
ACHV,2003-07-03,8250,8624,8140,8470,0
ACHV,2003-07-07,8492,9064,8492,8800,2
ACHV,2003-07-08,9108,10120,8778,10120,3
ACHV,2003-07-09,10142,10230,9350,9636,2
ACHV,2003-07-10,10010,10010,9350,9416,1
ACHV,2003-07-11,10318,11022.001,9086,11000,3
ACHV,2003-07-14,11220,11220,10010,10076,3
ACHV,2003-07-15,10626,10626,9922.001,10098,1
ACHV,2003-07-16,10296,10340,9460,9724,1
ACHV,2003-07-17,9724,9790,9350,9350,0
ACHV,2003-07-18,9350,9504,8360,9240,1
ACHV,2003-07-21,8910,9592,7832,7898,1
ACHV,2003-07-22,7832,8404,7590,7744,5
ACHV,2003-07-23,7590,8140,7590,7766,1
ACHV,2003-07-24,8250,8250,7744,7832,2
ACHV,2003-07-25,7744,8030,7744,7810,0
ACHV,2003-07-28,7810,8294,7810,8162,1
ACHV,2003-07-29,8316,8756,7920,8734,1
ACHV,2003-07-30,8690,9240,8382,8998,0
ACHV,2003-07-31,8976,9174,8470,8822.001,1
ACHV,2003-08-01,9130,9196,8844,9196,0
ACHV,2003-08-04,9306,9306,8712,9064,1
ACHV,2003-08-05,9086,9218,9064,9218,1
ACHV,2003-08-06,9240,9240,8360,9174,1
ACHV,2003-08-07,8844,9108,8470,8470,0
ACHV,2003-08-08,8360,9196,8360,8932,1
ACHV,2003-08-11,8866,9130,8580,9130,1
ACHV,2003-08-12,8602,9130,8602,8910,0
ACHV,2003-08-13,9174,9174,9064,9130,0
ACHV,2003-08-14,9130,9174,9130,9130,0
ACHV,2003-08-15,9130,9130,8580,8910,0
ACHV,2003-08-18,8690,8910,8602,8668,0
ACHV,2003-08-19,8910,8910,8250,8316,1
ACHV,2003-08-20,8316,8602,7898,8184,0
ACHV,2003-08-21,8184,8888,8184,8734,0
ACHV,2003-08-22,8690,8800,8360,8470,0
ACHV,2003-08-25,8712,8712,8470,8470,0
ACHV,2003-08-26,8448,8470,8382,8382,0
ACHV,2003-08-27,8382,8712,8272,8492,0
ACHV,2003-08-28,8250,8800,8250,8624,0
ACHV,2003-08-29,8800,9108,8514,8998,2
ACHV,2003-09-02,9130,10318,8800,10120,3
ACHV,2003-09-03,10230,10230,9548,10142,2
ACHV,2003-09-04,10230,10230,9680,10208,1
ACHV,2003-09-05,9877.999,10230,9877.999,10120,1
ACHV,2003-09-08,10230,10230,9900,10010,1
ACHV,2003-09-09,9922.001,10230,9922.001,10098,1
ACHV,2003-09-10,10208,11220,10164,10692,8
ACHV,2003-09-11,10956,11902,10780,11902,7
ACHV,2003-09-12,11902,12320,11242,11770,6
ACHV,2003-09-15,11660,11660,11110,11220,3
ACHV,2003-09-16,11616,11638,10890,11308,4
ACHV,2003-09-17,11330,11418,11154,11308,1
ACHV,2003-09-18,11440,11660,10977.999,11660,3
ACHV,2003-09-19,11660,11660,11440,11660,1
ACHV,2003-09-22,11440,11814,10977.999,11044,1
ACHV,2003-09-23,10912,11000,10670,10890,2
ACHV,2003-09-24,12100,14190,12100,12980,21
ACHV,2003-09-25,12606,12936,11330,11484,4
ACHV,2003-09-26,11660,12100,10890,11527.999,5
ACHV,2003-09-29,11990,11990,10670,10802,2
ACHV,2003-09-30,10802,11066,10670,10824,1
ACHV,2003-10-01,10846,10977.999,10516,10890,1
ACHV,2003-10-02,10934,11132,10780,10780,1
ACHV,2003-10-03,10692,10956,10670,10890,1
ACHV,2003-10-06,10890,10890,10714,10890,0
ACHV,2003-10-07,10648,10890,10626,10780,1
ACHV,2003-10-08,10692,10758,10560,10648,0
ACHV,2003-10-09,10780,10780,10384,10384,1
ACHV,2003-10-10,10384,10450,10142,10252,1
