ticker,date,open,high,low,close,volume
AEMD,2000-04-11,5250,6750,5250,6750,0
AEMD,2000-04-17,5250,5250,5250,5250,0
AEMD,2000-04-25,6750,6750,6750,6750,0
AEMD,2000-05-10,5250,5250,5250,5250,6
AEMD,2000-05-12,5250,5250,5250,5250,0
AEMD,2000-05-23,5250,5250,5250,5250,3
AEMD,2000-06-07,5250,5250,5250,5250,0
AEMD,2000-06-09,3937.5,4500,3750,4500,2
AEMD,2000-06-12,2812.5,4500,2812.5,3187.5,4
AEMD,2000-06-13,2625,3000,2625,3000,1
AEMD,2000-06-14,3000,3000,3000,3000,4
AEMD,2000-06-15,3000,5625,3000,5625,2
AEMD,2000-06-22,5250,5250,5250,5250,0
AEMD,2000-06-23,3660,4035,3660,4035,3
AEMD,2000-06-26,3187.5,3187.5,3097.5,3097.5,1
AEMD,2000-06-27,3097.5,5250,3097.5,4875,4
AEMD,2000-06-29,3285,3375,3045,3045,8
AEMD,2000-07-03,3375,4410,3375,3375,2
AEMD,2000-07-05,3000,3000,3000,3000,0
AEMD,2000-07-06,2250,2250,2250,2250,1
AEMD,2000-07-12,2347.5,5250,2347.5,4500,15
AEMD,2000-07-13,2482.5,3000,2347.5,3000,2
AEMD,2000-07-14,4597.5,4597.5,4500,4500,6
AEMD,2000-07-18,4455,4455,4455,4455,0
AEMD,2000-07-19,4410,4875,4410,4500,2
AEMD,2000-07-21,3750,3750,3750,3750,0
AEMD,2000-07-24,3187.5,4687.5,3187.5,4410,5
AEMD,2000-07-25,4125,4500,4125,4312.5,3
AEMD,2000-07-27,3892.5,3937.5,3892.5,3937.5,13
AEMD,2000-07-28,4455,4455,4455,4455,0
AEMD,2000-07-31,4500,4500,4500,4500,7
AEMD,2000-08-02,3937.5,4597.5,3195.0002,3195.0002,7
AEMD,2000-08-04,3660,3660,3660,3660,0
AEMD,2000-08-08,3330,3330,3187.5,3187.5,2
AEMD,2000-08-10,3562.5,4732.5,3562.5,4732.5,3
AEMD,2000-08-11,3750,5160,3750,4687.5,5
AEMD,2000-08-14,4687.5,4687.5,4687.5,4687.5,1
AEMD,2000-08-15,4312.5,4687.5,4312.5,4687.5,5
AEMD,2000-08-16,3750,4500,3750,4455,2
AEMD,2000-08-21,4687.5,4875,4642.5,4875,12
AEMD,2000-08-24,4785,4875,4785,4875,18
AEMD,2000-08-28,5055,5160,4500,4687.5,12
AEMD,2000-08-30,4500,4500,4500,4500,8
AEMD,2000-08-31,4785,4785,4785,4785,1
AEMD,2000-09-01,4875,4972.5,4830,4972.5,3
AEMD,2000-09-06,4875,4972.5,4875,4972.5,2
AEMD,2000-09-07,4972.5,4972.5,4972.5,4972.5,2
AEMD,2000-09-08,4875,4972.5,4875,4972.5,2
AEMD,2000-09-11,4972.5,4972.5,4972.5,4972.5,0
AEMD,2000-09-12,4972.5,4972.5,4500,4500,0
AEMD,2000-09-13,4972.5,4972.5,4972.5,4972.5,0
AEMD,2000-09-14,4972.5,4972.5,4875,4875,1
AEMD,2000-09-21,3750,4500,3750,3750,6
AEMD,2000-09-22,3750,3750,3750,3750,0
AEMD,2000-09-25,4035,4035,3750,3750,5
AEMD,2000-09-26,3375,3375,3375,3375,0
AEMD,2000-09-27,3750,3750,3750,3750,0
AEMD,2000-09-28,3750,3750,3750,3750,1
AEMD,2000-09-29,3750,3750,3750,3750,2
AEMD,2000-10-02,3750,3750,3562.5,3562.5,9
AEMD,2000-10-03,3517.5,3517.5,3517.5,3517.5,0
AEMD,2000-10-05,3705,3705,3705,3705,0
AEMD,2000-10-06,3705,3705,3705,3705,0
AEMD,2000-10-12,3660,3660,3660,3660,0
AEMD,2000-10-13,3472.5,3472.5,3472.5,3472.5,0
AEMD,2000-10-16,3472.5,3562.5,3472.5,3562.5,0
AEMD,2000-10-18,3285,3562.5,3285,3375,1
AEMD,2000-10-19,3375,3375,3097.5,3097.5,1
AEMD,2000-10-20,3097.5,3097.5,3000,3000,3
AEMD,2000-10-24,2812.5,2812.5,2250,2250,1
AEMD,2000-10-25,2482.5,3000,2482.5,3000,5
AEMD,2000-10-30,2625,2625,2625,2625,0
AEMD,2000-11-01,2437.5,2437.5,2347.5,2347.5,1
AEMD,2000-11-09,2812.5,2910,2722.5,2812.5,6
AEMD,2000-11-29,2910,2910,2812.5,2812.5,2
AEMD,2000-12-01,2812.5,2812.5,2812.5,2812.5,0
AEMD,2000-12-04,3187.5,3187.5,3187.5,3187.5,0
AEMD,2000-12-06,3097.5,3097.5,3097.5,3097.5,2
AEMD,2000-12-12,2722.5,2722.5,2625,2625,4
AEMD,2000-12-13,2580,2580,2535,2535,2
AEMD,2000-12-18,3000,3000,3000,3000,0
AEMD,2000-12-26,2347.5,2347.5,2347.5,2347.5,0
AEMD,2000-12-29,2437.5,2437.5,1875,1920,11
AEMD,2001-01-02,1687.5,1687.5,1687.5,1687.5,1
AEMD,2001-01-03,1972.5002,1972.5002,1785.0002,1875,5
AEMD,2001-01-04,1875,2250,1875,2250,6
AEMD,2001-01-08,2250,2250,2250,2250,0
AEMD,2001-01-22,1687.5,1687.5,1687.5,1687.5,0
AEMD,2001-01-25,2250,2250,2250,2250,0
AEMD,2001-01-26,2250,2250,2250,2250,0
AEMD,2001-01-29,2250,2250,2062.5,2250,3
AEMD,2001-01-31,2250,2250,2250,2250,0
AEMD,2001-02-01,2250,2250,2250,2250,1
AEMD,2001-02-05,2250,2250,2250,2250,4
AEMD,2001-02-06,2250,2250,2062.5,2062.5,2
AEMD,2001-02-07,2250,2250,2250,2250,1
AEMD,2001-02-09,2250,2250,1687.5,1875,3
AEMD,2001-02-12,1875,1875,1875,1875,0
AEMD,2001-02-28,1687.5,1687.5,1687.5,1687.5,0
AEMD,2001-03-01,1875,1875,1500,1500,2
AEMD,2001-03-06,1875,1875,1875,1875,0
AEMD,2001-03-27,2205,2205,2205,2205,0
AEMD,2001-03-29,2205,2205,1222.5,1500,18
AEMD,2001-03-30,1875,1875,1875,1875,0
AEMD,2001-04-02,1785.0002,1785.0002,1785.0002,1785.0002,0
AEMD,2001-04-03,1785.0002,1785.0002,1687.5,1785.0002,2
AEMD,2001-04-05,1785.0002,1785.0002,1785.0002,1785.0002,0
AEMD,2001-04-10,1875,1875,1875,1875,0
AEMD,2001-04-11,1500,1500,1500,1500,0
AEMD,2001-04-24,1837.5,1837.5,1837.5,1837.5,0
AEMD,2001-04-25,1837.5,1875,1350,1350,3
AEMD,2001-04-26,1987.5002,1987.5002,1987.5002,1987.5002,0
AEMD,2001-04-30,1987.5002,2250,1875,2250,22
AEMD,2001-05-01,2160,2160,2160,2160,3
AEMD,2001-05-02,2287.5,2347.5,2100,2250,4
