ticker,date,open,high,low,close,volume
AFIB,2020-08-06,24.11,28.3,24,26.5,3399400
AFIB,2020-08-07,25.52,28.93,24.7769,26.79,648200
AFIB,2020-08-10,26.98,28.61,26.95,28,248300
AFIB,2020-08-11,28.44,28.44,24.88,24.91,373200
AFIB,2020-08-12,25,25.48,24.78,24.85,132300
AFIB,2020-08-13,25.29,25.3044,24.0101,24.5,255000
AFIB,2020-08-14,24.78,25.595,24.5,24.89,193900
AFIB,2020-08-17,24.49,27.3,24.49,25.98,261800
AFIB,2020-08-18,26,26.7007,25.8001,26.38,61700
AFIB,2020-08-19,26.19,27.68,26.19,27.07,134400
AFIB,2020-08-20,27,27.6,26.35,27.07,80400
AFIB,2020-08-21,27,28.29,26.58,27.66,47900
AFIB,2020-08-24,27.64,28.269,26.52,27.5,108600
AFIB,2020-08-25,27.28,31.4299,27.28,29.93,258700
AFIB,2020-08-26,30,30.73,29.05,29.54,143900
AFIB,2020-08-27,29.06,30.39,28.53,30,91500
AFIB,2020-08-28,30,30.96,29.25,30.96,164600
AFIB,2020-08-31,31.03,35.75,31.03,35.08,310900
AFIB,2020-09-01,34.89,38.93,34.65,37.65,320700
AFIB,2020-09-02,38.99,38.99,32.0801,37.38,328300
AFIB,2020-09-03,36.81,36.99,32.08,34.28,191300
AFIB,2020-09-04,34,34.98,32.24,33.56,88100
AFIB,2020-09-08,34.06,34.2234,32.26,32.88,175800
AFIB,2020-09-09,33.01,35.02,33.01,33.03,149200
AFIB,2020-09-10,33.01,33.85,32.52,32.84,129600
AFIB,2020-09-11,33,36.85,32.4,34.24,419700
AFIB,2020-09-14,34.62,35.08,34.225,34.76,186100
AFIB,2020-09-15,35.08,35.9899,33.25,34.37,190800
AFIB,2020-09-16,34.71,36.6486,34.4412,35.46,198500
AFIB,2020-09-17,35,36.395,33.89,34.51,326900
AFIB,2020-09-18,34.85,35.25,32.59,33.68,1864200
AFIB,2020-09-21,32.81,32.81,30.41,30.64,170200
AFIB,2020-09-22,30.8,31,29.8,30.22,225100
AFIB,2020-09-23,30.06,30.2,28.56,28.65,113400
AFIB,2020-09-24,28.73,29.865,28.41,29.22,181600
AFIB,2020-09-25,29.15,30.5,29.01,29.76,127000
AFIB,2020-09-28,30.27,30.27,29.05,29.43,68200
AFIB,2020-09-29,29.34,30.155,29.15,29.98,111800
AFIB,2020-09-30,29.97,30.2,28.86,29.8,154100
AFIB,2020-10-01,30,30,28.35,28.7,160400
AFIB,2020-10-02,28.5,28.585,27.22,27.32,253200
AFIB,2020-10-05,27.36,28.1,26.86,27.15,168600
AFIB,2020-10-06,27.27,28.3,27.06,27.33,108700
AFIB,2020-10-07,27.57,28.24,26.8006,27.26,163400
