ticker,date,open,high,low,close,volume
AGLE,2016-04-07,10,10.72,9.61,9.77,1429200
AGLE,2016-04-08,10,12.75,10,11.99,561200
AGLE,2016-04-11,11.87,12.05,10.3,10.42,182500
AGLE,2016-04-12,10.44,10.74,9.42,9.65,193200
AGLE,2016-04-13,9.94,10.86,9.85,10.07,71600
AGLE,2016-04-14,10.17,10.44,9.75,9.76,40100
AGLE,2016-04-15,10.15,10.24,9.83,9.96,34800
AGLE,2016-04-18,10.07,10.08,9.65,9.71,32200
AGLE,2016-04-19,10,10,8.36,8.49,130400
AGLE,2016-04-20,8.73,8.88,8.4,8.54,19200
AGLE,2016-04-21,8.8,8.8,8.5,8.59,12300
AGLE,2016-04-22,8.96,9.45,8.51,9.19,91400
AGLE,2016-04-25,9.41,10.25,9.22,9.7,122100
AGLE,2016-04-26,9.8,10.15,9.18,9.89,157700
AGLE,2016-04-27,9.59,9.85,9.31,9.52,46300
AGLE,2016-04-28,9.52,9.77,8.93,9.19,35800
AGLE,2016-04-29,9.2,9.32,8.55,8.76,73600
AGLE,2016-05-02,8.99,10,8.88,9.76,113800
AGLE,2016-05-03,10,10.05,9.3,9.4,52800
AGLE,2016-05-04,9.65,9.89,8.6,9.1,33200
AGLE,2016-05-05,9.02,9.25,8.57,8.61,37400
AGLE,2016-05-06,8.71,9.25,8.6,8.71,29100
AGLE,2016-05-09,8.72,9.25,8.72,8.81,80400
AGLE,2016-05-10,8.86,8.94,8.61,8.77,17600
AGLE,2016-05-11,8.62,8.9,8.08,8.15,83100
AGLE,2016-05-12,8.1,8.66,7.3,7.46,75100
AGLE,2016-05-13,7.19,7.44,6.68,7.17,57100
AGLE,2016-05-16,7.34,8.5,7.15,7.23,538200
AGLE,2016-05-17,7.02,7.52,6.81,7.28,83300
AGLE,2016-05-18,7,8,7,7.41,16700
AGLE,2016-05-19,7.02,7.75,7.02,7.36,31800
AGLE,2016-05-20,7.4,7.6,7.17,7.46,37900
AGLE,2016-05-23,7.47,7.75,7.07,7.31,65000
AGLE,2016-05-24,8,8.24,7.1,7.36,105100
AGLE,2016-05-25,7.22,7.48,7.19,7.38,21900
AGLE,2016-05-26,7.27,7.49,7.11,7.45,36200
AGLE,2016-05-27,7.31,7.4,6.85,7.24,71800
AGLE,2016-05-31,7.25,7.6,6.85,7.5,34500
AGLE,2016-06-01,7.5,7.7,7.3,7.38,29800
AGLE,2016-06-02,7.28,7.68,7.28,7.68,57000
AGLE,2016-06-03,7.68,7.68,7.34,7.6,12100
AGLE,2016-06-06,7.6,7.61,7.27,7.59,11200
AGLE,2016-06-07,7.31,7.49,7.11,7.35,17900
AGLE,2016-06-08,7.19,7.59,7.19,7.26,10300
AGLE,2016-06-09,7.25,7.6,6.87,7.25,149000
AGLE,2016-06-10,7.18,7.18,5.85,6.28,95500
AGLE,2016-06-13,6.21,6.51,6.04,6.17,44000
AGLE,2016-06-14,6.16,6.54,5.31,5.89,43500
AGLE,2016-06-15,5.89,6.27,5.01,5.36,227300
AGLE,2016-06-16,5.36,5.85,5.05,5.2,122300
AGLE,2016-06-17,5.4,5.49,4.39,4.46,214300
AGLE,2016-06-20,4.61,4.86,4.29,4.47,102500
AGLE,2016-06-21,4.56,4.68,4.3,4.36,59300
AGLE,2016-06-22,4.41,4.7,4.1,4.45,34900
AGLE,2016-06-23,4.58,5.13,4.49,4.8,111900
AGLE,2016-06-24,4.99,5.42,4.74,5.36,65800
AGLE,2016-06-27,5.36,5.97,5.36,5.45,97500
AGLE,2016-06-28,5.35,5.98,5.21,5.45,69700
AGLE,2016-06-29,5.83,5.83,5.02,5.23,37000
AGLE,2016-06-30,5,5.15,4.72,4.86,30300
