ticker,date,open,high,low,close,volume
AGRX,2014-05-23,5.5,6.06,5.05,5.54,3359700
AGRX,2014-05-27,5.5,5.61,5.42,5.55,289900
AGRX,2014-05-28,5.59,5.93,5.52,5.8,238200
AGRX,2014-05-29,5.9,6.03,5.75,5.94,211800
AGRX,2014-05-30,5.95,6,5.61,5.85,172400
AGRX,2014-06-02,5.85,6.04,5.6,5.97,97900
AGRX,2014-06-03,6.05,6.44,5.97,6.4,236200
AGRX,2014-06-04,6.33,6.5,6.11,6.25,84800
AGRX,2014-06-05,6.3,6.3,5.7,5.81,76400
AGRX,2014-06-06,5.75,5.9,5.56,5.89,69300
AGRX,2014-06-09,6.19,6.19,5.61,6.01,51800
AGRX,2014-06-10,6,6.35,5.77,6.3,79500
AGRX,2014-06-11,6.3,6.62,6.3,6.48,154000
AGRX,2014-06-12,6.42,6.92,6.3,6.9,155200
AGRX,2014-06-13,6.92,6.92,6.63,6.92,53700
AGRX,2014-06-16,6.86,6.86,6.61,6.78,29100
AGRX,2014-06-17,7.26,7.84,6.9,7.39,547100
AGRX,2014-06-18,7.4,7.93,7.38,7.81,153400
AGRX,2014-06-19,8.17,8.17,7.86,7.89,78200
AGRX,2014-06-20,7.86,8.03,7.36,7.65,60700
AGRX,2014-06-23,7.9,12.55,7.9,10.33,1831500
AGRX,2014-06-24,10.77,11.2,10.35,10.65,1096900
AGRX,2014-06-25,10.81,11,10.22,10.4,265900
AGRX,2014-06-26,10.25,10.3,9.07,9.62,259600
AGRX,2014-06-27,9.54,9.67,8.8,9.25,221600
AGRX,2014-06-30,9,9,8.26,8.72,204700
AGRX,2014-07-01,8.5,8.9,8.37,8.89,94400
AGRX,2014-07-02,8.95,9.5,8.62,8.79,114400
AGRX,2014-07-03,9.2,9.2,8.7,8.93,52300
AGRX,2014-07-07,9.23,9.23,8.5,8.54,69200
AGRX,2014-07-08,8.77,8.77,8.4,8.56,38500
AGRX,2014-07-09,8.52,8.76,8,8.21,29400
AGRX,2014-07-10,8.03,8.1,7.52,8.01,43000
AGRX,2014-07-11,7.92,8.12,7.87,8.01,14500
AGRX,2014-07-14,8.02,8.02,7.5,7.62,77800
AGRX,2014-07-15,7.45,7.6,6.99,7.01,121300
AGRX,2014-07-16,7.01,7.09,6.99,7,27300
AGRX,2014-07-17,7,7.22,6.97,6.99,26100
AGRX,2014-07-18,7.02,7.5,7.02,7.24,36600
AGRX,2014-07-21,7.05,7.22,7.02,7.15,37800
AGRX,2014-07-22,7.16,7.16,6.98,7.11,22000
AGRX,2014-07-23,7.25,7.25,6.98,7.03,17300
AGRX,2014-07-24,7,7,6.55,6.71,43800
AGRX,2014-07-25,6.93,6.94,6.7,6.76,22700
AGRX,2014-07-28,6.76,6.99,6.51,6.58,27700
AGRX,2014-07-29,6.6,6.6,6.1,6.11,71800
AGRX,2014-07-30,6.2,6.2,6.06,6.08,18600
AGRX,2014-07-31,6.06,6.34,5.96,6.25,62000
AGRX,2014-08-01,6.11,6.35,5.97,6,47800
AGRX,2014-08-04,5.98,6,5.9,5.91,29100
AGRX,2014-08-05,5.93,6.03,5.8,6.01,24700
AGRX,2014-08-06,5.82,6.15,5.82,6.07,32200
AGRX,2014-08-07,6.05,7,5.97,6.76,63400
AGRX,2014-08-08,6.32,6.76,6.19,6.45,26700
AGRX,2014-08-11,6.53,6.62,6.52,6.57,15700
AGRX,2014-08-12,6.57,6.61,6.33,6.34,16600
AGRX,2014-08-13,6.33,6.45,6.1,6.29,17000
AGRX,2014-08-14,6,6.47,6,6.22,62900
AGRX,2014-08-15,7.95,8,6.42,7.36,119700
AGRX,2014-08-18,7.26,7.3,6.85,7.24,70700
AGRX,2014-08-19,7.23,7.67,7.23,7.42,65600
AGRX,2014-08-20,7.46,7.81,7.45,7.77,23000
AGRX,2014-08-21,7.75,7.76,7.5,7.59,13600
AGRX,2014-08-22,7.63,7.67,7.5,7.64,7900
AGRX,2014-08-25,7.7,7.81,7.52,7.7,27700
AGRX,2014-08-26,7.42,7.62,7.33,7.48,8200
AGRX,2014-08-27,7.45,7.67,7.06,7.51,26200
AGRX,2014-08-28,7.57,7.9,7.45,7.7,18100
AGRX,2014-08-29,7.69,8.49,7.69,8.44,78700
AGRX,2014-09-02,8.88,9.42,8.61,9.38,155600
AGRX,2014-09-03,9.39,9.99,9.3,9.95,98900
AGRX,2014-09-04,10,10.13,9.49,9.49,131300
AGRX,2014-09-05,9.43,9.59,8.77,9.39,33600
AGRX,2014-09-08,9.25,10.5,9.25,9.97,62900
AGRX,2014-09-09,10.01,10.18,9.8,10,36600
AGRX,2014-09-10,9.97,10.1,9.92,9.98,25700
AGRX,2014-09-11,9.94,10.01,9.05,9.94,84400
AGRX,2014-09-12,9.95,9.97,9.48,9.54,16400
AGRX,2014-09-15,9.57,9.57,8.59,8.7,51600
AGRX,2014-09-16,8.7,9.24,7.84,8.54,89700
AGRX,2014-09-17,8.41,8.83,8.19,8.2,35700
AGRX,2014-09-18,8.51,9.09,8.25,8.75,31800
AGRX,2014-09-19,8.82,9.85,8.37,8.4,174700
AGRX,2014-09-22,8.42,8.92,7.51,7.75,49200
AGRX,2014-09-23,7.66,7.96,7.54,7.67,10400
AGRX,2014-09-24,7.67,8.18,7.55,7.71,28000
AGRX,2014-09-25,7.74,8.12,7.74,7.98,11600
AGRX,2014-09-26,8.01,8.4,8,8.05,20700
AGRX,2014-09-29,7.7,7.7,7.26,7.64,40300
AGRX,2014-09-30,7.52,7.53,6.51,7.3,194400
AGRX,2014-10-01,7.24,7.24,6.05,6.38,59800
AGRX,2014-10-02,6.33,6.51,6.23,6.34,17800
AGRX,2014-10-03,6.46,6.57,6.29,6.33,30800
AGRX,2014-10-06,6.34,6.5,6.21,6.4,24000
AGRX,2014-10-07,6.22,6.64,6.05,6.15,61600
AGRX,2014-10-08,6.05,6.14,6,6,31400
AGRX,2014-10-09,6,6.1,5.98,5.98,33900
AGRX,2014-10-10,5.97,6.1,5.95,6.02,23400
AGRX,2014-10-13,6.15,6.81,6.15,6.18,34800
