ticker,date,open,high,low,close,volume
ALLK,2018-07-19,27.2,33.24,26,31.25,4438100
ALLK,2018-07-20,30.29,37,30.25,35.05,698100
ALLK,2018-07-23,35.05,38.53,34,36.29,1008700
ALLK,2018-07-24,36.24,38.83,35.09,38.12,293800
ALLK,2018-07-25,38.3,40.14,37.82,39.3,543500
ALLK,2018-07-26,39.5,40.45,39.17,39.97,369500
ALLK,2018-07-27,40,40.825,39.044,39.79,135100
ALLK,2018-07-30,39.84,40.4,39,40,63700
ALLK,2018-07-31,39.78,43.96,39.5,40.77,175100
ALLK,2018-08-01,41.51,45.95,40.69,40.95,434800
ALLK,2018-08-02,41.01,42.94,40.02,41.36,195000
ALLK,2018-08-03,41.03,42.84,40.61,41.02,101500
ALLK,2018-08-06,41.25,42.445,38.26,39.69,271600
ALLK,2018-08-07,40.13,41,39.6,39.85,160500
ALLK,2018-08-08,39.6,39.85,36.33,36.78,260200
ALLK,2018-08-09,37.06,40.91,36.78,37.27,420400
ALLK,2018-08-10,36.71,40.33,36.71,38.92,407900
ALLK,2018-08-13,38.54,41.05,37.31,39.31,155500
ALLK,2018-08-14,39.31,41,39.31,40.07,73900
ALLK,2018-08-15,41.91,41.91,37.28,37.8,452400
ALLK,2018-08-16,38.07,39.46,37.53,38.81,280800
ALLK,2018-08-17,38.91,39.8,38.03,38.91,66700
ALLK,2018-08-20,38.63,41.75,38.5,40.38,85400
ALLK,2018-08-21,40.2,41.33,38.98,39.55,90200
ALLK,2018-08-22,39.12,39.68,38.63,39.24,120100
ALLK,2018-08-23,39.07,39.55,38.47,39,65100
ALLK,2018-08-24,39,39.075,37.53,38.91,60800
ALLK,2018-08-27,38.75,39.53,37.62,38.91,26100
ALLK,2018-08-28,38.68,40.31,38.07,40.07,81900
ALLK,2018-08-29,40,40.9,39.38,40.09,27400
ALLK,2018-08-30,38.4,40.35,38.25,38.46,40100
ALLK,2018-08-31,38.18,39.88,38.18,38.84,34400
ALLK,2018-09-04,38.56,42.83,38.52,39.93,203400
ALLK,2018-09-05,40,42.7,39.33,42.23,83200
ALLK,2018-09-06,42.38,43.47,41.84,43,121500
ALLK,2018-09-07,43.02,49.105,41.81,46.6,197800
ALLK,2018-09-10,47.5,47.56,41.1,42.95,289600
ALLK,2018-09-11,42.65,43.495,41.22,42.77,139200
ALLK,2018-09-12,43.03,44.83,42.01,44.47,92800
ALLK,2018-09-13,44.8,46.2,43.63,44.49,75100
ALLK,2018-09-14,44.4,45.1,43.34,44.43,81000
ALLK,2018-09-17,44.39,44.82,43,43.99,107700
ALLK,2018-09-18,44.67,45.8,44.06,44.9,76400
ALLK,2018-09-19,44.9,46.46,44.79,45.28,206400
ALLK,2018-09-20,45.51,45.99,43.87,45.04,241300
ALLK,2018-09-21,45.34,48.68,44.22,47.64,1365400
ALLK,2018-09-24,47.13,47.82,46.11,46.73,174800
ALLK,2018-09-25,47.04,47.59,46.33,46.54,126500
ALLK,2018-09-26,46.85,47.09,46.05,46.21,69400
ALLK,2018-09-27,46.41,46.795,44.67,45.57,99500
ALLK,2018-09-28,45.38,45.88,44.48,44.99,115800
ALLK,2018-10-01,45.21,45.4,40,41.32,333700
ALLK,2018-10-02,41.35,42.65,41.3,42.25,159700
ALLK,2018-10-03,42.52,42.52,37.32,38.49,192400
ALLK,2018-10-04,38.38,38.97,29.34,31.59,571900
ALLK,2018-10-05,31.77,33.65,30.01,33.35,307400
ALLK,2018-10-08,32.02,33.49,30.47,32.17,347000
ALLK,2018-10-09,31.93,36,31.93,35.28,353600
ALLK,2018-10-10,35.5,36.33,33.4,34.07,179300
ALLK,2018-10-11,33.78,35.04,30.42,34.27,139100
ALLK,2018-10-12,34.51,34.8,33.03,33.63,99800
ALLK,2018-10-15,33.62,34.14,31.64,33.85,41800
ALLK,2018-10-16,34.18,38.95,33.5,37.4,177200
ALLK,2018-10-17,37.18,40.96,36.84,40.1,119300
ALLK,2018-10-18,39.88,43.47,38.68,42.46,148200
ALLK,2018-10-19,42.32,43.47,40.53,43.11,144600
ALLK,2018-10-22,43.32,45.38,41.53,44.54,157100
ALLK,2018-10-23,43.6,47.28,43.19,46.19,119600
ALLK,2018-10-24,46.11,46.43,42.69,43.99,95900
ALLK,2018-10-25,44.38,48.38,41.54,48.36,272800
ALLK,2018-10-26,47.66,47.91,45.42,46.79,111800
ALLK,2018-10-29,47,47.575,44.525,46.01,109700
ALLK,2018-10-30,46.42,47.14,44.25,47.13,164600
ALLK,2018-10-31,47.48,51.75,44.05,48.35,123700
ALLK,2018-11-01,48.97,50.2,45.98,50.11,102600
ALLK,2018-11-02,50.52,52.59,49.98,51.85,69600
ALLK,2018-11-05,52.11,53.8,50.55,53.24,118000
ALLK,2018-11-06,53.24,55.55,52.86,55,193200
ALLK,2018-11-07,55,57.95,54.88,57.3,159000
ALLK,2018-11-08,57.01,58.52,55.98,57.33,65000
ALLK,2018-11-09,56.27,56.47,50.015,53.17,225800
ALLK,2018-11-12,52.85,56.47,52,55.83,142300
ALLK,2018-11-13,55.87,58.91,55.775,56.97,98200
ALLK,2018-11-14,57.46,61.21,52.66,54.08,121900
ALLK,2018-11-15,53.72,57.56,53.6,55.92,281300
ALLK,2018-11-16,55.88,59.76,54.24,58.99,169800
ALLK,2018-11-19,59.22,59.38,53.37,55.32,119100
ALLK,2018-11-20,54.1,55.63,52.61,54.13,138000
ALLK,2018-11-21,54.74,57.07,52.38,53.04,74200
ALLK,2018-11-23,52.37,56.88,52,55.74,83700
ALLK,2018-11-26,56.38,56.38,53.3,55.91,170400
ALLK,2018-11-27,55.79,56.255,53.73,54.59,81000
ALLK,2018-11-28,54.57,60.49,54.42,59.03,96500
ALLK,2018-11-29,59.09,62,58.54,61.38,97500
ALLK,2018-11-30,61.19,61.24,57,58.91,194200
ALLK,2018-12-03,60.51,61.24,58.25,59.91,91300
ALLK,2018-12-04,59.68,62.32,58.99,59.17,102900
ALLK,2018-12-06,57.38,61.395,57.01,60.76,133600
ALLK,2018-12-07,61.06,63.04,60.65,62.63,122100
ALLK,2018-12-10,62.72,63.7,60.83,62.65,104800
ALLK,2018-12-11,63.77,65.48,61.32,61.51,101000
ALLK,2018-12-12,62.26,64.43,60.26,61.76,87000
ALLK,2018-12-13,62.22,62.22,59,59.94,138900
ALLK,2018-12-14,59.65,61.4,59.09,60.7,119200
ALLK,2018-12-17,60.35,61.48,55.4,56.66,148200
ALLK,2018-12-18,56.98,60.49,53.63,55.82,188300
ALLK,2018-12-19,55.78,57.5,44.99,47.17,389900
