ticker,date,open,high,low,close,volume
APVO,2016-07-20,112,112,112,112,42
APVO,2016-07-22,112,112,110.18,110.18,42
APVO,2016-07-25,84.7,94.5,84.7,94.5,2242
APVO,2016-07-26,98,98,95.34,96.6,1735
APVO,2016-07-27,116.06,116.06,68.74,77.14,5328
APVO,2016-07-28,83.86,83.86,68.74,70.14,1664
APVO,2016-07-29,84.28,84.28,49.42,51.94,11557
APVO,2016-08-01,60.06,60.62,37.52,40.46,207107
APVO,2016-08-02,41.16,51.8,39.76,41.44,141878
APVO,2016-08-03,42.7,42.7,39.48,41.16,70842
APVO,2016-08-04,41.02,44.1,41.02,42.98,55357
APVO,2016-08-05,44.66,44.66,38.36,39.48,103557
APVO,2016-08-08,38.5,42,36.82,38.36,91407
APVO,2016-08-09,39.06,40.32,35.98,36.96,62192
APVO,2016-08-10,37.1,38.78,36.4,37.8,63600
APVO,2016-08-11,39.48,39.9,37.52,38.78,84821
APVO,2016-08-12,39.62,43.82,38.78,42.98,50557
APVO,2016-08-15,44.1,47.46,43.26,44.24,36878
APVO,2016-08-16,45.5,46.06,41.02,42.28,22792
APVO,2016-08-17,42.7,45.78,42.56,45.08,22464
APVO,2016-08-18,45.5,50.96,44.52,44.66,27078
APVO,2016-08-19,44.66,47.32,44.24,46.62,25485
APVO,2016-08-22,48.02,50.54,44.52,44.94,52478
APVO,2016-08-23,45.64,47.46,43.4,45.08,26807
APVO,2016-08-24,45.5,47.32,42.14,42.28,29335
APVO,2016-08-25,41.86,42.7,41.16,41.72,16764
APVO,2016-08-26,42,43.54,41.16,42.28,18564
APVO,2016-08-29,42.56,42.56,39.48,40.18,10342
APVO,2016-08-30,40.32,40.6,38.78,40.04,12164
APVO,2016-08-31,39.76,39.76,37.1,38.08,29850
APVO,2016-09-01,37.8,38.92,36.68,37.1,21707
APVO,2016-09-02,36.82,37.1,35.28,37.1,18328
APVO,2016-09-06,36.96,36.96,32.62,33.6,28964
APVO,2016-09-07,33.46,33.88,32.06,32.2,25478
APVO,2016-09-08,32.48,32.76,30.24,30.8,26542
APVO,2016-09-09,32.48,43.26,32.48,35.14,326328
APVO,2016-09-12,35.28,37.38,32.48,35.42,61071
APVO,2016-09-13,35.56,35.56,33.04,33.6,26614
APVO,2016-09-14,33.88,34.58,33.6,34.3,13028
APVO,2016-09-15,34.58,34.72,32.48,32.9,21350
APVO,2016-09-16,32.76,33.46,31.5,31.5,60521
APVO,2016-09-19,31.78,32.9,31.36,31.64,12878
APVO,2016-09-20,31.92,34.58,31.78,33.04,31792
APVO,2016-09-21,33.46,35.84,32.9,35.56,32421
APVO,2016-09-22,36.4,39.62,36.4,38.5,30228
APVO,2016-09-23,38.92,40.88,38.5,39.06,28157
APVO,2016-09-26,39.76,40.46,37.8,38.08,20535
APVO,2016-09-27,38.36,39.2,38.08,38.5,10550
APVO,2016-09-28,38.64,38.64,35.7,36.68,16450
APVO,2016-09-29,36.96,38.36,35.7,35.84,13414
APVO,2016-09-30,35.7,36.82,35.14,35.84,11371
APVO,2016-10-03,35.84,38.22,34.3,35,7064
APVO,2016-10-04,35.14,37.66,35.14,36.26,12971
APVO,2016-10-05,36.54,41.16,36.54,39.06,27257
APVO,2016-10-06,39.34,40.46,37.52,38.64,13692
APVO,2016-10-07,38.78,40.04,38.5,39.62,8435
APVO,2016-10-10,39.76,40.6,38.92,39.62,9671
APVO,2016-10-11,39.76,41.58,36.82,37.1,20528
APVO,2016-10-12,37.38,39.34,36.12,37.24,10907
APVO,2016-10-13,36.96,36.96,35,35.84,15864
APVO,2016-10-14,35.7,36.96,33.6,33.6,15178
APVO,2016-10-17,33.6,35.28,32.2,33.04,14500
APVO,2016-10-18,33.32,34.3,32.9,33.18,16907
APVO,2016-10-19,33.46,33.6,32.06,32.48,9764
APVO,2016-10-20,32.2,33.18,31.64,32.34,7642
APVO,2016-10-21,32.2,33.74,31.64,32.06,7214
APVO,2016-10-24,32.34,34.02,31.64,32.34,10942
APVO,2016-10-25,32.34,33.46,31.92,32.34,11464
APVO,2016-10-26,32.06,32.9,31.64,32.06,6735
APVO,2016-10-27,32.48,32.48,30.1,30.52,14778
APVO,2016-10-28,30.38,31.78,28.98,30.8,13092
APVO,2016-10-31,31.08,31.78,29.96,30.94,7307
APVO,2016-11-01,31.5,31.64,27.72,29.4,14900
APVO,2016-11-02,28.98,29.26,25.9,26.88,13064
APVO,2016-11-03,26.88,27.3,26.18,26.32,15785
APVO,2016-11-04,26.04,27.3,25.2,26.04,10321
APVO,2016-11-07,28,28.28,25.2,26.74,14828
APVO,2016-11-08,26.6,27.58,25.9,27.44,7485
APVO,2016-11-09,27.58,28.7,27.02,27.86,13242
APVO,2016-11-10,28,29.54,27.3,29.26,14200
APVO,2016-11-11,28.56,32.9,28.42,31.36,12607
APVO,2016-11-14,31.5,33.46,31.36,32.34,9250
APVO,2016-11-15,29.68,30.1,23.66,27.44,71321
APVO,2016-11-16,27.58,27.72,26.6,27.44,25850
APVO,2016-11-17,27.72,27.86,26.88,27.16,12392
APVO,2016-11-18,26.6,28.7,26.6,28.42,22828
APVO,2016-11-21,28.56,29.68,28.14,28.42,7164
APVO,2016-11-22,28.56,28.84,27.72,28.56,13557
APVO,2016-11-23,28.42,28.42,27.58,28.28,9064
APVO,2016-11-25,28.14,28.14,27.44,28.14,3192
APVO,2016-11-28,28.14,28.42,25.34,25.9,12192
APVO,2016-11-29,26.18,27.16,25.48,26.6,12214
APVO,2016-11-30,26.88,27.86,26.32,26.6,11657
APVO,2016-12-01,26.6,26.88,24.5,26.04,16700
APVO,2016-12-02,25.9,26.88,25.48,26.6,13157
APVO,2016-12-05,26.88,27.16,26.18,27.02,8050
APVO,2016-12-06,26.88,27.3,26.18,26.88,6471
APVO,2016-12-07,26.6,26.88,25.9,26.04,6092
APVO,2016-12-08,25.9,27.86,25.9,27.72,7092
APVO,2016-12-09,27.72,28.7,26.46,27.86,17242
APVO,2016-12-12,27.44,28.14,26.88,27.72,8021
APVO,2016-12-13,27.3,28.14,26.74,28.14,7992
APVO,2016-12-14,27.86,27.86,26.32,27.02,8550
APVO,2016-12-15,26.88,27.3,25.34,25.62,11607
APVO,2016-12-16,28.28,41.58,28,30.1,282721
APVO,2016-12-19,29.26,29.26,26.6,27.58,22564
APVO,2016-12-20,27.86,30.8,27.16,30.24,12050
APVO,2016-12-21,30.52,31.36,29.4,30.1,7164
APVO,2016-12-22,29.82,31.36,28.84,29.82,11521
APVO,2016-12-23,30.1,32.2,29.54,30.8,13250
APVO,2016-12-27,30.52,32.06,30.38,31.78,5307
APVO,2016-12-28,31.5,32.62,30.38,31.08,7178
APVO,2016-12-29,31.08,33.6,30.52,33.32,22535
APVO,2016-12-30,33.32,34.3,32.34,34.16,5700
APVO,2017-01-03,34.58,36.12,33.74,35,8971
APVO,2017-01-04,35.7,41.16,35.14,40.04,27628
APVO,2017-01-05,41.86,41.86,39.06,39.9,23607
APVO,2017-01-06,40.18,41.16,36.54,36.96,8142
APVO,2017-01-09,36.96,37.66,35.56,35.7,5235
APVO,2017-01-10,36.54,37.24,33.88,37.1,17114
APVO,2017-01-11,37.1,39.06,34.3,35.56,7707
APVO,2017-01-12,35.42,35.84,34.58,34.86,2678
APVO,2017-01-13,40.6,42,35.14,35.98,23157
APVO,2017-01-17,35.7,37.24,35.7,36.4,9285
APVO,2017-01-18,36.68,37.94,36.12,37.52,6378
APVO,2017-01-19,37.66,37.66,35.7,36.12,3214
APVO,2017-01-20,35.84,37.24,31.92,32.9,15550
APVO,2017-01-23,32.48,34.02,30.8,32.2,10457
APVO,2017-01-24,32.2,32.2,30.1,30.52,13657
APVO,2017-01-25,29.96,30.38,28,28.42,13571
APVO,2017-01-26,28.56,29.26,28.42,28.84,9714
APVO,2017-01-27,28.98,30.38,28.28,28.7,11028
APVO,2017-01-30,28.42,28.56,27.58,28.42,10864
APVO,2017-01-31,28.14,28.56,27.3,27.86,9385
APVO,2017-02-01,27.72,28.14,26.88,27.86,8864
APVO,2017-02-02,28,28,27.02,27.58,12407
