ticker,date,open,high,low,close,volume
ARWR,2000-10-10,78,78,58.5,58.5,0
ARWR,2000-10-17,58.5,58.5,58.5,58.5,0
ARWR,2000-11-13,58.5,58.5,58.5,58.5,0
ARWR,2000-11-15,58.5,58.5,58.5,58.5,0
ARWR,2000-11-29,58.5,58.5,58.5,58.5,0
ARWR,2000-11-30,39,39,39,39,0
ARWR,2000-12-05,39,39,39,39,0
ARWR,2000-12-13,39,39,39,39,0
ARWR,2000-12-14,39,39,39,39,0
ARWR,2000-12-22,39,39,39,39,0
ARWR,2000-12-29,39,52,39,39,0
ARWR,2001-01-11,39,39,39,39,0
ARWR,2001-01-26,39,39,39,39,0
ARWR,2001-02-06,39,39,39,39,0
ARWR,2001-02-13,39,39,39,39,0
ARWR,2001-03-13,26,26,26,26,0
ARWR,2001-04-23,26,32.5,26,26,0
ARWR,2001-04-24,19.5,19.5,19.5,19.5,0
ARWR,2001-05-01,19.5,19.5,19.5,19.5,0
ARWR,2001-05-24,26,52,26,39,6
ARWR,2001-05-25,45.5,45.5,45.5,45.5,0
ARWR,2001-05-31,32.5,32.5,32.5,32.5,0
ARWR,2001-06-04,26,26,26,26,0
ARWR,2001-06-05,32.5,32.5,32.5,32.5,0
ARWR,2001-06-20,26,26,26,26,0
ARWR,2001-07-13,39,39,39,39,1
ARWR,2001-07-27,39,39,39,39,1
ARWR,2001-08-06,26,26,26,26,0
ARWR,2001-09-05,19.5,19.5,19.5,19.5,0
ARWR,2001-09-20,19.5,19.5,13,13,0
ARWR,2001-11-21,13,13,13,13,0
ARWR,2001-12-14,6.5,6.5,6.5,6.5,0
ARWR,2001-12-17,6.5,6.5,6.5,6.5,0
ARWR,2002-01-18,13,13,13,13,0
ARWR,2002-03-04,13,13,13,13,0
ARWR,2002-03-05,13,13,13,13,0
ARWR,2002-03-19,6.5,13,6.5,13,0
ARWR,2002-03-26,6.5,6.5,6.5,6.5,0
ARWR,2002-03-28,19.5,19.5,19.5,19.5,0
ARWR,2002-04-01,19.5,19.5,19.5,19.5,0
ARWR,2002-04-05,13,13,13,13,0
ARWR,2002-04-09,13,13,13,13,0
ARWR,2002-04-12,19.5,19.5,19.5,19.5,0
ARWR,2002-04-26,19.5,52,19.5,52,0
ARWR,2002-04-29,26,45.5,26,45.5,0
ARWR,2002-06-04,13,13,13,13,0
ARWR,2002-06-12,13,13,13,13,0
ARWR,2002-06-28,6.5,13,6.5,13,0
ARWR,2002-07-03,6.5,6.5,6.5,6.5,0
ARWR,2002-08-01,6.5,6.5,6.5,6.5,0
ARWR,2002-08-12,6.5,6.5,6.5,6.5,0
ARWR,2002-08-30,19.5,19.5,19.5,19.5,0
ARWR,2002-10-02,13,13,13,13,0
ARWR,2002-10-23,6.5,6.5,6.5,6.5,0
ARWR,2002-11-13,6.5,6.5,6.5,6.5,0
ARWR,2002-11-29,6.5,6.5,6.5,6.5,0
ARWR,2002-12-27,6.5,6.5,6.5,6.5,0
ARWR,2002-12-30,6.5,6.5,6.5,6.5,0
ARWR,2003-01-10,6.5,6.5,6.5,6.5,0
ARWR,2003-01-31,6.5,6.5,6.5,6.5,1
ARWR,2003-02-04,6.5,6.5,6.5,6.5,0
ARWR,2003-02-12,6.5,6.5,6.5,6.5,0
ARWR,2003-04-09,6.5,6.5,6.5,6.5,0
ARWR,2003-04-22,6.5,6.5,6.5,6.5,1
ARWR,2003-04-23,6.5,6.5,6.5,6.5,0
ARWR,2003-05-14,6.5,13,6.5,6.5,1
ARWR,2003-05-30,13,13,6.5,6.5,0
ARWR,2003-06-18,6.5,6.5,6.5,6.5,0
ARWR,2003-07-29,6.5,6.5,6.5,6.5,0
ARWR,2003-08-21,6.5,6.5,6.5,6.5,0
ARWR,2003-09-04,6.5,6.5,6.5,6.5,0
ARWR,2003-09-22,6.5,6.5,6.5,6.5,0
ARWR,2003-09-25,6.5,6.5,6.5,6.5,2
ARWR,2003-09-26,6.5,6.5,6.5,6.5,0
ARWR,2003-10-09,6.5,13,6.5,13,0
ARWR,2003-10-13,13,13,13,13,1
ARWR,2003-10-14,13,13,6.5,6.5,1
ARWR,2003-10-16,6.5,6.5,6.5,6.5,0
ARWR,2003-10-27,6.5,6.5,6.5,6.5,2
