ticker,date,open,high,low,close,volume
AXDX,2001-08-06,1.51,1.62,1.51,1.62,6500
AXDX,2001-08-07,1.62,1.7,1.6,1.63,13700
AXDX,2001-08-08,1.63,1.7,1.6,1.7,25700
AXDX,2001-08-09,1.75,2.3,1.75,2.2,91300
AXDX,2001-08-10,2.16,2.25,2.11,2.2,38100
AXDX,2001-08-13,2.15,2.25,2.15,2.15,38900
AXDX,2001-08-14,2.12,2.15,1.92,1.92,46100
AXDX,2001-08-15,1.98,2.08,1.98,2.01,12000
AXDX,2001-08-16,2.05,2.1,1.95,2.02,16900
AXDX,2001-08-17,2.02,2.02,1.92,1.92,1900
AXDX,2001-08-20,1.92,1.99,1.87,1.9,34000
AXDX,2001-08-21,1.8,1.94,1.8,1.85,25100
AXDX,2001-08-22,1.85,2.25,1.75,2.23,220500
AXDX,2001-08-23,2.29,2.33,2.25,2.3,48700
AXDX,2001-08-24,2.28,2.33,2,2.33,29400
AXDX,2001-08-27,2.18,2.3,2.1,2.3,13400
AXDX,2001-08-28,2.38,2.55,2.3,2.45,26200
AXDX,2001-08-29,2.47,2.5,2.32,2.42,39200
AXDX,2001-08-30,2.4,2.42,2.2,2.32,39800
AXDX,2001-08-31,2.25,2.48,2.25,2.48,21800
AXDX,2001-09-04,2.46,2.46,2.3,2.3,6100
AXDX,2001-09-05,2.3,2.45,2.27,2.45,18900
AXDX,2001-09-06,2.45,2.45,2.2,2.25,25300
AXDX,2001-09-07,2.23,2.23,2.05,2.18,43700
AXDX,2001-09-10,2.12,2.15,1.95,2,42200
AXDX,2001-09-17,2.05,2.09,1.79,1.83,37900
AXDX,2001-09-18,1.85,2.15,1.83,2,36000
AXDX,2001-09-19,2.05,2.05,1.85,1.85,24000
AXDX,2001-09-20,1.74,1.95,1.74,1.9,12900
AXDX,2001-09-21,1.94,2.1,1.9,2.1,36100
AXDX,2001-09-24,2.1,2.45,2.1,2.4,33400
AXDX,2001-09-25,2.35,2.9,2.35,2.9,61200
AXDX,2001-09-26,2.91,3.57,2.88,3.54,178900
AXDX,2001-09-27,3.46,3.46,3.11,3.22,52500
AXDX,2001-09-28,3.15,3.3,3.1,3.25,32800
AXDX,2001-10-01,3.18,3.25,3.18,3.2,15300
AXDX,2001-10-02,3.18,3.2,2.87,3.14,44400
AXDX,2001-10-03,3.08,3.08,2.95,3,13400
AXDX,2001-10-04,2.95,3.02,2.95,3.02,15000
AXDX,2001-10-05,2.98,2.99,2.75,2.79,12600
AXDX,2001-10-08,2.71,2.71,2.66,2.68,8600
AXDX,2001-10-09,2.66,2.7,2.66,2.7,8200
AXDX,2001-10-10,2.7,3.15,2.7,3.15,21600
AXDX,2001-10-11,3.15,3.35,3.05,3.35,22100
AXDX,2001-10-12,3.3,3.3,2.8,2.95,46100
AXDX,2001-10-15,2.85,3.13,2.85,3,7000
AXDX,2001-10-16,3.05,3.2,3.05,3.16,7600
AXDX,2001-10-17,3.16,3.3,3.15,3.25,14000
AXDX,2001-10-18,3.3,3.4,3.23,3.3,8500
AXDX,2001-10-19,3.3,3.35,3.25,3.28,15900
AXDX,2001-10-22,3.26,3.26,3.25,3.25,8300
AXDX,2001-10-23,3.25,3.39,3.25,3.39,34600
AXDX,2001-10-24,3.3,3.43,3.3,3.35,6700
AXDX,2001-10-25,3.35,3.4,3.35,3.4,6200
AXDX,2001-10-26,3.4,3.53,3.4,3.53,19600
AXDX,2001-10-29,3.4,3.55,3.4,3.4,2100
AXDX,2001-10-30,3.48,3.55,3.4,3.55,5500
AXDX,2001-10-31,3.5,3.5,3.25,3.5,30700
AXDX,2001-11-01,3.25,3.29,3.25,3.29,1700
AXDX,2001-11-02,3.29,3.29,3.1,3.2,15300
AXDX,2001-11-05,3.1,3.3,3.05,3.05,1900
AXDX,2001-11-06,3.05,3.1,3,3.03,6800
AXDX,2001-11-07,3.03,3.07,3.03,3.06,12200
AXDX,2001-11-08,3.06,3.25,3.06,3.25,18400
AXDX,2001-11-09,3.18,3.45,3.18,3.3,4800
AXDX,2001-11-12,3.2,3.5,3.17,3.4,15000
AXDX,2001-11-13,3.25,3.33,3.17,3.3,21700
AXDX,2001-11-14,3.39,3.39,3.3,3.3,3600
AXDX,2001-11-15,3.3,3.3,3.1,3.19,8200
AXDX,2001-11-16,3.1,3.15,3.06,3.1,8100
AXDX,2001-11-19,3.06,3.1,3.06,3.06,2200
AXDX,2001-11-20,3.06,3.09,2.85,2.88,28800
AXDX,2001-11-21,2.9,2.99,2.9,2.99,8100
AXDX,2001-11-23,3.02,3.02,3,3.02,2600
AXDX,2001-11-26,3,3.05,3,3.03,6200
AXDX,2001-11-27,3,3.05,2.93,3,11200
AXDX,2001-11-28,3,3,2.92,2.92,1500
AXDX,2001-11-29,2.91,2.93,2.9,2.93,7500
AXDX,2001-11-30,2.89,2.89,2.89,2.89,100
AXDX,2001-12-03,2.89,2.91,2.79,2.85,9300
AXDX,2001-12-04,2.75,2.75,2.45,2.5,36500
AXDX,2001-12-05,2.55,2.65,2.5,2.5,8000
AXDX,2001-12-06,2.5,2.64,2.4,2.64,14500
AXDX,2001-12-07,2.5,2.5,2.3,2.5,22800
AXDX,2001-12-10,2.38,2.38,2,2.2,23500
AXDX,2001-12-11,2.05,2.24,2.05,2.13,12400
AXDX,2001-12-12,2.15,2.2,2,2,9500
AXDX,2001-12-13,2.02,2.1,2.02,2.1,6100
AXDX,2001-12-14,2.02,2.15,2.02,2.15,2600
AXDX,2001-12-17,2.1,2.1,2.1,2.1,1400
AXDX,2001-12-18,2.1,2.15,2.1,2.15,2700
AXDX,2001-12-19,2.2,2.2,2.1,2.1,3600
AXDX,2001-12-20,2.1,2.15,2.1,2.1,2200
AXDX,2001-12-21,2.1,2.1,2.1,2.1,1600
AXDX,2001-12-24,2.1,2.15,2.1,2.13,2900
AXDX,2001-12-26,2.1,2.1,2.1,2.1,1600
AXDX,2001-12-27,2.1,2.15,2.05,2.1,4300
AXDX,2001-12-28,2.1,2.1,2.05,2.05,2300
AXDX,2001-12-31,2.05,2.13,2.05,2.13,5400
AXDX,2002-01-02,2.05,2.1,2.05,2.1,9500
AXDX,2002-01-03,2.05,2.13,2.05,2.05,9300
AXDX,2002-01-04,2.05,2.15,2.05,2.15,3900
AXDX,2002-01-07,2.1,2.1,2.1,2.1,300
AXDX,2002-01-08,2.1,2.1,2.1,2.1,200
AXDX,2002-01-09,2.12,2.2,2.05,2.05,13700
AXDX,2002-01-10,2.09,2.29,2.09,2.29,39400
AXDX,2002-01-11,2.3,2.47,2.28,2.35,274300
AXDX,2002-01-14,2.33,2.35,2.25,2.25,12900
AXDX,2002-01-15,2.3,2.3,2.22,2.26,60000
AXDX,2002-01-16,2.25,2.26,2.25,2.26,61100
AXDX,2002-01-17,2.25,2.25,2.12,2.14,103200
AXDX,2002-01-18,2.14,2.15,2.14,2.15,1500
AXDX,2002-01-22,2.14,2.14,2.1,2.1,14600
AXDX,2002-01-23,2.1,2.1,2.1,2.1,100
AXDX,2002-01-24,2.1,2.12,2.1,2.1,8200
