ticker,date,open,high,low,close,volume
BEAT,2008-03-19,18,18.65,17.68,17.7,1584000
BEAT,2008-03-20,17.7,18.06,17.7,18.02,142000
BEAT,2008-03-24,18.1,18.1,17.74,18.06,71900
BEAT,2008-03-25,17.8,18,17.22,17.55,137500
BEAT,2008-03-26,17.7,17.86,17.5,17.59,44000
BEAT,2008-03-27,17.5,17.8,17.4,17.5,34200
BEAT,2008-03-28,17.77,18.25,17.47,18.05,39400
BEAT,2008-03-31,18.66,18.68,17.65,17.99,25800
BEAT,2008-04-01,18,18.38,17.66,18.25,97900
BEAT,2008-04-02,18,18.38,17.75,18.29,39500
BEAT,2008-04-03,18.19,18.25,17.94,18.25,50800
BEAT,2008-04-04,18.05,18.44,18.05,18.4,31100
BEAT,2008-04-07,18.5,19.35,18.31,19.12,45800
BEAT,2008-04-08,18.79,19.9,18.79,19.85,141300
BEAT,2008-04-09,19.75,19.81,19.25,19.81,30100
BEAT,2008-04-10,19.44,19.8,19.11,19.8,17400
BEAT,2008-04-11,19.72,20,19.7,19.81,43700
BEAT,2008-04-14,20,20,19.25,19.75,28600
BEAT,2008-04-15,19.75,20.62,19.75,20,68000
BEAT,2008-04-16,19.9,20.49,19.9,20,108800
BEAT,2008-04-17,19.85,20.47,19.79,19.92,90200
BEAT,2008-04-18,19.85,20.5,19.62,20,55300
BEAT,2008-04-21,19.8,20.4,19.8,20,59100
BEAT,2008-04-22,18.02,20.13,17.01,19.96,75900
BEAT,2008-04-23,19.42,20.19,19.42,19.98,83300
BEAT,2008-04-24,19.9,20.1,19.79,20.01,18000
BEAT,2008-04-25,20.15,21.5,19.85,21.5,14500
BEAT,2008-04-28,21.62,24.45,21.25,23.15,140700
BEAT,2008-04-29,23.96,24.2,21.5,22.44,99700
BEAT,2008-04-30,22.99,23.5,21.5,23.1,189900
BEAT,2008-05-01,22.78,23.24,21.8,22.85,32900
BEAT,2008-05-02,23.19,23.24,22.57,23,41700
BEAT,2008-05-05,23.16,23.17,22.84,23.03,43500
BEAT,2008-05-06,22.61,24.34,22.56,24.04,40100
BEAT,2008-05-07,24.23,24.23,23.57,24,67400
