ticker,date,open,high,low,close,volume
BLPH,2015-02-13,150,153.75,120.15,134.55,101886
BLPH,2015-02-17,138.9,138.9,131.25,138.6,2653
BLPH,2015-02-18,147.45,147.45,135.75,138.6,2866
BLPH,2015-02-19,138.75,142.5,136.05,138.6,1213
BLPH,2015-02-20,150,150,135,141.3,1313
BLPH,2015-02-23,138.75,145.95,138.6,144.15,2373
BLPH,2015-02-24,136.8,146.4,136.8,140.85,6280
BLPH,2015-02-25,141.75,145.2,141.15,142.35,4280
BLPH,2015-02-26,147,177.75,139.65,171.75,5333
BLPH,2015-02-27,176.7,193.8,165,180,11173
BLPH,2015-03-02,180,180,167.4,179.1,7880
BLPH,2015-03-03,174.45,179.1,171.6,175.35,3726
BLPH,2015-03-04,176.1,176.25,150.15,169.8,3820
BLPH,2015-03-05,159.9,176.25,159.9,174.75,2486
BLPH,2015-03-06,168.9,176.25,168.9,174.6,2600
BLPH,2015-03-09,169.8,169.8,157.65,161.25,860
BLPH,2015-03-10,153.9,155.25,145.35,148.05,1733
BLPH,2015-03-11,147,162.15,145.5,152.4,1373
BLPH,2015-03-12,147.75,153.3,146.7,153.3,326
BLPH,2015-03-13,147,147.3,146.25,146.25,266
BLPH,2015-03-16,165,172.35,157.5,168,10153
BLPH,2015-03-17,168.3,172.5,167.1,170.7,5646
BLPH,2015-03-18,166.95,171.9,163.2,166.05,2293
BLPH,2015-03-19,161.25,165,156.15,161.7,1593
BLPH,2015-03-20,159.75,168,159.75,166.5,1286
BLPH,2015-03-23,157.35,166.8,153,153,2666
BLPH,2015-03-24,151.65,162.45,151.05,154.35,7246
BLPH,2015-03-25,150.9,157.5,150,151.35,3353
BLPH,2015-03-26,150,157.65,150,155.4,1426
BLPH,2015-03-27,154.5,155.55,148.5,150,926
BLPH,2015-03-30,150.45,150.45,136.65,140.25,3066
BLPH,2015-03-31,138.6,142.35,134.7,137.7,953
BLPH,2015-04-01,138.6,142.5,137.7,140.25,766
BLPH,2015-04-02,140.25,147.45,137.4,144.75,793
BLPH,2015-04-06,143.25,147.9,140.55,146.25,500
BLPH,2015-04-07,149.4,151.5,147.75,151.2,520
BLPH,2015-04-08,151.65,154.5,151.65,151.8,786
BLPH,2015-04-09,152.7,153.3,147,147,240
BLPH,2015-04-10,147.45,153.75,146.55,149.1,300
BLPH,2015-04-13,149.85,153.45,149.85,152.85,480
BLPH,2015-04-14,153.75,156,153,154.8,480
BLPH,2015-04-15,155.1,158.7,155.1,156.75,180
BLPH,2015-04-16,163.2,163.2,157.65,157.65,246
BLPH,2015-04-17,159,159.15,153.3,154.95,1520
BLPH,2015-04-20,157.5,157.5,141.9,155.55,1246
BLPH,2015-04-21,150,154.65,139.8,150.9,820
BLPH,2015-04-22,145.2,151.95,144.9,149.7,200
BLPH,2015-04-23,145.8,150.75,145.8,148.8,353
BLPH,2015-04-24,146.4,147.15,139.5,142.95,320
BLPH,2015-04-27,144.6,147.3,141.75,142.65,500
BLPH,2015-04-28,140.25,143.7,120.3,127.5,3193
BLPH,2015-04-29,132.6,137.55,132.6,136.35,1206
