ticker,date,open,high,low,close,volume
BMRA,1998-02-04,2.25,2.3125,2.25,2.3125,3400
BMRA,1998-02-05,2.25,2.3125,2.25,2.3125,4200
BMRA,1998-02-06,2.3125,2.3125,2.1875,2.1875,11100
BMRA,1998-02-09,2.3125,2.3125,2.25,2.3125,3100
BMRA,1998-02-10,2.25,2.375,2.25,2.375,4700
BMRA,1998-02-11,2.375,2.4375,2.25,2.4375,5800
BMRA,1998-02-12,2.4375,2.4375,2.4375,2.4375,2400
BMRA,1998-02-13,2.25,2.4375,2.25,2.4375,4100
BMRA,1998-02-17,2.4375,2.4375,2.25,2.25,7400
BMRA,1998-02-18,2.3125,2.3125,2.25,2.3125,15400
BMRA,1998-02-19,2.25,2.3125,2.25,2.25,6800
BMRA,1998-02-20,2.1875,2.3125,2.1875,2.3125,7200
BMRA,1998-02-23,2.1875,2.3125,2.1875,2.25,6900
BMRA,1998-02-24,2.25,2.4375,2.25,2.4375,27800
BMRA,1998-02-25,2.25,2.375,2.25,2.375,1900
BMRA,1998-02-26,2.375,2.375,2.375,2.375,2700
BMRA,1998-02-27,2.25,2.4375,2.25,2.25,5700
BMRA,1998-03-02,2.25,2.25,2.25,2.25,600
BMRA,1998-03-03,2.25,2.25,2.25,2.25,2600
BMRA,1998-03-04,2.25,2.25,2.25,2.25,2900
BMRA,1998-03-05,2.25,2.375,2.25,2.25,10000
BMRA,1998-03-06,2.25,2.375,2.25,2.25,3300
BMRA,1998-03-09,2.25,2.375,2.25,2.25,2600
BMRA,1998-03-10,2.25,2.25,2.25,2.25,900
BMRA,1998-03-11,2.1875,2.3125,2.1875,2.1875,9200
BMRA,1998-03-12,2.125,2.3125,2.125,2.125,6800
BMRA,1998-03-13,2.125,2.25,2.125,2.125,6600
BMRA,1998-03-16,2.125,2.25,2.125,2.25,14700
BMRA,1998-03-17,2.125,2.1875,2.125,2.1875,27600
BMRA,1998-03-18,2.125,2.21875,2.125,2.21875,2400
BMRA,1998-03-19,2.25,2.25,2.1875,2.1875,10200
BMRA,1998-03-20,2.125,2.21875,2.125,2.15625,5500
BMRA,1998-03-23,2.125,2.21875,2.125,2.1875,18400
BMRA,1998-03-24,2.15625,2.1875,2.15625,2.15625,6000
BMRA,1998-03-25,2.15625,2.1875,2.15625,2.1875,8700
BMRA,1998-03-26,2.125,2.1875,2.125,2.125,2700
BMRA,1998-03-27,2.125,2.1875,2.125,2.1875,2300
BMRA,1998-03-30,2.125,2.1875,2.125,2.125,11400
BMRA,1998-03-31,2.125,2.125,2.125,2.125,1500
BMRA,1998-04-01,2.125,2.1875,2.125,2.15625,6700
BMRA,1998-04-02,2.125,2.15625,2.125,2.125,8700
BMRA,1998-04-03,2.125,2.1875,2,2.0625,14600
BMRA,1998-04-06,2,2.1875,2,2.1875,6300
BMRA,1998-04-07,2,2.1875,2,2.125,12900
BMRA,1998-04-08,2.125,2.125,2.125,2.125,2800
BMRA,1998-04-09,2,2.0625,2,2.03125,12500
BMRA,1998-04-13,2.09375,2.125,2.09375,2.125,27600
BMRA,1998-04-14,2.0625,2.3125,2.0625,2.25,33300
BMRA,1998-04-15,2.25,2.875,2.25,2.6875,75100
BMRA,1998-04-16,2.4375,2.75,2.4375,2.4375,19800
BMRA,1998-04-17,2.375,2.5,2.375,2.4375,10300
BMRA,1998-04-20,2.375,2.5,2.375,2.4375,5200
BMRA,1998-04-21,2.40625,2.40625,2.40625,2.40625,8500
BMRA,1998-04-22,2.375,2.375,2.375,2.375,5400
BMRA,1998-04-23,2.25,2.375,2.25,2.375,35800
BMRA,1998-04-24,2.25,2.375,2.25,2.25,9200
BMRA,1998-04-27,2.375,2.375,2.375,2.375,1200
BMRA,1998-04-28,2.09375,2.375,2.09375,2.09375,15200
BMRA,1998-04-29,2.25,2.375,2.25,2.25,16500
BMRA,1998-04-30,2.03125,2.34375,2.03125,2.03125,8400
BMRA,1998-05-01,2.03125,2.34375,2.03125,2.0625,1800
BMRA,1998-05-04,2.0625,2.3125,2.0625,2.0625,10400
BMRA,1998-05-05,2,2.1875,2,2.0625,5900
BMRA,1998-05-06,2.0625,2.1875,2.0625,2.0625,13400
BMRA,1998-05-07,2.0625,2.125,2.0625,2.0625,9900
BMRA,1998-05-08,2,2.1875,2,2.0625,11600
BMRA,1998-05-11,2,2.1875,2,2.09375,5900
