ticker,date,open,high,low,close,volume
BOLD,2016-07-20,19,19,15.05,15.13,2737400
BOLD,2016-07-21,15.08,15.45,14.5,15.16,410700
BOLD,2016-07-22,15,15.1,14.7,15,324100
BOLD,2016-07-25,15,15.11,14.7,14.88,138300
BOLD,2016-07-26,14.83,14.97,14.67,14.97,76900
BOLD,2016-07-27,14.96,14.96,14.81,14.95,41900
BOLD,2016-07-28,14.93,14.99,14.8,14.95,41100
BOLD,2016-07-29,14.83,14.9,14.7,14.72,46500
BOLD,2016-08-01,14.73,15.2,14.69,15.17,39200
BOLD,2016-08-02,15.25,15.52,14.74,15.16,48100
BOLD,2016-08-03,15.08,15.2,14.84,15.05,31200
BOLD,2016-08-04,15.25,15.25,14.81,15.04,12300
BOLD,2016-08-05,14.9,15.25,14.9,15,16500
BOLD,2016-08-08,15,15.43,15,15.27,31000
BOLD,2016-08-09,15.4,15.4,15,15.08,7800
BOLD,2016-08-10,15.04,15.25,15.01,15.15,17600
BOLD,2016-08-11,15.01,15.2,14.77,14.97,27600
BOLD,2016-08-12,14.86,14.86,13.06,14.7,45700
BOLD,2016-08-15,14.7,15.25,14.7,14.8,53300
BOLD,2016-08-16,14.95,14.95,14.32,14.51,20700
BOLD,2016-08-17,14.5,14.79,14.34,14.5,14200
BOLD,2016-08-18,14.38,14.88,14.17,14.59,21400
BOLD,2016-08-19,14.7,14.83,14.4,14.4,11400
BOLD,2016-08-22,14.4,14.95,14.4,14.93,27500
BOLD,2016-08-23,14.85,15.09,14.6,14.8,25800
BOLD,2016-08-24,15.09,15.2,14.9,15.03,40000
BOLD,2016-08-25,15.05,15.39,15.03,15.24,21600
BOLD,2016-08-26,15.24,15.47,14.61,15.1,144700
BOLD,2016-08-29,15.22,15.48,15.21,15.34,16000
BOLD,2016-08-30,15.34,15.5,15.11,15.16,23200
BOLD,2016-08-31,15.5,17.23,15.18,15.64,169500
BOLD,2016-09-01,15.46,16.25,14.5,14.99,55200
BOLD,2016-09-02,15.02,15.2,14.64,14.86,59200
BOLD,2016-09-06,14.74,14.74,14.5,14.65,16700
BOLD,2016-09-07,14.53,15.45,14.51,15.15,38600
BOLD,2016-09-08,15.16,15.94,14.6,14.84,35400
BOLD,2016-09-09,14.73,15.54,14.5,14.83,22700
BOLD,2016-09-12,14.64,15.05,14.5,14.66,16800
BOLD,2016-09-13,14.6,14.6,13.65,14.22,28300
BOLD,2016-09-14,14.14,14.25,13.55,14.11,42600
BOLD,2016-09-15,14.14,14.67,13.6,14.27,38800
BOLD,2016-09-16,14.5,15.11,13.86,14.28,305500
BOLD,2016-09-19,14.17,15.19,14.01,15.09,74800
BOLD,2016-09-20,15.02,15.78,14.31,15.76,72600
BOLD,2016-09-21,15.78,15.8,14.81,15.66,38800
BOLD,2016-09-22,15.48,16.71,15.35,15.9,74100
BOLD,2016-09-23,15.77,15.9,14.74,15.64,68200
BOLD,2016-09-26,15.81,16.4,14.76,16.31,54100
BOLD,2016-09-27,16.2,16.4,15.38,15.99,47600
BOLD,2016-09-28,15.6,18.98,15.51,17.54,173400
BOLD,2016-09-29,17.38,18.5,17.05,18.21,82200
BOLD,2016-09-30,18.06,18.64,17.53,17.81,484700
BOLD,2016-10-03,17.96,18.17,16.93,17.92,82900
BOLD,2016-10-04,17.77,17.9,16.51,16.87,66200
BOLD,2016-10-05,17.2,17.37,16.51,17.17,31300
BOLD,2016-10-06,17.03,19.26,16.72,18.11,265500
BOLD,2016-10-07,18.26,18.79,17.29,18.43,61200
BOLD,2016-10-10,18.58,18.79,17.94,18.34,33900
BOLD,2016-10-11,17.71,19.37,17.54,18.96,44000
BOLD,2016-10-12,19.32,20.42,18.84,19.25,40000
BOLD,2016-10-13,19.16,20.74,18.41,20.34,72900
BOLD,2016-10-14,20.25,20.26,18,18.21,176300
BOLD,2016-10-17,18.24,19.71,17.65,19.01,69200
BOLD,2016-10-18,19.1,20.25,18.71,19.22,60800
BOLD,2016-10-19,19.21,19.63,16.84,17.65,181700
BOLD,2016-10-20,17.8,18.38,16.77,17.42,47300
BOLD,2016-10-21,17.05,17.5,16.51,16.74,43300
BOLD,2016-10-24,16.9,17.46,16.74,17.25,18000
BOLD,2016-10-25,16.42,17.97,16.24,17.23,29600
BOLD,2016-10-26,17.36,17.97,16.39,16.58,36600
BOLD,2016-10-27,17.27,17.6,15.02,15.37,102200
BOLD,2016-10-28,15.25,15.68,14.41,15.29,23900
BOLD,2016-10-31,15.36,16.26,14.57,15.99,76900
BOLD,2016-11-01,15.88,15.88,15.07,15.19,35200
BOLD,2016-11-02,15.4,15.86,15.34,15.47,16300
BOLD,2016-11-03,15.28,15.38,13.97,14.54,48400
BOLD,2016-11-04,14.61,15.55,13.13,15.13,16700
BOLD,2016-11-07,15.44,15.62,14.87,15.04,19900
BOLD,2016-11-08,15.3,15.35,14.42,14.74,35200
BOLD,2016-11-09,14.75,16.23,14.75,15.99,13500
BOLD,2016-11-10,15.95,17.66,15.95,17.16,42100
BOLD,2016-11-11,17.26,18.67,17.19,18.67,56100
BOLD,2016-11-14,18.86,19.15,15.47,18.01,25600
BOLD,2016-11-15,18.14,18.69,18.12,18.15,14200
BOLD,2016-11-16,18.21,18.67,17.11,17.33,13200
BOLD,2016-11-17,17.47,18.36,17.47,17.88,33700
BOLD,2016-11-18,17.96,18.22,17.36,17.67,85400
BOLD,2016-11-21,17.52,18.2,17.5,17.62,23500
BOLD,2016-11-22,17.49,17.99,17.16,17.98,20700
BOLD,2016-11-23,17.82,18.29,17.64,17.98,41100
BOLD,2016-11-25,17.24,18,17.24,17.99,10800
BOLD,2016-11-28,18.1,18.73,17.25,17.3,43100
BOLD,2016-11-29,17.61,18.06,16.87,17.37,32600
BOLD,2016-11-30,17.6,18.28,16.03,16.43,39300
BOLD,2016-12-01,15.8,17.63,15.16,16.23,59900
BOLD,2016-12-02,16.2,17.25,15.76,16.64,65100
BOLD,2016-12-05,16.54,18.49,15.01,15.09,69900
BOLD,2016-12-06,15.15,15.75,14.75,15.41,39300
BOLD,2016-12-07,15.36,15.59,14.75,14.93,41800
BOLD,2016-12-08,15.05,16,15.02,15.79,33000
BOLD,2016-12-09,15.92,17.56,15.51,16.82,38400
BOLD,2016-12-12,17.32,18.5,17.32,18,137700
BOLD,2016-12-13,18,18.32,17.54,18.1,73200
BOLD,2016-12-14,17.94,18.5,17.5,18.03,58200
BOLD,2016-12-15,18.03,18.19,17.8,17.91,75900
BOLD,2016-12-16,18.08,18.08,17.5,17.82,707300
BOLD,2016-12-19,17.55,18.25,17.46,17.91,56500
BOLD,2016-12-20,17.66,18.26,17.5,18.03,82100
BOLD,2016-12-21,16.89,19.1,16.89,17.74,123800
BOLD,2016-12-22,17.96,18.3,17.41,17.98,92000
BOLD,2016-12-23,17.96,18.5,17.36,18.29,146100
BOLD,2016-12-27,18.35,18.5,17.71,17.95,113400
BOLD,2016-12-28,17.97,18.26,17.44,18.18,53300
BOLD,2016-12-29,18.15,18.23,17.9,18.09,51200
BOLD,2016-12-30,18.25,18.52,18.14,18.27,63900
BOLD,2017-01-03,18.61,18.61,17.31,17.85,36200
BOLD,2017-01-04,17.85,18.18,17.4,17.53,38800
BOLD,2017-01-05,17.24,18.16,16.94,18.08,87800
BOLD,2017-01-06,18,18,17.3,17.49,19000
BOLD,2017-01-09,17.87,17.96,17.12,17.78,18300
BOLD,2017-01-10,17.39,18.22,17.25,18.15,20500
BOLD,2017-01-11,18.17,18.2,17.24,17.84,59200
BOLD,2017-01-12,17.95,18.23,17.31,17.71,26800
BOLD,2017-01-13,17.61,18.06,17.42,17.89,33600
BOLD,2017-01-17,17.89,17.89,15.76,15.77,50300
BOLD,2017-01-18,15.8,16.21,15.44,15.54,46400
BOLD,2017-01-19,15.67,16.06,15.25,15.38,92100
BOLD,2017-01-20,15.27,15.74,15.27,15.34,14500
BOLD,2017-01-23,15.49,15.49,14.62,14.76,27300
BOLD,2017-01-24,14.71,15.3,14.52,15.1,15900
BOLD,2017-01-25,15.1,15.65,14.6,15.26,32700
BOLD,2017-01-26,15.38,15.7,15.26,15.46,23500
BOLD,2017-01-27,15.26,15.9,15.01,15.77,26700
BOLD,2017-01-30,15.71,16.07,15.54,15.84,19700
BOLD,2017-01-31,15.7,16.44,15.48,16.32,37500
BOLD,2017-02-01,16.42,16.61,16.19,16.57,36900
BOLD,2017-02-02,16.48,17.12,16.09,16.87,23100
BOLD,2017-02-03,16.98,16.98,16.15,16.17,22100
BOLD,2017-02-06,16.32,16.38,15.77,15.83,16000
BOLD,2017-02-07,15.67,15.94,15.3,15.55,10100
BOLD,2017-02-08,15.6,16.1,15.37,15.65,36300
BOLD,2017-02-09,15.73,16.67,15.73,16.38,24200
BOLD,2017-02-10,16.48,16.5,16.18,16.38,10200
BOLD,2017-02-13,16.24,17.87,16.16,17.35,22700
BOLD,2017-02-14,17.08,17.24,16.71,16.93,24800
BOLD,2017-02-15,16.76,17.13,16.36,16.72,34600
BOLD,2017-02-16,16.85,17.1,16.51,16.65,31000
BOLD,2017-02-17,16.88,16.99,16.06,16.75,38700
BOLD,2017-02-21,16.63,16.9,16.33,16.6,63600
BOLD,2017-02-22,16.47,16.75,15.32,15.4,35900
BOLD,2017-02-23,15.59,16.75,15.4,16.26,49600
BOLD,2017-02-24,15.77,16.07,15.53,15.8,26800
BOLD,2017-02-27,15.51,16.35,15.51,16.16,38100
BOLD,2017-02-28,15.75,16.02,15.35,15.51,24500
BOLD,2017-03-01,15.37,15.86,15.22,15.65,63400
BOLD,2017-03-02,15.67,15.83,15.16,15.25,63500
BOLD,2017-03-03,15.26,15.97,15.11,15.47,29300
BOLD,2017-03-06,15.48,16.01,15.2,15.43,25500
BOLD,2017-03-07,15.22,15.51,15.1,15.11,15000
BOLD,2017-03-08,15.26,15.48,15.01,15.09,13700
BOLD,2017-03-09,15.13,15.77,15.02,15.5,37800
BOLD,2017-03-10,15.53,15.68,15.01,15.52,91500
BOLD,2017-03-13,15.45,15.77,15.11,15.7,38600
BOLD,2017-03-14,15.62,15.73,15.06,15.33,41300
BOLD,2017-03-15,15.19,15.64,15.1,15.5,62000
BOLD,2017-03-16,15.57,15.75,15.32,15.52,59600
BOLD,2017-03-17,15.43,15.75,15.29,15.36,101500
BOLD,2017-03-20,15.41,15.45,14.91,15.1,61600
BOLD,2017-03-21,15.39,15.4,14.65,14.78,67900
BOLD,2017-03-22,14.71,15.63,14.71,15.5,58800
BOLD,2017-03-23,15.33,15.71,15.15,15.46,106700
BOLD,2017-03-24,15.5,17.6,15.37,16.81,37400
BOLD,2017-03-27,16.55,16.95,16.25,16.5,75000
BOLD,2017-03-28,16.48,16.62,16.12,16.59,16400
BOLD,2017-03-29,16.69,17.11,16.55,16.91,22800
BOLD,2017-03-30,16.97,17.57,16.72,17.33,26700
BOLD,2017-03-31,17.17,17.38,16.73,17.04,39700
BOLD,2017-04-03,17.3,17.85,16.59,16.83,94900
