ticker,date,open,high,low,close,volume
BPTH,2008-03-04,180,180,180,180,16
BPTH,2008-03-05,104,104,104,104,1
BPTH,2008-03-07,180,180,180,180,5
BPTH,2008-04-28,202,202,202,202,8
BPTH,2008-04-29,202,202,202,202,5
BPTH,2008-05-05,210,210,210,210,32
BPTH,2008-05-06,240,260,240,250,38
BPTH,2008-05-07,300,460,300,420,56
BPTH,2008-05-08,440,600,440,550,106
BPTH,2008-05-09,500,650,496,650,106
BPTH,2008-05-12,700,900,700,850,68
BPTH,2008-05-13,800,1150,800,1148,168
BPTH,2008-05-14,1150,1200,900,900,109
BPTH,2008-05-15,900,900,780,780,11
BPTH,2008-05-16,800,1000,780,1000,48
BPTH,2008-05-19,950,1000,950,1000,10
BPTH,2008-05-21,1000,1000,700,700,44
BPTH,2008-05-22,850,850,800,800,4
BPTH,2008-05-23,850,850,800,850,19
BPTH,2008-05-27,850,850,850,850,5
BPTH,2008-05-28,850,850,800,800,3
BPTH,2008-05-29,800,800,800,800,1
BPTH,2008-06-03,700,800,700,800,5
BPTH,2008-06-04,800,800,800,800,1
BPTH,2008-06-05,700,700,700,700,3
BPTH,2008-06-06,700,700,700,700,9
BPTH,2008-06-09,650,720,650,650,3
BPTH,2008-06-12,630,630,630,630,12
BPTH,2008-06-16,600,700,600,650,4
BPTH,2008-06-17,600,650,550,550,16
BPTH,2008-06-18,550,550,550,550,4
BPTH,2008-06-19,600,600,600,600,0
BPTH,2008-06-20,552,552,552,552,5
BPTH,2008-06-25,520,520,520,520,2
BPTH,2008-06-26,480.0001,480.0001,480.0001,480.0001,8
BPTH,2008-07-01,520,520,520,520,2
BPTH,2008-07-07,500,500,500,500,4
BPTH,2008-07-11,460,460,460,460,16
BPTH,2008-07-14,460,460,460,460,4
BPTH,2008-07-16,452,452,452,452,5
BPTH,2008-07-21,450,450,450,450,3
BPTH,2008-07-24,400,400,400,400,1
BPTH,2008-07-30,400,400,400,400,9
BPTH,2008-07-31,360,360,360,360,3
BPTH,2008-08-04,400,400,400,400,2
BPTH,2008-08-05,400,400,400,400,17
BPTH,2008-08-11,400,420,400,420,10
BPTH,2008-08-14,360,360,340,340,5
BPTH,2008-08-20,360,360,360,360,5
BPTH,2008-08-21,360,360,360,360,6
BPTH,2008-08-22,360,360,360,360,5
