ticker,date,open,high,low,close,volume
CDTX,2015-04-15,16.11,19.13,15.96,16,4512100
CDTX,2015-04-16,15.98,16.24,15.2,15.2,409200
CDTX,2015-04-17,15.05,15.64,14.5,15.14,204700
CDTX,2015-04-20,14.98,15.75,14.67,15.29,114500
CDTX,2015-04-21,15.5,15.57,14.85,15.05,115700
CDTX,2015-04-22,15.05,15.44,14.93,14.94,115300
CDTX,2015-04-23,14.5,15.26,14.15,15.15,155200
CDTX,2015-04-24,15.02,15.25,15.02,15.1,67400
CDTX,2015-04-27,15.27,15.28,14.85,14.9,165400
CDTX,2015-04-28,15.01,15.02,14.25,14.79,61500
CDTX,2015-04-29,14.8,14.98,14.22,14.28,103000
CDTX,2015-04-30,14.16,15.33,14.16,14.62,267200
CDTX,2015-05-01,14.44,14.48,13.74,13.92,183500
CDTX,2015-05-04,13.9,16.4,13.34,14.75,614400
CDTX,2015-05-05,14.92,15.4,14.03,14.38,129900
CDTX,2015-05-06,14.5,14.8,14,14.29,38000
CDTX,2015-05-07,14.84,14.84,13.64,14.36,299000
CDTX,2015-05-08,14.65,15.89,14.52,14.94,591200
CDTX,2015-05-11,15.28,15.56,14.6,15,153100
CDTX,2015-05-12,14.9,15.42,14.9,15.04,34400
CDTX,2015-05-13,15.04,15.99,15.04,15.75,83100
CDTX,2015-05-14,15.57,16.25,15.57,16.05,138600
CDTX,2015-05-15,16.22,16.67,15.56,16.32,73100
CDTX,2015-05-18,16.3,16.99,16.18,16.69,80500
CDTX,2015-05-19,16.69,17.05,16.25,16.25,33500
CDTX,2015-05-20,16.07,16.55,15.7,16.35,45300
CDTX,2015-05-21,15.92,17.21,15.75,16.52,205900
CDTX,2015-05-22,16.69,16.9,14.68,15.59,208300
CDTX,2015-05-26,15.62,16.57,15.62,16.32,46400
CDTX,2015-05-27,16.52,16.8,15.74,15.75,49300
CDTX,2015-05-28,15.77,15.98,15.22,15.67,44300
CDTX,2015-05-29,15.48,15.91,15.03,15.69,69400
CDTX,2015-06-01,15.86,16.4,15.52,16.23,42400
CDTX,2015-06-02,16.36,16.85,16.21,16.67,54600
CDTX,2015-06-03,16.78,17,16.55,16.59,40800
CDTX,2015-06-04,16.5,16.5,15.86,16.26,30000
CDTX,2015-06-05,16.25,16.71,16,16.5,19200
CDTX,2015-06-08,16.45,16.57,16.05,16.24,150800
CDTX,2015-06-09,16.57,16.59,15.9,15.91,67600
CDTX,2015-06-10,16.15,16.38,15.28,15.74,85500
CDTX,2015-06-11,16.01,16.17,15.58,15.97,42000
CDTX,2015-06-12,16.03,16.27,15.66,15.84,64800
CDTX,2015-06-15,15.62,16.02,15.39,15.62,91400
CDTX,2015-06-16,15.74,16.07,15.64,15.66,41100
CDTX,2015-06-17,15.88,16,15.39,15.51,92800
CDTX,2015-06-18,15.6,16,15.45,15.95,157000
CDTX,2015-06-19,16.01,16.15,15.01,15.2,214600
CDTX,2015-06-22,15.38,15.39,15.05,15.18,25900
CDTX,2015-06-23,15.18,15.18,14.44,15.07,77400
CDTX,2015-06-24,15.03,15.03,14.3,14.39,56100
CDTX,2015-06-25,14.45,14.66,13.8,13.96,70600
CDTX,2015-06-26,13.87,14.04,13.48,13.85,654100
CDTX,2015-06-29,13.73,14.15,13.51,14.01,25600
CDTX,2015-06-30,14.24,14.24,13.97,14.02,10000
CDTX,2015-07-01,14.08,14.97,13.92,14.66,38800
CDTX,2015-07-02,14.55,14.95,14.44,14.65,15300
CDTX,2015-07-06,14.53,15.38,14.43,15.19,30800
CDTX,2015-07-07,15.17,15.17,14.83,14.95,18800
CDTX,2015-07-08,14.86,14.88,14.25,14.43,117400
CDTX,2015-07-09,14.46,14.46,14,14,70100
CDTX,2015-07-10,14.14,14.54,14,14.43,19500
CDTX,2015-07-13,14.58,14.58,14.3,14.44,8500
CDTX,2015-07-14,14.36,14.74,14.36,14.64,14800
CDTX,2015-07-15,14.57,15.46,14.57,14.69,34100
CDTX,2015-07-16,14.77,15.21,14.72,14.88,21000
