ticker,date,open,high,low,close,volume
CORT,2004-04-14,12.25,12.65,12,12.23,358200
CORT,2004-04-15,12.25,12.26,12,12,214500
CORT,2004-04-16,12.01,12.05,12,12,111700
CORT,2004-04-19,12.05,12.05,11.25,11.4,292100
CORT,2004-04-20,12,12,11,11.02,31300
CORT,2004-04-21,11.5,11.5,10.75,10.8,176900
CORT,2004-04-22,11,11,10.5,10.9,33400
CORT,2004-04-23,10.91,11.01,10.9,10.9,54300
CORT,2004-04-26,11.25,11.25,10.7,10.85,45900
CORT,2004-04-27,11.5,11.6,10.85,10.85,27700
CORT,2004-04-28,11.5,11.6,10.65,10.85,41100
CORT,2004-04-29,11.45,11.45,10.95,11.3,29300
CORT,2004-04-30,11.01,11.76,11.01,11.74,36800
CORT,2004-05-03,11.74,11.74,11,11,56900
CORT,2004-05-04,11.49,11.76,11.1,11.69,66800
CORT,2004-05-05,12,12,11.25,11.48,47100
CORT,2004-05-06,11.75,11.75,11.26,11.41,5400
CORT,2004-05-07,11.2,11.4,11.03,11.4,26200
CORT,2004-05-10,11,11.17,10.65,10.68,66200
CORT,2004-05-11,10.65,10.95,10.5,10.95,57500
CORT,2004-05-12,10.6,10.99,10.25,10.42,45400
CORT,2004-05-13,10.5,10.51,10.3,10.32,13200
CORT,2004-05-14,10.73,10.79,10.18,10.25,90400
CORT,2004-05-18,9.99,10.01,9.2,9.85,231000
CORT,2004-05-19,9.94,10.66,9.45,10.14,86300
CORT,2004-05-20,9.95,10.4,9.9,10.02,53100
CORT,2004-05-21,10.02,10.2,9.87,10.03,49600
CORT,2004-05-24,10.08,10.09,9.98,10,16600
CORT,2004-05-25,10.57,10.57,9.92,10,197200
CORT,2004-05-26,10.09,10.09,9.92,10,21700
CORT,2004-05-27,9.95,9.95,9.51,9.94,81400
CORT,2004-05-28,9.79,11.5,9.72,11.2,194500
CORT,2004-06-01,11.15,11.15,10.05,10.74,13100
CORT,2004-06-02,10.64,10.74,10.24,10.6,6000
CORT,2004-06-03,10.45,10.65,10.45,10.65,3100
CORT,2004-06-04,10.9,11,10.6,10.89,8000
CORT,2004-06-07,10.8,10.8,10.74,10.75,8400
CORT,2004-06-08,10.75,10.75,10.64,10.64,300
CORT,2004-06-09,10.75,10.75,10.26,10.26,4600
CORT,2004-06-10,10.62,10.75,10.44,10.5,17900
CORT,2004-06-14,10.25,10.5,9.71,9.97,11100
CORT,2004-06-15,10.13,10.19,9.75,10.06,16200
CORT,2004-06-16,9.75,10.16,9.64,9.79,30400
CORT,2004-06-17,9.92,10.02,9.67,9.69,1500
CORT,2004-06-21,10,10,9.53,9.65,19900
CORT,2004-06-22,9.55,10.07,9.54,9.9,25700
CORT,2004-06-23,9.83,10,9.8,10,21900
CORT,2004-06-24,9.8,9.8,9.3,9.53,9500
CORT,2004-06-25,9.6,9.77,8.64,8.64,221400
CORT,2004-06-28,8.64,8.64,7.18,7.26,51400
CORT,2004-06-29,7.4,8,7.15,7.75,129500
CORT,2004-06-30,7.75,7.75,7.15,7.72,40300
CORT,2004-07-01,7.25,7.73,7.17,7.31,7000
CORT,2004-07-02,7.5,8.39,7.24,7.24,16800
CORT,2004-07-06,7.24,7.24,6.82,7,37200
CORT,2004-07-07,6.8,6.98,6.69,6.9,20500
CORT,2004-07-08,6.65,6.7,5.92,6,15900
CORT,2004-07-09,6,6,5.29,5.5,248500
CORT,2004-07-12,5.75,5.78,5,5.2,266300
CORT,2004-07-13,5.67,6.3,5.25,5.77,125600
CORT,2004-07-14,5.53,6.15,5.5,5.88,27400
CORT,2004-07-15,6,6.1,5.75,5.94,80700
CORT,2004-07-16,6,6,5.13,5.95,13800
CORT,2004-07-19,5.77,5.78,5.12,5.5,23200
CORT,2004-07-20,5.41,5.65,4.99,5,11300
CORT,2004-07-21,5.3,5.73,5.1,5.5,366700
CORT,2004-07-22,5.5,5.5,5.3,5.3,5000
CORT,2004-07-23,5.5,5.5,4.9,5.25,31200
CORT,2004-07-26,5.49,5.5,5.1,5.25,6000
