ticker,date,open,high,low,close,volume
CPIX,2009-08-11,17,17.75,16.35,16.83,1743200
CPIX,2009-08-12,17.22,17.22,16.75,17,318800
CPIX,2009-08-13,17.47,17.47,16.9,17.05,77900
CPIX,2009-08-14,17,17.05,16.9,17.01,58100
CPIX,2009-08-17,17,17.04,16.64,16.8,118900
CPIX,2009-08-18,17.13,17.13,16.6,16.75,66100
CPIX,2009-08-19,16.68,16.83,16.3,16.75,137600
CPIX,2009-08-20,16.95,17.04,16.37,16.62,106400
CPIX,2009-08-21,16.88,17.02,16.63,16.75,166700
CPIX,2009-08-24,16.7,16.87,16.61,16.85,46200
CPIX,2009-08-25,16.85,16.95,16.71,16.86,21200
CPIX,2009-08-26,16.93,17,16.75,16.78,25100
CPIX,2009-08-27,16.95,16.95,16.65,16.75,26000
CPIX,2009-08-28,16.8,16.9,16.75,16.75,22400
CPIX,2009-08-31,16.75,16.81,16.37,16.74,9600
CPIX,2009-09-01,16.75,16.86,15,16.1,71000
CPIX,2009-09-02,16.03,16.2,15.1,15.97,61500
CPIX,2009-09-03,15.17,16.64,15.16,16.64,48200
CPIX,2009-09-04,16.76,16.76,15.64,16.75,47500
CPIX,2009-09-08,16.78,16.78,16.15,16.49,14700
CPIX,2009-09-09,16.5,17,16.28,16.95,80000
CPIX,2009-09-10,16.83,16.93,15.85,16.71,76600
CPIX,2009-09-11,16.7,16.7,15.8,15.91,29400
CPIX,2009-09-14,15.74,16.17,14.66,15.32,99200
CPIX,2009-09-15,15.64,15.64,14.95,15.08,61400
CPIX,2009-09-16,14.9,16.75,14.88,16.5,70700
CPIX,2009-09-17,16.6,16.6,15.62,16.58,31800
CPIX,2009-09-18,16.01,16.98,16.01,16.98,44000
CPIX,2009-09-21,17.05,17.05,16.77,16.99,68400
CPIX,2009-09-22,17.24,17.24,15.98,16.72,45400
CPIX,2009-09-23,16.91,16.93,16.3,16.34,25600
CPIX,2009-09-24,16.31,16.64,15.7,16.35,36100
CPIX,2009-09-25,16.31,16.31,15.25,15.25,41600
CPIX,2009-09-28,15.74,15.98,15.26,15.56,69700
CPIX,2009-09-29,15.84,17.02,15.3,16.49,133300
CPIX,2009-09-30,16.93,16.93,15.65,16.19,1026000
CPIX,2009-10-01,16,16.77,15.52,16.09,92100
CPIX,2009-10-02,15.88,16.36,15.4,15.49,93700
CPIX,2009-10-05,15.75,15.88,15.3,15.32,30700
CPIX,2009-10-06,15.47,15.63,15.33,15.53,24700
CPIX,2009-10-07,15.45,15.7,15.3,15.5,16600
CPIX,2009-10-08,15.57,15.74,15.11,15.41,38100
CPIX,2009-10-09,15.42,15.75,15.22,15.36,14700
CPIX,2009-10-12,15.36,15.36,14.57,14.72,57600
CPIX,2009-10-13,14.75,15.05,14,14.88,76700
CPIX,2009-10-14,15.02,15.02,14.27,14.33,32400
CPIX,2009-10-15,14.25,14.42,13.69,13.8,73500
CPIX,2009-10-16,13.76,13.97,12.92,13.4,123900
CPIX,2009-10-19,13.53,14.25,13,13.76,170400
CPIX,2009-10-20,13.35,13.78,13.23,13.75,60000
CPIX,2009-10-21,13.62,13.73,13.45,13.6,100400
CPIX,2009-10-22,13.55,13.59,13.34,13.43,46700
CPIX,2009-10-23,13.44,13.44,13.03,13.03,26400
CPIX,2009-10-26,13,13.65,13,13.55,64500
CPIX,2009-10-27,13.76,13.76,13.15,13.18,27600
CPIX,2009-10-28,13.11,13.16,11.78,11.95,56700
CPIX,2009-10-29,12.08,13.13,11.79,12.04,62000
CPIX,2009-10-30,11.91,12.26,11.9,11.9,38000
CPIX,2009-11-02,12.5,12.5,11.9,12.22,23900
CPIX,2009-11-03,12.18,12.49,11.94,12.48,47200
CPIX,2009-11-04,12.49,12.49,12,12.06,24200
CPIX,2009-11-05,12.2,12.95,12,12.58,24400
CPIX,2009-11-06,12.63,12.63,12.2,12.42,17600
CPIX,2009-11-09,12.52,12.67,12.45,12.51,21200
CPIX,2009-11-10,13.96,13.96,13.24,13.42,83700
CPIX,2009-11-11,13.39,13.5,13.01,13.45,58800
CPIX,2009-11-12,13.43,13.59,13.31,13.38,61900
CPIX,2009-11-13,13.44,13.6,13.36,13.53,95100
CPIX,2009-11-16,13.55,14.29,13.31,14.26,101400
CPIX,2009-11-17,14.09,14.25,14.09,14.25,66400
CPIX,2009-11-18,14.25,14.55,14.14,14.53,31000
CPIX,2009-11-19,14.48,14.81,14.46,14.62,41600
CPIX,2009-11-20,14.62,15.44,14.32,15.44,48400
CPIX,2009-11-23,15.49,15.49,14.5,15.15,34200
CPIX,2009-11-24,15.21,16.19,15.02,15.7,93100
CPIX,2009-11-25,15.82,15.93,15.65,15.65,32500
CPIX,2009-11-27,15.25,15.64,14.82,14.98,18400
CPIX,2009-11-30,14.94,15.1,14.2,14.35,19700
CPIX,2009-12-01,14.52,14.52,13.86,13.94,134900
CPIX,2009-12-02,13.91,14.04,13.77,13.89,66800
CPIX,2009-12-03,13.9,14.2,13.21,13.22,44800
CPIX,2009-12-04,13.54,13.72,13.36,13.72,142800
CPIX,2009-12-07,13.72,13.72,13.14,13.41,16500
CPIX,2009-12-08,13.4,13.43,13.11,13.25,7000
CPIX,2009-12-09,13.69,13.73,13.32,13.7,13200
CPIX,2009-12-10,13.69,14.32,13.37,13.98,49700
CPIX,2009-12-11,14,14.14,13.55,13.77,25700
CPIX,2009-12-14,13.9,14,13.75,13.9,12000
CPIX,2009-12-15,13.82,14.08,13.66,13.95,64800
CPIX,2009-12-16,14.07,14.1,13.89,14.06,12000
CPIX,2009-12-17,14.04,14.15,13.72,13.8,16700
CPIX,2009-12-18,13.92,13.96,13.53,13.9,84600
CPIX,2009-12-21,13.9,14.71,13.9,14.3,45500
CPIX,2009-12-22,14.37,14.37,13.9,13.9,17600
CPIX,2009-12-23,13.98,14.78,13.98,14.24,15700
CPIX,2009-12-24,14.25,14.5,14.14,14.14,2600
CPIX,2009-12-28,14.15,14.47,13.81,14.17,13600
CPIX,2009-12-29,14.2,14.54,14.14,14.19,24300
CPIX,2009-12-30,14.17,14.7,13.8,14.55,19500
CPIX,2009-12-31,14.46,14.54,13.56,13.59,18700
CPIX,2010-01-04,13.85,14.42,13.85,13.9,32300
CPIX,2010-01-05,13.91,14.08,13.49,14.01,51500
CPIX,2010-01-06,13.95,14.17,13.5,14.03,47600
CPIX,2010-01-07,14.06,14.3,13.76,14.3,25400
CPIX,2010-01-08,14.26,14.44,13.81,14.32,21600
CPIX,2010-01-11,14.36,14.4,13.99,13.99,19400
CPIX,2010-01-12,13.8,14.22,13.8,14.07,26100
CPIX,2010-01-13,14.11,14.2,14,14.05,19400
CPIX,2010-01-14,13.99,14.49,13.99,14.28,23100
CPIX,2010-01-15,14.38,14.52,13.02,13.05,71300
CPIX,2010-01-19,13.19,13.81,13.1,13.76,17900
CPIX,2010-01-20,13.61,13.66,13.22,13.45,12700
CPIX,2010-01-21,13.98,13.98,13.05,13.05,17500
CPIX,2010-01-22,13.07,13.53,13.07,13.26,15800
CPIX,2010-01-25,13.75,13.84,13.17,13.62,21500
CPIX,2010-01-26,13.53,13.66,12.86,12.96,18900
CPIX,2010-01-27,12.98,13.43,12.98,13.24,8700
CPIX,2010-01-28,13.33,13.35,12.24,12.33,73300
CPIX,2010-01-29,12.86,12.97,11.81,11.88,84800
CPIX,2010-02-01,11.96,12.59,11.8,12.29,39100
CPIX,2010-02-02,12.48,12.68,11.88,12.28,29800
CPIX,2010-02-03,12.22,12.65,11.9,12.25,33500
CPIX,2010-02-04,12.23,12.61,11.85,11.9,37700
CPIX,2010-02-05,11.97,12.05,11.67,11.91,41700
CPIX,2010-02-08,11.89,11.89,11.34,11.41,122600
CPIX,2010-02-09,11.58,11.65,11.3,11.52,33700
CPIX,2010-02-10,11.44,11.61,11.19,11.54,40200
CPIX,2010-02-11,11.47,11.97,11.26,11.64,16800
CPIX,2010-02-12,11.49,12.48,11.48,11.68,30900
CPIX,2010-02-16,11.76,12.05,11.5,11.6,32500
CPIX,2010-02-17,11.69,11.89,11.65,11.75,33400
CPIX,2010-02-18,11.7,11.86,11.65,11.8,60600
CPIX,2010-02-19,11.81,11.86,11.64,11.78,21700
CPIX,2010-02-22,11.77,11.81,11.7,11.73,42900
CPIX,2010-02-23,11.65,11.81,11.31,11.72,43800
CPIX,2010-02-24,11.9,11.95,11.45,11.52,33900
CPIX,2010-02-25,11.44,11.54,11.05,11.29,52800
CPIX,2010-02-26,11.34,11.34,11.09,11.1,22400
CPIX,2010-03-01,11.21,11.31,11.08,11.27,18200
CPIX,2010-03-02,11.24,11.6,11.24,11.6,36400
CPIX,2010-03-03,11.71,11.75,11.47,11.59,16600
CPIX,2010-03-04,11.57,11.69,11.25,11.47,11600
CPIX,2010-03-05,11.44,11.74,11.27,11.6,63800
CPIX,2010-03-08,11.67,11.75,11.6,11.65,22100
CPIX,2010-03-09,11.63,12.51,11.61,12,119500
CPIX,2010-03-10,11.94,11.99,11.22,11.29,77800
CPIX,2010-03-11,11.25,12,11.25,11.79,102200
CPIX,2010-03-12,11.85,11.86,11.29,11.5,150400
CPIX,2010-03-15,11.52,11.82,11.05,11.46,67800
CPIX,2010-03-16,11.47,11.67,11.18,11.35,66500
CPIX,2010-03-17,11.36,11.58,11.2,11.35,52800
CPIX,2010-03-18,11.39,11.5,11.3,11.39,16600
CPIX,2010-03-19,11.49,11.7,11.3,11.44,124200
CPIX,2010-03-22,11.4,11.5,11.2,11.5,73900
CPIX,2010-03-23,11.51,11.71,11.4,11.57,53600
CPIX,2010-03-24,11.55,11.59,11.36,11.4,56400
CPIX,2010-03-25,11.5,11.54,11.11,11.4,49000
CPIX,2010-03-26,11.41,11.41,10.76,11.29,132400
CPIX,2010-03-29,11.3,11.39,11.08,11.24,68500
CPIX,2010-03-30,11.34,11.4,10.81,10.88,122800
CPIX,2010-03-31,10.87,10.87,10.26,10.53,110800
CPIX,2010-04-01,10.6,10.85,10.37,10.55,46500
CPIX,2010-04-05,10.53,10.66,10.16,10.23,81500
CPIX,2010-04-06,10.23,10.82,10.23,10.5,73100
CPIX,2010-04-07,10.63,11.09,10.59,10.61,62400
CPIX,2010-04-08,10.68,10.72,10.52,10.66,31800
CPIX,2010-04-09,10.71,10.96,10.64,10.84,39500
CPIX,2010-04-12,10.9,11.05,10.9,10.99,50900
CPIX,2010-04-13,11,11.06,10.57,10.6,42200
CPIX,2010-04-14,10.61,10.82,10.17,10.8,84800
CPIX,2010-04-15,10.82,11,10.61,10.97,25900
CPIX,2010-04-16,10.97,10.97,10.35,10.9,46400
CPIX,2010-04-19,10.72,10.9,10.7,10.84,55300
CPIX,2010-04-20,10.86,10.98,10.55,10.94,24700
CPIX,2010-04-21,11,11.11,10.56,10.95,49600
CPIX,2010-04-22,10.8,10.8,10.27,10.71,92100
CPIX,2010-04-23,10.44,10.63,10.44,10.57,70000
CPIX,2010-04-26,10.64,10.89,10.46,10.59,33900
CPIX,2010-04-27,10.56,10.71,10.35,10.65,36600
CPIX,2010-04-28,10.72,10.94,10.59,10.73,38700
CPIX,2010-04-29,10.75,11,10.52,10.56,98000
CPIX,2010-04-30,10.59,10.74,10.39,10.65,35000
CPIX,2010-05-03,10.7,10.75,10.6,10.75,26700
CPIX,2010-05-04,10.66,10.75,10.56,10.74,30800
CPIX,2010-05-05,10.63,10.63,10.1,10.18,58400
CPIX,2010-05-06,10.09,10.49,10,10.07,88400
CPIX,2010-05-07,10.04,10.31,9.88,10,20800
CPIX,2010-05-10,10.4,10.4,10.06,10.35,73400
CPIX,2010-05-11,10.31,10.75,10.02,10.63,66400
CPIX,2010-05-12,10.66,10.75,10.32,10.64,50800
CPIX,2010-05-13,10.58,10.75,10.1,10.15,61100
CPIX,2010-05-14,10.19,10.19,8.5,8.59,382800
CPIX,2010-05-17,8.62,8.72,7.81,7.89,371200
CPIX,2010-05-18,7.18,7.33,7.08,7.12,475400
CPIX,2010-05-19,7.05,7.06,6.6,6.82,560000
CPIX,2010-05-20,6.86,6.9,6.21,6.5,410800
CPIX,2010-05-21,6.37,6.91,6.16,6.48,138000
CPIX,2010-05-24,6.51,6.84,6.43,6.73,91100
CPIX,2010-05-25,6.8,7.07,6.52,7.03,111200
CPIX,2010-05-26,7.17,7.17,6.36,6.49,168500
CPIX,2010-05-27,6.77,7,6.57,6.93,80800
CPIX,2010-05-28,6.88,7.05,6.69,6.96,59800
CPIX,2010-06-01,6.89,6.98,6.67,6.69,49200
CPIX,2010-06-02,6.7,7.17,6.63,7.17,75500
