ticker,date,open,high,low,close,volume
DAWN,2021-05-27,25,27.0025,22.75,25.89,1961900
DAWN,2021-05-28,24.12,27.04,22.4301,23.69,412900
DAWN,2021-06-01,23.7,24.5,19.07,21.3,533900
DAWN,2021-06-02,21.67,23.17,21.4501,22.17,386500
DAWN,2021-06-03,22.17,24.39,17.1941,19,1015300
DAWN,2021-06-04,18.43,19.4999,18.0768,19.01,280800
DAWN,2021-06-07,18.82,20.02,18.69,19.78,178200
DAWN,2021-06-08,19.91,20.6,19.5,20.44,81800
DAWN,2021-06-09,20.32,20.99,19.7201,20.63,88100
DAWN,2021-06-10,20.65,21.11,20,20.52,141500
DAWN,2021-06-11,20.4,21.2057,20.39,20.84,22700
DAWN,2021-06-14,20.05,21.41,20.05,20.5,17300
DAWN,2021-06-15,20.92,21.03,19.8,20.02,7500
DAWN,2021-06-16,19.76,20.69,18.96,19.23,73700
DAWN,2021-06-17,19.18,19.925,19.09,19.46,36200
DAWN,2021-06-18,20.49,21.78,19.07,21,113500
DAWN,2021-06-21,21.9,22.5958,21.11,21.25,74100
DAWN,2021-06-22,21.6,21.73,19.88,20.35,62800
DAWN,2021-06-23,20.81,22.6282,19.99,20.23,34300
DAWN,2021-06-24,20.52,20.675,19.7201,20.14,25700
DAWN,2021-06-25,20.07,20.8299,19.89,20.05,34000
DAWN,2021-06-28,20.17,21.3004,19.85,20.17,17900
DAWN,2021-06-29,21.54,22.7222,21.35,22.21,243000
DAWN,2021-06-30,22.36,23.5,22.25,22.77,129700
DAWN,2021-07-01,22.81,24.47,22.5,23.17,72800
DAWN,2021-07-02,23.17,24.29,22.7244,22.85,88000
DAWN,2021-07-06,22.8,23.92,22.14,22.14,39800
DAWN,2021-07-07,22.4,23.1609,20.78,21.1,103000
DAWN,2021-07-08,20.99,20.99,20,20.14,134100
DAWN,2021-07-09,20.14,21.75,20.0878,21.75,41500
DAWN,2021-07-12,21.75,22.08,20,20.93,84700
DAWN,2021-07-13,21.2,21.66,20.48,20.845,81300
DAWN,2021-07-14,21.2,21.4726,20.18,20.48,48200
DAWN,2021-07-15,20.76,20.76,19.76,20,97700
DAWN,2021-07-16,20.29,20.86,20,20.26,46500
DAWN,2021-07-19,20.01,21.52,20,21.31,64700
DAWN,2021-07-20,21.25,21.73,21.1,21.28,25000
DAWN,2021-07-21,21.625,21.625,21.25,21.57,18600
DAWN,2021-07-22,21.1706,22.86,21.1706,22.46,42900
DAWN,2021-07-23,22.08,22.7,21.87,22.63,49200
DAWN,2021-07-26,22.34,23.21,21.8701,22.88,52900
DAWN,2021-07-27,23.1,23.64,22.2,22.58,85000
DAWN,2021-07-28,23.08,23.13,21.7,21.7,43600
DAWN,2021-07-29,22.15,23.5,21.98,23.28,43100
DAWN,2021-07-30,23.04,24.18,23.0101,23.72,68300
DAWN,2021-08-02,23.94,24.56,22.85,23.91,78100
DAWN,2021-08-03,24.32,25.32,23.71,24.85,104500
DAWN,2021-08-04,24.9,25.3499,22.4105,24.5,65100
DAWN,2021-08-05,24.5,26.06,24.5,25.51,35900
DAWN,2021-08-06,26,27.2,26,26.88,71700
DAWN,2021-08-09,26.95,27.33,25.6388,26.55,75400
DAWN,2021-08-10,26.34,26.95,25.61,25.67,85600
DAWN,2021-08-11,25.61,25.73,21.03,22.15,133200
DAWN,2021-08-12,22.4,23.37,22.16,23.06,63600
DAWN,2021-08-13,23,25,22.31,24.54,100200
DAWN,2021-08-16,24.71,24.98,23.61,24.65,76100
DAWN,2021-08-17,24.5,25,23.86,24.75,145700
DAWN,2021-08-18,24.75,24.99,23.625,23.9,223600
DAWN,2021-08-19,23.51,25.23,23.51,24.67,106400
DAWN,2021-08-20,24.43,25.2627,24.38,25.22,56400
DAWN,2021-08-23,25.25,27.89,25.25,27,263100
DAWN,2021-08-24,26.81,27.215,26.1401,27,89400
DAWN,2021-08-25,27.01,27.53,26.51,27.29,77000
DAWN,2021-08-26,27,28.4199,27,27.51,159200
DAWN,2021-08-27,27.51,28.3486,27.07,27.3,78900
DAWN,2021-08-30,27.32,28.05,26.45,27.42,92500
DAWN,2021-08-31,27.7,28.39,26.52,27.83,91400
DAWN,2021-09-01,28.1,28.36,27.25,27.92,88300
DAWN,2021-09-02,28.06,28.5,26,27.02,112600
DAWN,2021-09-03,27,27.93,26.715,27.54,191800
DAWN,2021-09-07,27.83,28.699,24.51,25.11,119200
DAWN,2021-09-08,25.4,26.47,24.5001,26.21,66800
DAWN,2021-09-09,25.82,26.65,25.06,25.16,80400
DAWN,2021-09-10,25.16,26.3,24.88,25.77,126500
DAWN,2021-09-13,25.88,25.98,23.2901,23.47,100800
DAWN,2021-09-14,23.5,25.12,23.5,24.77,107800
DAWN,2021-09-15,24.6,26.21,24.6,24.93,109100
DAWN,2021-09-16,24.8,25.4,24.47,25.23,168000
DAWN,2021-09-17,25.11,25.99,23,23.2,1526500
DAWN,2021-09-20,22.96,23.69,19.845,20.55,182603
DAWN,2021-09-21,20.75,22.19,20.75,22.01,82500
DAWN,2021-09-22,22.25,22.43,21.84,22,88900
DAWN,2021-09-23,22.32,24.99,22.155,24.34,61200
DAWN,2021-09-24,24.33,24.33,23.1,23.61,51300
DAWN,2021-09-27,23.37,24.78,23.37,24.45,92000
DAWN,2021-09-28,23.88,24.96,23.27,23.65,103100
DAWN,2021-09-29,23.81,24.08,23,23.85,65000
DAWN,2021-09-30,24.02,24.21,23.0001,23.73,72600
DAWN,2021-10-01,23.87,24.65,23.145,24.59,82300
DAWN,2021-10-04,24,24.81,22.675,22.85,83900
DAWN,2021-10-05,22.85,23.87,20.4,20.86,63700
DAWN,2021-10-06,20.58,21.75,20.21,20.71,51800
DAWN,2021-10-07,20.69,21.98,20.365,21.65,38000
DAWN,2021-10-08,21.77,22.69,21.77,22.03,33400
DAWN,2021-10-11,22.12,22.12,20.68,21.1,49100
DAWN,2021-10-12,21.21,21.8188,20.87,21.46,39600
DAWN,2021-10-13,21.61,23,21.545,22.97,33100
DAWN,2021-10-14,23.08,23.155,22.09,22.4,23700
DAWN,2021-10-15,22.81,23.4369,21.59,22.15,41000
DAWN,2021-10-18,21.0248,22.91,21.0248,22.29,32600
DAWN,2021-10-19,22.68,23.37,21.68,23.24,57500
DAWN,2021-10-20,23.33,23.84,22.3998,23.59,34600
DAWN,2021-10-21,23.32,24.03,23.23,23.8,34400
DAWN,2021-10-22,24.01,24.655,22.88,23.71,28000
DAWN,2021-10-25,23.74,24.46,23.135,24.33,38100
DAWN,2021-10-26,24.58,25.49,24.35,24.59,113500
DAWN,2021-10-27,24.5,24.5,22.02,22.24,54400
DAWN,2021-10-28,22.23,24.02,22.23,23.8,36800
DAWN,2021-10-29,23.44,24.84,22.32,24.44,51100
DAWN,2021-11-01,24.94,24.94,22.41,22.92,74000
DAWN,2021-11-02,23.2,24.98,22.87,24.82,52300
DAWN,2021-11-03,24.85,26,24.359,25.72,38800
DAWN,2021-11-04,25.59,26.115,25.23,25.96,25200
DAWN,2021-11-05,26.07,26.5,25.24,26.33,105700
DAWN,2021-11-08,26.3,26.62,23.89,24.83,70600
DAWN,2021-11-09,24.33,24.72,22.99,23.9,49900
DAWN,2021-11-10,24.36,24.66,22.68,23.14,41700
DAWN,2021-11-11,23.22,23.83,22.93,23.15,60400
DAWN,2021-11-12,22.67,23.095,22.19,22.19,32800
DAWN,2021-11-15,22.59,22.67,21.01,21.26,77900
DAWN,2021-11-16,21.24,22.56,20.87,21.38,64300
DAWN,2021-11-17,21.45,21.95,20.4,20.51,22700
DAWN,2021-11-18,20.51,20.99,19.98,20.11,57200
DAWN,2021-11-19,19.92,20.6,19.1441,20.11,27700
DAWN,2021-11-22,20.31,21,18.82,19.03,30500
DAWN,2021-11-23,19,20.73,18.5,19,72500
DAWN,2021-11-24,18.7,18.8,17.93,18.16,78800
DAWN,2021-11-26,17.59,18.82,17.59,18.3,110900
DAWN,2021-11-29,18.81,20.02,17.78,18.05,298600
DAWN,2021-11-30,17.81,19.01,16.4,18.37,699700
DAWN,2021-12-01,19.635,19.635,16.13,16.43,116600
DAWN,2021-12-02,16.48,19.54,16.25,19.33,176300
DAWN,2021-12-03,19.42,19.6438,17.57,18,119500
DAWN,2021-12-06,18.43,18.665,17.23,18,313900
DAWN,2021-12-07,18.36,19.935,17.955,18,457600
DAWN,2021-12-08,18.25,18.73,17.32,17.98,333200
DAWN,2021-12-09,17.45,19.9,16.45,16.75,311800
DAWN,2021-12-10,16.81,18.41,16.1637,17.39,301800
DAWN,2021-12-13,17.24,18.81,16.8219,17.45,184500
DAWN,2021-12-14,17.24,17.88,16.67,17.45,392200
DAWN,2021-12-15,17.67,18.65,16.615,18.25,826200
DAWN,2021-12-16,18.05,18.845,16.84,17.53,837100
DAWN,2021-12-17,17.23,18.27,16.47,17.85,1156500
DAWN,2021-12-20,17.51,18.64,16.8675,17.96,610600
DAWN,2021-12-21,18,18,16.81,17.29,647600
DAWN,2021-12-22,16.74,16.74,15.54,15.65,218200
DAWN,2021-12-23,15.65,15.89,15.16,15.83,69900
DAWN,2021-12-27,15.9,16.06,15.56,15.97,168400
DAWN,2021-12-28,16,16.31,15.91,16.27,207000
DAWN,2021-12-29,16.27,16.84,15.76,16.35,136900
DAWN,2021-12-30,16.38,17.15,16.32,16.63,203300
DAWN,2021-12-31,16.72,17.83,16.56,16.85,102700
DAWN,2022-01-03,16.75,17.58,16.25,17.47,126600
DAWN,2022-01-04,17.52,17.52,16.87,16.98,31400
DAWN,2022-01-05,17.11,17.7,16.3,16.48,100700
DAWN,2022-01-06,16.34,17.31,16.01,16.46,133500
DAWN,2022-01-07,16.5,16.79,15.77,15.97,252000
DAWN,2022-01-10,15.91,16.275,13.94,14.48,486700
DAWN,2022-01-11,14.27,15.365,14.09,15.09,167200
DAWN,2022-01-12,15.01,15.81,14.94,15.36,142100
DAWN,2022-01-13,15.4,15.73,14.09,14.19,726200
DAWN,2022-01-14,14,14.385,13.45,14.09,111100
DAWN,2022-01-18,14.04,14.53,14.04,14.26,184400
DAWN,2022-01-19,14.4,14.955,14.07,14.71,193900
DAWN,2022-01-20,14.76,15.36,14.595,14.78,250000
DAWN,2022-01-21,15.03,15.61,14.28,14.63,425310
DAWN,2022-01-24,14.52,14.715,13.51,14.53,375100
DAWN,2022-01-25,14.39,15.29,13.67,14.75,342400
DAWN,2022-01-26,14.87,16.36,13.69,13.85,153400
DAWN,2022-01-27,14.03,14.265,12.99,13.25,129500
DAWN,2022-01-28,13.26,14.03,12.95,14.01,919000
DAWN,2022-01-31,14,14.88,14,14.75,188900
DAWN,2022-02-01,14.76,15.06,14.26,14.95,99300
DAWN,2022-02-02,14.98,14.98,14.02,14.08,90600
DAWN,2022-02-03,14,14.38,14,14.09,61700
DAWN,2022-02-04,14,14.24,13.52,13.74,273600
DAWN,2022-02-07,13.82,14.735,13.65,14.21,97300
DAWN,2022-02-08,14.06,14.79,14,14.63,147300
DAWN,2022-02-09,14.83,15.72,14.64,15.47,134200
DAWN,2022-02-10,15.38,15.79,14.12,14.23,211600
,,,,,,
