ticker,date,open,high,low,close,volume
DFFN,2008-07-28,22650,22650,22650,22650,0
DFFN,2008-07-29,30000,30000,30000,30000,0
DFFN,2008-08-05,30000,30000,30000,30000,0
DFFN,2008-08-08,22500,30000,22500,30000,0
DFFN,2008-08-26,29850,29850,29850,29850,0
DFFN,2008-09-08,30000,30000,30000,30000,0
DFFN,2008-09-17,30000,30000,30000,30000,0
DFFN,2008-09-22,30000,33750,30000,33750,0
DFFN,2008-09-26,30750,30750,30750,30750,0
DFFN,2008-09-29,30750,30750,30750,30750,0
DFFN,2008-10-03,30000,30000,30000,30000,0
DFFN,2008-10-08,22500,22500,22500,22500,0
DFFN,2008-10-09,30000,30000,30000,30000,0
DFFN,2008-10-13,29850,29850,29850,29850,0
DFFN,2008-11-03,29100,29100,21450,21450,2
DFFN,2008-11-04,21450,21450,20250,21450,2
DFFN,2008-11-05,21450,21450,21150,21450,12
DFFN,2008-11-06,21450,21450,21150,21300,3
DFFN,2008-11-07,21300,21300,21300,21300,1
DFFN,2008-11-10,21450,21450,20250,21300,1
DFFN,2008-11-11,21300,21300,19950,21300,3
DFFN,2008-11-12,21300,21450,21150,21300,7
DFFN,2008-11-13,21450,21450,21000,21450,5
DFFN,2008-11-14,21600,21600,21000,21600,1
DFFN,2008-11-17,21450,21600,21300,21600,1
DFFN,2008-11-18,21450,21750,21150,21750,5
DFFN,2008-11-19,21750,21750,21450,21600,9
DFFN,2008-11-20,21600,21600,21000,21600,1
DFFN,2008-11-21,21600,21600,21600,21600,2
DFFN,2008-11-24,21600,21870,21450,21750,18
DFFN,2008-11-25,21900,22050,21900,21900,11
DFFN,2008-11-26,22050,22350,22050,22350,4
DFFN,2008-11-28,22350,22350,22350,22350,0
DFFN,2008-12-01,22350,22350,22350,22350,2
DFFN,2008-12-02,22350,22350,22350,22350,1
DFFN,2008-12-03,22500,22500,22500,22500,3
DFFN,2008-12-04,22500,22500,22350,22500,13
DFFN,2008-12-05,22500,22500,22050,22050,1
DFFN,2008-12-08,22050,22350,22050,22350,0
DFFN,2008-12-09,22500,22500,21900,22500,10
DFFN,2008-12-10,22500,22500,22200,22500,2
DFFN,2008-12-11,22350,22500,18000,22200,0
DFFN,2008-12-15,22500,22500,22050,22350,1
DFFN,2008-12-16,22500,22500,21750,22500,2
DFFN,2008-12-17,22350,22500,22350,22500,2
DFFN,2008-12-18,22500,22650,22500,22650,1
DFFN,2008-12-19,22650,22800,22200,22800,21
DFFN,2008-12-22,22800,22950,22725,22950,3
DFFN,2008-12-23,23100,23100,23100,23100,2
DFFN,2008-12-24,23100,23250,23100,23250,4
DFFN,2008-12-26,23250,23400,23250,23400,1
DFFN,2008-12-29,23550,23550,23550,23550,3
DFFN,2008-12-30,23700,23700,23550,23700,4
DFFN,2008-12-31,23850,23850,23700,23850,5
DFFN,2009-01-02,24000,24000,23850,24000,2
DFFN,2009-01-05,24150,24150,24000,24150,3
DFFN,2009-01-06,24300,24450,24300,24450,1
DFFN,2009-01-07,24450,24600,24300,24600,1
DFFN,2009-01-08,22500,24750,22500,24750,0
DFFN,2009-01-09,24750,24900,24450,24900,0
DFFN,2009-01-12,25050,25050,24900,24975,0
DFFN,2009-01-13,24900,25020,24900,25020,0
DFFN,2009-01-14,25020,25035,24900,25035,1
DFFN,2009-01-15,25050,25200,24750,25200,1
DFFN,2009-01-16,25200,25350,25200,25350,0
DFFN,2009-01-20,25500,25500,25200,25500,0
DFFN,2009-01-21,25650,25650,25350,25650,0
DFFN,2009-01-22,25650,25650,25500,25650,0
DFFN,2009-01-23,25650,25800,25500,25650,1
DFFN,2009-01-26,25800,25800,24750,24750,0
DFFN,2009-01-27,25050,25050,15150,20250,0
DFFN,2009-01-28,22500,22500,21000,21000,2
DFFN,2009-01-29,21750,22500,21750,22500,0
DFFN,2009-01-30,22500,24000,21750,22500,6
DFFN,2009-02-02,22500,24000,21750,22800,1
DFFN,2009-02-03,23700,23700,21600,21750,0
DFFN,2009-02-04,21750,21750,20250,21150,0
DFFN,2009-02-05,21600,21750,20250,20250,0
DFFN,2009-02-06,20250,25200,19500,25200,0
DFFN,2009-02-09,23700,25650,23700,25200,0
DFFN,2009-02-10,24750,25200,24000,24600,0
DFFN,2009-02-11,24000,24750,24000,24000,0
DFFN,2009-02-12,24000,24000,23400,24000,0
DFFN,2009-02-13,24450,24600,23850,24000,0
DFFN,2009-02-17,23250,23250,22800,23250,1
DFFN,2009-02-18,22950,24000,22500,24000,0
DFFN,2009-02-19,23850,24000,22800,23850,0
DFFN,2009-02-20,23250,23700,22650,23700,0
DFFN,2009-02-23,22650,23250,21750,22350,0
DFFN,2009-02-24,21900,21900,20400,21750,0
DFFN,2009-02-25,21750,21750,21750,21750,0
DFFN,2009-02-26,21750,22650,20250,22650,0
DFFN,2009-02-27,22650,22800,21150,21750,0
DFFN,2009-03-02,21150,22800,21150,22500,0
DFFN,2009-03-03,21900,22500,21150,22500,0
DFFN,2009-03-04,20250,21750,18750,21750,0
DFFN,2009-03-05,21000,22500,21000,21750,1
DFFN,2009-03-06,19500,21000,19500,21000,0
DFFN,2009-03-09,21000,22500,20850,22350,1
DFFN,2009-03-10,22350,22500,21750,22350,0
DFFN,2009-03-11,22350,22350,21750,21900,0
DFFN,2009-03-12,22200,22350,21450,22200,0
DFFN,2009-03-13,21750,21750,21000,21600,0
DFFN,2009-03-16,21450,21450,18900,19800,0
DFFN,2009-03-17,18750,21750,15150,21000,1
DFFN,2009-03-18,20850,21750,20850,21750,0
DFFN,2009-03-19,20400,21750,20400,21750,0
DFFN,2009-03-20,22200,22200,20250,22200,0
DFFN,2009-03-23,22350,22350,22350,22350,0
DFFN,2009-03-24,22350,22350,21150,22050,0
DFFN,2009-03-25,22050,22050,21300,22050,0
DFFN,2009-03-26,21750,22050,21300,22050,0
DFFN,2009-03-27,21600,21900,21300,21300,0
DFFN,2009-03-30,21600,21900,21000,21900,0
DFFN,2009-03-31,21000,21900,21000,21900,0
DFFN,2009-04-01,21900,22500,21000,22500,0
DFFN,2009-04-02,22500,22650,21450,22200,2
DFFN,2009-04-03,22650,22650,21450,22200,4
DFFN,2009-04-06,22200,22200,22200,22200,0
DFFN,2009-04-07,22050,22200,21750,21900,0
DFFN,2009-04-08,21900,21900,20250,21600,0
DFFN,2009-04-09,22650,22650,22650,22650,0
DFFN,2009-04-13,22650,22650,22200,22200,0
DFFN,2009-04-14,22200,22200,22050,22200,0
DFFN,2009-04-15,22200,23250,22200,23100,1
DFFN,2009-04-16,23250,25500,21750,22200,0
DFFN,2009-04-17,22500,22500,21750,22500,0
DFFN,2009-04-20,22350,24750,21300,22200,0
DFFN,2009-04-21,22200,22200,22050,22200,0
DFFN,2009-04-22,22200,22650,22050,22500,1
DFFN,2009-04-23,22650,22950,22350,22950,0
DFFN,2009-04-24,23250,23250,22500,22950,0
DFFN,2009-04-27,22650,23100,20250,22050,0
DFFN,2009-04-28,23100,23100,22500,22950,0
DFFN,2009-04-29,23100,23100,22200,23085,0
DFFN,2009-04-30,22950,23100,21750,22500,1
DFFN,2009-05-01,22800,22800,22200,22500,0
DFFN,2009-05-04,22500,22800,22350,22650,0
DFFN,2009-05-05,23100,23100,22350,22500,0
DFFN,2009-05-06,22500,23100,22500,22650,0
DFFN,2009-05-07,22650,23700,22650,23700,0
DFFN,2009-05-08,23700,23700,22650,22650,0
DFFN,2009-05-11,23700,23700,22650,23700,1
DFFN,2009-05-12,23700,24150,23400,23700,0
DFFN,2009-05-13,23700,23700,23550,23550,0
DFFN,2009-05-14,23250,24150,22950,24150,1
DFFN,2009-05-15,23250,24750,22800,24750,0
DFFN,2009-05-18,25500,25500,23700,25500,0
DFFN,2009-05-19,25500,25500,24000,25350,1
DFFN,2009-05-20,25500,25500,25500,25500,0
DFFN,2009-05-21,25500,25500,25500,25500,0
DFFN,2009-05-22,25500,25500,25500,25500,0
DFFN,2009-05-26,25500,26250,24000,25500,0
DFFN,2009-05-27,24000,25500,23850,25500,0
DFFN,2009-05-28,23850,26250,23700,26250,1
DFFN,2009-05-29,25500,26700,25500,25950,2
DFFN,2009-06-01,27000,27750,27000,27000,1
DFFN,2009-06-02,27750,27900,27000,27900,2
DFFN,2009-06-03,28200,28500,26250,28500,1
DFFN,2009-06-04,29250,29250,26400,28500,0
DFFN,2009-06-05,28500,28500,28500,28500,0
DFFN,2009-06-08,28350,28800,27000,27750,1
DFFN,2009-06-09,27000,27750,24900,26250,0
DFFN,2009-06-10,25650,27750,22500,27750,0
DFFN,2009-06-11,27750,27750,27750,27750,0
DFFN,2009-06-12,28500,28500,28500,28500,0
DFFN,2009-06-15,28500,29100,25500,29100,0
DFFN,2009-06-16,29100,29100,29100,29100,0
DFFN,2009-06-18,28500,29100,28500,29100,0
DFFN,2009-06-19,25500,29100,24600,29100,0
DFFN,2009-06-22,29400,30000,29084.998,30000,0
DFFN,2009-06-23,30000,30000,25500,30000,0
DFFN,2009-06-24,30000,30000,27750,30000,0
DFFN,2009-06-25,30000,30000,27000,30000,1
DFFN,2009-06-26,30000,30000,27450,30000,0
DFFN,2009-06-29,30000,30000,27750,28350,0
DFFN,2009-06-30,30000,30000,27600,30000,0
DFFN,2009-07-01,30000,30000,28650,30000,0
DFFN,2009-07-02,29250,30000,28800,30000,1
DFFN,2009-07-06,28650,29250,27000,29250,0
DFFN,2009-07-07,29100,29250,29100,29250,0
DFFN,2009-07-08,29250,29250,29250,29250,0
DFFN,2009-07-09,29250,29400,27750,29400,2
DFFN,2009-07-10,29550,29550,25200,27000,2
DFFN,2009-07-13,28500,29250,25350,27000,1
DFFN,2009-07-14,27000,29400,26250,29250,1
DFFN,2009-07-15,29400,30000,27450,30000,1
DFFN,2009-07-16,30000,30000,27150,29250,2
DFFN,2009-07-17,28950,30000,26550,30000,2
DFFN,2009-07-20,30000,30000,24150,30000,3
DFFN,2009-07-21,30000,30300,28800,29400,2
DFFN,2009-07-22,30300,30600,28650,30450,2
DFFN,2009-07-23,30600,30900,30450,30750,1
DFFN,2009-07-24,31049.9961,31499.9961,30450,31499.9961,5
DFFN,2009-07-27,31499.9961,31649.9961,31499.9961,31649.9961,1
DFFN,2009-07-28,31799.9961,31950.0039,31649.9961,31950.0039,2
DFFN,2009-07-29,31799.9961,32250.0039,31799.9961,32250.0039,2
