ticker,date,open,high,low,close,volume
EDAP,2001-12-04,1.56,1.75,1.56,1.75,1500
EDAP,2001-12-05,1.56,1.7,1.56,1.7,41000
EDAP,2001-12-06,1.75,1.76,1.7,1.76,28400
EDAP,2001-12-07,1.75,1.81,1.7,1.81,29500
EDAP,2001-12-10,1.74,1.84,1.7,1.83,5000
EDAP,2001-12-11,1.75,1.9,1.75,1.9,26200
EDAP,2001-12-12,1.85,1.85,1.79,1.79,10500
EDAP,2001-12-14,1.84,1.89,1.8,1.82,58300
EDAP,2001-12-17,1.77,1.88,1.77,1.88,2400
EDAP,2001-12-18,1.81,1.86,1.81,1.86,3200
EDAP,2001-12-19,1.85,1.85,1.81,1.81,29100
EDAP,2001-12-20,1.85,1.97,1.85,1.97,63300
EDAP,2001-12-21,1.9,2.21,1.9,2.1,128000
EDAP,2001-12-24,2.18,2.18,2.12,2.12,3700
EDAP,2001-12-26,2.14,2.31,2.14,2.31,110800
EDAP,2001-12-27,2.12,2.25,2.12,2.2,8200
EDAP,2001-12-28,2.2,2.3,2.15,2.2,87600
EDAP,2001-12-31,2.2,2.26,1.9,2.26,39600
EDAP,2002-01-02,2.25,2.29,2.2,2.25,52700
EDAP,2002-01-03,2.16,2.25,2.03,2.14,60400
EDAP,2002-01-04,2.18,2.23,2.08,2.17,26700
EDAP,2002-01-07,2.14,2.2,2.06,2.08,41100
EDAP,2002-01-08,2.05,2.13,2.05,2.13,23100
EDAP,2002-01-09,2.13,2.16,2.13,2.13,12200
EDAP,2002-01-10,2.1,2.1,2.09,2.1,9500
EDAP,2002-01-11,2.14,2.15,2.09,2.1,20200
EDAP,2002-01-14,2.14,2.14,2.14,2.14,5200
EDAP,2002-01-15,2.08,2.2,2.08,2.2,36200
EDAP,2002-01-16,2.19,2.29,2.15,2.23,91000
EDAP,2002-01-17,2.23,2.31,2.19,2.2,91000
EDAP,2002-01-18,2.18,2.35,2.18,2.26,66800
EDAP,2002-01-22,2.24,2.24,2.12,2.21,11600
EDAP,2002-01-23,2.25,2.49,2.2,2.49,86400
EDAP,2002-01-24,2.45,2.45,2.31,2.42,96400
EDAP,2002-01-25,2.41,2.45,2.39,2.45,56000
EDAP,2002-01-28,2.4,2.48,2.28,2.35,33300
EDAP,2002-01-29,2.3,2.42,2.29,2.41,45300
EDAP,2002-01-30,2.45,2.45,2.3,2.3,13900
EDAP,2002-01-31,2.37,2.45,2.37,2.45,38000
EDAP,2002-02-01,2.43,2.43,2.32,2.39,14500
EDAP,2002-02-04,2.29,2.35,2.28,2.35,10800
EDAP,2002-02-05,2.28,2.35,2.28,2.35,18700
EDAP,2002-02-06,2.3,2.3,2.28,2.28,26100
EDAP,2002-02-07,2.27,2.37,2.15,2.31,6500
EDAP,2002-02-08,2.25,2.33,2.25,2.3,16200
EDAP,2002-02-11,2.3,2.33,2.3,2.3,8800
EDAP,2002-02-12,2.26,2.33,2.25,2.33,4600
EDAP,2002-02-13,2.27,2.27,2.27,2.27,2200
EDAP,2002-02-14,2.26,2.3,2.17,2.3,37500
EDAP,2002-02-15,2.28,2.28,2.25,2.25,4400
EDAP,2002-02-19,2.2,2.28,2.1,2.15,10100
EDAP,2002-02-20,2.09,2.18,2.09,2.11,18200
EDAP,2002-02-21,2.15,2.15,2.05,2.15,50900
EDAP,2002-02-22,2.1,2.12,2.05,2.12,30000
EDAP,2002-02-25,2.1,2.12,2.08,2.1,21500
EDAP,2002-02-26,2.14,2.22,2.09,2.12,28300
EDAP,2002-02-27,2.17,2.17,2.14,2.14,12600
EDAP,2002-02-28,2.1,2.2,2.08,2.19,21600
EDAP,2002-03-01,2.15,2.15,2.11,2.14,29700
EDAP,2002-03-04,2.12,2.15,2.01,2.15,25900
EDAP,2002-03-05,2.09,2.15,2.06,2.06,17400
EDAP,2002-03-06,2.06,2.1,2.02,2.1,27900
EDAP,2002-03-07,2.1,2.15,2.08,2.1,31600
EDAP,2002-03-08,2.15,2.25,2.08,2.2,25600
EDAP,2002-03-11,2.22,2.28,2.15,2.17,23500
EDAP,2002-03-12,2.16,2.2,2.08,2.18,49600
EDAP,2002-03-13,2.15,2.25,2.06,2.25,36500
EDAP,2002-03-14,2.13,2.25,2.1,2.25,5700
EDAP,2002-03-18,2.24,2.24,2.1,2.12,2600
EDAP,2002-03-19,2.12,2.12,2.08,2.08,14400
EDAP,2002-03-20,2.14,2.15,2.1,2.15,6900
EDAP,2002-03-21,2.15,2.17,2.05,2.05,15500
EDAP,2002-03-22,2.1,2.15,2.1,2.14,16100
EDAP,2002-03-25,2.05,2.05,1.7,2,44100
EDAP,2002-03-26,1.91,2,1.85,1.85,57400
EDAP,2002-03-27,1.9,1.97,1.7,1.82,63900
EDAP,2002-03-28,1.7,1.78,1.62,1.71,110100
EDAP,2002-04-01,1.86,1.86,1.75,1.8,9800
EDAP,2002-04-02,1.75,1.86,1.7,1.82,32100
EDAP,2002-04-03,1.88,1.88,1.8,1.83,56600
