ticker,date,open,high,low,close,volume
ELOX,2014-10-03,32,32,31.4,32,480
ELOX,2014-10-06,32,32,29.6,32,990
ELOX,2014-10-07,30,30,29,29,150
ELOX,2014-10-08,30,30,28,30,965
ELOX,2014-10-09,28.4,28.4,27,27,560
ELOX,2014-10-10,27,27,22.6,26.8,665
ELOX,2014-10-13,26,27,23,23,300
ELOX,2014-10-14,23.2,26,23.2,26,305
ELOX,2014-10-15,25,26,25,25,130
ELOX,2014-10-16,24,28.8,22.4,28.8,2695
ELOX,2014-10-17,28,28,24.6,24.6,510
ELOX,2014-10-20,27.8,27.8,25,25,15
ELOX,2014-10-21,27,27,26.8,26.8,60
ELOX,2014-10-22,26,26,26,26,80
ELOX,2014-10-23,26,26,25,25,220
ELOX,2014-10-24,25.2,26,25.2,26,385
ELOX,2014-10-27,25,25,20.2,21.4,4005
ELOX,2014-10-28,21.2,21.6,18,18.4,5060
ELOX,2014-10-29,17.02,18,16,17,2995
ELOX,2014-10-30,17,17.9,16,16,1125
ELOX,2014-10-31,16.002,22,16,20.4,7580
ELOX,2014-11-03,20,23.6,20,22,575
ELOX,2014-11-04,22,22,19.4,19.5,450
ELOX,2014-11-05,19.5,21.4,19.4,20.6,1020
ELOX,2014-11-06,21,21.4,20.48,20.6,370
ELOX,2014-11-07,20.4,20.6,20.4,20.6,20
ELOX,2014-11-10,20.4,22,20.4,21.4,235
ELOX,2014-11-11,21.4,22,20.4,21.6,225
ELOX,2014-11-12,20.6,20.6,20,20,615
ELOX,2014-11-13,20.2,20.6,19,19,1200
ELOX,2014-11-14,19,19.5,19,19.2,175
ELOX,2014-11-17,18.8,19.4,17.6,18.8,570
ELOX,2014-11-18,17.6,18,16.6,16.6,885
ELOX,2014-11-19,16.6,17.3,16.52,16.86,580
ELOX,2014-11-20,16.6,16.6,16.52,16.52,140
ELOX,2014-11-21,16.52,16.6,16.4,16.6,690
ELOX,2014-11-24,16.2,16.2,15,15.2,2290
ELOX,2014-11-25,15.4,16.8,15,16.4,2430
ELOX,2014-11-26,16.4,16.62,16.4,16.44,185
ELOX,2014-11-28,16.4,16.4,16,16,200
