ticker,date,open,high,low,close,volume
EXAS,2002-04-04,9.68,10.25,9.6,9.89,39000
EXAS,2002-04-05,9.77,10,9.7,9.7,104400
EXAS,2002-04-08,9.85,10,9.59,9.74,49200
EXAS,2002-04-09,9.5,9.68,9.32,9.6,13800
EXAS,2002-04-10,9.55,9.59,9.49,9.5,13200
EXAS,2002-04-11,9.32,9.94,9.32,9.55,34500
EXAS,2002-04-12,9.85,10.05,9.55,9.9,206900
EXAS,2002-04-15,9.99,10.1,9.85,10.1,37500
EXAS,2002-04-16,10.09,12.06,10.09,11.53,209500
EXAS,2002-04-17,11.59,11.8,10.2,10.6,77300
EXAS,2002-04-18,10.75,11.16,10.6,11.16,48700
EXAS,2002-04-19,11.15,11.35,10.65,11.2,47500
EXAS,2002-04-22,11.1,11.44,10.5,11.12,53100
EXAS,2002-04-23,10.86,11.5,10.86,11.38,67600
EXAS,2002-04-24,11.21,11.29,10.73,11.05,108300
EXAS,2002-04-25,11.04,11.25,10.85,11.1,46700
EXAS,2002-04-26,11.1,11.23,10.93,11.05,52800
EXAS,2002-04-29,11,11.19,11,11.11,50200
EXAS,2002-04-30,11.1,12.24,11,11.81,227700
EXAS,2002-05-01,11.78,12.1,11.74,12.1,50200
EXAS,2002-05-02,12,13,11.75,12.71,111300
EXAS,2002-05-03,12.85,13.39,12.85,12.97,66500
EXAS,2002-05-06,12.98,13,12.55,12.59,143600
EXAS,2002-05-07,12.45,12.6,12.01,12.1,240100
EXAS,2002-05-08,12.35,12.8,12.25,12.5,65300
EXAS,2002-05-09,12.5,13.44,12.5,12.75,78500
EXAS,2002-05-10,12.99,13.97,12.8,13.87,76300
EXAS,2002-05-13,13.96,15.2,13.81,14.88,249600
EXAS,2002-05-14,14.99,15,14.14,14.27,71100
EXAS,2002-05-15,14.25,14.25,13.04,13.3,162900
EXAS,2002-05-16,13.4,13.4,12.8,12.9,184100
EXAS,2002-05-17,12.84,13.35,12.78,12.78,102400
EXAS,2002-05-20,13,13,12.66,12.7,154800
EXAS,2002-05-21,12.85,13.1,12.66,12.75,57600
EXAS,2002-05-22,12.74,12.85,12.25,12.68,36700
EXAS,2002-05-23,12.7,13.58,12.7,13.21,138000
EXAS,2002-05-24,13.24,13.92,13.15,13.9,32400
EXAS,2002-05-28,13.93,14,13.16,13.34,39100
EXAS,2002-05-29,13.36,13.36,12.5,13.2,71200
EXAS,2002-05-30,12.81,13.35,12,12.9,385800
EXAS,2002-05-31,12.99,13.28,12.9,13.2,76800
EXAS,2002-06-03,13.11,13.34,12.96,13.34,108200
EXAS,2002-06-04,13.37,13.47,12.9,13,37900
EXAS,2002-06-05,13.25,13.3,12.9,13,15200
EXAS,2002-06-06,13,13,12.55,12.69,25400
EXAS,2002-06-07,12.6,12.67,12.5,12.53,66100
EXAS,2002-06-10,12.63,13.75,12.63,13.75,81000
EXAS,2002-06-11,13.76,13.76,13.42,13.54,80400
EXAS,2002-06-12,13.6,13.79,12.56,13.11,107700
EXAS,2002-06-13,13,13.11,12.6,12.75,41500
EXAS,2002-06-14,12.6,13.56,12.6,13.56,51200
EXAS,2002-06-17,13.56,13.86,13.18,13.86,149400
EXAS,2002-06-18,13.95,13.96,13.37,13.65,15900
EXAS,2002-06-19,13.65,13.96,13.4,13.8,166400
EXAS,2002-06-20,13.85,15.45,13.62,14.9,465500
EXAS,2002-06-21,14.99,15.45,13.82,14.84,281500
EXAS,2002-06-24,14.93,14.93,13.6,14.4,159500
EXAS,2002-06-25,14.53,14.54,13.8,14.39,86400
EXAS,2002-06-26,13.97,15.22,13.85,14.75,103700
EXAS,2002-06-27,15.07,17.4,15.06,16.58,955500
EXAS,2002-06-28,16.51,17,15.36,15.97,1144700
EXAS,2002-07-01,15.89,15.9,15.15,15.21,151500
EXAS,2002-07-02,15.2,15.21,13.7,13.97,159300
EXAS,2002-07-03,13.97,13.97,12.75,13.04,256200
EXAS,2002-07-05,13,13.54,13,13.52,31400
EXAS,2002-07-08,13.49,13.49,12.85,13,106700
EXAS,2002-07-09,13.09,13.47,12.75,13.18,74800
EXAS,2002-07-10,13.2,13.22,12.9,12.91,141400
EXAS,2002-07-11,12.9,13,12.02,12.85,191200
EXAS,2002-07-12,12.85,12.85,12.1,12.18,87100
EXAS,2002-07-15,12.05,12.2,10.59,11.48,207600
EXAS,2002-07-16,11.3,12.05,11.09,11.97,97700
EXAS,2002-07-17,12.1,12.49,11.83,12.03,64600
EXAS,2002-07-18,12.1,12.25,11.95,11.95,27200
EXAS,2002-07-19,11.95,12,11.25,11.5,81800
EXAS,2002-07-22,11.55,12,11.35,11.35,111400
EXAS,2002-07-23,11.36,11.7,11.12,11.34,161800
EXAS,2002-07-24,11.15,11.65,10.55,11.64,225000
EXAS,2002-07-25,11.6,12.57,11.6,12.5,235900
EXAS,2002-07-26,12.51,12.9,11.97,12.1,84300
EXAS,2002-07-29,12.2,12.53,11.85,12.01,66900
EXAS,2002-07-30,12.06,12.39,11.5,12.25,58800
EXAS,2002-07-31,12.25,12.35,12.04,12.3,181000
