ticker,date,open,high,low,close,volume
EXEL,2002-04-04,13.05,13.06,11.47,11.47,325000
EXEL,2002-04-05,12.05,12.08,11.2,11.26,445800
EXEL,2002-04-08,11.29,11.44,10.87,11.15,486500
EXEL,2002-04-09,11.25,11.5,10.28,10.5,296500
EXEL,2002-04-10,10.7,11.9,10.57,11.89,359300
EXEL,2002-04-11,11.9,11.9,10.32,10.32,427400
EXEL,2002-04-12,10.39,10.94,10.25,10.7,237500
EXEL,2002-04-15,10.71,11.06,9.27,9.3,537600
EXEL,2002-04-16,9.95,11,9.94,10.78,469100
EXEL,2002-04-17,10.85,11.02,10.57,10.57,325000
EXEL,2002-04-18,10.58,10.8,9.99,10.7,294400
EXEL,2002-04-19,10.7,10.94,9.99,10.24,120100
EXEL,2002-04-22,10.5,10.52,10.02,10.52,168400
EXEL,2002-04-23,10.27,10.73,10.13,10.3,274300
EXEL,2002-04-24,10.22,10.56,10.14,10.45,297500
EXEL,2002-04-25,10.47,10.56,10.2,10.38,491700
EXEL,2002-04-26,10.45,10.58,9.99,10.39,366800
EXEL,2002-04-29,10.25,10.28,9.1,9.34,373900
EXEL,2002-04-30,9.16,10,8.96,9.9,336600
EXEL,2002-05-01,9.95,10.25,8.98,9.65,464000
EXEL,2002-05-02,9.58,9.64,8.48,8.84,313000
EXEL,2002-05-03,8.99,9.6,8.6,9.08,385900
EXEL,2002-05-06,8.95,9.15,8.65,8.91,208300
EXEL,2002-05-07,8.15,8.16,6.53,6.56,769700
EXEL,2002-05-08,7.2,8.06,7,7.85,592100
EXEL,2002-05-09,7.79,7.89,6.33,6.33,741100
EXEL,2002-05-10,6.59,7.09,5.79,6.5,286400
EXEL,2002-05-13,6.95,7.58,6.6,6.63,225200
EXEL,2002-05-14,6.87,8.15,6.87,7.89,248300
EXEL,2002-05-15,7.94,8.32,7.38,8.32,446700
EXEL,2002-05-16,8.35,8.4,7.86,8,482100
EXEL,2002-05-17,7.92,8.46,7.92,8.25,201600
EXEL,2002-05-20,8.2,8.45,8.01,8.12,157200
EXEL,2002-05-21,8.12,8.17,7.8,8.13,288500
EXEL,2002-05-22,8.05,8.1,7.8,8.06,177100
EXEL,2002-05-23,8,8.31,7.85,8.15,190000
EXEL,2002-05-24,8.1,8.29,7.62,7.64,123400
EXEL,2002-05-28,7.69,7.99,7.61,7.95,101300
EXEL,2002-05-29,7.94,7.95,7.66,7.75,179200
EXEL,2002-05-30,7.95,8,7.5,8,126200
EXEL,2002-05-31,8,8.02,7.69,7.75,230800
EXEL,2002-06-03,7.6,7.72,7.1,7.11,181100
EXEL,2002-06-04,7.2,7.7,7,7.55,434000
EXEL,2002-06-05,7.45,7.75,7.16,7.4,320300
EXEL,2002-06-06,7.5,7.5,6.43,6.43,242500
EXEL,2002-06-07,6.45,6.55,6.1,6.35,340400
EXEL,2002-06-10,6.4,6.46,6,6.34,242900
EXEL,2002-06-11,6.29,6.42,5.93,6.09,244300
EXEL,2002-06-12,6.1,6.19,5.9,6.12,284500
EXEL,2002-06-13,6.05,6.19,5.63,6.1,221600
EXEL,2002-06-14,6.09,6.48,5.75,6.35,297300
EXEL,2002-06-17,6.5,7.35,6.34,7.11,462200
EXEL,2002-06-18,7.1,7.46,7,7.03,164600
EXEL,2002-06-19,7,7.14,6.63,6.64,168900
EXEL,2002-06-20,6.63,6.75,6.05,6.2,338400
EXEL,2002-06-21,6.65,6.65,6.15,6.47,289800
EXEL,2002-06-24,6.46,6.46,6.14,6.3,333000
EXEL,2002-06-25,6.41,6.5,6.09,6.13,109200
EXEL,2002-06-26,6,6.53,5.8,6.42,205100
EXEL,2002-06-27,6.42,7.06,6.42,7.04,149200
EXEL,2002-06-28,6.84,7.55,6.7,7.53,1044800
EXEL,2002-07-01,7.28,7.45,6.7,6.81,208100
EXEL,2002-07-02,6.77,6.77,6,6.1,300000
EXEL,2002-07-03,6.05,6.5,5.43,6.38,358800
EXEL,2002-07-05,6.25,7,6.25,6.82,143000
EXEL,2002-07-08,6.75,7.25,6.51,6.55,173700
EXEL,2002-07-09,6.5,6.81,6.09,6.25,271200
EXEL,2002-07-10,6.36,6.92,5.35,5.92,616700
EXEL,2002-07-11,6.03,6.19,5.86,6,301900
EXEL,2002-07-12,5.99,6.3,5.75,6.05,219800
EXEL,2002-07-15,5.85,6.05,5.5,5.76,339000
EXEL,2002-07-16,5.59,5.87,5.44,5.87,438500
EXEL,2002-07-17,5.99,6.25,5.88,5.91,496900
EXEL,2002-07-18,5.9,6,5.36,5.36,180400
EXEL,2002-07-19,5.52,5.52,4,4.36,356300
EXEL,2002-07-22,4.3,5.81,4.3,5.2,365800
EXEL,2002-07-23,5.5,5.5,4.5,4.68,279700
EXEL,2002-07-24,4.69,5.23,4.55,5.08,187400
EXEL,2002-07-25,5.15,5.15,4.6,4.91,170900
EXEL,2002-07-26,4.95,5.1,4.63,5.1,349600
EXEL,2002-07-29,5.03,5.53,5,5.16,284100
EXEL,2002-07-30,5.31,5.8,5.1,5.57,260200
EXEL,2002-07-31,5.57,6.99,5,6.99,1769000
EXEL,2002-08-01,6.7,6.7,5.5,5.51,335300
EXEL,2002-08-02,5.6,5.75,4.99,5.3,204100
EXEL,2002-08-05,5.49,5.58,4.77,5.03,256200
EXEL,2002-08-06,5.31,5.5,5.11,5.48,304800
EXEL,2002-08-07,5.3,5.48,4.73,5.03,342300
EXEL,2002-08-08,5.18,5.66,5.05,5.43,412300
EXEL,2002-08-09,5.39,5.45,5.08,5.12,242000
EXEL,2002-08-12,5.24,5.38,4.8,5.17,88200
EXEL,2002-08-13,5.1,5.35,4.81,4.97,601100
EXEL,2002-08-14,5.05,5.2,4.6,5.05,401600
EXEL,2002-08-15,5.15,5.25,4.71,4.97,210500
EXEL,2002-08-16,4.97,5.1,4.7,5,300900
EXEL,2002-08-19,5.09,5.09,4.65,4.96,227200
EXEL,2002-08-20,4.97,5,4.75,4.85,162900
EXEL,2002-08-21,4.85,4.97,4.85,4.9,151500
EXEL,2002-08-22,4.85,4.95,4.35,4.8,3136000
EXEL,2002-08-23,4.8,4.8,4.58,4.7,265500
EXEL,2002-08-26,4.7,4.84,4.5,4.83,173300
EXEL,2002-08-27,4.71,4.84,4.55,4.73,141200
EXEL,2002-08-28,4.73,4.73,4.5,4.63,113000
EXEL,2002-08-29,4.72,4.92,4.59,4.81,91500
EXEL,2002-08-30,4.65,4.95,4.65,4.94,161800
EXEL,2002-09-03,4.95,4.96,4.51,4.76,121500
EXEL,2002-09-04,4.65,5,4.55,4.85,181600
EXEL,2002-09-05,4.84,4.85,4.56,4.75,74300
EXEL,2002-09-06,4.8,5.11,4.72,5,110000
EXEL,2002-09-09,4.99,5,4.74,4.87,113400
EXEL,2002-09-10,4.93,5,4.69,4.98,102900
EXEL,2002-09-11,5.12,5.13,4.72,4.8,54700
EXEL,2002-09-12,4.9,4.9,4.65,4.75,116200
EXEL,2002-09-13,4.7,4.9,4.57,4.9,76100
EXEL,2002-09-16,4.85,4.9,4.48,4.52,118500
EXEL,2002-09-17,4.65,4.9,4.2,4.24,203700
EXEL,2002-09-18,4.2,4.76,4.17,4.51,117400
EXEL,2002-09-19,4.44,4.5,4.17,4.32,188900
EXEL,2002-09-20,4.4,4.64,3.8,3.85,524400
EXEL,2002-09-23,3.5,4.16,3.5,3.99,361800
EXEL,2002-09-24,4.05,4.2,3.86,3.95,202000
EXEL,2002-09-25,4,4.2,3.94,4.01,131900
EXEL,2002-09-26,4.23,4.23,3.7,3.97,196300
EXEL,2002-09-27,3.97,4.1,3.88,3.98,122200
EXEL,2002-09-30,3.95,4.95,3.8,4.95,652500
EXEL,2002-10-01,4.49,4.5,4.05,4.25,261000
EXEL,2002-10-02,4.25,4.26,3.95,3.96,335700
EXEL,2002-10-03,4,4.05,3.7,3.71,199000
EXEL,2002-10-04,3.7,3.8,2.96,3.05,537900
EXEL,2002-10-07,3.1,3.45,3,3.08,350500
EXEL,2002-10-08,3.1,3.35,2.95,3.08,537500
EXEL,2002-10-09,3,3.2,2.95,3.02,456000
EXEL,2002-10-10,3.09,3.23,3,3.15,465900
EXEL,2002-10-11,3.1,3.59,3.1,3.2,400800
EXEL,2002-10-14,3.3,3.65,3.25,3.36,380400
EXEL,2002-10-15,3.44,3.89,3.35,3.61,390200
EXEL,2002-10-16,3.6,3.79,3.41,3.66,209100
EXEL,2002-10-17,3.7,4.14,3.7,3.98,182500
EXEL,2002-10-18,4.12,4.45,3.48,3.74,181100
EXEL,2002-10-21,3.85,4.26,3.79,4.25,111900
EXEL,2002-10-22,4.25,4.25,3.99,4,64200
EXEL,2002-10-23,3.95,4.06,3.6,3.9,140600
EXEL,2002-10-24,3.84,3.84,3.48,3.55,301100
EXEL,2002-10-28,3.48,3.66,3.46,3.58,249300
EXEL,2002-10-29,5.9,5.9,4.85,5.06,3926100
EXEL,2002-10-30,5.19,5.24,4.8,5.04,793200
EXEL,2002-10-31,5.04,5.14,4.9,4.94,405200
EXEL,2002-11-01,5,5.05,4.56,4.95,400000
EXEL,2002-11-04,5,5.34,4.75,5.27,461600
EXEL,2002-11-05,5.21,5.45,5.05,5.41,242700
EXEL,2002-11-06,5.45,5.95,5.38,5.87,704800
EXEL,2002-11-07,5.72,5.94,5.55,5.79,309300
EXEL,2002-11-08,5.85,6.09,5.7,5.9,467300
EXEL,2002-11-11,5.87,6.09,5.81,6,214900
EXEL,2002-11-12,6.11,6.46,6.05,6.33,319400
EXEL,2002-11-13,6.43,6.92,5.78,6.7,494900
EXEL,2002-11-14,6.81,7.54,6.75,7.53,458400
EXEL,2002-11-15,7.35,7.59,7,7.44,466900
EXEL,2002-11-18,7.5,7.97,7.3,7.45,190700
EXEL,2002-11-19,7.3,7.73,7.3,7.5,175300
EXEL,2002-11-20,7.5,7.85,7.22,7.81,282300
EXEL,2002-11-21,7.85,7.9,7.45,7.49,353000
EXEL,2002-11-22,7.5,7.7,7.4,7.5,173200
EXEL,2002-11-25,7.49,7.63,7.26,7.5,292600
EXEL,2002-11-26,7.5,7.52,7,7.26,301900
EXEL,2002-11-27,7.25,8.21,7.21,8.1,692400
EXEL,2002-11-29,8.13,9.41,8.08,9.06,909500
EXEL,2002-12-02,9,9,8.31,8.5,474600
EXEL,2002-12-03,8.55,8.58,8.05,8.33,224700
EXEL,2002-12-04,8.24,8.35,7.49,7.78,382900
EXEL,2002-12-05,7.79,8,7.58,7.69,215700
EXEL,2002-12-06,7.75,8.2,7.45,8,421400
EXEL,2002-12-09,8.05,8.16,7.8,7.93,334800
EXEL,2002-12-10,7.74,8.15,7.74,7.85,289400
EXEL,2002-12-11,7.85,8.1,7.45,7.92,218300
EXEL,2002-12-12,7.92,8.28,7.85,8.22,144800
EXEL,2002-12-13,8.16,8.3,7.83,7.84,141900
EXEL,2002-12-16,7.9,8.03,7.73,8,157200
EXEL,2002-12-17,7.99,8.25,7.85,7.95,76200
EXEL,2002-12-18,7.85,8.15,7.77,7.83,104800
EXEL,2002-12-19,8,8.23,7.62,7.85,251600
EXEL,2002-12-20,7.89,8.31,7.72,7.75,306100
EXEL,2002-12-23,7.75,7.95,7.6,7.75,179000
EXEL,2002-12-24,7.75,7.85,7.35,7.56,89800
EXEL,2002-12-26,7.51,7.74,7.07,7.31,176900
EXEL,2002-12-27,7.21,7.28,6.85,7.1,143400
