ticker,date,open,high,low,close,volume
FPRX,2013-09-18,16,16,13.02,13.08,4409000
FPRX,2013-09-19,13.05,13.42,12.8,13.11,607600
FPRX,2013-09-20,13.15,13.99,13.15,13.74,165600
FPRX,2013-09-23,14,14,13.1,13.32,41900
FPRX,2013-09-24,13.39,13.72,13.28,13.65,37700
FPRX,2013-09-25,13.65,13.95,13.5,13.95,58700
FPRX,2013-09-26,13.93,14,13.56,13.97,18100
FPRX,2013-09-27,13.75,13.97,13.7,13.8,33800
FPRX,2013-09-30,13.7,13.97,13.01,13.1,115500
FPRX,2013-10-01,13.36,13.44,12.88,12.97,242100
FPRX,2013-10-02,12.95,13.8,12.88,13.8,55900
FPRX,2013-10-03,13.68,13.68,13.05,13.05,78200
FPRX,2013-10-04,13.14,13.5,12.89,13.06,79300
FPRX,2013-10-07,13.04,13.47,13.03,13.17,12700
FPRX,2013-10-08,13.43,13.46,13,13,47600
FPRX,2013-10-09,13.18,13.25,13.02,13.02,21800
FPRX,2013-10-10,13.15,13.4,13.03,13.21,35800
FPRX,2013-10-11,13.19,13.23,13,13.19,25800
FPRX,2013-10-14,13.55,13.7,13.06,13.25,94600
FPRX,2013-10-15,13.75,13.75,13.26,13.39,61900
FPRX,2013-10-16,13.44,13.9,13.32,13.46,45900
FPRX,2013-10-17,13.77,13.77,13.4,13.57,43700
FPRX,2013-10-18,13.59,14.5,13.5,13.82,39600
FPRX,2013-10-21,13.95,13.95,13.5,13.82,29000
FPRX,2013-10-22,13.8,14.15,13.5,13.7,36600
FPRX,2013-10-23,14.1,14.1,13.7,13.96,41500
FPRX,2013-10-24,13.94,14.1,13.8,13.8,12100
FPRX,2013-10-25,13.82,13.88,13.26,13.88,28000
FPRX,2013-10-28,13.93,14.02,13.27,13.68,45600
FPRX,2013-10-29,13.65,13.7,13.13,13.5,146300
FPRX,2013-10-30,13.35,13.49,13.05,13.33,48800
FPRX,2013-10-31,13.28,13.28,11.55,12.21,106600
FPRX,2013-11-01,12.21,12.26,10.01,10.48,144500
FPRX,2013-11-04,10.8,10.8,9.97,10.68,26600
FPRX,2013-11-05,10.69,10.77,10.25,10.77,27900
FPRX,2013-11-06,10.56,10.75,9.94,10.6,77800
FPRX,2013-11-07,10.46,10.46,9,10.07,94500
FPRX,2013-11-08,9.92,10.21,9.04,9.05,109600
FPRX,2013-11-11,9.05,9.22,8.43,8.72,53700
FPRX,2013-11-12,8.67,8.79,8.02,8.49,110200
FPRX,2013-11-13,9.06,10,8.92,9.28,45200
FPRX,2013-11-14,9.3,9.85,9.28,9.31,32600
FPRX,2013-11-15,9.38,10.25,9.38,9.75,9300
FPRX,2013-11-18,9.68,9.97,8.82,8.93,11100
FPRX,2013-11-19,9.05,9.76,8.4,8.58,48900
FPRX,2013-11-20,8.7,8.91,8.5,8.67,30800
FPRX,2013-11-21,8.7,9.22,8.41,8.85,67300
FPRX,2013-11-22,9.23,9.35,8.74,8.91,35700
FPRX,2013-11-25,8.94,9.14,8.7,9,35600
FPRX,2013-11-26,9.02,9.1,8.67,9.05,94900
FPRX,2013-11-27,9.25,9.88,8.63,9.82,46200
FPRX,2013-11-29,9.83,10.1,9.35,10.1,45000
FPRX,2013-12-02,10.15,10.89,9.9,10.57,51400
FPRX,2013-12-03,10.68,11.13,9.89,11,41500
FPRX,2013-12-04,10.98,10.99,10.52,10.52,23300
FPRX,2013-12-05,10.52,11.36,10.52,11.01,119800
FPRX,2013-12-06,11.14,11.79,10.75,11.2,60400
FPRX,2013-12-09,11.51,12.62,11.18,12.24,39400
FPRX,2013-12-10,12.37,13.13,12.37,12.97,70900
FPRX,2013-12-11,12.98,14.86,12.85,14.15,135200
FPRX,2013-12-12,14.03,17.75,14.03,16.61,232300
FPRX,2013-12-13,16.77,17.34,15,16.06,85500
FPRX,2013-12-16,15.85,16.19,14.33,15.64,98500
FPRX,2013-12-17,15.77,16.99,15.08,16.7,109400
FPRX,2013-12-18,16.7,16.7,14.76,15.86,98400
FPRX,2013-12-19,15.58,15.93,14.64,14.9,33300
FPRX,2013-12-20,14.94,16.23,13.29,14.27,871200
FPRX,2013-12-23,14.67,15.35,14.1,15.22,31000
FPRX,2013-12-24,15.23,15.23,14.7,14.7,4400
FPRX,2013-12-26,14.99,15.63,14.52,15.54,50400
FPRX,2013-12-27,15.72,16.42,14.6,15.99,48100
FPRX,2013-12-30,16,16.46,15.7,16.38,11700
FPRX,2013-12-31,16.46,16.99,15.25,16.79,76100
FPRX,2014-01-02,16.6,16.98,15.22,15.96,58800
FPRX,2014-01-03,15.78,16.08,14.99,15.86,37400
FPRX,2014-01-06,15.9,16.66,15.24,15.97,60900
FPRX,2014-01-07,16.07,16.24,15.49,15.95,57300
FPRX,2014-01-08,15.95,16.68,15.89,16.5,83000
FPRX,2014-01-09,16.63,18.17,16.63,17.97,67900
FPRX,2014-01-10,18,18.81,17.31,18.69,150800
FPRX,2014-01-13,18.5,19.06,17.5,17.91,58000
FPRX,2014-01-14,17.94,21.68,17.94,18.95,91300
FPRX,2014-01-15,19.08,20.37,18.91,19.24,91400
FPRX,2014-01-16,19.26,20.55,19.05,19.74,94500
FPRX,2014-01-17,19.65,20,18.96,19.04,95800
FPRX,2014-01-21,19.25,19.6,18.91,19.39,94000
FPRX,2014-01-22,19.5,19.7,19,19.26,77500
FPRX,2014-01-23,18.9,19.15,17.75,18.24,47500
FPRX,2014-01-24,17.85,18.55,17.85,18.46,26900
FPRX,2014-01-27,18.43,18.43,16.5,16.56,80600
FPRX,2014-01-28,16.49,16.74,16.13,16.35,37500
FPRX,2014-01-29,16.01,16.5,14.94,15.11,39500
FPRX,2014-01-30,15.3,15.4,14.9,14.94,20500
FPRX,2014-01-31,14.84,15.17,14.5,14.66,30600
FPRX,2014-02-03,14.75,15.2,13.47,13.64,38800
FPRX,2014-02-04,13.81,13.81,12.67,12.83,43100
FPRX,2014-02-05,12.7,12.75,12.2,12.34,42700
FPRX,2014-02-06,12.76,13.18,12.3,12.61,47500
FPRX,2014-02-07,13.63,14.91,13.48,13.99,498500
FPRX,2014-02-10,14.14,15.05,13.86,14.96,144900
FPRX,2014-02-11,15.04,17.73,15.04,17,444000
FPRX,2014-02-12,16.54,17.32,16.01,16.65,190300
FPRX,2014-02-13,16.59,17.19,16.12,16.99,147600
FPRX,2014-02-14,17,17.65,16.59,17.43,97100
FPRX,2014-02-18,17.65,17.66,17.29,17.59,64000
FPRX,2014-02-19,17.5,17.5,16.97,17.12,51200
FPRX,2014-02-20,17.2,18.19,16.7,17.75,98000
FPRX,2014-02-21,17.93,17.93,16.74,16.88,74200
FPRX,2014-02-24,16.96,17.09,15.12,15.17,126100
FPRX,2014-02-25,15.09,15.65,14.57,15.39,85000
FPRX,2014-02-26,15.36,15.36,14.58,14.76,93000
FPRX,2014-02-27,14.76,15.34,14.75,15,120200
FPRX,2014-02-28,15.04,15.57,13.76,13.96,142600
FPRX,2014-03-03,15.43,15.43,13.68,13.78,106600
FPRX,2014-03-04,13.99,14.98,13.86,13.99,127500
FPRX,2014-03-05,14.14,15.25,14.14,15.16,153000
FPRX,2014-03-06,15.41,15.75,14.76,15.28,81300
FPRX,2014-03-07,15.7,15.8,14.6,15.64,167400
FPRX,2014-03-10,15.74,16.56,15.31,16.4,126800
FPRX,2014-03-11,17,17,16.29,16.42,61000
FPRX,2014-03-12,16.27,18.25,16,17.9,213000
FPRX,2014-03-13,17.88,18.8,16.99,18.08,473400
FPRX,2014-03-14,17.91,19.2,16.63,18.75,450000
FPRX,2014-03-17,20.81,23.08,20.63,22.99,1289600
FPRX,2014-03-18,22.8,23.33,21.5,22.76,319000
FPRX,2014-03-19,20.91,22.18,20.45,21.36,327200
FPRX,2014-03-20,21.34,21.39,20.57,20.69,123500
FPRX,2014-03-21,21,21,19.52,19.71,215200
FPRX,2014-03-24,20.69,20.69,17.26,18.02,235500
FPRX,2014-03-25,18.17,18.56,16.68,18.11,320000
FPRX,2014-03-26,18.38,19.03,17.34,17.73,415200
FPRX,2014-03-27,17.72,18.94,17.33,18.49,155300
FPRX,2014-03-28,18.46,18.46,17.67,18.09,379500
FPRX,2014-03-31,18.23,19.94,18.15,19.66,278800
FPRX,2014-04-01,19.67,20.4,19.18,19.32,104700
FPRX,2014-04-02,19.39,19.39,18.2,18.54,137200
FPRX,2014-04-03,18.63,18.63,17.04,17.88,168800
FPRX,2014-04-04,17.44,18.06,16.13,16.22,182900
FPRX,2014-04-07,16.62,17.82,15.51,16.29,196000
FPRX,2014-04-08,16,16.65,14.8,16.14,528600
FPRX,2014-04-09,16.2,16.63,15.69,16.5,351300
FPRX,2014-04-10,16.38,16.58,15.16,15.21,167800
FPRX,2014-04-11,15.05,15.42,14.28,14.34,291300
FPRX,2014-04-14,14.65,14.93,13.65,14.22,215900
FPRX,2014-04-15,14.33,14.51,13,13.99,291200
FPRX,2014-04-16,14.19,14.94,14.04,14.64,213400
FPRX,2014-04-17,15.24,15.43,14.28,14.92,190600
FPRX,2014-04-21,14.81,15.12,14.23,14.84,96700
FPRX,2014-04-22,14.94,16.27,14.89,15.78,168200
FPRX,2014-04-23,15.63,15.86,14.08,14.61,325300
FPRX,2014-04-24,14.68,15.12,14.05,14.58,138300
FPRX,2014-04-25,14.5,14.77,13.5,14.53,273900
FPRX,2014-04-28,14.62,14.64,13.26,13.8,165500
FPRX,2014-04-29,13.82,14.8,13.82,14.33,135100
FPRX,2014-04-30,14.18,14.39,13.34,13.97,118200
FPRX,2014-05-01,13.79,14.11,13.26,13.77,82500
FPRX,2014-05-02,13.75,14.17,13.25,13.69,127800
FPRX,2014-05-05,13.57,14.33,13.57,14.03,69400
FPRX,2014-05-06,13.89,14.46,13.74,14.23,78600
FPRX,2014-05-07,14.17,14.26,13.5,14.1,114400
FPRX,2014-05-08,13.92,14.3,13.22,13.3,140000
