ticker,date,open,high,low,close,volume
GLS,2020-08-24,9.75,9.85,9.75,9.85,100500
GLS,2020-08-26,9.85,9.85,9.85,9.85,100
GLS,2020-08-28,9.76,9.76,9.76,9.76,200000
GLS,2020-08-31,9.76,9.76,9.76,9.76,100
GLS,2020-09-01,9.83,9.91,9.75,9.89,4700
GLS,2020-09-02,9.77,9.8189,9.77,9.8188,1500
GLS,2020-09-03,9.825,9.825,9.825,9.825,300
GLS,2020-09-04,9.8,9.83,9.8,9.83,16000
GLS,2020-09-08,9.75,9.88,9.75,9.85,25100
GLS,2020-09-09,9.81,9.83,9.8,9.82,79000
GLS,2020-09-10,9.85,9.85,9.81,9.81,276700
GLS,2020-09-11,9.85,9.85,9.8,9.8,80700
GLS,2020-09-14,9.95,9.95,9.8,9.8,107800
GLS,2020-09-15,9.83,9.88,9.81,9.88,139300
GLS,2020-09-16,9.81,9.81,9.81,9.81,55800
GLS,2020-09-17,9.84,9.85,9.81,9.83,5800
GLS,2020-09-18,9.9,9.94,9.87,9.9,111600
GLS,2020-09-21,9.86,9.95,9.85,9.86,46300
GLS,2020-09-22,9.9,9.9,9.84,9.87,211000
GLS,2020-09-23,9.8699,9.8699,9.84,9.85,4700
GLS,2020-09-24,9.84,9.85,9.82,9.82,6400
GLS,2020-09-25,9.9,9.9,9.81,9.81,9700
GLS,2020-09-28,9.9,9.9,9.81,9.835,30400
GLS,2020-09-29,9.81,9.86,9.81,9.85,66700
GLS,2020-09-30,9.81,9.86,9.81,9.83,49000
GLS,2020-10-01,9.9,9.9,9.81,9.87,46600
GLS,2020-10-02,9.84,9.86,9.78,9.855,258100
GLS,2020-10-05,9.9,9.9,9.845,9.845,200500
GLS,2020-10-06,9.82,9.82,9.7,9.8,127600
GLS,2020-10-07,9.79,9.8,9.78,9.795,40600
GLS,2020-10-08,9.79,9.86,9.78,9.8,29900
GLS,2020-10-09,9.78,9.79,9.78,9.78,3900
GLS,2020-10-12,9.78,9.78,9.76,9.76,29500
GLS,2020-10-13,9.77,9.8,9.77,9.8,78900
GLS,2020-10-14,9.77,9.77,9.77,9.77,192100
GLS,2020-10-15,9.77,9.84,9.75,9.775,113200
GLS,2020-10-16,9.77,9.77,9.77,9.77,1600
GLS,2020-10-19,9.76,9.76,9.76,9.76,800
GLS,2020-10-20,9.76,9.8299,9.76,9.795,500
GLS,2020-10-21,9.76,9.76,9.755,9.76,10600
GLS,2020-10-22,9.75,9.78,9.71,9.74,112500
GLS,2020-10-23,9.72,9.72,9.72,9.72,100
GLS,2020-10-26,9.71,9.7221,9.71,9.71,4700
GLS,2020-10-27,9.71,9.755,9.71,9.75,1300
GLS,2020-10-28,9.7,9.7,9.7,9.7,6800
GLS,2020-10-29,9.7,9.7,9.67,9.67,300400
GLS,2020-10-30,9.67,9.686,9.67,9.67,84500
GLS,2020-11-02,9.68,9.68,9.66,9.68,23700
GLS,2020-11-03,9.67,9.67,9.67,9.67,200
GLS,2020-11-04,9.78,9.78,9.76,9.76,200
GLS,2020-11-05,9.65,9.7,9.65,9.67,9500
GLS,2020-11-06,9.67,9.76,9.67,9.67,22700
GLS,2020-11-09,9.71,9.8,9.67,9.71,6100
GLS,2020-11-10,9.7,9.7,9.67,9.7,6800
GLS,2020-11-11,9.76,9.8,9.75,9.75,1200
GLS,2020-11-13,9.71,9.8,9.7,9.7,8600
GLS,2020-11-16,9.8,9.8,9.65,9.71,164600
GLS,2020-11-17,9.72,9.75,9.71,9.74,3100
GLS,2020-11-18,9.8,9.8,9.73,9.76,2700
