ticker,date,open,high,low,close,volume
GNMK,2010-05-28,5.65,6,5.4,5.4,516100
GNMK,2010-06-01,5.19,5.19,4.64,5,434700
GNMK,2010-06-02,5,5.1,4.84,4.88,45900
GNMK,2010-06-03,4.88,5.1,4.7,4.95,111900
GNMK,2010-06-04,4.86,5.24,4.81,4.95,115200
GNMK,2010-06-07,4.89,5.25,4.87,4.87,22400
GNMK,2010-06-08,4.85,5.09,4.85,5.09,79600
GNMK,2010-06-09,5.15,5.15,4.83,4.9,50700
GNMK,2010-06-10,4.95,5.07,4.85,5,39000
GNMK,2010-06-11,4.86,4.91,4.85,4.86,69700
GNMK,2010-06-14,4.95,5.01,4.85,4.88,32500
GNMK,2010-06-15,4.89,4.99,4.81,4.85,117600
GNMK,2010-06-16,4.91,4.91,4.72,4.73,32600
GNMK,2010-06-17,4.84,4.84,4.47,4.54,62400
GNMK,2010-06-18,4.44,4.58,4.42,4.45,51300
GNMK,2010-06-21,4.5,4.5,4.22,4.26,29000
GNMK,2010-06-22,4.22,4.28,4.02,4.28,42300
GNMK,2010-06-23,4.2,4.39,4.2,4.27,8600
GNMK,2010-06-24,4.38,4.65,4.27,4.28,16400
GNMK,2010-06-25,4.22,4.37,4.22,4.22,4700
GNMK,2010-06-28,4.23,4.38,4.23,4.32,4400
GNMK,2010-06-29,4.24,4.32,4.22,4.23,20200
GNMK,2010-06-30,4.32,4.57,4.32,4.42,5400
GNMK,2010-07-01,4.45,4.57,4.45,4.57,13300
GNMK,2010-07-02,4.65,4.67,4.6,4.65,10400
GNMK,2010-07-06,4.65,4.78,4.65,4.77,7900
GNMK,2010-07-07,4.88,4.95,4.75,4.75,5000
GNMK,2010-07-08,4.8,4.82,4.46,4.46,22200
GNMK,2010-07-09,4.7,4.91,4.7,4.75,19700
GNMK,2010-07-12,4.85,4.96,4.75,4.75,9000
GNMK,2010-07-13,4.91,5.09,4.36,4.56,48600
GNMK,2010-07-14,4.42,4.76,4.36,4.36,9100
GNMK,2010-07-15,4.45,5.09,4.36,4.45,3000
GNMK,2010-07-16,4.36,4.5,4.36,4.44,2100
GNMK,2010-07-19,4.36,4.6,4.36,4.42,4600
GNMK,2010-07-20,4.46,4.5,4.4,4.5,10900
GNMK,2010-07-21,4.52,4.52,4.4,4.45,7500
GNMK,2010-07-22,4.4,4.5,4.36,4.5,22300
GNMK,2010-07-23,4.49,4.5,4.35,4.5,8600
GNMK,2010-07-26,4.47,4.51,4.4,4.44,6700
GNMK,2010-07-27,4.47,4.5,4.4,4.41,18300
GNMK,2010-07-28,4.4,4.44,4.3,4.3,5700
GNMK,2010-07-29,4.33,4.44,4.32,4.4,9300
GNMK,2010-07-30,4.32,4.48,4.24,4.48,9500
GNMK,2010-08-02,4.45,4.45,4.32,4.32,11000
GNMK,2010-08-03,4.26,4.48,4.26,4.4,7700
GNMK,2010-08-04,4.42,4.5,4.4,4.4,7700
GNMK,2010-08-05,4.5,4.51,4.44,4.49,3800
GNMK,2010-08-06,4.45,4.5,4.4,4.5,4900
GNMK,2010-08-09,4.5,4.5,4.41,4.5,7300
GNMK,2010-08-10,4.5,4.74,4.49,4.6,11400
GNMK,2010-08-11,5.14,5.15,4.5,4.52,21200
GNMK,2010-08-12,4.99,5,4.45,4.46,7800
GNMK,2010-08-13,4.5,4.72,4.5,4.72,2600
GNMK,2010-08-16,4.51,4.51,4.23,4.5,6000
GNMK,2010-08-17,4.36,4.49,4.35,4.35,1600
GNMK,2010-08-18,4.36,4.5,4.35,4.35,16800
GNMK,2010-08-19,4.45,4.5,4.36,4.5,1900
GNMK,2010-08-20,4.5,4.5,4.48,4.48,1000
GNMK,2010-08-23,4.48,4.48,4.3,4.3,3100
GNMK,2010-08-24,4.14,4.3,4.14,4.25,6200
GNMK,2010-08-25,4.27,4.34,4.26,4.34,2400
GNMK,2010-08-26,4.31,4.31,4.17,4.22,14600
GNMK,2010-08-27,4.22,4.23,4.06,4.17,32500
GNMK,2010-08-30,4.1,4.16,3.97,4.16,57200
GNMK,2010-09-01,4.13,4.13,3.92,4.03,13300
GNMK,2010-09-02,4,4.16,3.99,4,16900
GNMK,2010-09-03,4.1,4.16,4.05,4.14,10600
GNMK,2010-09-07,4.14,4.25,4,4,2800
GNMK,2010-09-08,3.9,4.19,3.9,4,29300
GNMK,2010-09-09,4,4,3.87,3.9,6600
GNMK,2010-09-10,3.92,3.98,3.82,3.91,18500
GNMK,2010-09-13,3.88,3.94,3.88,3.9,6000
GNMK,2010-09-14,3.89,4,3.72,4,29500
GNMK,2010-09-15,3.76,4,3.75,3.84,8300
GNMK,2010-09-16,3.75,3.75,3.7,3.7,18300
GNMK,2010-09-17,3.7,3.7,3.64,3.64,4100
GNMK,2010-09-20,3.67,3.89,3.65,3.82,6200
