ticker,date,open,high,low,close,volume
GNPX,2018-03-29,4.69,5.5,4.5,4.7,147500
GNPX,2018-04-02,4.95,4.95,4.38,4.5,29900
GNPX,2018-04-03,4.5,4.5,3.94,4.1,42700
GNPX,2018-04-04,3.95,4.25,3.84,3.84,37300
GNPX,2018-04-05,3.95,4.18,3.95,4.14,17100
GNPX,2018-04-06,4.5,5.89,4.31,5.45,241900
GNPX,2018-04-09,5.89,6.23,5,5.05,239900
GNPX,2018-04-10,5.03,5.5,4.72,4.72,55100
GNPX,2018-04-11,5.09,5.3,4.88,5.09,65300
GNPX,2018-04-12,5.09,5.39,5,5.02,24400
GNPX,2018-04-13,5.01,5.24,5.01,5.13,24700
GNPX,2018-04-16,5.15,5.25,4.57,4.85,26900
GNPX,2018-04-17,4.91,5.05,4.81,4.81,11000
GNPX,2018-04-18,4.8,4.98,4.35,4.61,14200
GNPX,2018-04-19,4.65,4.65,4,4.25,17900
GNPX,2018-04-20,4,4.3,4,4.28,26100
GNPX,2018-04-23,4.29,4.528,4.265,4.445,26900
GNPX,2018-04-24,4.5,5.24,4.41,4.98,84300
GNPX,2018-04-25,5.25,5.94,5.12,5.89,394000
GNPX,2018-04-26,5.9,18.39,5.89,11,3934000
GNPX,2018-04-27,14,17.9,12.05,15.21,4839800
GNPX,2018-04-30,18,19.45,14.5,15.49,2185500
GNPX,2018-05-01,14.37,14.48,12.81,13.2,782800
GNPX,2018-05-02,12.5,15.88,12.37,14,885900
GNPX,2018-05-03,14.01,15,13.17,14.37,169800
GNPX,2018-05-04,14.37,14.65,13.9,14.2,113600
GNPX,2018-05-07,15,15,13.55,13.8,106500
GNPX,2018-05-08,15,18.44,14.21,15.9,741200
GNPX,2018-05-09,17,17,14.3,15.37,174400
GNPX,2018-05-10,15.08,15.09,13.25,13.33,178700
GNPX,2018-05-11,13.13,13.13,10.7,10.87,318800
GNPX,2018-05-14,10.59,10.8,8.17,8.8,435900
GNPX,2018-05-15,8.74,10.76,8.52,10.58,337400
GNPX,2018-05-16,10.74,11.94,10,11.78,244600
GNPX,2018-05-17,11.9,12.67,10.56,11.59,264700
