ticker,date,open,high,low,close,volume
IKNA,2021-03-26,22.4,37.61,19.0101,32,2507700
IKNA,2021-03-29,28.25,33.69,24.52,28.3,413700
IKNA,2021-03-30,28.8,30.24,23.81,25.6,320100
IKNA,2021-03-31,25.01,28.68,24.3801,28.25,377800
IKNA,2021-04-01,27.01,27.01,23.18,26,256500
IKNA,2021-04-05,25.52,25.95,22.48,23.5,421500
IKNA,2021-04-06,23.76,24.77,21.415,22.22,188200
IKNA,2021-04-07,22.06,23.15,19.5,20.46,328300
IKNA,2021-04-08,20.47,21.5212,18.41,18.95,117900
IKNA,2021-04-09,18.97,19.02,15.75,16.05,133500
IKNA,2021-04-12,16.33,26.99,14.16,17.2,2968400
IKNA,2021-04-13,15.49,18,14.3581,17.89,275400
IKNA,2021-04-14,17.09,18.39,16.9901,17.68,143500
IKNA,2021-04-15,18.49,18.74,17.0001,18.45,121700
IKNA,2021-04-16,18.12,18.49,17.1353,17.99,55200
IKNA,2021-04-19,17.72,20.17,17.0001,19.94,130000
IKNA,2021-04-20,19.94,21.3199,18.06,18.39,99600
IKNA,2021-04-21,18.55,19.55,18.4203,19.24,105700
IKNA,2021-04-22,19.04,20.15,18.95,20.03,134700
IKNA,2021-04-23,20.39,21.5,19.34,20.94,238900
IKNA,2021-04-26,21.03,22.73,20.44,22.01,187200
IKNA,2021-04-27,22.25,22.25,20.61,22.06,78200
IKNA,2021-04-28,22.23,22.74,21.0206,22.05,304700
IKNA,2021-04-29,21.93,23.345,21.67,22.84,103900
IKNA,2021-04-30,22.55,24.9,22.55,24.47,128500
IKNA,2021-05-03,24.9,25.45,24.04,24.73,104400
IKNA,2021-05-04,24.48,25.25,23.11,24.62,190200
IKNA,2021-05-05,24.62,26.4899,23.84,25.64,197300
IKNA,2021-05-06,25.37,25.825,22.751,23.4,445600
IKNA,2021-05-07,23.51,24.38,23.51,23.81,69500
IKNA,2021-05-10,23.74,24.2467,22.11,22.32,164000
IKNA,2021-05-11,23.1104,23.1104,19.49,19.74,182000
IKNA,2021-05-12,19.51,20.4785,19.35,19.55,45100
IKNA,2021-05-13,19.63,19.74,16.855,16.89,442300
IKNA,2021-05-14,16.79,18.97,16.3001,18.33,115400
IKNA,2021-05-17,18.52,19.69,16.97,17.41,134300
IKNA,2021-05-18,17.41,18.16,16.985,17.79,48600
IKNA,2021-05-19,17.43,18.25,16.7,17.95,81100
IKNA,2021-05-20,18.12,19.01,17.9,18.88,64200
IKNA,2021-05-21,19.28,19.3,18.61,19.11,82200
IKNA,2021-05-24,19.18,20,19.16,19.57,86400
IKNA,2021-05-25,20.05,21.1816,19.58,19.61,74500
IKNA,2021-05-26,19.88,20.41,19.51,19.77,49700
IKNA,2021-05-27,20,20.37,19.07,19.07,55400
IKNA,2021-05-28,19.41,19.7,17.81,18,52800
IKNA,2021-06-01,17.82,18.37,17.15,17.55,104500
IKNA,2021-06-02,17.84,17.905,16.6,16.67,46800
IKNA,2021-06-03,16.7,17.8575,15.21,15.59,96400
IKNA,2021-06-04,15.62,16.79,14.69,15.68,93500
IKNA,2021-06-07,15.71,16.36,14.85,15.04,47300
IKNA,2021-06-08,15.17,15.48,14.865,15.33,153400
IKNA,2021-06-09,15.38,15.96,15.32,15.42,62200
IKNA,2021-06-10,15.43,15.54,14.76,15.14,31900
IKNA,2021-06-11,15.37,15.37,14.41,14.55,41000
IKNA,2021-06-14,14.75,15.25,13.69,13.73,107900
IKNA,2021-06-15,13.83,14.08,13,13.43,82300
IKNA,2021-06-16,13.49,13.84,13.1,13.72,106000
IKNA,2021-06-17,13.76,14.48,13.51,14.05,92500
IKNA,2021-06-18,14.24,14.51,13.15,13.27,392300
IKNA,2021-06-21,13.79,14.41,13.63,14.1,98700
IKNA,2021-06-22,13.94,14.77,13.9,14.53,92300
IKNA,2021-06-23,14.81,14.99,14.38,14.46,113200
IKNA,2021-06-24,14.8,15.18,14.5,14.88,74900
IKNA,2021-06-25,15.05,15.23,13.76,14.37,1079900
IKNA,2021-06-28,14.35,14.705,13.87,14.3,88500
IKNA,2021-06-29,14.49,14.56,13.44,13.54,71100
IKNA,2021-06-30,13.46,14.33,13,14.04,58500
IKNA,2021-07-01,14.14,14.28,13.52,14.2,70300
IKNA,2021-07-02,14.2,14.35,13.01,13.26,51600
IKNA,2021-07-06,13.25,13.59,12.6,13.04,36300
IKNA,2021-07-07,12.94,13.595,12.81,13.47,19500
IKNA,2021-07-08,12.995,13.575,12.885,13.33,57800
IKNA,2021-07-09,13.48,14.67,13.48,14.5,121300
IKNA,2021-07-12,14.3,15.33,14.11,15.23,66300
IKNA,2021-07-13,15.06,15.06,12.58,12.72,81400
IKNA,2021-07-14,12.79,12.81,11.18,11.26,109800
IKNA,2021-07-15,11.24,11.94,11,11.62,50200
IKNA,2021-07-16,11.84,13.59,11.32,13.17,91100
IKNA,2021-07-19,12.59,13.01,11.34,11.44,47000
IKNA,2021-07-20,11.5,17.6,11.45,13.36,2525600
IKNA,2021-07-21,12.87,13.07,11.4,11.62,374300
IKNA,2021-07-22,11.64,12.99,11.2,11.62,174300
IKNA,2021-07-23,11.52,11.6,10.56,10.9,113700
IKNA,2021-07-26,10.87,11.67,10.47,11.49,53200
IKNA,2021-07-27,11.39,11.62,11.02,11.18,33800
IKNA,2021-07-28,11.18,11.18,10.3347,10.8,58100
IKNA,2021-07-29,10.82,11.385,10.57,10.62,22700
IKNA,2021-07-30,10.68,10.76,9.64,9.91,59400
IKNA,2021-08-02,10.11,10.9891,9.9,10.07,28100
