ticker,date,open,high,low,close,volume
IMRA,2020-03-12,14,15.4,13.4,15,455900
IMRA,2020-03-13,16,16.792,15.75,16,109800
IMRA,2020-03-16,16.02,16.03,14.81,15.5,76900
IMRA,2020-03-17,15.54,15.97,15.5,15.6,18100
IMRA,2020-03-18,15.6316,17.25,15.5014,16,70600
IMRA,2020-03-19,16,17.5,15.6,16.6,123500
IMRA,2020-03-20,16.5,17,15.75,16,32400
IMRA,2020-03-23,16.21,17,15.545,16,37000
IMRA,2020-03-24,16.34,16.7,15.75,16.12,34000
IMRA,2020-03-25,16.31,16.32,16.1026,16.18,2600
IMRA,2020-03-26,16.49,16.5,15.8187,16,14200
IMRA,2020-03-27,15.8795,16.13,15.8795,15.98,1100
IMRA,2020-03-30,15.7502,16.21,15.7502,16,4500
IMRA,2020-03-31,15.7502,16.0721,15.7502,16.03,10100
IMRA,2020-04-01,16.13,16.35,15.75,15.75,1500
IMRA,2020-04-02,15.75,15.875,15.75,15.75,1400
IMRA,2020-04-03,15.8062,16.1346,15.75,15.75,15000
IMRA,2020-04-06,16.03,16.4999,15.75,15.75,25100
IMRA,2020-04-07,16,16.5,15.7,15.99,18000
IMRA,2020-04-08,16.5,16.5,15.25,16.02,6100
IMRA,2020-04-09,16,16.08,15.75,15.9,10800
IMRA,2020-04-13,15.59,15.75,15.26,15.7,14900
IMRA,2020-04-14,15.45,15.84,15.25,15.65,13500
IMRA,2020-04-15,15.65,16,14.26,15.6,16000
IMRA,2020-04-16,14.53,16.27,14.53,16,160500
IMRA,2020-04-17,16.02,16.44,14.7946,15.9,116400
IMRA,2020-04-20,15.64,16.2,15.64,16.05,7900
IMRA,2020-04-21,16.03,16.03,15.5785,16.02,7300
IMRA,2020-04-22,16.06,16.06,15.78,16,3500
IMRA,2020-04-23,16,16.5,16,16.15,13700
IMRA,2020-04-24,16.02,16.34,16,16.02,10700
IMRA,2020-04-27,16.2,17.52,16.2,17.46,35500
IMRA,2020-04-28,17.25,18,16.23,17.65,25500
IMRA,2020-04-29,17.73,17.7839,16.66,17.44,12500
IMRA,2020-04-30,16.77,17.5,16.7023,17.5,6400
IMRA,2020-05-01,17.24,17.39,16.55,17.27,6400
IMRA,2020-05-04,16.51,18.37,16.505,18.24,12800
IMRA,2020-05-05,17.79,24,17,24,16100
IMRA,2020-05-06,23.88,26.075,20.74,22.6,109500
IMRA,2020-05-07,21.97,23.7,18.5,20,72900
IMRA,2020-05-08,20.25,23.25,20,22.85,13500
IMRA,2020-05-11,22.85,25.94,22.85,24.92,159800
IMRA,2020-05-12,25.95,26.49,23.6,23.6,18200
IMRA,2020-05-13,25.74,25.74,20.57,21.71,8300
IMRA,2020-05-14,23.63,25.95,20.5313,25.95,87200
IMRA,2020-05-15,26.27,30,25.95,27.25,55100
IMRA,2020-05-18,27.88,28.5,26.14,26.32,64700
IMRA,2020-05-19,28,30.8,26.4,26.96,7300
IMRA,2020-05-20,27.75,28.555,26.27,26.27,199000
IMRA,2020-05-21,26.72,27.5,25.75,25.75,137400
IMRA,2020-05-22,25.7,27.99,25.07,26.98,47800
IMRA,2020-05-26,27.59,28.1229,27.38,28,9900
IMRA,2020-05-27,26.2158,31.59,25.7684,29.1,15100
IMRA,2020-05-28,28.68,33,27.485,32.96,26200
IMRA,2020-05-29,35.86,35.86,30,33.49,16500
IMRA,2020-06-01,34.07,36.99,33.01,36.57,31400
IMRA,2020-06-02,36.57,38.31,36.05,36.51,22900
IMRA,2020-06-03,37.4,44.9199,32.1818,44.9,34300
IMRA,2020-06-04,45.69,56.46,40.819,52.25,71300
IMRA,2020-06-05,54.44,55,46.065,47.12,42700
IMRA,2020-06-08,47.15,54.075,44.1967,51.5,227000
IMRA,2020-06-09,50.45,62.71,49.52,53.29,183500
IMRA,2020-06-10,54.37,59.8,46.53,48.7,306300
IMRA,2020-06-11,44.95,56.9999,42,54.87,163300
IMRA,2020-06-12,55.1,56.01,42.0101,45.75,224900
IMRA,2020-06-15,45.6,45.71,36.295,38.91,229700
IMRA,2020-06-16,40.05,42,36.743,38,118000
IMRA,2020-06-17,37.91,44.99,37.88,42.54,161600
IMRA,2020-06-18,42.01,45.26,38,39.97,110700
IMRA,2020-06-19,40.06,46.725,38.4501,43.51,337100
IMRA,2020-06-22,41.71,47.09,39.31,40.91,159000
IMRA,2020-06-23,41.07,44.281,37.795,39,116400
IMRA,2020-06-24,39.01,40.699,35.8159,36.65,137200
IMRA,2020-06-25,36.65,40,35,36.9,113200
IMRA,2020-06-26,37.06,38.91,33.105,34.23,711400
IMRA,2020-06-29,33.99,34.8,28.28,28.48,139400
IMRA,2020-06-30,28.48,29.5799,26.7501,27.63,68800
IMRA,2020-07-01,27.63,31.3594,27.63,28.58,66300
IMRA,2020-07-02,28.87,29.7,26.49,28.46,55500
IMRA,2020-07-06,28,28.51,26.74,27.13,44400
IMRA,2020-07-07,27.2,27.2,25.6,25.8,43000
IMRA,2020-07-08,25.81,26.27,24.68,25.04,20100
IMRA,2020-07-09,24.93,25.11,22.88,23.03,57800
IMRA,2020-07-10,23.49,24.95,23.138,24.95,18400
IMRA,2020-07-13,24.65,25.8257,21.795,22.1,38100
IMRA,2020-07-14,22.34,23.03,20.75,21.49,48800
IMRA,2020-07-15,21.41,23.3599,21.1,21.66,29000
IMRA,2020-07-16,21.76,22.7411,20.7169,21.62,27000
IMRA,2020-07-17,21.13,21.13,20.11,20.36,34600
IMRA,2020-07-20,20.59,21.0083,19.18,19.51,31100
IMRA,2020-07-21,20.36,20.36,18.38,18.75,30600
IMRA,2020-07-22,18.69,19.8359,18.43,19.15,59700
IMRA,2020-07-23,18.8,20.5399,18.8,20.1,28300
IMRA,2020-07-24,20.19,20.705,18.995,20.35,27200
IMRA,2020-07-27,20.19,22.03,19.85,21.68,76100
IMRA,2020-07-28,21.06,21.1,19.3879,20.13,17000
IMRA,2020-07-29,20.09,20.25,19.8,20.01,30800
IMRA,2020-07-30,20,20.5599,19.9,20.23,11700
IMRA,2020-07-31,20,20.38,20,20.19,13000
IMRA,2020-08-03,20.27,20.27,20,20.26,15000
IMRA,2020-08-04,20.31,21.75,20,20.52,11200
IMRA,2020-08-05,20.51,20.99,20,20.5,10500
IMRA,2020-08-06,20.5,20.915,20,20.08,7700
IMRA,2020-08-07,20,20.55,20,20.46,8900
IMRA,2020-08-10,20.57,21.59,19.9,20,30100
IMRA,2020-08-11,20,20.95,19.8,20.01,15800
IMRA,2020-08-12,20.5257,21.43,20.315,20.54,8800
IMRA,2020-08-13,20.12,20.5,20,20.21,9900
IMRA,2020-08-14,20.99,21.26,20,20.61,20400
IMRA,2020-08-17,24.48,36,22.105,23.76,1102300
IMRA,2020-08-18,23.38,25.86,20.2901,24.42,256600
IMRA,2020-08-19,24.02,24.65,23.15,24.22,83500
IMRA,2020-08-20,23.69,27.075,23.61,25.83,92500
IMRA,2020-08-21,25.76,28,24.5201,26.71,70400
IMRA,2020-08-24,27.23,30,25.03,25.79,60900
IMRA,2020-08-25,26.03,26.8,24.83,25.79,28200
IMRA,2020-08-26,25.69,27.02,23.93,24.19,37600
IMRA,2020-08-27,24.08,24.35,22.52,24.02,41800
IMRA,2020-08-28,23.92,25.015,23.036,24.6,26500
IMRA,2020-08-31,24.41,25.46,23.0501,23.24,28000
IMRA,2020-09-01,22.89,24.83,22.89,23.52,24600
IMRA,2020-09-02,23.86,24.2168,22.9,22.97,16400
IMRA,2020-09-03,22.96,23.68,22.96,23.22,38100
IMRA,2020-09-04,23.06,23.97,20.66,22.82,23100
IMRA,2020-09-08,22.45,25.61,20.5106,22.23,103800
IMRA,2020-09-09,21.68,22.97,21.42,22.84,25500
IMRA,2020-09-10,23.76,23.78,22.5,23,91900
IMRA,2020-09-11,22.85,24.96,21.56,21.84,24100
IMRA,2020-09-14,22.27,22.74,21.67,22.29,7700
IMRA,2020-09-15,22.5,23.25,22.5,22.66,3500
IMRA,2020-09-16,22.75,23.44,22.7,22.98,9500
IMRA,2020-09-17,24.54,26.32,23,24.4,119200
IMRA,2020-09-18,25,25.975,23.5,25.25,42000
IMRA,2020-09-21,24.3851,25.25,22.615,22.62,349300
IMRA,2020-09-22,23.17,23.9,23.16,23.3,6400
IMRA,2020-09-23,23.4,23.525,22.7441,23.43,7700
IMRA,2020-09-24,23.2,23.5,21.02,21.16,329900
IMRA,2020-09-25,22.17,22.73,21.7,22.25,21600
IMRA,2020-09-28,22.49,22.88,21.7359,22.12,8200
IMRA,2020-09-29,21.03,22.0094,21.03,21.82,6000
IMRA,2020-09-30,21.5,21.5,20.12,20.34,24800
IMRA,2020-10-01,20,20.865,19.765,20.37,16100
IMRA,2020-10-02,20.12,20.2512,18.73,18.89,24000
IMRA,2020-10-05,19.08,19.31,18.72,19.22,9000
IMRA,2020-10-06,21.33,21.33,18.87,19.22,27100
IMRA,2020-10-07,19.19,21.46,18.36,21.46,50700
IMRA,2020-10-08,20.95,21.2541,19.21,20.31,120500
IMRA,2020-10-09,20.3,20.99,19.79,19.84,10300
IMRA,2020-10-12,19.85,19.8701,19.25,19.66,9000
IMRA,2020-10-13,19.49,19.97,19.41,19.84,7500
IMRA,2020-10-14,19.6,20.2,19.6,19.75,8700
IMRA,2020-10-15,18.63,19.65,18.6251,19.52,8300
IMRA,2020-10-16,19.31,20.45,18.89,19.47,14100
IMRA,2020-10-19,19.21,19.8625,18.4104,18.7,12300
IMRA,2020-10-20,19.12,19.12,17.8,17.99,12500
IMRA,2020-10-21,18,18.395,15.5246,16.63,17700
IMRA,2020-10-22,17,18.53,16.64,17.83,16400
IMRA,2020-10-23,17.85,18.165,16.99,17.24,16400
IMRA,2020-10-26,17.02,17.18,16.14,16.33,10300
IMRA,2020-10-27,16.12,16.73,15.74,15.94,11900
IMRA,2020-10-28,16,16.81,15.6,16.03,15800
IMRA,2020-10-29,16.19,16.69,16.1312,16.64,5600
IMRA,2020-10-30,16.63,17.9785,15.56,15.81,14600
IMRA,2020-11-02,15.69,16.73,15.69,16.45,5100
IMRA,2020-11-03,16.77,16.94,15.78,16.63,15300
IMRA,2020-11-04,16.34,16.83,16.1136,16.65,9500
IMRA,2020-11-05,16.54,18.27,16.27,16.3,16500
IMRA,2020-11-06,16.65,16.65,15.88,16.09,5900
IMRA,2020-11-09,17.47,18.945,16.1214,18.47,28200
IMRA,2020-11-10,18.9,20.79,18.5,18.97,58700
IMRA,2020-11-11,18.79,19.76,18.62,19.68,11200
IMRA,2020-11-12,19.23,20.2,18.9,19.66,20400
IMRA,2020-11-13,19.95,20.98,19.2,20.05,19400
IMRA,2020-11-16,20.39,20.98,20.39,20.82,18300
IMRA,2020-11-17,20.75,20.7998,20,20.53,8200
IMRA,2020-11-18,19.792,20.7,19.7228,20.21,9500
IMRA,2020-11-19,20.41,20.6,19.55,20.55,7300
IMRA,2020-11-20,19.89,21.19,19.83,20.5,17900
IMRA,2020-11-23,21.03,25,21.03,24.5,192800
IMRA,2020-11-24,25,25,23.3501,24.02,49700
IMRA,2020-11-25,22.77,27.99,22.6119,27.99,68300
IMRA,2020-11-27,28.15,29.915,27.02,29,30500
IMRA,2020-11-30,29.1,29.1,24.3,25.51,29900
IMRA,2020-12-01,26.36,27.97,24.24,26.12,29000
IMRA,2020-12-02,24.99,28.95,24.462,26.24,52700
IMRA,2020-12-03,26.39,27.25,25.2243,25.75,21700
IMRA,2020-12-04,25.56,27.3731,24.47,26.14,34400
IMRA,2020-12-07,25.05,26.1,24.22,25.8,36100
IMRA,2020-12-08,28.05,28.05,25.325,25.49,25900
IMRA,2020-12-09,25.3,26.17,23.67,23.73,23000
IMRA,2020-12-10,23.94,24.82,20.23,21.92,38900
IMRA,2020-12-11,21.84,25.66,21.84,24.12,54100
IMRA,2020-12-14,24.16,24.905,24,24.14,32500
IMRA,2020-12-15,24.31,24.88,23.13,24.31,29900
IMRA,2020-12-16,24.3,24.6,23.5308,24.13,26400
IMRA,2020-12-17,24.33,25.74,23.34,23.87,40400
IMRA,2020-12-18,23.76,26.8219,22.599,23.85,316400
IMRA,2020-12-21,23.95,23.95,22.19,22.84,15000
IMRA,2020-12-22,22.84,24.76,22.79,23.43,25100
IMRA,2020-12-23,23.22,23.668,21.9,22.5,33200
IMRA,2020-12-24,24.1,24.1,22.02,22.02,3700
IMRA,2020-12-28,22.19,23.575,22.19,22.58,8800
IMRA,2020-12-29,23.4,23.4,20.93,21.14,18200
IMRA,2020-12-30,23.54,24.1,20.96,21.33,18000
IMRA,2020-12-31,21.07,22.2,20.56,22.05,16600
IMRA,2021-01-04,22.06,24.1,22.05,23.98,25900
IMRA,2021-01-05,23.99,24.1,23.4,23.73,9700
IMRA,2021-01-06,17,17,14.28,14.72,1401800
IMRA,2021-01-07,15.4,15.4,14.06,14.08,703600
IMRA,2021-01-08,14.27,14.28,12.9,13.4,645500
IMRA,2021-01-11,13.91,14.56,13.4,14.07,361300
IMRA,2021-01-12,14.3,14.33,13.86,14.07,172700
IMRA,2021-01-13,13.99,14.0486,13.58,13.77,122700
IMRA,2021-01-14,13.76,13.99,13.65,13.84,186500
IMRA,2021-01-15,14,14.08,13.67,13.74,133900
IMRA,2021-01-19,13.98,14.09,13.51,14.06,145900
IMRA,2021-01-20,14.16,14.3999,13.86,14.25,131600
IMRA,2021-01-21,14.1,14.3,13.9101,14.05,91700
IMRA,2021-01-22,14.04,14.16,13.8,14.04,85000
IMRA,2021-01-25,14.14,14.15,13.5789,13.75,124900
IMRA,2021-01-26,13.88,13.94,13.67,13.83,103100
IMRA,2021-01-27,13.51,13.67,13.1,13.2,177400
IMRA,2021-01-28,13.22,13.45,12.91,13.05,153600
