ticker,date,open,high,low,close,volume
IMRN,2017-03-02,10.48,10.48,10.48,10.48,100
IMRN,2017-04-18,16.34,16.34,16.34,16.34,100
IMRN,2017-06-09,9.25,9.26,8.2,8.35,185600
IMRN,2017-06-12,8.45,8.7,8.15,8.7,39200
IMRN,2017-06-13,8.6,8.6,7.8,7.9,46500
IMRN,2017-06-14,8.5,8.5,7.75,8,28400
IMRN,2017-06-15,7.66,8.5,7.66,8.35,25500
IMRN,2017-06-16,8.28,8.9,8.25,8.55,137700
IMRN,2017-06-19,8.27,9.91,8.25,9.78,326900
IMRN,2017-06-20,9.79,10,8.61,9.11,109600
IMRN,2017-06-21,8.7,9.16,8.13,8.6,45100
IMRN,2017-06-22,8.5,8.7,8.15,8.31,28400
IMRN,2017-06-23,8.48,8.68,8.29,8.65,28900
IMRN,2017-06-26,8.69,8.7,8.2,8.32,6400
IMRN,2017-06-27,8.24,8.35,8.14,8.29,6300
IMRN,2017-06-28,8.63,8.77,8.12,8.3,18600
IMRN,2017-06-29,8.27,8.59,8.11,8.5,20100
IMRN,2017-06-30,8.52,8.62,8.3,8.6,12600
IMRN,2017-07-03,9.2,9.2,8.18,8.48,9500
IMRN,2017-07-05,8.35,8.8,8.33,8.69,16900
IMRN,2017-07-06,8.3,8.46,8.25,8.46,10900
IMRN,2017-07-07,8.49,8.55,8.26,8.34,8900
IMRN,2017-07-10,8.2,8.45,6.59,7.4,49700
IMRN,2017-07-11,7.35,7.77,6.63,6.98,24200
IMRN,2017-07-12,6.9,7.5,5.77,6.07,25900
IMRN,2017-07-13,6.25,6.61,5.47,5.79,21900
IMRN,2017-07-14,6.23,6.42,5.7,6.34,21300
IMRN,2017-07-17,6.29,6.54,5.805,6.4,15200
IMRN,2017-07-18,6.4,6.79,6.35,6.5,12100
IMRN,2017-07-19,6.36,6.36,6.2,6.3,2800
IMRN,2017-07-20,6.34,6.34,6.34,6.34,200
IMRN,2017-07-21,5.96,6.13,5.9,6.02,3300
IMRN,2017-07-24,6.07,6.5,6.07,6.49,7400
IMRN,2017-07-25,6.5,6.5,6.3,6.32,6700
IMRN,2017-07-26,6.35,6.42,6.3,6.4,5900
IMRN,2017-07-27,6.21,6.39,6,6,7200
IMRN,2017-07-28,5.98,6.13,5.89,6.1,2200
IMRN,2017-07-31,6.15,6.17,5.7,5.72,12000
IMRN,2017-08-01,5.8,5.85,5.4,5.81,11000
IMRN,2017-08-02,5.75,5.75,4.99,5.3,13900
IMRN,2017-08-03,5.5,5.88,5.5,5.5,2500
IMRN,2017-08-04,5.5,5.5,5.5,5.5,1200
IMRN,2017-08-07,5.46,5.77,4.47,5.01,1000
IMRN,2017-08-08,5.7,5.7,5.03,5.15,8300
IMRN,2017-08-09,5.1,5.2,4.74,5,9800
IMRN,2017-08-10,4.95,5.25,4.59,5.25,3700
IMRN,2017-08-11,5.21,5.48,4.94,5.37,2500
IMRN,2017-08-14,5.34,5.35,5.21,5.28,9200
IMRN,2017-08-15,5.16,5.28,5.16,5.28,400
IMRN,2017-08-16,5.5,5.72,5.5,5.64,8800
IMRN,2017-08-17,5.75,5.75,5.7,5.7,3100
IMRN,2017-08-18,5.25,5.25,5.25,5.25,100
IMRN,2017-08-21,5.25,5.45,5.25,5.41,1500
IMRN,2017-08-22,5.25,6.35,5.25,5.45,29600
IMRN,2017-08-23,5.55,6.36,5.55,6.36,16500
IMRN,2017-08-24,6.2,6.5,5.96,6.09,18000
IMRN,2017-08-25,6.01,6.45,5.7,5.95,10200
IMRN,2017-08-28,6.05,6.16,5.65,5.88,31600
IMRN,2017-08-29,5.83,6.03,5.83,5.87,7600
IMRN,2017-08-31,6.4,6.5,5.8,6.44,4600
IMRN,2017-09-01,6.23,6.23,5.95,6,12000
IMRN,2017-09-05,6,6.5,5.88,6.49,32100
IMRN,2017-09-06,6.06,6.2,5.5,5.5,11800
IMRN,2017-09-07,5.5,5.67,5.42,5.66,3500
IMRN,2017-09-08,5.68,5.68,5.33,5.45,7300
IMRN,2017-09-11,5.54,5.66,5.45,5.5,12600
IMRN,2017-09-12,5.75,5.94,5.6,5.6,6900
IMRN,2017-09-13,6,6.5,5.6,5.79,9600
IMRN,2017-09-14,5.73,6.21,5.73,5.88,9500
