ticker,date,open,high,low,close,volume
INBX,2020-08-19,22.1,26.9799,20.26,20.63,2857500
INBX,2020-08-20,19.7,20.65,17.3,20.65,451100
INBX,2020-08-21,20,21.9899,19.315,20.43,211400
INBX,2020-08-24,20.43,20.43,18.21,20.38,151900
INBX,2020-08-25,20,20,18.76,19.45,216900
INBX,2020-08-26,19.77,19.77,17.81,18.36,419000
INBX,2020-08-27,18.23,18.5355,15.76,17.21,213200
INBX,2020-08-28,16.33,17.65,16.33,16.84,96000
INBX,2020-08-31,18.4,18.4,17.01,17.49,72500
INBX,2020-09-01,17.52,18.2,17,17.11,63700
INBX,2020-09-02,17.1,17.31,16.5101,16.77,39100
INBX,2020-09-03,16.53,18.4,16.51,18.39,77200
INBX,2020-09-04,18.17,18.44,16.82,17.89,57400
INBX,2020-09-08,16.69,21.19,16.69,19.7,219200
INBX,2020-09-09,19.5,19.7789,18.04,18.78,35500
INBX,2020-09-10,18.62,18.62,16.96,17.04,96100
INBX,2020-09-11,17.04,17.62,16.95,17.1,39300
INBX,2020-09-14,17.78,18.93,17.22,17.36,122400
INBX,2020-09-15,18.39,18.4895,17.03,17.29,76200
INBX,2020-09-16,17.74,18.66,17,17.3,57000
INBX,2020-09-17,17.35,18.5,17.35,18.43,32900
INBX,2020-09-18,18.23,18.68,17,17.23,55700
INBX,2020-09-21,17.22,17.77,17.0701,17.49,37000
INBX,2020-09-22,17.5,17.62,17.11,17.31,41800
INBX,2020-09-23,17.21,18.145,17.21,17.84,62000
INBX,2020-09-24,17.68,18.345,17.5407,17.91,26200
INBX,2020-09-25,18.12,18.24,17.51,18.13,43600
INBX,2020-09-28,18.12,18.35,17.29,17.35,35600
INBX,2020-09-29,17.29,18.2,17.29,17.77,20500
INBX,2020-09-30,17.8,18.43,17.79,18,34800
INBX,2020-10-01,18.31,18.88,17.51,17.73,45400
INBX,2020-10-02,17.75,18,17.12,17.44,53800
INBX,2020-10-05,17.5,17.86,17.39,17.46,37200
INBX,2020-10-06,17.6383,17.6383,16.66,17.45,213300
INBX,2020-10-07,17.3,17.58,15.42,17,193700
INBX,2020-10-08,17.16,18.16,16.75,17.97,48500
INBX,2020-10-09,17.97,18.15,17.474,18.14,16000
INBX,2020-10-12,17.715,19.1,17.715,18.97,45200
INBX,2020-10-13,18.7,19.535,18.11,18.9,20800
INBX,2020-10-14,18.91,18.91,17.77,18.03,30800
INBX,2020-10-15,17.94,18.58,17.78,17.9,123400
INBX,2020-10-16,18,18.56,17,17.54,36900
INBX,2020-10-19,17.61,18.52,17,17.35,53400
INBX,2020-10-20,17.45,18.46,17,18.46,73400
INBX,2020-10-21,18.01,18.7,18.01,18.47,32500
INBX,2020-10-22,18.52,18.89,18,18.89,19400
INBX,2020-10-23,18.99,19.69,18.05,19.14,39700
INBX,2020-10-26,19.07,20.41,18.75,20.29,21100
INBX,2020-10-27,20.57,21.88,19.48,21.87,58900
INBX,2020-10-28,21.69,21.69,18.97,19,57800
INBX,2020-10-29,19.06,19.7199,16.9,17.1,163900
INBX,2020-10-30,17.08,17.82,16.805,17.04,87700
INBX,2020-11-02,17.45,17.7,15.2,15.96,100800
INBX,2020-11-03,15.98,17.47,15.98,17.36,119100
INBX,2020-11-04,17.56,19.5,17.56,19.49,72500
INBX,2020-11-05,19.35,19.9,18.14,19.56,37600
INBX,2020-11-06,19.69,19.69,18.06,19.03,31900
INBX,2020-11-09,19.06,19.2,18.1,18.96,61800
INBX,2020-11-10,18.74,19.175,18.14,18.39,14500
