ticker,date,open,high,low,close,volume
INGR,2002-04-05,15.8,15.9,15.5,15.51,91400
INGR,2002-04-08,15.55,15.865,15.505,15.65,206000
INGR,2002-04-09,15.76,15.825,15.725,15.775,245600
INGR,2002-04-10,15.85,15.995,15.775,15.875,213200
INGR,2002-04-11,15.875,16.1,15.735,15.74,213200
INGR,2002-04-12,15.77,16.215,15.7,16.115,269800
INGR,2002-04-15,16.2,16.3,15.6,15.685,317200
INGR,2002-04-16,15.995,16.125,15.81,16.11,289600
INGR,2002-04-17,16.16,16.175,16,16.01,127200
INGR,2002-04-18,16.1,16.125,15.675,15.975,166400
INGR,2002-04-19,16,16.225,15.975,16.1,88000
INGR,2002-04-22,16.15,16.275,16.15,16.2,213800
INGR,2002-04-23,16.175,16.295,16.175,16.25,320000
INGR,2002-04-24,16.3,16.35,16.115,16.15,274600
INGR,2002-04-25,16.16,16.45,16.16,16.38,126800
INGR,2002-04-26,16.3,16.305,16.2,16.25,168200
INGR,2002-04-29,16.2,16.225,16.15,16.225,144600
INGR,2002-04-30,16.225,16.565,16.225,16.55,274200
INGR,2002-05-01,16.55,16.745,16.385,16.6,176000
INGR,2002-05-02,16.575,17.13,16.53,16.93,377400
INGR,2002-05-03,16.98,17.14,16.95,17.085,286600
INGR,2002-05-06,17.15,17.385,16.8,16.8,322400
INGR,2002-05-07,16.85,16.98,16.775,16.875,123600
INGR,2002-05-08,16.775,17,16.62,16.905,146000
INGR,2002-05-09,16.955,17.18,16.675,16.675,270600
INGR,2002-05-10,16.89,16.94,16.68,16.715,176200
INGR,2002-05-13,16.77,16.93,16.77,16.905,357000
INGR,2002-05-14,16.95,17.05,16.85,17.05,313600
INGR,2002-05-15,17.05,17.05,16.875,16.93,130000
INGR,2002-05-16,16.925,17.165,16.79,16.84,285800
INGR,2002-05-17,16.875,16.975,16.74,16.92,153000
INGR,2002-05-20,16.95,16.95,16.825,16.825,121600
INGR,2002-05-21,16.75,16.895,16.53,16.705,248999
INGR,2002-05-22,16.68,17.015,16.675,16.825,104800
INGR,2002-05-23,16.825,16.985,16.45,16.95,144400
INGR,2002-05-24,16.875,16.99,16.75,16.795,94200
INGR,2002-05-28,16.75,16.975,16.5,16.905,185000
INGR,2002-05-29,16.925,16.925,16.28,16.455,226800
INGR,2002-05-30,16.5,16.95,16.455,16.93,126800
INGR,2002-05-31,16.93,17,16.825,16.95,224000
INGR,2002-06-03,16.95,16.95,16.595,16.81,171800
INGR,2002-06-04,16.875,16.925,16.49,16.61,155400
INGR,2002-06-05,16.6,16.65,16.4,16.45,317400
INGR,2002-06-06,16.4,16.5,16.065,16.065,186600
INGR,2002-06-07,16.1,16.1,15.75,16.05,213000
INGR,2002-06-10,16.05,16.05,15.85,15.85,171600
INGR,2002-06-11,15.9,15.94,15.555,15.74,99600
INGR,2002-06-12,15.84,15.85,15.4,15.4,244800
INGR,2002-06-13,15.4,15.725,15.3,15.425,315200
INGR,2002-06-14,15.41,15.455,15.265,15.325,171400
INGR,2002-06-17,15.335,15.81,15.28,15.81,289200
INGR,2002-06-18,15.775,15.88,15.675,15.845,174800
INGR,2002-06-19,15.825,15.825,15,15.05,312800
INGR,2002-06-20,15.05,15.525,15.05,15.385,121800
INGR,2002-06-21,15.535,15.855,15.43,15.65,440000
INGR,2002-06-24,15.595,15.78,15.4,15.425,134200
INGR,2002-06-25,15.5,15.665,15.405,15.515,161000
INGR,2002-06-26,15.355,15.4,15.205,15.255,37400
INGR,2002-06-27,15.205,15.625,15.18,15.625,147400
INGR,2002-06-28,15.525,15.675,15.325,15.56,522800
INGR,2002-07-01,15.625,15.625,15.275,15.6,170000
INGR,2002-07-02,15.575,15.6,15.095,15.31,287200
INGR,2002-07-03,15.325,15.325,14.865,14.985,187800
INGR,2002-07-05,14.985,15.475,14.945,15.44,69000
INGR,2002-07-08,15.365,15.725,15.08,15.105,347600
INGR,2002-07-09,15.175,15.18,14.97,15,104400
INGR,2002-07-10,15,15,14.6,14.625,127400
INGR,2002-07-11,14.6,14.775,14.345,14.44,164400
INGR,2002-07-12,14.475,14.495,13.3,13.68,374800
INGR,2002-07-15,13.63,13.85,12.93,13.845,443000
INGR,2002-07-16,14.05,14.18,13.375,13.45,287000
INGR,2002-07-17,13.525,13.95,13.525,13.875,196800
INGR,2002-07-18,13.875,13.875,12.9,12.935,248199
INGR,2002-07-19,12.925,13.075,12.65,12.655,185800
INGR,2002-07-22,12.51,12.54,12.295,12.425,54000
INGR,2002-07-23,12.525,12.575,12.15,12.22,15800
INGR,2002-07-24,12.25,12.52,12.05,12.38,79200
INGR,2002-07-25,12.45,13.15,12.45,12.725,307600
INGR,2002-07-26,12.75,13.49,12.725,13.49,163000
INGR,2002-07-29,14.14,14.18,13.915,14,238400
INGR,2002-07-30,13.955,14.025,13.54,13.68,192000
INGR,2002-07-31,13.695,14.075,13.695,13.725,145400
INGR,2002-08-01,13.75,14.07,13.69,13.925,204400
INGR,2002-08-02,13.975,14.055,13.5,13.55,205400
INGR,2002-08-05,13.625,13.64,13.24,13.4,83200
INGR,2002-08-06,13.35,13.7,13.305,13.445,106800
INGR,2002-08-07,13.5,13.575,13.445,13.505,113400
INGR,2002-08-08,13.525,13.9,13.45,13.89,74800
INGR,2002-08-09,13.925,14.2,13.8,14.2,164400
INGR,2002-08-12,14.155,14.34,14,14.23,180800
INGR,2002-08-13,14.33,14.475,13.95,13.95,99600
INGR,2002-08-14,13.955,14.535,13.87,14.535,117000
INGR,2002-08-15,14.5,14.5,14.075,14.1,160000
INGR,2002-08-16,14.05,14.35,14,14.34,120200
INGR,2002-08-19,14.375,14.53,14.275,14.35,158600
INGR,2002-08-20,14.4,14.625,14.31,14.415,139200
INGR,2002-08-21,14.425,14.505,14.17,14.49,91000
INGR,2002-08-22,14.55,14.95,14.55,14.675,230599
INGR,2002-08-23,14.675,14.75,14.525,14.525,74200
INGR,2002-08-26,14.5,15.04,14.46,15.04,141800
INGR,2002-08-27,15.04,15.06,14.4,14.525,151600
INGR,2002-08-28,14.475,14.49,14.15,14.325,150800
INGR,2002-08-29,14.25,14.335,13.99,14.115,183600
INGR,2002-08-30,14.125,14.125,13.965,14,151600
INGR,2002-09-03,14.025,14.025,13.7,13.855,79200
INGR,2002-09-04,13.865,14.15,13.775,14.125,83200
INGR,2002-09-05,14.1,14.14,13.92,14.01,162800
INGR,2002-09-06,14.05,14.15,13.93,14.025,155200
INGR,2002-09-09,14.025,14.025,13.82,13.975,186400
INGR,2002-09-10,13.96,14.01,13.735,13.95,449200
INGR,2002-09-11,13.975,14.125,13.975,14.09,258200
INGR,2002-09-12,14.08,14.08,13.875,13.93,222200
INGR,2002-09-13,13.975,14.425,13.925,14.275,143800
INGR,2002-09-16,14.35,14.37,14.285,14.3,143000
INGR,2002-09-17,14.25,14.525,14.25,14.45,227399
INGR,2002-09-18,14.455,14.495,14.25,14.475,146600
INGR,2002-09-19,14.45,14.45,13.86,13.91,323200
INGR,2002-09-20,13.915,13.935,13.58,13.8,244999
INGR,2002-09-23,13.8,13.835,13.425,13.49,398200
INGR,2002-09-24,13.45,13.565,13.42,13.515,231000
INGR,2002-09-25,13.55,13.795,13.315,13.71,187800
INGR,2002-09-26,13.7,14.205,13.625,14.205,281200
INGR,2002-09-27,14.14,14.3,13.925,14.05,344200
INGR,2002-09-30,14.01,14.375,13.825,14.375,212000
INGR,2002-10-01,14.325,14.5,14.15,14.475,204200
INGR,2002-10-02,14.475,14.5,14.14,14.14,157800
INGR,2002-10-03,14.14,14.525,14.14,14.18,213000
INGR,2002-10-04,14.2,14.21,13.85,13.97,131000
INGR,2002-10-07,13.97,14,13.8,13.905,151400
INGR,2002-10-08,13.94,13.955,13.63,13.82,193200
INGR,2002-10-09,13.775,13.785,13.61,13.775,235600
INGR,2002-10-10,13.755,13.875,13.6,13.76,207200
INGR,2002-10-11,13.81,13.93,13.665,13.665,128200
INGR,2002-10-14,13.7,13.975,13.7,13.975,122800
INGR,2002-10-15,13.985,14.43,13.9,14.43,316800
INGR,2002-10-16,14.38,14.415,13.755,13.795,105600
INGR,2002-10-17,13.9,14.045,13.875,13.905,73200
INGR,2002-10-18,13.895,14.075,13.765,14.075,95400
INGR,2002-10-21,14.075,14.12,13.9,14.05,166000
INGR,2002-10-22,14,14.04,13.75,13.925,169400
INGR,2002-10-23,13.875,14.225,13.85,14.195,224199
INGR,2002-10-24,14.225,14.425,14.225,14.425,125200
INGR,2002-10-25,14.41,14.5,14.15,14.225,126200
INGR,2002-10-28,14.235,14.305,13.925,13.95,96200
INGR,2002-10-29,13.925,14.25,13.825,14.25,260999
INGR,2002-10-30,14.255,14.745,14.155,14.705,183200
INGR,2002-10-31,14.7,14.835,14.575,14.735,231800
INGR,2002-11-01,14.675,15.125,14.675,15.125,161600
INGR,2002-11-04,15.15,15.25,14.94,14.975,400000
INGR,2002-11-05,14.925,15.03,14.85,14.935,126400
INGR,2002-11-06,14.875,15.08,14.83,14.975,102800
INGR,2002-11-07,14.9,15.13,14.9,15.075,169400
INGR,2002-11-08,15.025,15.05,14.715,15.005,218599
INGR,2002-11-11,14.99,15.025,14.66,14.67,106800
INGR,2002-11-12,14.745,14.94,14.575,14.65,106200
INGR,2002-11-13,14.625,14.95,14.625,14.785,93200
INGR,2002-11-14,14.8,15.05,14.785,14.98,79400
INGR,2002-11-15,14.95,15.215,14.895,14.925,94200
INGR,2002-11-18,14.9,15,14.635,14.655,190400
INGR,2002-11-19,14.6,15.005,14.6,14.85,79600
INGR,2002-11-20,14.825,14.965,14.735,14.9,83800
INGR,2002-11-21,14.95,15.135,14.74,15.13,182000
INGR,2002-11-22,15.125,15.15,14.825,14.985,137800
INGR,2002-11-25,14.95,15.115,14.875,15.08,83400
INGR,2002-11-26,15.045,15.05,14.245,14.61,240999
INGR,2002-11-27,14.6,15.185,14.58,15.185,154800
INGR,2002-11-29,15.125,15.125,14.835,14.835,99200
INGR,2002-12-02,14.845,15.5,14.76,15.35,267800
INGR,2002-12-03,15.25,15.255,14.91,14.915,173600
INGR,2002-12-04,14.9,15.05,14.745,14.85,163200
INGR,2002-12-05,14.875,14.91,14.675,14.8,103600
INGR,2002-12-06,14.775,15.325,14.725,15.25,164800
INGR,2002-12-09,15.275,15.5,15.1,15.155,231200
INGR,2002-12-10,15.155,15.45,15.13,15.425,157800
INGR,2002-12-11,15.325,15.36,15.19,15.235,105000
INGR,2002-12-12,15.125,15.125,14.725,14.965,360600
INGR,2002-12-13,14.95,15,14.85,14.9,289400
INGR,2002-12-16,14.85,15,14.85,14.915,381600
INGR,2002-12-17,14.915,15.1,14.91,15.025,264800
INGR,2002-12-18,15,15.05,14.875,14.935,386600
INGR,2002-12-19,14.975,15.025,14.81,14.835,375000
INGR,2002-12-20,14.875,15.005,14.725,14.95,553400
INGR,2002-12-23,14.945,15.43,14.89,15.375,201800
INGR,2002-12-24,15.115,15.185,15.075,15.15,120600
INGR,2002-12-26,15.075,15.2,14.99,15.01,95800
INGR,2002-12-27,14.975,15.005,14.75,14.845,108200
INGR,2002-12-30,14.825,15,14.81,14.925,159600
INGR,2002-12-31,14.9,15.26,14.7,15.065,331200
INGR,2003-01-02,15.15,15.16,14.975,15.14,295200
INGR,2003-01-03,15.14,15.22,15.01,15.125,260000
INGR,2003-01-06,15.15,15.275,15.025,15.175,284800
INGR,2003-01-07,15.15,15.57,14.95,15.45,334600
INGR,2003-01-08,15.425,15.74,15.225,15.41,325400
INGR,2003-01-09,15.45,15.55,15.28,15.415,204200
INGR,2003-01-10,15.35,15.46,15.11,15.28,231600
INGR,2003-01-13,15.3,15.555,15.1,15.53,232600
INGR,2003-01-14,15.5,15.505,15.185,15.49,255800
INGR,2003-01-15,15.45,15.46,14.875,14.875,317200
INGR,2003-01-16,14.925,15.49,14.925,15.385,281400
INGR,2003-01-17,15.275,15.3,15.025,15.225,352800
INGR,2003-01-21,15.225,15.35,15.115,15.285,162800
INGR,2003-01-22,15.29,15.315,14.94,14.94,246200
INGR,2003-01-23,15.15,15.205,14.95,15.15,566800
INGR,2003-01-24,15.025,15.26,15,15.225,340600
INGR,2003-01-27,15.15,15.175,15.035,15.14,249600
INGR,2003-01-28,15.375,15.375,14.76,14.98,460000
INGR,2003-01-29,14.98,14.98,14.37,14.76,345000
INGR,2003-01-30,14.785,14.815,14.475,14.55,499800
INGR,2003-01-31,14.55,15,14.53,14.975,351600
INGR,2003-02-03,15,15.2,14.835,14.89,336600
INGR,2003-02-04,14.915,15.41,14.91,15.19,567000
INGR,2003-02-05,14.99,15.395,14.975,15.31,528000
INGR,2003-02-06,15.235,15.32,15,15.075,533400
INGR,2003-02-07,15.075,15.215,15.04,15.085,413000
INGR,2003-02-10,15,15.695,15,15.47,704600
INGR,2003-02-11,15.475,15.555,15.365,15.44,393400
INGR,2003-02-12,15.15,15.4,15.105,15.11,386400
INGR,2003-02-13,14.88,15.15,14.85,15.125,332400
INGR,2003-02-14,15.025,15.375,15,15.13,311400
INGR,2003-02-18,15.13,15.565,15.13,15.55,384800
INGR,2003-02-19,15.35,15.56,15.275,15.47,403600
INGR,2003-02-20,15.45,15.6,15.19,15.315,230000
INGR,2003-02-21,15.325,15.61,15.32,15.44,223600
INGR,2003-02-24,15.2,15.255,15.045,15.09,235000
INGR,2003-02-25,15.115,15.42,14.95,15.385,208400
INGR,2003-02-26,15.135,15.19,14.96,15.025,259600
INGR,2003-02-27,15.025,15.35,15.025,15.2,268800
INGR,2003-02-28,15.2,15.235,15,15.025,279600
INGR,2003-03-03,15,15.165,14.915,14.965,477000
INGR,2003-03-04,15,15.095,14.9,14.99,303600
INGR,2003-03-05,14.95,14.98,14.51,14.73,661000
INGR,2003-03-06,14.65,14.69,13.85,13.935,1219800
INGR,2003-03-07,13.875,14.08,13.625,13.955,451800
INGR,2003-03-10,13.925,13.95,13.72,13.815,284400
INGR,2003-03-11,13.815,13.9,13.61,13.675,318400
INGR,2003-03-12,13.675,13.82,13.57,13.675,215000
INGR,2003-03-13,13.725,13.85,13.63,13.79,241200
INGR,2003-03-14,13.825,13.945,13.75,13.83,203400
INGR,2003-03-17,13.84,14.38,13.83,14.38,277400
INGR,2003-03-18,14.405,14.48,14.25,14.475,297800
INGR,2003-03-19,14.475,14.575,14.415,14.525,224000
INGR,2003-03-20,14.475,14.475,14.11,14.37,317800
INGR,2003-03-21,14.375,14.74,14.375,14.74,252400
INGR,2003-03-24,14.7,14.7,14.375,14.48,180800
INGR,2003-03-25,14.43,14.695,14.4,14.6,241200
INGR,2003-03-26,14.6,14.63,14.325,14.5,365600
INGR,2003-03-27,14.45,14.7,14.3,14.625,209400
INGR,2003-03-28,14.6,14.62,14.425,14.575,314200
INGR,2003-03-31,14.45,14.855,14.2,14.58,426200
INGR,2003-04-01,14.625,14.75,14.515,14.75,224999
INGR,2003-04-02,14.78,15.095,14.73,14.96,218599
INGR,2003-04-03,15,15.07,14.88,14.975,203200
INGR,2003-04-04,14.95,15.075,14.895,15.06,214000
INGR,2003-04-07,15,15.3,14.8,14.94,240199
INGR,2003-04-08,14.94,14.95,14.775,14.86,199000
INGR,2003-04-09,14.86,15.125,14.825,15.07,312200
INGR,2003-04-10,15.035,15.085,14.815,14.875,201000
INGR,2003-04-11,14.925,14.985,14.715,14.96,143600
INGR,2003-04-14,14.96,15.015,14.9,14.945,318200
INGR,2003-04-15,14.945,15.09,14.875,15.09,253200
INGR,2003-04-16,15.09,15.09,14.97,15.06,229400
INGR,2003-04-17,15.06,15.105,15.025,15.1,164400
INGR,2003-04-21,15.025,15.11,14.995,15.015,200400
INGR,2003-04-22,14.89,14.955,14.625,14.95,516000
INGR,2003-04-23,14.95,14.95,14.725,14.775,237200
INGR,2003-04-24,14.725,14.79,14.6,14.715,267000
INGR,2003-04-25,14.625,14.75,14.505,14.715,195600
INGR,2003-04-28,14.765,15,14.765,14.97,129000
INGR,2003-04-29,15,15.1,14.875,14.975,147000
INGR,2003-04-30,14.975,14.975,14.795,14.94,187800
INGR,2003-05-01,14.915,15.125,14.635,14.95,197800
INGR,2003-05-02,14.925,15.145,14.925,15.04,233400
INGR,2003-05-05,15.125,15.315,15,15.065,335200
INGR,2003-05-06,15.05,15.35,15.05,15.35,186600
INGR,2003-05-07,15.275,15.275,15.065,15.115,269800
INGR,2003-05-08,15,15.31,15,15.16,236199
INGR,2003-05-09,15.125,15.285,15.125,15.215,163600
INGR,2003-05-12,15.165,15.355,15.125,15.165,108800
INGR,2003-05-13,15.165,15.385,15.125,15.385,177800
INGR,2003-05-14,15.425,15.44,15.225,15.24,246200
INGR,2003-05-15,15.24,15.305,15.13,15.145,248000
INGR,2003-05-16,14.925,15.05,14.825,14.825,333600
INGR,2003-05-19,14.815,14.825,14.375,14.775,185600
INGR,2003-05-20,14.765,14.92,14.69,14.875,351200
INGR,2003-05-21,14.875,14.885,14.715,14.88,175600
INGR,2003-05-22,14.9,15.085,14.855,15.025,161800
INGR,2003-05-23,15,15.195,14.905,15.16,119200
INGR,2003-05-27,15.1,15.24,15,15.19,186200
INGR,2003-05-28,15.3,15.3,15.13,15.25,148400
INGR,2003-05-29,15.255,15.4,15.255,15.335,147000
INGR,2003-05-30,15.31,15.505,15.31,15.47,176000
INGR,2003-06-02,15.5,15.62,15.5,15.595,101200
INGR,2003-06-03,15.575,15.625,15.475,15.535,160400
INGR,2003-06-04,15.5,15.87,15.485,15.815,199000
INGR,2003-06-05,15.85,15.91,15.645,15.875,228400
INGR,2003-06-06,15.85,16.25,15.85,16.005,288600
INGR,2003-06-09,15.95,16,15.61,15.615,114400
INGR,2003-06-10,15.65,15.725,15.575,15.7,160800
INGR,2003-06-11,15.6,15.75,15.55,15.725,129400
INGR,2003-06-12,15.7,15.8,15.6,15.735,151000
INGR,2003-06-13,15.74,15.75,15.485,15.485,118200
INGR,2003-06-16,15.525,15.85,15.525,15.84,175200
INGR,2003-06-17,15.875,15.88,15.635,15.765,188400
INGR,2003-06-18,15.725,15.885,15.68,15.85,111600
INGR,2003-06-19,15.775,15.9,15.45,15.5,185600
INGR,2003-06-20,15.55,15.665,15.525,15.645,146200
INGR,2003-06-23,15.57,15.595,15.355,15.385,194800
INGR,2003-06-24,15.335,15.515,15.335,15.475,213400
INGR,2003-06-25,15.475,15.49,15.255,15.355,178200
INGR,2003-06-26,15.35,15.38,15.175,15.35,130800
INGR,2003-06-27,15.275,15.295,14.985,15.11,332800
INGR,2003-06-30,15.075,15.14,14.875,15.015,520000
INGR,2003-07-01,14.965,15.485,14.915,15.475,283800
INGR,2003-07-02,15.475,15.75,15.39,15.75,294800
INGR,2003-07-03,15.685,15.685,15.59,15.6,79000
INGR,2003-07-07,15.65,15.9,15.575,15.575,185800
INGR,2003-07-08,15.565,15.6,15.37,15.47,203400
INGR,2003-07-09,15.47,15.6,15.325,15.55,273600
INGR,2003-07-10,15.5,15.5,15.23,15.27,157400
INGR,2003-07-11,15.285,15.625,15.285,15.615,214600
INGR,2003-07-14,15.7,15.7,15.425,15.45,120000
INGR,2003-07-15,15.43,15.515,15.31,15.35,239399
INGR,2003-07-16,15.275,15.295,14.99,15.08,193200
INGR,2003-07-17,15,15.12,14.975,15,286600
INGR,2003-07-18,15,15.075,14.925,15.05,190800
INGR,2003-07-21,15.065,15.065,14.7,14.74,284800
INGR,2003-07-22,14.5,15.24,14.45,15.1,723000
INGR,2003-07-23,15.125,15.195,14.965,15.12,265200
INGR,2003-07-24,15.15,15.24,15.15,15.2,154000
INGR,2003-07-25,15.225,15.325,15.165,15.285,185400
INGR,2003-07-28,15.31,15.71,15.31,15.6,402800
INGR,2003-07-29,15.575,15.7,15.42,15.55,237600
INGR,2003-07-30,15.555,15.675,15.485,15.58,631800
INGR,2003-07-31,15.65,15.86,15.51,15.65,344200
INGR,2003-08-01,15.625,15.635,15.325,15.325,212600
INGR,2003-08-04,15.325,15.34,15.105,15.27,297400
INGR,2003-08-05,15.325,15.425,15.2,15.2,154600
INGR,2003-08-06,15.205,15.395,15.115,15.125,235200
INGR,2003-08-07,15.175,15.385,15.085,15.315,201400
INGR,2003-08-08,15.35,15.4,15.25,15.285,99200
INGR,2003-08-11,15.29,15.42,15.25,15.415,191000
INGR,2003-08-12,15.45,15.6,15.34,15.6,105200
INGR,2003-08-13,15.585,15.6,15.505,15.575,137400
INGR,2003-08-14,15.55,15.73,15.5,15.71,140000
INGR,2003-08-15,15.75,15.85,15.72,15.72,92600
INGR,2003-08-18,15.8,15.8,15.725,15.8,150800
INGR,2003-08-19,15.85,15.955,15.815,15.95,168400
INGR,2003-08-20,15.875,15.99,15.79,15.905,208000
INGR,2003-08-21,15.93,15.99,15.705,15.89,185400
INGR,2003-08-22,15.95,16,15.675,15.715,198600
INGR,2003-08-25,15.75,15.76,15.55,15.695,189000
INGR,2003-08-26,15.65,15.925,15.365,15.925,244400
INGR,2003-08-27,15.95,15.95,15.6,15.72,214600
INGR,2003-08-28,15.725,15.735,15.55,15.725,129800
INGR,2003-08-29,15.7,15.85,15.695,15.765,154600
INGR,2003-09-02,15.77,16.1,15.725,16.08,255200
INGR,2003-09-03,16.08,16.22,16.07,16.2,308000
INGR,2003-09-04,16.19,16.305,16.125,16.27,228600
INGR,2003-09-05,16.26,16.3,16.1,16.125,462799
INGR,2003-09-08,16.15,16.375,16.15,16.215,270600
INGR,2003-09-09,16.2,16.235,16.05,16.1,156200
INGR,2003-09-10,16.125,16.3,16.01,16.14,244199
INGR,2003-09-11,16.125,16.43,16.11,16.365,139800
INGR,2003-09-12,16.375,16.58,16.32,16.51,167000
INGR,2003-09-15,16.485,16.51,16.2,16.275,269800
INGR,2003-09-16,16.275,16.625,16.275,16.51,301000
INGR,2003-09-17,16.525,16.735,16.5,16.56,193600
INGR,2003-09-18,16.56,16.745,16.53,16.7,151800
INGR,2003-09-19,16.65,16.67,16.435,16.435,220800
INGR,2003-09-22,16.42,16.43,16.185,16.25,296200
INGR,2003-09-23,16.285,16.325,16.19,16.225,211600
INGR,2003-09-24,16.25,16.32,16.18,16.3,152600
INGR,2003-09-25,16.275,16.3,16.05,16.055,213200
INGR,2003-09-26,15.975,16.165,15.745,15.745,285800
INGR,2003-09-29,15.8,16.325,15.8,16.305,324200
INGR,2003-09-30,16.275,16.28,15.88,15.925,300200
INGR,2003-10-01,16,16.525,15.99,16.515,270600
INGR,2003-10-02,16.5,16.59,16.465,16.5,141200
INGR,2003-10-03,16.55,16.77,16.51,16.77,233799
INGR,2003-10-06,16.745,16.785,16.655,16.7,97600
