ticker,date,open,high,low,close,volume
INM,2019-11-13,7.0125,7.161,6.6,6.765,3636
INM,2019-11-14,6.4845,6.9234,6.0456,6.3096,9266
INM,2019-11-15,5.9796,6.567,5.8179,6.468,7124
INM,2019-11-18,6.2964,6.6792,5.94,6.2799,6451
INM,2019-11-19,6.27,6.2799,5.8905,6.1908,7396
INM,2019-11-20,5.7618,6.2733,5.7618,5.9598,7787
INM,2019-11-21,5.775,6.2832,5.676,6.138,11772
INM,2019-11-22,6.0522,6.534,5.775,6.2733,9224
INM,2019-11-25,5.7849,6.4185,5.643,6.1083,11481
INM,2019-11-26,6.2436,6.3294,5.8905,6.171,7190
INM,2019-11-27,5.8806,6.27,5.8806,6.0984,3672
INM,2019-11-29,6.105,6.27,5.907,6.1182,3863
INM,2019-12-02,6.2865,6.6165,5.9499,6.1842,6557
INM,2019-12-03,6.2403,6.369,5.94,6.27,6854
INM,2019-12-04,5.907,6.3525,5.907,6.006,4872
INM,2019-12-05,5.8509,6.27,5.7453,6.1875,8790
INM,2019-12-06,6.138,6.1842,5.9202,6.138,3442
INM,2019-12-09,6.27,7.92,6.105,6.9102,24400
INM,2019-12-10,6.5769,6.8112,6.27,6.4251,7687
INM,2019-12-11,5.808,6.5208,5.808,6.138,7763
INM,2019-12-12,6.0885,6.2667,5.9235,5.9598,9387
INM,2019-12-13,5.9697,6.0819,5.8113,6.006,4412
INM,2019-12-16,6.138,6.27,5.8344,5.94,3351
INM,2019-12-17,5.7453,5.94,5.61,5.907,6651
INM,2019-12-18,5.94,6.1083,5.775,6.0555,8863
INM,2019-12-19,5.61,6.171,5.61,5.9202,11987
INM,2019-12-20,5.6331,6.5538,5.5968,6.2271,7309
INM,2019-12-23,6.3855,6.8046,5.8509,6.3327,10960
INM,2019-12-24,6.2172,6.435,6.0093,6.3162,2181
INM,2019-12-26,5.9499,6.6165,5.775,6.4251,7254
INM,2019-12-27,5.9433,6.501,5.94,6.0885,10072
INM,2019-12-30,6.237,6.237,5.61,5.775,21793
INM,2019-12-31,5.61,5.9631,5.61,5.94,12245
INM,2020-01-02,6.039,6.3129,5.9037,6.27,7424
INM,2020-01-03,6.4416,6.5175,6.27,6.5175,8454
INM,2020-01-06,6.4515,6.864,6.0687,6.5175,7336
INM,2020-01-07,6.7617,6.7617,6.27,6.5175,2427
INM,2020-01-08,6.27,6.7848,6.237,6.5109,8593
INM,2020-01-09,6.4416,6.5175,5.775,6.5175,4806
INM,2020-01-10,6.138,6.5142,6.138,6.27,5842
INM,2020-01-13,5.94,6.6,5.841,6.237,4387
INM,2020-01-14,6.171,6.4944,5.94,6.3294,5848
INM,2020-01-15,6.27,6.501,6.0225,6.2337,7227
INM,2020-01-16,5.9631,7.4217,5.9631,6.5175,16512
INM,2020-01-17,6.666,7.8507,6.666,7.5702,10390
INM,2020-01-21,10.23,10.626,8.778,9.042,33339
INM,2020-01-22,9.1575,9.306,7.7583,8.085,14003
INM,2020-01-23,8.1906,8.91,7.755,8.9067,5278
