ticker,date,open,high,low,close,volume
IOBT,2021-11-05,16,17.88,15.15,15.65,1759500
IOBT,2021-11-08,15,15.35,12.51,13.15,254600
IOBT,2021-11-09,13,13.93,12.85,13.32,83906
IOBT,2021-11-10,13.03,13.48,11.4494,12.08,41000
IOBT,2021-11-11,12.43,13.43,12.02,12.15,81900
IOBT,2021-11-12,11.06,12.49,11.06,11.5,36202
IOBT,2021-11-15,12.18,12.46,10.95,11.2,97400
IOBT,2021-11-16,11.15,11.91,10.84,11.12,27500
IOBT,2021-11-17,11.35,12.3,10.4561,10.54,61112
IOBT,2021-11-18,10.54,10.6973,9.1,9.35,63600
IOBT,2021-11-19,9.35,10.05,8.66,8.71,68200
IOBT,2021-11-22,8.87,9.195,7.73,7.74,57301
IOBT,2021-11-23,7.74,8.12,6.75,7.1,76200
IOBT,2021-11-24,7,7.97,7,7.3,64200
IOBT,2021-11-26,7.32,8.5,7.32,7.61,42100
IOBT,2021-11-29,8.19,9.29,8,8.74,151100
IOBT,2021-11-30,9.49,10.61,9,9.33,192400
IOBT,2021-12-01,9.11,9.7197,7.36,7.7,92700
IOBT,2021-12-02,7.37,8.67,7.37,8.27,117200
IOBT,2021-12-03,9.84,12.58,9.5482,10.9,3537100
IOBT,2021-12-06,10.15,10.58,9.15,10.15,290700
IOBT,2021-12-07,9.74,10.14,9.02,10.13,122700
IOBT,2021-12-08,10,11,9.25,10.85,250800
IOBT,2021-12-09,10.6,10.701,10.165,10.6,71900
IOBT,2021-12-10,11,11.14,10.2101,10.55,37200
IOBT,2021-12-13,10.55,10.55,10,10.03,31400
IOBT,2021-12-14,10,10.73,10,10.1,86000
IOBT,2021-12-15,10.1,10.5887,9.52,10.47,83100
IOBT,2021-12-16,10.56,10.85,9.57,10.36,93000
IOBT,2021-12-17,10.5,10.5,9.77,10,69900
IOBT,2021-12-20,10.11,10.11,9.4,10,93200
IOBT,2021-12-21,10.085,10.085,8.01,8.26,139000
IOBT,2021-12-22,8.26,8.4,8,8.09,35200
IOBT,2021-12-23,8.01,8.25,7.84,8.25,49700
IOBT,2021-12-27,8.24,8.24,7.86,7.93,35100
IOBT,2021-12-28,8.1964,8.1964,7.08,7.1501,80800
IOBT,2021-12-29,6.99,7.345,6.99,7.2,14800
IOBT,2021-12-30,7.3,8.1,6.5,6.68,67500
IOBT,2021-12-31,6.85,6.9999,6.02,6.4,56300
IOBT,2022-01-03,6.57,7.26,6.56,7.13,37600
IOBT,2022-01-04,7.28,7.76,6.97,7.32,41700
IOBT,2022-01-05,7.36,7.7,7.01,7.06,39900
IOBT,2022-01-06,7.28,7.4,6.67,6.68,27700
IOBT,2022-01-07,6.68,7.2,6.48,6.93,43700
IOBT,2022-01-10,6.63,7.2,6.6,7.12,50600
IOBT,2022-01-11,7.17,7.2,6.89,6.96,8900
IOBT,2022-01-12,7,7.31,6.78,7.31,20900
IOBT,2022-01-13,7.85,8.39,7.31,7.52,11100
IOBT,2022-01-14,7.82,7.82,7.1,7.6,14400
IOBT,2022-01-18,7.79,7.79,7.22,7.31,23700
IOBT,2022-01-19,7.25,7.5863,7.2,7.2,10400
IOBT,2022-01-20,7.12,7.16,6.63,6.89,17900
IOBT,2022-01-21,7.21,7.21,6.22,6.405,23100
IOBT,2022-01-24,6.01,7.02,5.8247,6.38,37800
IOBT,2022-01-25,5.97,7,5.97,7,17600
IOBT,2022-01-26,7.5,8,6.925,7.08,32100
IOBT,2022-01-27,7.33,7.79,6.91,7.29,19000
IOBT,2022-01-28,7.5,8,7.35,7.78,14300
IOBT,2022-01-31,7.86,8.63,7.86,8.55,11100
IOBT,2022-02-01,8.63,8.647,8.04,8.3,12100
IOBT,2022-02-02,8.35,8.35,7.8,7.91,7700
IOBT,2022-02-03,7.81,7.99,7.64,7.99,3000
IOBT,2022-02-04,7.76,8.258,7.5892,8.14,9400
IOBT,2022-02-07,8.11,8.84,7.99,8.41,24900
IOBT,2022-02-08,8.33,8.74,8.17,8.17,13100
IOBT,2022-02-09,8.25,8.8,8.04,8.65,29000
IOBT,2022-02-10,8.38,8.88,8.095,8.32,31200
,,,,,,
