ticker,date,open,high,low,close,volume
LCTX,2003-02-27,1.57,1.57,1.55,1.55,2300
LCTX,2003-02-28,1.5,1.63,1.5,1.59,1100
LCTX,2003-03-03,1.61,1.61,1.51,1.52,2400
LCTX,2003-03-04,1.51,1.6,1.51,1.6,4600
LCTX,2003-03-05,1.51,1.65,1.51,1.61,4700
LCTX,2003-03-06,1.62,1.62,1.42,1.59,20900
LCTX,2003-03-07,1.44,1.57,1.44,1.55,900
LCTX,2003-03-10,1.43,1.55,1.41,1.55,2000
LCTX,2003-03-11,1.41,1.5,1.4,1.5,7300
LCTX,2003-03-12,1.45,1.55,1.38,1.45,5800
LCTX,2003-03-13,1.4,1.53,1.4,1.53,1300
LCTX,2003-03-14,1.42,1.54,1.42,1.53,7200
LCTX,2003-03-17,1.43,1.53,1.43,1.53,7000
LCTX,2003-03-18,1.41,1.53,1.4,1.52,3500
LCTX,2003-03-19,1.42,1.53,1.42,1.53,600
LCTX,2003-03-20,1.42,1.53,1.38,1.39,4400
LCTX,2003-03-21,1.43,1.43,1.31,1.31,500
LCTX,2003-03-24,1.34,1.35,1.25,1.34,12600
LCTX,2003-03-25,1.36,1.65,1.36,1.54,48400
LCTX,2003-03-26,1.68,1.68,1.54,1.6,43000
LCTX,2003-03-27,1.58,1.6,1.5,1.6,22100
LCTX,2003-03-28,1.6,1.6,1.5,1.51,15900
LCTX,2003-03-31,1.43,1.57,1.43,1.55,13200
LCTX,2003-04-01,1.6,1.64,1.52,1.64,23600
LCTX,2003-04-02,1.56,1.64,1.55,1.61,16900
LCTX,2003-04-03,1.6,1.75,1.58,1.64,39200
LCTX,2003-04-04,1.65,1.75,1.65,1.7,34300
LCTX,2003-04-07,1.7,1.89,1.66,1.8,46700
LCTX,2003-04-08,1.85,1.87,1.8,1.87,55500
LCTX,2003-04-09,1.9,1.9,1.83,1.86,57200
LCTX,2003-04-10,1.84,1.88,1.8,1.82,24200
LCTX,2003-04-11,1.8,1.89,1.76,1.78,42800
LCTX,2003-04-14,1.83,1.83,1.7,1.74,28700
LCTX,2003-04-15,1.75,1.75,1.7,1.7,12200
LCTX,2003-04-16,1.7,1.71,1.6,1.69,14900
LCTX,2003-04-17,1.69,1.72,1.55,1.69,27000
LCTX,2003-04-21,1.65,1.79,1.55,1.79,27400
LCTX,2003-04-22,1.79,1.79,1.7,1.75,28300
