ticker,date,open,high,low,close,volume
LOGC,2018-10-19,10.71,12.91,10.7,11.5,880400
LOGC,2018-10-22,12.22,12.22,11.05,11.05,88600
LOGC,2018-10-23,10.97,10.97,9.55,10.1,111300
LOGC,2018-10-24,10.06,10.625,7.609,7.88,109500
LOGC,2018-10-25,7.89,8.24,7.26,7.98,95900
LOGC,2018-10-26,7.95,8.58,7.47,8.58,54800
LOGC,2018-10-29,8.57,10.73,8.57,10.73,20200
LOGC,2018-10-30,10.98,11.52,10.34,10.96,63700
LOGC,2018-10-31,11,12,10.58,10.69,67400
LOGC,2018-11-01,10.76,11.985,9.971,11.1,107300
LOGC,2018-11-02,11.01,11.5,9.62,11.37,83600
LOGC,2018-11-05,12,12,11.21,11.52,54400
LOGC,2018-11-06,11.11,12.6,10.86,11.5,60200
LOGC,2018-11-07,11.52,12.92,11.52,12.59,45400
LOGC,2018-11-08,12.6,14.03,12.5,12.8,73100
LOGC,2018-11-09,12.15,15.23,10.945,15.11,86300
LOGC,2018-11-12,15.13,15.86,13.5,13.72,70300
LOGC,2018-11-13,13.72,14.52,13.7,13.9,45300
LOGC,2018-11-14,14.02,15.46,13.5,15.03,31900
LOGC,2018-11-15,14.89,15.33,13.8,14.1,40300
LOGC,2018-11-16,14.01,14.64,13.76,14.16,57800
LOGC,2018-11-19,13.9,14.54,13.31,13.97,45900
LOGC,2018-11-20,13.69,15.17,13.5,14.14,46400
LOGC,2018-11-21,14.28,15.23,14.07,14.96,26800
LOGC,2018-11-23,14.97,18,14.7,17.98,29200
LOGC,2018-11-26,17.97,17.97,15.75,15.95,95200
LOGC,2018-11-27,15.85,15.85,12.24,13.2,67000
LOGC,2018-11-28,13.25,14.19,12.815,13.88,41200
LOGC,2018-11-29,13.95,15.76,13.95,14.73,47600
LOGC,2018-11-30,14.73,16.59,14.14,15.72,56700
LOGC,2018-12-03,15.74,16.61,14.41,14.51,91000
LOGC,2018-12-04,14.62,16.49,12.8,14.02,63500
LOGC,2018-12-06,13.9,14.58,12.535,13.5,53000
LOGC,2018-12-07,13.44,15,12.65,15,45300
LOGC,2018-12-10,14.95,15.88,14.215,15,39300
LOGC,2018-12-11,15.08,15.25,13.13,13.99,39000
LOGC,2018-12-12,14.13,14.13,12.18,12.32,19900
LOGC,2018-12-13,12.32,12.32,8.51,9.7,38300
LOGC,2018-12-14,9.72,10.5,8.83,9.51,18900
LOGC,2018-12-17,9.3,9.52,6.7,8.75,102300
LOGC,2018-12-18,7.97,8.76,7.86,7.98,44600
LOGC,2018-12-19,7.97,9.36,7.97,8.99,74300
LOGC,2018-12-20,8.91,9.71,8.35,8.87,94200
LOGC,2018-12-21,9,11.55,7.7,10.06,953900
LOGC,2018-12-24,9.12,9.415,8.433,9.27,30300
LOGC,2018-12-26,9.045,10.05,9.045,9.96,19400
LOGC,2018-12-27,9.74,9.94,8.78,9.07,52700
LOGC,2018-12-28,9.12,10.33,8.4,10.07,28400
LOGC,2018-12-31,10.15,10.77,9.89,10.4,33900
LOGC,2019-01-02,10.33,11.07,9.51,10,66400
LOGC,2019-01-03,10.03,10.53,9.16,10.08,69200
LOGC,2019-01-04,10.07,10.07,9.09,9.69,88700
LOGC,2019-01-07,9.76,10.95,9.76,10.14,29300
LOGC,2019-01-08,10.16,10.445,9.35,9.71,16300
LOGC,2019-01-09,9.74,9.88,9.11,9.49,51200
LOGC,2019-01-10,9.48,9.966,9.005,9.04,11000
LOGC,2019-01-11,8.99,8.99,8.31,8.62,47800
LOGC,2019-01-14,8.51,8.88,7.81,8.8,56800
LOGC,2019-01-15,8.89,9.01,8.4,8.42,29800
LOGC,2019-01-16,8.33,8.46,7.98,7.99,24300
LOGC,2019-01-17,8.03,9.21,8,8.32,42300
LOGC,2019-01-18,8.37,8.91,7.81,8.12,43600
LOGC,2019-01-22,8.04,8.38,7.88,7.94,9000
LOGC,2019-01-23,8,8,7.85,7.93,20800
LOGC,2019-01-24,7.9,8.35,7.81,8.19,50600
LOGC,2019-01-25,8.19,8.64,8.09,8.4,26100
LOGC,2019-01-28,8.28,8.62,7.97,8.22,25400
LOGC,2019-01-29,8.31,8.855,7.807,8.6,20800
LOGC,2019-01-30,8.64,8.86,8.33,8.77,15000
LOGC,2019-01-31,8.78,8.84,8.15,8.84,35200
LOGC,2019-02-01,8.84,8.86,8.27,8.495,26400
LOGC,2019-02-04,8.51,8.7,8.36,8.52,7500
LOGC,2019-02-05,8.6,9.14,8.36,9.13,26400
LOGC,2019-02-06,9.12,9.15,8.4,8.87,23400
LOGC,2019-02-07,8.88,9,8.685,8.79,7800
LOGC,2019-02-08,8.78,9,8.51,8.78,7000
LOGC,2019-02-11,8.88,9.18,8.77,8.99,10100
