ticker,date,open,high,low,close,volume
LPCN,2013-08-28,20,20,10,20,300
LPCN,2013-09-26,12,12,12,12,100
LPCN,2013-09-27,12,12,12,12,100
LPCN,2013-10-01,10.5,10.5,10.47,10.5,41800
LPCN,2013-10-02,10.6,10.6,10.5,10.5,4700
LPCN,2013-10-03,10.5,10.5,10.25,10.4,52000
LPCN,2013-10-04,10.25,10.25,10.25,10.25,800
LPCN,2013-10-08,10.25,10.25,10.25,10.25,1100
LPCN,2013-10-09,10.2,10.25,10.2,10.25,700
LPCN,2013-10-15,10.25,10.25,10.25,10.25,3400
LPCN,2013-10-16,10.1,10.1,10,10,600
LPCN,2013-10-18,9.5,10,9.5,9.5,900
LPCN,2013-10-21,10,10,9.5,10,1400
LPCN,2013-10-22,9.9,10,9.5,10,20200
LPCN,2013-10-23,10,10,9,10,2700
LPCN,2013-10-28,10,10,10,10,400
LPCN,2013-10-31,10,10,10,10,1100
LPCN,2013-11-07,10,10,10,10,1000
LPCN,2013-11-12,9.7,9.7,9.7,9.7,4000
LPCN,2013-11-14,9,9,8,8,1000
LPCN,2013-11-15,8.95,8.95,8.95,8.95,300
LPCN,2013-11-27,8.64,8.64,8,8.25,112400
LPCN,2013-11-29,8.25,8.25,8.25,8.25,400
LPCN,2013-12-02,8.25,8.3,8.25,8.3,13100
LPCN,2013-12-04,8.3,8.3,8.25,8.3,14800
LPCN,2013-12-05,8.25,8.25,8.25,8.25,1500
LPCN,2013-12-06,8.25,8.25,8.2,8.2,17600
LPCN,2013-12-09,8.22,8.25,8.15,8.15,43500
LPCN,2013-12-10,8.12,8.12,8.1,8.1,7500
LPCN,2013-12-11,8.04,8.05,8,8,10100
LPCN,2013-12-12,7.9,8,7,7.5,2500
LPCN,2013-12-13,8,8,8,8,500
LPCN,2013-12-16,7.99,7.99,7.5,7.65,3400
LPCN,2013-12-17,8,8,8,8,2200
LPCN,2013-12-19,8,8.27,8,8.03,13700
LPCN,2013-12-20,8,8,8,8,1600
LPCN,2013-12-23,7.99,8.29,7.6,8.29,21100
LPCN,2013-12-26,8.3,8.3,8.3,8.3,100
LPCN,2013-12-30,8.25,8.25,8,8,10100
LPCN,2013-12-31,8.05,8.25,8,8.25,7600
LPCN,2014-01-02,8.25,8.29,8.15,8.15,900
LPCN,2014-01-03,8.15,8.15,8.15,8.15,1600
LPCN,2014-01-06,8.15,8.25,8.15,8.25,500
LPCN,2014-01-07,8.12,8.3,8,8.3,24700
LPCN,2014-01-08,8.3,8.3,8.3,8.3,100
LPCN,2014-01-09,8.29,8.5,8.25,8.3,25200
LPCN,2014-01-10,8.3,8.43,8.3,8.4,2500
LPCN,2014-01-13,8.45,8.5,8.4,8.5,24700
LPCN,2014-01-14,9.2,9.2,9.2,9.2,100
LPCN,2014-01-15,9,9,9,9,8500
