ticker,date,open,high,low,close,volume
MYSZ,2016-07-25,90,90,90,90,6
MYSZ,2016-08-02,108,108,78,78,273
MYSZ,2016-08-09,78,78,77.25,78,26
MYSZ,2016-08-11,77.85,77.85,77.85,77.85,6
MYSZ,2016-08-16,75,77.85,74.1,74.25,53
MYSZ,2016-08-25,77.25,77.25,77.25,77.25,13
MYSZ,2016-09-06,78,78.75,78,78.75,153
MYSZ,2016-09-07,78,81.75,74.55,81.75,193
MYSZ,2016-09-14,81.6,81.6,78.6,78.6,140
MYSZ,2016-09-15,76.5,78.75,76.5,78.75,40
MYSZ,2016-12-08,79.5,79.5,79.5,79.5,6
MYSZ,2016-12-16,79.5,79.5,79.5,79.5,60
MYSZ,2016-12-21,81.75,81.75,81.75,81.75,6
MYSZ,2016-12-23,79.5,81.75,79.5,81.75,53
MYSZ,2017-01-03,75,75,75,75,20
MYSZ,2017-01-09,73.5,81.75,73.5,81.75,26
MYSZ,2017-01-26,81.75,81.75,81.75,81.75,20
MYSZ,2017-01-30,84,84,84,84,360
MYSZ,2017-01-31,85.5,89.85,85.5,89.85,400
MYSZ,2017-02-01,89.7,97.65,84.6,89.55,6840
MYSZ,2017-02-02,93.9,93.9,85.8,88.8,266
MYSZ,2017-02-03,87.75,87.75,70.8,76.8,1100
MYSZ,2017-02-06,57.6,75,57.6,66.9,213
MYSZ,2017-02-07,64.5,64.5,63.15,64.05,86
MYSZ,2017-02-08,57.6,61.5,57.6,61.5,93
MYSZ,2017-02-09,58.35,58.35,57.75,57.75,53
MYSZ,2017-02-13,81.3,250.5,64.05,164.55,66433
MYSZ,2017-02-14,157.5,170.85,114.75,118.2,16380
MYSZ,2017-02-15,102,116.55,96.15,96.15,12100
MYSZ,2017-02-16,54.45,69.6,51.75,61.65,225906
MYSZ,2017-02-17,60,63.75,52.8,54,50040
MYSZ,2017-02-21,52.5,58.95,52.2,53.1,43840
MYSZ,2017-02-22,53.4,57.15,50.25,51.75,39653
MYSZ,2017-02-23,50.4,51.3,47.7,47.7,19693
MYSZ,2017-02-24,45.15,46.5,40.5,40.5,17906
MYSZ,2017-02-27,45.45,46.8,39.75,40.8,22886
MYSZ,2017-02-28,43.2,43.2,39.6,40.05,7006
MYSZ,2017-03-01,40.2,41.1,37.2,37.95,7513
MYSZ,2017-03-02,37.5,40.35,36.45,37.2,10400
MYSZ,2017-03-03,37.2,38.25,34.2,34.5,7193
MYSZ,2017-03-06,36.75,36.75,33.75,35.7,2740
MYSZ,2017-03-07,38.4,57.45,38.4,39.15,351493
MYSZ,2017-03-08,40.05,42.45,36.75,37.65,29320
MYSZ,2017-03-09,40.5,40.5,34.5,35.7,12853
MYSZ,2017-03-10,38.85,41.1,36,37.5,15813
MYSZ,2017-03-13,38.55,38.55,35.4,35.55,5813
MYSZ,2017-03-14,36.3,36.9,35.4,35.85,4433
MYSZ,2017-03-15,35.55,36.15,34.5,34.5,4506
MYSZ,2017-03-16,35.4,37.35,34.65,35.55,3000
MYSZ,2017-03-17,34.8,36.75,34.8,36.6,2600
MYSZ,2017-03-20,36.6,40.35,35.1,35.7,26320
MYSZ,2017-03-21,35.25,36.75,34.5,34.65,4213
MYSZ,2017-03-22,34.5,35.25,32.4,33.6,4026
MYSZ,2017-03-23,33,34.2,31.5,31.8,4613
MYSZ,2017-03-24,31.5,34.2,29.25,32.1,1920
MYSZ,2017-03-27,31.95,32.4,30.15,31.95,1100
MYSZ,2017-03-28,33,37.5,32.55,33.75,16046
MYSZ,2017-03-29,33.3,49.35,33.3,40.8,163453
MYSZ,2017-03-30,46.5,48,39,39.9,84266
MYSZ,2017-03-31,38.25,41.25,36.3,39.45,18366
MYSZ,2017-04-03,40.65,40.65,36.45,37.2,5160
MYSZ,2017-04-04,36.9,38.1,35.4,35.7,4326
MYSZ,2017-04-05,36,36.15,34.05,34.2,5426
MYSZ,2017-04-06,37.8,37.8,34.2,34.35,11166
MYSZ,2017-04-07,33.45,34.35,33,33.9,3360
MYSZ,2017-04-10,34.05,34.95,33.75,34.05,1593
MYSZ,2017-04-11,33.45,34.35,32.85,33.15,3360
MYSZ,2017-04-12,32.7,32.85,31.5,31.5,4840
MYSZ,2017-04-13,32.1,33.75,31.5,31.95,2346
MYSZ,2017-04-17,33.3,33.3,31.65,32.1,2293
MYSZ,2017-04-18,33.3,40.35,32.4,33.6,41346
MYSZ,2017-04-19,37.35,37.35,32.25,33.3,18900
MYSZ,2017-04-20,30.9,31.5,29.25,31.5,10686
MYSZ,2017-04-21,30,30.9,28.65,29.55,8500
MYSZ,2017-04-24,28.35,30,26.55,28.05,5086
MYSZ,2017-04-25,27.75,28.8,27.6,28.05,1693
MYSZ,2017-04-26,27,27.75,25.5,26.7,7606
MYSZ,2017-04-27,26.25,27,22.5,24.6,10080
MYSZ,2017-04-28,24.3,28.5,24.3,25.35,7946
MYSZ,2017-05-01,27.6,29.85,25.5,25.95,12213
MYSZ,2017-05-02,26.25,26.25,23.4,25.2,4353
MYSZ,2017-05-03,23.55,26.55,23.55,25.05,6480
MYSZ,2017-05-04,24.45,25.2,21,22.35,13666
MYSZ,2017-05-05,22.5,23.4,20.4,21,12160
MYSZ,2017-05-08,21.3,21.3,18.15,19.2,20493
MYSZ,2017-05-09,19.2,19.35,17.7,18,5473
MYSZ,2017-05-10,19.2,20.25,18.15,19.2,15086
MYSZ,2017-05-11,18.3,19.2,18.3,18.9,2106
MYSZ,2017-05-12,19.5,19.5,18.75,18.75,1893
MYSZ,2017-05-15,19.05,19.05,18,18.3,1893
MYSZ,2017-05-16,19.35,22.5,19.2,20.25,21700
MYSZ,2017-05-17,19.05,19.5,16.8,17.55,13126
MYSZ,2017-05-18,17.7,18,16.05,17.25,6620
MYSZ,2017-05-19,16.95,18,16.95,17.4,4553
MYSZ,2017-05-22,19.2,19.2,17.7,18,7146
MYSZ,2017-05-23,17.85,18,16.8,17.4,3700
MYSZ,2017-05-24,18,18,16.5,17.25,5393
MYSZ,2017-05-25,17.1,17.55,16.65,16.95,2633
MYSZ,2017-05-26,16.8,17.4,16.65,16.95,1466
MYSZ,2017-05-30,16.95,16.95,14.85,16.2,7846
MYSZ,2017-05-31,15.75,19.65,15.3,19.2,9953
MYSZ,2017-06-01,19.5,19.5,16.95,18,3040
MYSZ,2017-06-02,17.7,19.05,17.4,18.75,1073
MYSZ,2017-06-05,20.85,21.75,19.5,20.4,8406
MYSZ,2017-06-06,21.3,22.5,20.55,22.5,12966
MYSZ,2017-06-07,22.5,32.85,21.75,27,94213
MYSZ,2017-06-08,29.85,29.85,22.8,24,36846
MYSZ,2017-06-09,27,27,21.3,22.8,8826
MYSZ,2017-06-12,22.5,22.5,20.7,21.6,7840
MYSZ,2017-06-13,20.85,22.2,20.1,20.7,4760
MYSZ,2017-06-14,21.3,21.75,20.1,21.6,9526
MYSZ,2017-06-15,20.55,21.75,18.3,19.65,12633
MYSZ,2017-06-16,18.9,19.65,18.15,19.05,3320
MYSZ,2017-06-19,19.5,19.5,18,18.3,3760
MYSZ,2017-06-20,19.05,21.3,18.45,20.25,18940
MYSZ,2017-06-21,20.55,21,17.7,18.15,24626
MYSZ,2017-06-22,18.3,18.45,17.7,18,5553
MYSZ,2017-06-23,18,18.6,17.4,17.7,3853
MYSZ,2017-06-26,17.4,18,17.1,17.55,2973
MYSZ,2017-06-27,17.55,17.7,16.95,17.25,3766
MYSZ,2017-06-28,17.7,17.7,16.65,17.1,4093
MYSZ,2017-06-29,17.1,17.25,16.5,16.8,2493
MYSZ,2017-06-30,16.65,18.75,16.35,17.7,6133
MYSZ,2017-07-03,17.55,17.7,16.65,17.4,2660
MYSZ,2017-07-05,17.4,18.75,16.95,18.45,3833
MYSZ,2017-07-06,18.75,19.35,17.4,18,11066
MYSZ,2017-07-07,18.45,18.45,17.4,17.4,733
MYSZ,2017-07-10,16.8,17.85,16.8,17.1,3620
MYSZ,2017-07-11,17.25,17.25,16.65,16.95,3753
MYSZ,2017-07-12,17.4,18.45,16.65,16.8,3580
MYSZ,2017-07-13,17.25,17.25,16.35,16.8,2466
MYSZ,2017-07-14,16.2,16.8,16.2,16.5,2346
MYSZ,2017-07-17,16.65,16.95,16.2,16.5,3980
MYSZ,2017-07-18,16.5,17.1,15.15,16.2,6433
MYSZ,2017-07-19,19.2,26.7,17.55,18.75,465733
MYSZ,2017-07-20,18.3,18.45,16.5,18,27733
MYSZ,2017-07-21,17.25,17.85,15.75,16.95,16453
MYSZ,2017-07-24,17.1,17.1,16.05,16.8,4726
MYSZ,2017-07-25,17.4,17.4,16.8,17.1,4873
MYSZ,2017-07-26,16.8,17.025,16.05,16.2,7473
MYSZ,2017-07-27,17.25,17.7,16.2,16.95,13660
MYSZ,2017-07-28,16.5,17.7,16.35,16.5,7860
MYSZ,2017-07-31,16.5,17.1,16.2,16.8,7126
MYSZ,2017-08-01,16.8,16.95,16.05,16.5,5993
MYSZ,2017-08-02,16.2,16.65,16.2,16.5,2386
MYSZ,2017-08-03,16.5,17.1,15.9,16.35,5926
MYSZ,2017-08-04,16.5,16.5,16.05,16.2,4060
MYSZ,2017-08-07,15.75,16.2,15.75,16.05,7006
MYSZ,2017-08-08,15.75,15.9,15.45,15.75,2220
MYSZ,2017-08-09,15.15,15.15,14.325,14.835,6833
MYSZ,2017-08-10,14.7,14.7,13.8,14.25,5726
MYSZ,2017-08-11,13.95,14.85,13.95,13.95,2546
MYSZ,2017-08-14,14.55,14.55,12.75,13.5,10686
MYSZ,2017-08-15,14.1,14.1,13.35,13.35,2853
MYSZ,2017-08-16,13.5,13.5,12,13.2,4066
MYSZ,2017-08-17,12.75,13.2,12,12.9,3246
MYSZ,2017-08-18,12.75,13.05,12.6,12.6,5793
MYSZ,2017-08-21,12.975,13.2,12.615,13.17,3586
MYSZ,2017-08-22,14.1,14.1,12.75,13.2,2400
MYSZ,2017-08-23,12.9,12.9,12.45,12.45,1993
MYSZ,2017-08-24,12.45,12.615,12.075,12.075,1953
MYSZ,2017-08-25,12,12,11.25,11.4,8226
MYSZ,2017-08-28,11.4,11.475,11.31,11.31,1920
MYSZ,2017-08-29,11.325,11.4,10.8,11.04,2046
MYSZ,2017-08-30,11.25,11.25,10.2,10.5,2560
MYSZ,2017-08-31,10.5,13.35,10.5,12.15,22253
MYSZ,2017-09-01,12.45,12.45,11.4,11.475,6580
MYSZ,2017-09-05,12,12,10.95,10.95,2693
MYSZ,2017-09-06,10.575,11.7,10.5,10.62,5153
MYSZ,2017-09-07,11.625,11.85,11.085,11.715,10580
MYSZ,2017-09-08,11.55,11.85,11.25,11.4,3666
MYSZ,2017-09-11,11.55,12.15,11.25,11.25,10066
MYSZ,2017-09-12,11.25,11.7,11.25,11.7,3306
MYSZ,2017-09-13,11.1,11.85,11.1,11.85,4460
MYSZ,2017-09-14,11.85,11.85,10.8,11.7,2973
MYSZ,2017-09-15,11.55,11.55,10.95,11.1,5380
MYSZ,2017-09-18,11.4,12.45,10.5,11.1,19040
MYSZ,2017-09-19,10.95,11.1,10.5,10.95,4820
MYSZ,2017-09-20,10.8,11.25,10.5,10.8,2606
MYSZ,2017-09-21,10.8,10.8,10.35,10.65,940
MYSZ,2017-09-22,11.1,11.1,10.65,10.65,1360
MYSZ,2017-09-25,10.5,11.1,10.5,10.65,1113
MYSZ,2017-09-26,12.15,18,11.4,12.45,466093
MYSZ,2017-09-27,13.05,13.35,10.65,11.4,54813
MYSZ,2017-09-28,11.55,11.55,10.8,10.95,11353
MYSZ,2017-09-29,10.8,11.25,10.65,10.8,11773
MYSZ,2017-10-02,10.8,11.25,10.65,11.1,6953
MYSZ,2017-10-03,10.8,11.1,10.8,10.8,6306
MYSZ,2017-10-04,10.65,13.2,10.65,12,81686
MYSZ,2017-10-05,12.3,12.75,11.55,12,24113
MYSZ,2017-10-06,12,12.525,11.55,11.85,6500
MYSZ,2017-10-09,11.46,11.625,11.1,11.1,7880
MYSZ,2017-10-10,11.4,12.45,11.1,11.55,5326
MYSZ,2017-10-11,11.55,12.15,10.8,11.25,3993
MYSZ,2017-10-12,11.25,12.75,11.25,12.45,23800
MYSZ,2017-10-13,12.6,12.6,11.4,11.85,16093
MYSZ,2017-10-16,12.15,13.35,11.445,12.375,62746
MYSZ,2017-10-17,15,16.95,12.6,13.2,194160
MYSZ,2017-10-18,12.9,13.05,11.55,12,22766
MYSZ,2017-10-19,11.55,12.15,11.55,12.15,7713
MYSZ,2017-10-20,12.135,12.39,11.58,11.625,8933
MYSZ,2017-10-23,11.925,12,11.55,11.625,5826
MYSZ,2017-10-24,11.55,11.7,11.4,11.4,4400
MYSZ,2017-10-25,12.6,12.6,11.55,11.85,13973
MYSZ,2017-10-26,11.7,11.85,10.95,11.25,8693
MYSZ,2017-10-27,11.1,12.15,10.65,10.95,9946
MYSZ,2017-10-30,11.4,11.55,10.8,10.95,6920
MYSZ,2017-10-31,11.175,11.175,10.815,10.83,1753
MYSZ,2017-11-01,10.95,11.4,10.5,10.65,11686
