ticker,date,open,high,low,close,volume
NKTX,2020-07-10,54.75,58.69,44.0522,47.9,1317400
NKTX,2020-07-13,45.15,47.2935,38.52,38.52,626600
NKTX,2020-07-14,39.29,39.95,36,36.05,404200
NKTX,2020-07-15,36.53,40.065,36.0001,36.55,434000
NKTX,2020-07-16,35.65,37,35.2601,36.35,1147800
NKTX,2020-07-17,36.85,38.49,36.41,37.02,197000
NKTX,2020-07-20,36.61,37.5,35.6,36.39,405700
NKTX,2020-07-21,36.08,37.5,32.93,33.6,137600
NKTX,2020-07-22,33.78,34.15,30.7,30.85,104200
NKTX,2020-07-23,31.3,31.87,30.1301,30.35,63800
NKTX,2020-07-24,31.24,31.24,28.3,28.7,92800
NKTX,2020-07-27,28.76,29.305,27.27,27.69,167700
NKTX,2020-07-28,28.07,28.24,26.9,27.22,83100
NKTX,2020-07-29,27.44,28.2,26.4,26.46,98600
NKTX,2020-07-30,26.58,27.38,26.5,27.22,102500
NKTX,2020-07-31,26.5,26.89,25.5,25.75,72900
NKTX,2020-08-03,26.29,27.3,25.89,26.58,83400
NKTX,2020-08-04,27.29,31.72,26.21,26.23,289100
NKTX,2020-08-05,26.5,26.875,25.22,25.22,195100
NKTX,2020-08-06,25.23,26.25,24.81,24.89,157100
NKTX,2020-08-07,24.85,25.395,23.6001,24,122400
NKTX,2020-08-10,24.61,24.61,23.44,23.52,90100
NKTX,2020-08-11,23.53,24.785,23.5,24.23,162800
NKTX,2020-08-12,24.38,26.13,23.91,24.34,140600
NKTX,2020-08-13,24.5,27.28,24.5,26.86,204400
NKTX,2020-08-14,27.44,28.93,26.2024,27.98,173200
NKTX,2020-08-17,27.71,28.59,26.43,26.87,141300
NKTX,2020-08-18,26.85,29.165,26.6678,28.97,260400
NKTX,2020-08-19,28.69,29.3499,27.44,27.91,103000
NKTX,2020-08-20,27.23,28.15,25.63,27.21,154700
NKTX,2020-08-21,26.67,28.5334,25.8,25.95,128900
NKTX,2020-08-24,26.36,26.36,24.29,24.84,93600
NKTX,2020-08-25,25.22,25.41,23.56,24.57,126100
NKTX,2020-08-26,24.42,24.94,24.07,24.08,50700
NKTX,2020-08-27,24.12,26.3755,24.12,25.37,101400
NKTX,2020-08-28,25.22,26.63,24.55,26.59,50800
NKTX,2020-08-31,28.13,28.13,24.54,24.64,131500
NKTX,2020-09-01,24.29,24.89,23.69,24.06,131700
NKTX,2020-09-02,24.18,27.4999,22.4602,26.09,255300
NKTX,2020-09-03,26.08,27.29,24.83,26.36,75600
NKTX,2020-09-04,26.24,28.86,26.24,27.65,82600
NKTX,2020-09-08,26.84,28.21,25.03,26.2,177600
NKTX,2020-09-09,26.63,29.8599,26.1471,28.01,195200
NKTX,2020-09-10,27.85,33.02,27.85,31.41,187000
NKTX,2020-09-11,31.95,33.71,30.51,31.8,137900
NKTX,2020-09-14,32.04,35.34,31.8001,34.58,230900
NKTX,2020-09-15,34.49,35.85,34.23,34.25,138800
NKTX,2020-09-16,34.4,35.52,32.21,32.34,270100
NKTX,2020-09-17,32,32.9,28.995,30.53,321400
NKTX,2020-09-18,30.95,34.9332,30.95,33.81,2551800
NKTX,2020-09-21,32.83,35,31.4301,34.34,428000
NKTX,2020-09-22,34.98,35.72,31.98,34.12,300500
NKTX,2020-09-23,33.59,34.425,30.3,32.35,191200
NKTX,2020-09-24,31.74,32.46,30.5,31.29,97000
NKTX,2020-09-25,30.89,31.38,28.5601,30.61,176700
NKTX,2020-09-28,30.51,32.69,30.02,31.74,84900
NKTX,2020-09-29,31.57,32.67,29.78,30.36,125000
NKTX,2020-09-30,30.25,31.481,27.27,30.06,184700
NKTX,2020-10-01,29.62,31.06,29.2,29.98,523000
