ticker,date,open,high,low,close,volume
NVCR,2015-10-02,20.16,20.48,17.55,18.28,3210500
NVCR,2015-10-05,18.77,18.9,18.05,18.69,306900
NVCR,2015-10-06,19.36,19.58,15.01,16.68,1137700
NVCR,2015-10-07,16.56,16.67,15.34,15.94,397500
NVCR,2015-10-08,17.98,19.87,17.32,18.94,2945600
NVCR,2015-10-09,19.65,21.96,19.1,21.02,1756800
NVCR,2015-10-12,22.89,27.4,21.85,25.88,2133500
NVCR,2015-10-13,25.5,30.89,24.67,27.6,2226500
NVCR,2015-10-14,27.49,27.5,24.81,25.45,1324700
NVCR,2015-10-15,26.31,26.51,25.5,25.87,427100
NVCR,2015-10-16,25.7,26.05,23.55,25.98,563100
NVCR,2015-10-19,26,26.28,23.04,23.21,559300
NVCR,2015-10-20,23.14,23.4,19.76,19.87,804200
NVCR,2015-10-21,20.25,20.7,19.73,20.2,314200
NVCR,2015-10-22,20.6,20.66,19.05,19.15,286000
NVCR,2015-10-23,19.15,19.93,19.15,19.52,239500
NVCR,2015-10-26,20.85,20.98,19.91,20.58,350500
NVCR,2015-10-27,21,25.59,21,23.87,1088100
NVCR,2015-10-28,24.97,25.88,22.79,24.2,533900
NVCR,2015-10-29,24.69,25.15,22.7,22.85,239200
NVCR,2015-10-30,23.69,23.69,22.25,22.47,83600
NVCR,2015-11-02,22.47,24.38,22.47,23.83,381400
NVCR,2015-11-03,24.12,26.75,24.01,26.04,594900
NVCR,2015-11-04,26.26,26.85,25,26.31,257200
NVCR,2015-11-05,26.3,26.77,25.75,26.24,107500
NVCR,2015-11-06,26,26.3,24.32,25.68,278900
NVCR,2015-11-09,25.06,26.17,24.5,24.83,105300
NVCR,2015-11-10,24.5,24.85,23.25,24.08,134600
NVCR,2015-11-11,23.92,24.1,21.5,22.35,366900
NVCR,2015-11-12,21.89,23.4,21.8,22.7,139200
NVCR,2015-11-13,22.41,23.5,22.36,22.8,151800
NVCR,2015-11-16,22.85,22.85,21.51,21.94,98000
NVCR,2015-11-17,22.02,23.75,22,22.34,121200
NVCR,2015-11-18,22.34,22.91,21.75,22.69,94200
NVCR,2015-11-19,22.82,22.86,22.02,22.41,98900
NVCR,2015-11-20,22.25,22.63,22,22.04,251500
NVCR,2015-11-23,25.2,25.74,23.64,24.9,719600
NVCR,2015-11-24,25.17,25.17,23.9,23.91,189000
NVCR,2015-11-25,23.74,24.45,23.56,23.65,81300
NVCR,2015-11-27,23.73,25,23.69,24.99,94700
NVCR,2015-11-30,25,25.37,23.84,24.35,143600
NVCR,2015-12-01,24.37,24.53,23.17,24.07,138600
NVCR,2015-12-02,24.53,24.98,23.86,24.06,181400
NVCR,2015-12-03,24.32,24.4,23.74,24.01,75500
NVCR,2015-12-04,23.88,25.5,23.3,24.82,528400
NVCR,2015-12-07,26,27.52,25.36,27.16,800900
NVCR,2015-12-08,27,27.1,25.37,26.72,480200
NVCR,2015-12-09,26.74,27.32,26.32,26.78,197300
NVCR,2015-12-10,27.33,27.46,26.25,26.42,174000
NVCR,2015-12-11,26.25,27.11,25.03,26.86,397000
NVCR,2015-12-14,26.73,28,26.01,27.64,364200
NVCR,2015-12-15,27.7,28.65,27.04,28.11,344100
NVCR,2015-12-16,27.4,28.2,26.02,27.12,513900
NVCR,2015-12-17,27.17,28.13,27,27.5,244500
NVCR,2015-12-18,27.5,28.32,27.35,27.72,1094500
NVCR,2015-12-21,27.97,28.95,27.47,27.56,263100
NVCR,2015-12-22,27.5,27.62,26.9,27.02,148600
NVCR,2015-12-23,27.12,27.47,26.15,26.59,157800
NVCR,2015-12-24,26.33,27.25,25.76,25.93,102500
NVCR,2015-12-28,25.91,25.99,24.52,24.8,252700
NVCR,2015-12-29,24.96,25.24,23.27,23.82,311900
NVCR,2015-12-30,24.01,24.04,23.02,23.38,297200
NVCR,2015-12-31,22.87,23.49,22,22.36,328700
NVCR,2016-01-04,22,22.81,21.41,22.55,201700
NVCR,2016-01-05,22.79,23.31,22.35,22.74,127200
NVCR,2016-01-06,22.23,22.6,22,22.42,171200
NVCR,2016-01-07,22.45,22.45,19.32,19.76,555600
NVCR,2016-01-08,19.8,20.68,19.8,20.15,468500
NVCR,2016-01-11,20.2,21.35,19.46,20.55,394300
NVCR,2016-01-12,20.37,21.9,20.37,21.9,324300
NVCR,2016-01-13,22.09,22.49,20.36,20.48,313000
NVCR,2016-01-14,20.18,20.3,19.11,19.3,436500
NVCR,2016-01-15,18.72,18.81,17.44,17.79,355900
NVCR,2016-01-19,17.52,17.67,16.07,17.06,520600
NVCR,2016-01-20,16.51,17.31,13.56,14.23,1117500
NVCR,2016-01-21,14.56,15.96,14.56,15.05,733000
NVCR,2016-01-22,15.48,15.6,13.52,13.81,715400
NVCR,2016-01-25,14,15.1,13.7,14.5,424300
NVCR,2016-01-26,14.5,14.73,14.05,14.51,176600
NVCR,2016-01-27,14.5,14.81,13.86,14.09,205200
NVCR,2016-01-28,14.09,14.09,12.82,12.99,296500
NVCR,2016-01-29,12.77,13.48,11.3,12.48,506800
NVCR,2016-02-01,12.43,12.44,11.23,11.29,387100
NVCR,2016-02-02,11.18,12,10.15,10.3,346200
NVCR,2016-02-03,10.93,11.06,10.16,11.03,306900
NVCR,2016-02-04,10.75,12.2,10.75,11.81,565400
NVCR,2016-02-05,11.81,12.35,11.4,11.46,285900
NVCR,2016-02-08,11.32,12.38,11.23,12.31,236400
NVCR,2016-02-09,11.9,13.06,11.75,12.69,420000
NVCR,2016-02-10,12.55,13.23,12.38,13.12,172200
NVCR,2016-02-11,12.71,13.13,11.76,12.06,198400
NVCR,2016-02-12,12.72,12.9,11.93,12.11,133000
NVCR,2016-02-16,12.31,13.08,12.15,12.23,208700
NVCR,2016-02-17,12.42,12.96,12.17,12.56,234100
NVCR,2016-02-18,12.62,12.94,11.85,12.22,226300
NVCR,2016-02-19,12.25,12.3,11.61,11.78,164700
NVCR,2016-02-22,12.16,12.38,11.99,12.01,193800
NVCR,2016-02-23,12.02,12.36,11.67,11.82,156300
NVCR,2016-02-24,11.84,11.93,11.26,11.46,154400
NVCR,2016-02-25,11.57,11.74,10.64,10.8,277100
NVCR,2016-02-26,10.77,11.31,10.5,11.17,269100
NVCR,2016-02-29,11.14,12,11.14,11.69,316100
NVCR,2016-03-01,11.7,12.69,11.65,12.35,382300
NVCR,2016-03-02,12.38,15.43,12.36,14.58,358800
NVCR,2016-03-03,15.04,16.06,14.61,16.03,537900
NVCR,2016-03-04,16.1,18.37,16.1,16.55,667900
NVCR,2016-03-07,18.06,18.72,16.9,17.4,419200
NVCR,2016-03-08,17.18,17.88,15.38,16.06,280900
NVCR,2016-03-09,16.02,16.36,14,14.34,297300
NVCR,2016-03-10,14.34,14.85,13.88,13.91,208100
NVCR,2016-03-11,14.09,14.88,13.6,13.75,212000
NVCR,2016-03-14,13.92,13.98,12.66,12.82,323500
NVCR,2016-03-15,12.77,12.77,12.07,12.31,294100
NVCR,2016-03-16,12.34,12.46,11.79,11.99,237000
NVCR,2016-03-17,11.8,12.97,11.74,12.75,190300
NVCR,2016-03-18,12.84,13.02,12.43,12.45,182500
NVCR,2016-03-21,12.44,12.74,12.3,12.62,151000
NVCR,2016-03-22,12.58,13.95,12.52,13.22,240400
NVCR,2016-03-23,13.27,14.25,13.12,13.17,181900
NVCR,2016-03-24,13,13.37,12.59,13.13,159600
NVCR,2016-03-28,13.2,13.5,12.74,12.85,66200
NVCR,2016-03-29,12.84,13.35,12.65,12.94,126000
NVCR,2016-03-30,13.3,13.59,13.18,13.36,93800
NVCR,2016-03-31,13.59,14.72,13.4,14.48,238300
NVCR,2016-04-01,14.33,14.48,14,14.13,109600
NVCR,2016-04-04,14.24,14.75,13.71,13.81,263800
NVCR,2016-04-05,14.36,14.36,13.2,13.64,205200
NVCR,2016-04-06,13.76,14.41,13.76,14.16,187100
NVCR,2016-04-07,14.35,14.89,14.13,14.79,283100
NVCR,2016-04-08,17,17,15.4,15.66,797800
NVCR,2016-04-11,15.6,16.25,15.15,15.23,434400
NVCR,2016-04-12,15.02,15.86,15.02,15.17,250000
NVCR,2016-04-13,15.04,15.74,15,15.31,336900
NVCR,2016-04-14,15.31,15.99,15.3,15.93,190700
NVCR,2016-04-15,15.9,16,15.25,15.47,239100
NVCR,2016-04-18,15.23,15.24,14.5,14.69,349800
NVCR,2016-04-19,14.5,14.93,13.55,13.65,380200
NVCR,2016-04-20,13.72,14,13.45,13.71,166800
NVCR,2016-04-21,13.73,13.9,13.4,13.6,134200
NVCR,2016-04-22,13.63,13.8,13.55,13.74,111600
NVCR,2016-04-25,14.16,14.42,13.53,14.14,262000
NVCR,2016-04-26,14.28,14.37,13.72,14.19,229000
NVCR,2016-04-27,14.11,14.12,13.14,13.75,268300
NVCR,2016-04-28,13.83,13.85,13.13,13.17,170900
NVCR,2016-04-29,13.25,13.44,12.5,12.9,273200
NVCR,2016-05-02,12.85,13.16,12.38,12.81,286300
NVCR,2016-05-03,12.62,13.27,11.99,12,254000
NVCR,2016-05-04,12.15,12.44,11.37,11.39,310800
NVCR,2016-05-05,11.47,11.5,10.88,11.34,576400
NVCR,2016-05-06,11.39,12.68,11.33,12.59,373500
NVCR,2016-05-09,12.55,13.15,12.33,12.92,348200
NVCR,2016-05-10,12,13.73,11.6,12.88,732400
NVCR,2016-05-11,12.73,13.27,12.51,12.89,293700
NVCR,2016-05-12,12.98,13.28,11.99,12.09,447200
NVCR,2016-05-13,11.96,12.29,11.85,12.27,289600
NVCR,2016-05-16,12.22,12.64,12,12.2,223500
NVCR,2016-05-17,12.15,12.49,11.76,11.94,233400
NVCR,2016-05-18,11.85,12.06,11.61,11.73,259200
NVCR,2016-05-19,11.7,11.88,11.4,11.6,168700
NVCR,2016-05-20,11.56,11.76,11.38,11.6,186800
NVCR,2016-05-23,11.53,12.11,11.42,11.52,283200
NVCR,2016-05-24,11.48,11.59,11.25,11.39,190400
NVCR,2016-05-25,11.38,11.72,11.32,11.5,201700
NVCR,2016-05-26,11.48,11.49,11.2,11.3,216200
NVCR,2016-05-27,11.25,11.35,11.04,11.3,154600
NVCR,2016-05-31,11.67,11.71,10.9,11.13,858200
NVCR,2016-06-01,10.98,11.09,10.81,10.94,342200
NVCR,2016-06-02,10.5,11.05,10.36,10.99,366900
NVCR,2016-06-03,10.43,10.94,10.26,10.83,435400
NVCR,2016-06-06,10.6,11.99,10.4,11.88,773900
NVCR,2016-06-07,11.6,11.93,11.37,11.75,445900
NVCR,2016-06-08,11.6,12.52,11.47,12.27,752300
NVCR,2016-06-09,12.22,13.5,12.14,13.35,525700
NVCR,2016-06-10,12.45,13.45,12.35,13.41,448100
NVCR,2016-06-13,13.38,13.5,10.87,10.97,980400
NVCR,2016-06-14,11.01,11.3,10.59,10.89,659500
NVCR,2016-06-15,10.88,11.09,10.7,10.76,482900
NVCR,2016-06-16,10.68,11.37,10.66,11.31,658000
NVCR,2016-06-17,11.19,11.47,10.65,10.89,2249600
NVCR,2016-06-20,11.15,12.08,10.9,11.67,790900
NVCR,2016-06-21,11.64,11.94,11.02,11.33,365300
NVCR,2016-06-22,11.27,11.27,10.8,10.87,477400
NVCR,2016-06-23,10.97,11.31,10.72,10.96,526300
NVCR,2016-06-24,10.46,10.9,10.35,10.61,5244900
NVCR,2016-06-27,10.4,10.52,9.87,10.28,545500
NVCR,2016-06-28,10.5,11.09,10.3,11,394100
NVCR,2016-06-29,11.28,11.47,10.94,11.4,289100
NVCR,2016-06-30,11.32,11.78,11.3,11.67,299700
NVCR,2016-07-01,11.67,12.25,11.53,12.2,351700
NVCR,2016-07-05,12,12.08,10.97,11.01,347600
NVCR,2016-07-06,10.93,11.14,10.78,10.95,386200
NVCR,2016-07-07,10.93,11.22,10.65,10.88,274400
NVCR,2016-07-08,10.92,11.77,10.7,11.66,301100
NVCR,2016-07-11,11.82,11.88,11.62,11.72,170500
NVCR,2016-07-12,11.7,12.49,11.46,12.2,329100
NVCR,2016-07-13,12.25,12.25,11.73,11.96,339700
NVCR,2016-07-14,12.11,12.3,11.61,11.78,412700
NVCR,2016-07-15,11.89,11.89,11.4,11.57,218100
NVCR,2016-07-18,11.49,12.1,11.42,11.87,580700
NVCR,2016-07-19,11.87,11.9,11.32,11.57,163800
NVCR,2016-07-20,11.54,11.99,11.51,11.89,291600
NVCR,2016-07-21,11.91,12.09,11.84,11.95,288900
NVCR,2016-07-22,11.87,12.05,11.78,12,275500
NVCR,2016-07-25,12.09,12.09,11.57,11.58,186200
NVCR,2016-07-26,11.91,11.91,11.34,11.61,431100
NVCR,2016-07-27,11.69,11.93,11.39,11.44,299800
NVCR,2016-07-28,11.25,11.27,8.08,8.09,2304500
NVCR,2016-07-29,8.26,8.3,7.3,7.52,1211300
NVCR,2016-08-01,7.7,8.64,7.51,7.92,1002900
NVCR,2016-08-02,7.94,8.28,7.6,7.83,397400
NVCR,2016-08-03,7.76,8.04,7.7,7.71,309700
NVCR,2016-08-04,7.7,7.88,7.65,7.7,202400
NVCR,2016-08-05,7.74,7.83,7.7,7.76,221100
NVCR,2016-08-08,7.73,7.84,7.55,7.58,372800
NVCR,2016-08-09,7.5,7.85,7.5,7.79,280200
NVCR,2016-08-10,7.86,7.9,7.58,7.64,250300
NVCR,2016-08-11,7.56,7.59,7.4,7.54,358200
NVCR,2016-08-12,7.49,7.97,7.49,7.9,273800
NVCR,2016-08-15,7.88,8.15,7.83,7.97,288100
NVCR,2016-08-16,7.99,8.02,7.71,7.78,203400
NVCR,2016-08-17,7.82,7.83,7.67,7.76,151200
NVCR,2016-08-18,7.79,8.14,7.71,8.02,258600
NVCR,2016-08-19,8.02,8.11,7.91,7.98,139400
NVCR,2016-08-22,8.01,8.01,7.81,7.98,216000
NVCR,2016-08-23,7.98,8.05,7.88,7.91,157900
NVCR,2016-08-24,7.93,7.99,7.7,7.76,230300
NVCR,2016-08-25,7.77,7.85,7.72,7.84,147800
NVCR,2016-08-26,7.82,7.99,7.72,7.82,209200
NVCR,2016-08-29,7.82,7.82,7.54,7.7,197100
NVCR,2016-08-30,7.74,7.8,7.57,7.75,152600
NVCR,2016-08-31,7.73,7.74,7.45,7.68,205300
NVCR,2016-09-01,7.81,7.98,7.58,7.75,450100
NVCR,2016-09-02,7.84,8.09,7.74,8.05,317900
NVCR,2016-09-06,8.1,8.11,7.83,8.04,237100
NVCR,2016-09-07,8.08,8.14,7.9,7.96,449100
NVCR,2016-09-08,7.95,8.67,7.95,8.51,499200
NVCR,2016-09-09,8.46,8.6,8.08,8.09,262900
NVCR,2016-09-12,8.67,9.04,8.5,8.62,1212100
NVCR,2016-09-13,8.6,8.62,8.17,8.2,454800
NVCR,2016-09-14,8.22,8.33,8.07,8.07,335200
NVCR,2016-09-15,8.1,8.33,8,8.33,195500
NVCR,2016-09-16,8.35,8.86,8.34,8.76,496800
NVCR,2016-09-19,8.81,8.95,8.55,8.87,263800
NVCR,2016-09-20,8.9,8.9,8.64,8.76,114200
NVCR,2016-09-21,8.76,8.94,8.55,8.81,129300
NVCR,2016-09-22,8.84,9.29,8.84,9.22,310500
NVCR,2016-09-23,9.23,9.35,9.05,9.13,155000
NVCR,2016-09-26,9.1,9.18,8.68,8.75,173600
NVCR,2016-09-27,8.71,8.94,8.63,8.92,198700
NVCR,2016-09-28,8.91,9.08,8.78,9.01,164200
NVCR,2016-09-29,9.03,9.12,8.51,8.53,223900
NVCR,2016-09-30,8.61,8.71,8.41,8.54,298400
NVCR,2016-10-03,8.51,8.61,8.32,8.61,128400
NVCR,2016-10-04,8.64,8.76,8.27,8.31,199200
NVCR,2016-10-05,8.33,8.88,8.27,8.76,224400
NVCR,2016-10-06,8.72,8.93,8.61,8.66,115900
NVCR,2016-10-07,8.64,8.64,8.32,8.4,149400
NVCR,2016-10-10,8.45,8.66,8.39,8.5,153200
NVCR,2016-10-11,8.46,8.55,8.18,8.25,158500
NVCR,2016-10-12,8.29,8.4,8.01,8.02,185500
NVCR,2016-10-13,7.98,8.11,7.6,7.64,248200
NVCR,2016-10-14,7.69,7.72,7.17,7.33,388800
NVCR,2016-10-17,7.35,7.55,7.07,7.32,191800
NVCR,2016-10-18,7.35,7.66,7.03,7.08,344600
NVCR,2016-10-19,7.02,7.1,6.82,6.92,300200
NVCR,2016-10-20,6.93,7,6.79,6.93,202000
NVCR,2016-10-21,6.85,6.97,6.79,6.84,183300
NVCR,2016-10-24,6.83,6.99,6.8,6.93,160800
NVCR,2016-10-25,6.91,6.96,6.55,6.62,237900
NVCR,2016-10-26,6.54,6.7,6.37,6.39,207200
NVCR,2016-10-27,6.44,6.56,6.17,6.19,186700
NVCR,2016-10-28,6.19,6.52,6.08,6.12,266700
NVCR,2016-10-31,6.05,6.25,5.95,6.05,273800
NVCR,2016-11-01,6.15,6.25,5.95,5.95,449000
NVCR,2016-11-02,6.85,7.6,6.4,7.25,1378100
NVCR,2016-11-03,7.7,7.7,6.75,6.75,507500
NVCR,2016-11-04,6.75,7,6.5,6.65,363900
NVCR,2016-11-07,6.9,7.35,6.75,7.25,505600
NVCR,2016-11-08,7.35,7.4,6.85,7.15,347400
NVCR,2016-11-09,7,8.45,6.9,8.45,541000
NVCR,2016-11-10,8.45,8.7,8.15,8.65,563200
NVCR,2016-11-11,8.6,9.05,8.5,8.95,447300
NVCR,2016-11-14,9.15,9.21,8.65,9,294400
NVCR,2016-11-15,9,9.1,8.57,9.05,345900
NVCR,2016-11-16,9.05,9.45,8.95,9.25,352800
NVCR,2016-11-17,9.3,9.5,9.15,9.35,399800
NVCR,2016-11-18,9.7,10,9.6,9.95,615000
NVCR,2016-11-21,10.1,10.29,9.6,9.75,509600
NVCR,2016-11-22,9.75,9.75,9.06,9.3,459900
NVCR,2016-11-23,9.15,9.15,8.75,9.05,444400
NVCR,2016-11-25,8.5,8.8,8.25,8.8,485100
NVCR,2016-11-28,8.7,8.85,8.3,8.35,255500
NVCR,2016-11-29,8.4,8.4,7.8,7.85,414400
NVCR,2016-11-30,7.9,7.97,7.75,7.75,467100
NVCR,2016-12-01,7.75,7.9,7,7.45,723200
NVCR,2016-12-02,7.45,8.2,7.21,8,348700
NVCR,2016-12-05,8.1,8.45,8.05,8.3,294600
NVCR,2016-12-06,8.4,8.4,7.9,8.35,303400
NVCR,2016-12-07,8.2,8.48,7.85,8.35,334700
NVCR,2016-12-08,8.35,8.85,7.95,8.75,412500
NVCR,2016-12-09,8.8,9.2,8.65,9.05,465700
NVCR,2016-12-12,8.85,9.5,8.75,8.95,688400
NVCR,2016-12-13,9.1,9.47,8.6,9,585700
NVCR,2016-12-14,8.95,9.15,8.6,9.15,555000
NVCR,2016-12-15,9.15,9.4,8.95,9.05,482400
NVCR,2016-12-16,9.1,9.15,8.4,8.55,3744100
NVCR,2016-12-19,8.7,9.05,8.55,8.8,356900
NVCR,2016-12-20,8.8,8.95,8.5,8.7,350800
NVCR,2016-12-21,8.65,8.8,8.05,8.25,349600
NVCR,2016-12-22,8.15,8.25,8,8.15,158500
