ticker,date,open,high,low,close,volume
NYXH,2021-04-28,24,24,24,24,100
NYXH,2021-05-06,23.15,23.15,23.15,23.15,200
NYXH,2021-06-08,27,27,27,27,1500
NYXH,2021-07-02,30.02,34.61,30,30.11,179500
NYXH,2021-07-06,29.65,33,29.65,33,44300
NYXH,2021-07-07,33,36.99,31.8091,34.83,47400
NYXH,2021-07-08,33.95,35.8329,33.5001,34.25,18400
NYXH,2021-07-09,34.25,35.5,32.896,35.5,91800
NYXH,2021-07-12,34.49,35.5,34,34.62,66000
NYXH,2021-07-13,33.95,35.55,33.95,35.5,37100
NYXH,2021-07-14,35.605,35.605,34.17,35,36800
NYXH,2021-07-15,36,36,33.83,34.29,47900
NYXH,2021-07-16,34,34,33.05,33.79,47600
NYXH,2021-07-19,31.37,33.2,30.85,32.92,63900
NYXH,2021-07-20,32.35,33.39,32.2,33,14800
NYXH,2021-07-21,32.7,33.2,32.55,33.2,1900
NYXH,2021-07-22,33.39,33.46,32.9,33,13800
NYXH,2021-07-23,31.39,33.85,31.39,32.99,3100
NYXH,2021-07-26,32.03,32.89,31.7871,32.69,53300
NYXH,2021-07-27,32.26,33.99,31.82,32.8,50700
NYXH,2021-07-28,33.5,33.5,32.485,33,35100
NYXH,2021-07-29,33,33,32.4,32.5,75700
NYXH,2021-07-30,32.45,32.49,32.025,32.425,2800
NYXH,2021-08-02,32.27,32.92,32.03,32.92,17500
NYXH,2021-08-03,32.5,32.85,32,32.43,61400
NYXH,2021-08-04,32.7,32.7,31.72,32.32,7900
NYXH,2021-08-05,32.65,32.65,32,32.52,27400
NYXH,2021-08-06,32.17,37,31.3966,37,5600
NYXH,2021-08-09,34.41,34.41,32.5,33.15,15400
NYXH,2021-08-10,33.31,33.31,32.32,32.3201,3100
NYXH,2021-08-11,31.65,31.94,30.68,30.98,11400
NYXH,2021-08-12,31.95,32.295,30.55,30.69,5200
NYXH,2021-08-13,30.75,30.75,30.525,30.525,400
NYXH,2021-08-16,30.75,30.75,30.75,30.75,400
NYXH,2021-08-18,30.5,31.23,30.5,31.23,1800
NYXH,2021-08-19,30.16,30.16,27,28.29,5000
NYXH,2021-08-20,28.711,29.905,28.711,29.905,500
NYXH,2021-08-23,33,33,33,33,1800
NYXH,2021-08-24,30.89,30.89,30.3707,30.77,4100
NYXH,2021-08-25,30.42,31.3064,29,29.06,6200
NYXH,2021-08-26,30,30,29.35,29.35,600
NYXH,2021-08-30,29.76,29.76,29.76,29.76,300
NYXH,2021-08-31,29.76,33,29.69,33,18600
NYXH,2021-09-01,31.0607,34,31.0607,32.1,9300
NYXH,2021-09-02,32,32,31.2,31.2,3600
NYXH,2021-09-03,31.09,34.2,30.71,30.94,3800
NYXH,2021-09-07,31.71,32.5,30.97,31.02,15500
NYXH,2021-09-08,30.14,30.3,29.73,30,9300
NYXH,2021-09-09,29.4957,31.15,29.4957,30.14,4000
NYXH,2021-09-13,30.7,30.7,28.975,28.975,1700
NYXH,2021-09-14,29.19,30,29.15,29.5,4100
NYXH,2021-09-15,29.51,29.72,29.1,29.1,6700
NYXH,2021-09-16,29.56,30.34,28.5,29.96,10800
NYXH,2021-09-17,30.69,30.69,30.67,30.67,200
NYXH,2021-09-20,29.95,30.42,27.81,29.4,12800
NYXH,2021-09-21,30.31,30.31,29.1,29.13,1300
NYXH,2021-09-22,29.09,29.95,28.845,28.94,1100
NYXH,2021-09-23,31.62,31.62,30.61,30.66,3500
NYXH,2021-09-24,30.05,30.05,30.05,30.05,1600
NYXH,2021-09-27,30.36,31.15,30.088,31.15,9700
NYXH,2021-09-28,30.1119,30.1119,28.34,28.34,3000
NYXH,2021-09-29,30.17,30.2499,29,29.001,1200
NYXH,2021-09-30,29.24,29.2466,29.24,29.2466,200
NYXH,2021-10-01,28.24,29.4,27.32,29,8700
NYXH,2021-10-04,30,30.25,28.77,29.33,4900
NYXH,2021-10-05,29,30.25,28.3,30.25,2700
NYXH,2021-10-06,28.7,28.7,27.98,28.5,12900
NYXH,2021-10-07,27.71,28,26.73,28,9800
NYXH,2021-10-08,26.9,27.3345,26.9,27,1600
NYXH,2021-10-11,27.545,27.545,27.02,27.02,1900
NYXH,2021-10-12,27.5,29.3,26.82,27.03,16100
NYXH,2021-10-13,27.03,27.1,26.72,27.1,5500
NYXH,2021-10-14,27.79,27.79,26.85,26.89,1500
NYXH,2021-10-15,25.94,25.99,24.24,25.5,4600
NYXH,2021-10-18,24.95,24.98,21,24.6463,11400
NYXH,2021-10-19,23.99,23.99,21.5868,23,9500
NYXH,2021-10-20,22.9,23.5113,22.9,23.5,700
NYXH,2021-10-21,22.24,22.73,20,22,36200
NYXH,2021-10-22,22.94,23.93,22.46,22.85,2400
NYXH,2021-10-25,23.64,24,23.64,23.65,1400
NYXH,2021-10-26,24.16,25.99,22.45,24,20200
NYXH,2021-10-27,22.76,24,22.76,24,900
NYXH,2021-10-28,23.635,26.05,23.635,24.02,10100
NYXH,2021-10-29,25.81,29.28,25.08,25.08,12400
NYXH,2021-11-01,25.51,26.09,25.14,25.35,4300
NYXH,2021-11-02,23.7705,25.04,23.7705,24.6,7100
NYXH,2021-11-03,24.95,24.95,23.4967,24.5,2800
NYXH,2021-11-04,24.45,24.45,24.45,24.45,200
NYXH,2021-11-05,23.5,24.9,23,24.001,6000
