ticker,date,open,high,low,close,volume
OBSV,2017-01-26,13.29,13.5,10.57,11.65,3305100
OBSV,2017-01-27,11.7,12.23,11.05,11.68,331300
OBSV,2017-01-30,11.33,11.99,11.15,11.76,195000
OBSV,2017-01-31,11.76,11.81,11.29,11.66,133100
OBSV,2017-02-01,11.7,11.7,10.75,11.3,139900
OBSV,2017-02-02,11.32,11.32,10.9,11.05,61600
OBSV,2017-02-03,11.42,11.68,10.95,11.68,66800
OBSV,2017-02-06,11.68,11.75,10.94,11.5,45000
OBSV,2017-02-07,11.1,11.7,11.1,11.7,51800
OBSV,2017-02-08,11.7,12.18,11.31,12.18,37600
OBSV,2017-02-09,12.14,12.65,12.14,12.3,43500
OBSV,2017-02-10,12.3,12.88,12.25,12.7,34400
OBSV,2017-02-13,12.78,13.06,11.86,12.62,65600
OBSV,2017-02-14,12.64,13.3,12.02,13.05,70800
OBSV,2017-02-15,13,13.28,13,13.18,39800
OBSV,2017-02-16,13.24,13.3,13.2,13.29,54200
OBSV,2017-02-17,13.3,13.35,13.06,13.21,53300
OBSV,2017-02-21,13.47,13.47,13.1,13.15,110900
OBSV,2017-02-22,13.25,13.46,13.22,13.46,80200
OBSV,2017-02-23,13.47,13.47,12.5,13.25,88800
OBSV,2017-02-24,12.23,14.69,12.23,13.99,43800
OBSV,2017-02-27,14.18,14.18,13.62,13.62,11200
OBSV,2017-02-28,13.55,13.55,12.25,12.9,17100
OBSV,2017-03-01,12.34,13.15,12.26,13.1,14500
OBSV,2017-03-03,12.42,13.15,12.4,13.14,10300
OBSV,2017-03-06,12.65,13.39,12.27,13.38,4700
OBSV,2017-03-07,13.08,13.49,12.33,12.69,12900
OBSV,2017-03-08,12.78,13.34,12.78,13,16600
OBSV,2017-03-09,13.24,13.4,12.93,13.34,95700
OBSV,2017-03-10,13.27,13.47,13.13,13.4,8600
OBSV,2017-03-13,13.11,13.53,13.01,13.14,6400
OBSV,2017-03-14,13.22,13.25,13,13.01,13500
OBSV,2017-03-15,13.02,13.04,13,13,3000
OBSV,2017-03-16,13,13.04,12.28,12.33,9200
OBSV,2017-03-17,12.37,12.81,12.28,12.28,23300
OBSV,2017-03-20,12.28,12.59,11.41,11.41,15000
OBSV,2017-03-21,11.35,11.65,10.76,11.2,32700
OBSV,2017-03-22,11.2,11.81,11.2,11.32,3600
OBSV,2017-03-23,11.39,12,11.2,11.24,9900
OBSV,2017-03-24,11.84,11.84,11.2,11.2,9800
OBSV,2017-03-27,11.28,11.28,11.16,11.16,300
OBSV,2017-03-28,11.2,11.35,10.97,10.97,9200
OBSV,2017-03-29,11.38,11.38,10.59,10.59,900
OBSV,2017-03-30,10.77,10.77,10.56,10.56,2600
OBSV,2017-03-31,10.61,11.42,10.35,10.41,54200
OBSV,2017-04-03,10.44,11.69,9.5,9.62,44200
OBSV,2017-04-04,9.62,10.24,9.09,9.09,5700
OBSV,2017-04-05,9.22,9.73,9.21,9.25,31900
OBSV,2017-04-06,9.8,10.23,9,9,40600
OBSV,2017-04-07,8.99,9.93,8.5,8.5,13200
