ticker,date,open,high,low,close,volume
OCGN,2014-12-03,681,778.2,678.6001,705,27303
OCGN,2014-12-04,718.2,718.8,660,665.4,4411
OCGN,2014-12-05,660,674.4,644.4,660,5295
OCGN,2014-12-08,666,675,648,660,965
OCGN,2014-12-09,645,667.2,645,660,436
OCGN,2014-12-10,659.4,665.4,645,660,1873
OCGN,2014-12-11,677.4,678,660,672,1488
OCGN,2014-12-12,678,678,645,660,715
OCGN,2014-12-15,675,675,644.4,660,1246
OCGN,2014-12-16,651,661.2,615,660,1508
OCGN,2014-12-17,658.2,663,630,660,1298
OCGN,2014-12-18,646.8,664.8,630,660,1378
OCGN,2014-12-19,660,663,651.6,660,663
OCGN,2014-12-22,661.2,678,661.2,669,1975
OCGN,2014-12-23,678,678,615,658.2,1756
OCGN,2014-12-24,645.6001,651,630,630.6001,523
OCGN,2014-12-26,631.8,645,628.8,645,1040
OCGN,2014-12-29,658.8,663,633.6001,652.8,530
OCGN,2014-12-30,655.2,660,628.8,636.6,606
OCGN,2014-12-31,637.8,660,632.4,660,411
OCGN,2015-01-02,658.2,663,643.8,663,143
OCGN,2015-01-05,678,748.2,675,708,2575
OCGN,2015-01-06,718.2,741,631.2,655.2,1688
OCGN,2015-01-07,671.4,695.4,648,657.6,771
OCGN,2015-01-08,691.8,692.4,661.2,677.4,706
OCGN,2015-01-09,673.2,688.2,663,673.2,401
OCGN,2015-01-12,670.2,690,661.8,666.6,673
OCGN,2015-01-13,672.6,677.4,628.8,650.4,1285
OCGN,2015-01-14,658.8,659.4,636,640.2,555
OCGN,2015-01-15,651,669,628.8,637.8,871
OCGN,2015-01-16,648,648,616.2,621.6,868
OCGN,2015-01-20,622.2,653.4,622.2,629.4,341
OCGN,2015-01-21,624,636,559.2,577.8,646
OCGN,2015-01-22,541.2,565.2,496.2,505.8,1278
OCGN,2015-01-23,516,532.8,500.4,516,973
OCGN,2015-01-26,537,585,501.0001,501.0001,1658
OCGN,2015-01-27,511.8,569.4,462,468.6,2155
OCGN,2015-01-28,509.4,509.4,422.4,426.6,2070
OCGN,2015-01-29,444,495,433.8,483.6001,1916
OCGN,2015-01-30,480.6,526.2,465,507,968
OCGN,2015-02-02,498.6001,515.4,485.4,498,626
OCGN,2015-02-03,495,498,459,459.6,796
OCGN,2015-02-04,463.2,505.8,460.2,469.8,265
OCGN,2015-02-05,488.4,492,466.2,478.8,415
OCGN,2015-02-06,483.6001,483.6001,469.8,475.8,121
OCGN,2015-02-09,487.2,501.0001,468,501.0001,341
OCGN,2015-02-10,516,522.6,480.6,507,890
OCGN,2015-02-11,506.4,519,491.4,517.8,506
OCGN,2015-02-12,517.2,529.8,503.4,520.8001,315
OCGN,2015-02-13,505.2,524.4,501.6,516.6,445
OCGN,2015-02-17,534,534,516.6,528,498
OCGN,2015-02-18,554.4,554.4,517.8,520.2,260
OCGN,2015-02-19,531.6,553.2,519,538.2,301
OCGN,2015-02-20,539.4,576,517.2,576,511
OCGN,2015-02-23,596.4,612,568.2,599.4,465
