ticker,date,open,high,low,close,volume
PGNY,2019-10-25,13.5,16,13.29,15.94,4975700
PGNY,2019-10-28,15.9,18.15,15.8606,17.21,1163900
PGNY,2019-10-29,17.23,17.25,16.11,16.43,546000
PGNY,2019-10-30,16.39,16.9,16,16.21,349100
PGNY,2019-10-31,16.2,17.38,16.12,16.43,1200500
PGNY,2019-11-01,16.46,18.7,16.2161,18.38,559400
PGNY,2019-11-04,18.9,19.85,18.7,19.05,725100
PGNY,2019-11-05,19.2,19.88,19.2,19.79,342400
PGNY,2019-11-06,19.88,20.2365,19.21,19.9,521600
PGNY,2019-11-07,19.99,21.04,19.61,20.92,431600
PGNY,2019-11-08,20.85,21.785,19.44,21.75,302000
PGNY,2019-11-11,21.64,22.75,20.76,21.99,376200
PGNY,2019-11-12,22.15,22.5,20.19,20.81,365300
PGNY,2019-11-13,20.74,21.655,20.2,20.5,422300
PGNY,2019-11-14,20.42,20.9999,19.27,20.56,364900
PGNY,2019-11-15,22.41,23.99,21.305,23.76,1286600
PGNY,2019-11-18,24,25.95,23.02,24.92,918600
PGNY,2019-11-19,25.5,29.29,24.25,26.82,1193800
PGNY,2019-11-20,26.34,28.7,25.0297,26.56,1023300
PGNY,2019-11-21,26.5,28.72,26.27,27,784100
PGNY,2019-11-22,27,28.13,25.57,25.68,466800
PGNY,2019-11-25,25.73,26.53,25.18,25.72,483000
PGNY,2019-11-26,25.79,25.99,25.13,25.76,445400
PGNY,2019-11-27,25.76,27.4,25.56,26.99,634600
PGNY,2019-11-29,27.23,27.89,26.64,26.64,192000
PGNY,2019-12-02,27.56,28.97,27.06,28.54,1231500
PGNY,2019-12-03,27.69,29.199,27.5,27.72,550900
PGNY,2019-12-04,28.15,29.04,25.11,26.34,1550600
PGNY,2019-12-05,27.62,27.91,24.17,27.86,1440400
PGNY,2019-12-06,27.57,32,26.43,30.49,2538600
PGNY,2019-12-09,31.47,31.5,25.52,27.81,1903400
PGNY,2019-12-10,28,28.78,27.02,27.33,743800
PGNY,2019-12-11,27.3,27.57,25.35,26.46,1062200
PGNY,2019-12-12,26.44,27.15,25.05,25.16,656400
PGNY,2019-12-13,25.27,26.41,25.2,25.99,671100
PGNY,2019-12-16,26.22,26.7,24.32,24.91,1044900
PGNY,2019-12-17,24.88,25.76,24.6,25.49,646300
PGNY,2019-12-18,25.47,25.8,24.26,24.46,657500
PGNY,2019-12-19,24.54,24.9825,22.9,23.84,967100
PGNY,2019-12-20,23.84,24.64,23.1,23.54,2407500
PGNY,2019-12-23,23.53,25.9,23.13,25.7,873300
PGNY,2019-12-24,25.63,25.99,25.41,25.65,265400
PGNY,2019-12-26,25.56,26.8371,24.7901,26.27,721300
PGNY,2019-12-27,26.56,27.99,26.3396,27.95,576400
PGNY,2019-12-30,28.13,28.65,26.84,28.205,547600
PGNY,2019-12-31,28.14,28.45,27.34,27.45,343100
PGNY,2020-01-02,27.4,27.65,25.35,25.96,653900
PGNY,2020-01-03,25.52,26.65,25.21,25.91,401800
PGNY,2020-01-06,25.67,28,25.38,27.97,366900
PGNY,2020-01-07,27.83,30,27.27,29.32,1133700
PGNY,2020-01-08,29.49,30.67,28.53,29.39,844400
PGNY,2020-01-09,29.86,30.468,27.26,28.6,1247500
PGNY,2020-01-10,28.5,29.55,27.84,29.26,562700
PGNY,2020-01-13,29.5,31.85,29.1372,31.81,1587400
PGNY,2020-01-14,32.89,35.43,32.07,33.34,1721100
PGNY,2020-01-15,33.65,35.2,29.55,31.03,1297500
PGNY,2020-01-16,31.28,32.34,30.91,31.61,462000
PGNY,2020-01-17,31.85,31.97,29.5,30.49,632600
PGNY,2020-01-21,30.56,32.88,30,32.37,511700
PGNY,2020-01-22,32.57,34.23,31.35,32.02,670600
PGNY,2020-01-23,31.91,33.56,31.45,32.5,484200
PGNY,2020-01-24,32.94,33.08,31.61,32.1,368800
