ticker,date,open,high,low,close,volume
PLIN,2019-08-14,6,6,4.1,5,43600
PLIN,2019-08-15,4.5,4.99,4.45,4.4697,73700
PLIN,2019-08-16,4.36,4.8277,4.36,4.5,96600
PLIN,2019-08-19,4.38,4.67,4.38,4.55,112200
PLIN,2019-08-20,4.54,4.7,4.4,4.4,115900
PLIN,2019-08-21,4.37,4.7097,4.37,4.54,130200
PLIN,2019-08-22,4.53,4.7,4.52,4.55,120600
PLIN,2019-08-23,4.69,4.69,4.3,4.47,118900
PLIN,2019-08-26,4.45,4.52,4.18,4.47,117800
PLIN,2019-08-27,4.4,4.88,4.39,4.71,121800
PLIN,2019-08-28,4.68,4.989,4.4,4.63,90000
PLIN,2019-08-29,4.47,4.752,4.47,4.75,119700
PLIN,2019-08-30,4.6,4.9659,4.52,4.85,104300
PLIN,2019-09-03,4.8,5,4.6,4.95,135600
PLIN,2019-09-04,4.9,4.9,4.52,4.7,103300
PLIN,2019-09-05,4.65,4.78,4.145,4.72,85100
PLIN,2019-09-06,4.65,4.9,4.51,4.8762,123200
PLIN,2019-09-09,4.61,4.87,4.4086,4.8,104000
PLIN,2019-09-10,4.71,4.75,4.26,4.6,104400
PLIN,2019-09-11,4.64,4.69,4.38,4.4,81000
PLIN,2019-09-12,4.37,4.42,4.221,4.4,93200
PLIN,2019-09-13,4.31,4.47,4.24,4.46,122800
PLIN,2019-09-16,4.46,4.75,4.46,4.73,115100
PLIN,2019-09-17,4.61,4.8,4.47,4.79,93500
PLIN,2019-09-18,4.7,4.96,4.68,4.94,132300
PLIN,2019-09-19,4.9,4.9,4.73,4.78,75400
PLIN,2019-09-20,4.74,4.9,4.6,4.9,91900
PLIN,2019-09-23,4.75,4.81,4.72,4.81,91800
PLIN,2019-09-24,4.72,4.9,4.72,4.82,96600
PLIN,2019-09-25,4.8,5,4.75,4.91,107200
PLIN,2019-09-26,4.88,4.99,4.57,4.67,88200
PLIN,2019-09-27,4.7,4.72,4.55,4.55,68900
PLIN,2019-09-30,4.67,4.7,4.6,4.64,98100
PLIN,2019-10-01,4.61,4.72,4.5,4.72,114000
PLIN,2019-10-02,4.6,4.74,4.3,4.55,80900
PLIN,2019-10-03,4.41,4.55,4.37,4.37,83300
PLIN,2019-10-04,4.36,4.64,4.36,4.49,97500
PLIN,2019-10-07,4.46,4.51,4.43,4.44,95700
PLIN,2019-10-08,4.44,4.44,4.15,4.15,103100
PLIN,2019-10-09,4.23,4.31,4.16,4.25,96600
PLIN,2019-10-10,4.22,4.41,4.2,4.41,91400
PLIN,2019-10-11,4.25,4.26,4.15,4.15,109000
PLIN,2019-10-14,4.09,4.45,4.005,4.42,40000
PLIN,2019-10-15,4.39,4.55,4.335,4.43,84300
PLIN,2019-10-16,4.48,4.54,4.3,4.4,57300
PLIN,2019-10-17,4.54,4.88,4.45,4.45,71400
PLIN,2019-10-18,4.5,4.9,4.2,4.35,109600
PLIN,2019-10-21,4.4,4.6,4.4,4.4,68900
PLIN,2019-10-22,4.36,4.75,4.36,4.5,117400
PLIN,2019-10-23,4.54,4.77,4.5,4.5,74600
PLIN,2019-10-24,4.542,4.69,4.525,4.54,67900
PLIN,2019-10-25,4.5,4.61,4.31,4.31,155300
PLIN,2019-10-28,4.33,4.5299,4.33,4.43,53900
PLIN,2019-10-29,4.41,4.4999,4.29,4.35,113500
PLIN,2019-10-30,4.33,4.5,4.33,4.5,41400
PLIN,2019-10-31,4.45,4.5,4.34,4.42,103800
PLIN,2019-11-01,4.41,4.6,4.34,4.34,102000
PLIN,2019-11-04,4.35,4.535,4.27,4.27,62800
PLIN,2019-11-05,4.29,4.45,4.23,4.42,168000
PLIN,2019-11-06,4.43,4.45,4.28,4.43,74100
PLIN,2019-11-07,4.35,4.49,4.255,4.28,68000
PLIN,2019-11-08,4.39,4.4399,4.18,4.18,114600
PLIN,2019-11-11,4.151,4.3599,4.15,4.29,43100
PLIN,2019-11-12,4.21,4.35,4.1,4.11,54300
PLIN,2019-11-13,4.23,4.28,4.05,4.08,54600
PLIN,2019-11-14,4.2,4.28,4.11,4.11,15700
PLIN,2019-11-15,4.15,4.2,4.041,4.1699,15300
PLIN,2019-11-18,4.2,4.345,4.0505,4.08,33900
PLIN,2019-11-19,4.16,4.24,4.08,4.23,38800
PLIN,2019-11-20,4.23,4.25,4.1,4.12,36900
PLIN,2019-11-21,4.16,4.2212,4.14,4.2173,37200
PLIN,2019-11-22,4.25,4.25,4.125,4.205,33200
PLIN,2019-11-25,4.2,4.23,4.125,4.14,25100
PLIN,2019-11-26,4.17,4.22,4.01,4.08,16100
PLIN,2019-11-27,4.19,4.2,4.09,4.09,12900
PLIN,2019-11-29,4.15,4.22,4.049,4.1,17700
PLIN,2019-12-02,4.14,4.14,3.51,3.8976,70800
PLIN,2019-12-03,3.86,4.05,3.8,3.99,61900
PLIN,2019-12-04,3.99,4.04,3.84,4.03,50400
