ticker,date,open,high,low,close,volume
PLX,2005-08-02,17,17,17,17,5
PLX,2005-08-09,16,16,16,16,1
PLX,2005-08-11,15,16,13,13,47
PLX,2005-08-15,15,15,15,15,5
PLX,2005-08-16,15,15,13,13,10
PLX,2005-08-23,16,16,16,16,5
PLX,2005-08-26,16,16,16,16,15
PLX,2005-09-12,18,18,18,18,5
PLX,2005-09-13,18,18,18,18,6
PLX,2005-09-14,18,35,18,35,20
PLX,2005-09-29,20,20,20,20,15
PLX,2005-09-30,25,30,25,30,15
PLX,2005-10-03,21,21,21,21,2
PLX,2005-10-07,20,20,20,20,1
PLX,2005-10-10,20,20,20,20,2
PLX,2005-12-06,51,85,51,85,28
PLX,2005-12-07,151,348,130,340,123
PLX,2005-12-08,390,400,335,351,102
PLX,2005-12-09,351,400,321,400,40
PLX,2005-12-12,415,550,414,511,136
PLX,2005-12-13,491,492,400,418,50
PLX,2005-12-14,423,495,418,485,29
PLX,2005-12-15,482.0001,482.0001,436,460,26
PLX,2005-12-16,460,463,447,447,21
PLX,2005-12-19,450,452,437,437,12
PLX,2005-12-20,437,437,402,405,17
PLX,2005-12-21,404,404,382,392,17
PLX,2005-12-22,392,500,392,500,23
PLX,2005-12-27,450,460,445,445,3
PLX,2005-12-28,447,453.0001,410,410,12
PLX,2005-12-29,410,440,410,425,2
PLX,2006-01-03,430.0001,430.0001,406,406,3
PLX,2006-01-04,415,415,400,405,2
PLX,2006-01-05,386,400,386,393,3
PLX,2006-01-06,393,405,393,393,4
PLX,2006-01-09,386,395,375,395,3
PLX,2006-01-10,390,407,385,385,5
PLX,2006-01-11,381,381,361,361,4
PLX,2006-01-12,361,400,361,395,4
PLX,2006-01-13,385,385,365,368,5
PLX,2006-01-17,368,368,357,363,8
PLX,2006-01-18,365,390,365,375,7
PLX,2006-01-19,375,395,375,395,9
PLX,2006-01-20,380,380,375,375,1
PLX,2006-01-23,375,375,375,375,2
PLX,2006-01-25,380,380,375,375,4
PLX,2006-01-26,377,377,365,365,4
PLX,2006-01-27,362,363,357,363,2
PLX,2006-01-30,360,360,358,358,1
PLX,2006-01-31,358,394,358,394,2
PLX,2006-02-03,373,373,369,370,4
PLX,2006-02-06,370,375,370,375,3
PLX,2006-02-07,380,438,380,420,3
PLX,2006-02-08,386,399,386,396,4
PLX,2006-02-13,397,397,376,385,6
PLX,2006-02-14,393,393,390,390,4
PLX,2006-02-15,383,405,383,383,6
PLX,2006-02-16,380,382,380,382,2
PLX,2006-02-17,382,417,382,417,3
PLX,2006-02-21,396,396,390,390,6
PLX,2006-02-23,400,400,390,398,7
PLX,2006-02-24,395,395,395,395,1
PLX,2006-02-27,395,400,370,370,11
PLX,2006-02-28,370,370,370,370,1
PLX,2006-03-01,370,390,360,390,10
PLX,2006-03-02,375,375,375,375,2
PLX,2006-03-03,375,390,375,390,4
PLX,2006-03-08,390,390,380,390,2
PLX,2006-03-09,390,390,358,380,8
PLX,2006-03-13,400,400,400,400,1
PLX,2006-03-17,386,386,386,386,1
PLX,2006-03-20,386,393,385,385,3
PLX,2006-03-21,376,376,370,375,4
PLX,2006-03-22,373,375,370,375,2
PLX,2006-03-23,375,375,375,375,2
PLX,2006-03-24,375,375,370,370,2
PLX,2006-03-27,370,370,370,370,1
