ticker,date,open,high,low,close,volume
PTLA,2013-05-22,15.25,15.38,14.75,15.15,3378000
PTLA,2013-05-23,15,15.35,14.9,15.15,306100
PTLA,2013-05-24,15.19,16.48,15.11,16.1,227800
PTLA,2013-05-28,16.35,21.34,16.12,18.1,233800
PTLA,2013-05-29,18.2,18.2,16.36,17.2,113200
PTLA,2013-05-30,17.56,17.93,17,17.6,107600
PTLA,2013-05-31,17.42,18.69,17.42,18.2,117500
PTLA,2013-06-03,18.29,18.7,18,18.7,34300
PTLA,2013-06-04,19.08,19.75,18.5,19.75,113800
PTLA,2013-06-05,19.01,19.98,19.01,19.74,108300
PTLA,2013-06-06,18.61,19.85,18.51,19.85,51300
PTLA,2013-06-07,20.42,20.66,19.3,20.66,180600
PTLA,2013-06-10,20.99,21.75,20.99,21.36,81300
PTLA,2013-06-11,21.57,22.2,20.04,21.83,36600
PTLA,2013-06-12,23.13,23.13,20.4,21.44,33600
PTLA,2013-06-13,21.44,21.45,20.05,20.79,128500
PTLA,2013-06-14,20.87,20.87,19.34,20.05,49500
PTLA,2013-06-17,20.25,21,18.66,19.68,234700
PTLA,2013-06-18,19.51,20.28,18.25,19.7,166600
PTLA,2013-06-19,20.5,21,19.3,20.74,117300
PTLA,2013-06-20,20.8,22.48,19.44,21,187200
PTLA,2013-06-21,21.13,21.5,20.66,20.73,223800
PTLA,2013-06-24,20.77,21.87,20.02,21.23,222200
PTLA,2013-06-25,21.85,22.17,21.05,21.23,82400
PTLA,2013-06-26,21.27,23.05,20.7,21.98,67200
PTLA,2013-06-27,22.01,25.5,22.01,24.13,189300
PTLA,2013-06-28,25.08,26.12,24.13,24.57,1469100
PTLA,2013-07-01,24.54,25.26,23.33,24.13,132800
PTLA,2013-07-02,24.04,24.41,23.21,23.9,381200
PTLA,2013-07-03,23.67,24.5,23.1,23.77,48600
PTLA,2013-07-05,24.28,24.28,22.37,23.54,72400
PTLA,2013-07-08,23.53,25.88,22.67,23.55,83100
PTLA,2013-07-09,23.69,24.07,22.76,23.6,79000
PTLA,2013-07-10,23.7,23.9,22.32,23.04,130600
PTLA,2013-07-11,23.33,23.61,22.46,23.17,173200
PTLA,2013-07-12,23.05,24.98,22.83,24.12,206800
PTLA,2013-07-15,23.85,24.28,22.71,23.32,92900
PTLA,2013-07-16,23.61,24.7,23.15,23.31,133600
PTLA,2013-07-17,22.9,23.99,22.9,23.44,48200
PTLA,2013-07-18,23.54,23.74,23.09,23.35,76700
PTLA,2013-07-19,23.17,23.26,22.76,22.95,67200
PTLA,2013-07-22,22.73,24.75,22.64,24.18,89100
PTLA,2013-07-23,24.18,24.48,23.83,24.03,38500
PTLA,2013-07-24,23.76,24.2,23.01,23.83,51200
PTLA,2013-07-25,23.87,24.11,23.41,23.85,28800
PTLA,2013-07-26,23.77,24.26,23.42,23.63,17600
PTLA,2013-07-29,23.7,23.99,23.5,23.53,9100
PTLA,2013-07-30,23.61,23.61,22.87,23.07,70800
PTLA,2013-07-31,24.22,24.26,22.91,22.98,47500
PTLA,2013-08-01,23.06,23.92,22.88,23.12,86000
PTLA,2013-08-02,23.05,24.14,22.8,23.96,22200
PTLA,2013-08-05,24.08,24.08,23,23.67,43100
PTLA,2013-08-06,23.73,23.73,22.9,22.91,18500
PTLA,2013-08-07,23,23.43,22.7,23.2,13000
PTLA,2013-08-08,23.28,23.28,22.84,23,70500
PTLA,2013-08-09,23.09,23.4,22.9,23.25,74000
PTLA,2013-08-12,22.74,23.07,22.74,22.8,36600
PTLA,2013-08-13,22.58,23.05,22.15,22.93,40500
PTLA,2013-08-14,23,23,21.66,22.12,66400
PTLA,2013-08-15,21.84,22.87,21.69,21.86,83400
PTLA,2013-08-16,21.78,23.99,21.02,21.17,40500
PTLA,2013-08-19,21.48,21.83,20.15,20.77,76900
PTLA,2013-08-20,21.28,21.39,20.61,21.15,41500
PTLA,2013-08-21,21.17,21.53,20.21,20.68,18100
PTLA,2013-08-22,20.77,21.48,20.51,21.4,10500
PTLA,2013-08-23,21.37,22.08,21.37,22.01,73800
PTLA,2013-08-26,21.77,23.11,21.53,22.82,59400
PTLA,2013-08-27,22.7,22.94,22.24,22.31,24200
PTLA,2013-08-28,22.26,23.86,22.26,22.67,63700
PTLA,2013-08-29,22.65,23.03,22.01,22.65,51900
PTLA,2013-08-30,22.57,23.01,22.29,22.6,44600
PTLA,2013-09-03,22.62,23,22.39,22.79,40300
PTLA,2013-09-04,22.74,23.37,22,23.13,42900
PTLA,2013-09-05,23.32,27.57,23.32,26.05,168300
PTLA,2013-09-06,26.3,27.4,25,25.83,71700
PTLA,2013-09-09,25.8,26.15,25.25,25.51,50700
PTLA,2013-09-10,25.55,25.76,25.26,25.69,70300
PTLA,2013-09-11,27.1,27.1,25.11,25.37,64100
PTLA,2013-09-12,25.28,25.8,23.65,24.65,81200
PTLA,2013-09-13,24.66,26.65,24.55,26.16,265200
PTLA,2013-09-16,26.22,27.19,25.01,27.03,130700
PTLA,2013-09-17,26.88,27.7,26.02,27.32,60100
PTLA,2013-09-18,27.4,28.35,27,27.99,127600
PTLA,2013-09-19,27.99,28.64,27.71,28.47,97900
PTLA,2013-09-20,28.44,28.77,26.63,26.73,414600
PTLA,2013-09-23,26.98,26.98,24.53,25.42,106000
PTLA,2013-09-24,25.51,26.64,24.15,24.27,98900
PTLA,2013-09-25,24.75,25.92,23.1,23.31,113500
PTLA,2013-09-26,23.41,24.79,23.25,24.53,97400
PTLA,2013-09-27,24.39,25.89,24.39,24.61,118600
PTLA,2013-09-30,24.51,27.41,24.51,26.75,98600
PTLA,2013-10-01,26.83,27.36,26.25,27.36,30800
PTLA,2013-10-02,27,29.42,27,29.01,100300
PTLA,2013-10-03,29.06,30.95,27.69,27.71,102100
PTLA,2013-10-04,27.63,30.25,27.47,27.58,148600
PTLA,2013-10-07,27.24,28.64,26.68,26.74,46300
PTLA,2013-10-08,26.6,27.14,23.18,23.24,148000
PTLA,2013-10-09,23.23,23.27,21.69,22.41,96800
PTLA,2013-10-10,22.66,23.15,22.14,22.65,101600
PTLA,2013-10-11,22.75,22.75,21.55,22.61,64400
PTLA,2013-10-14,22.55,22.55,21.69,22.21,35200
PTLA,2013-10-15,22.35,23.25,22.35,22.83,166300
PTLA,2013-10-16,22.55,26.7,20.72,25.55,1038700
PTLA,2013-10-17,24.75,25.06,23.01,23.84,5182400
PTLA,2013-10-18,23.86,23.95,23.69,23.75,603600
PTLA,2013-10-21,23.76,23.95,23,23.27,456600
PTLA,2013-10-22,23.25,23.64,22.5,23.32,241200
PTLA,2013-10-23,23.35,23.85,22.86,23.5,70700
PTLA,2013-10-24,23.46,24.37,23.33,23.89,234400
PTLA,2013-10-25,23.95,24.34,23.19,23.47,153400
PTLA,2013-10-28,23.59,23.81,23,23.51,114900
PTLA,2013-10-29,23.61,24.1,23,23.5,148600
PTLA,2013-10-30,23.43,23.45,22.25,22.66,341400
PTLA,2013-10-31,22.73,22.73,21.25,22.15,481800
PTLA,2013-11-01,22.82,23.15,21.9,23,275400
PTLA,2013-11-04,23.12,23.12,22,22.5,106700
PTLA,2013-11-05,22.66,22.99,22,22.27,114200
PTLA,2013-11-06,22.6,22.6,21.37,22.06,323800
PTLA,2013-11-07,22.25,23.48,21.72,23.27,197600
PTLA,2013-11-08,23.24,24.73,23.24,24.62,412300
PTLA,2013-11-11,24.7,27.35,24.6,26.8,220100
PTLA,2013-11-12,26.84,27.91,26.57,27.48,385500
PTLA,2013-11-13,27.43,28,26.73,27.46,166600
PTLA,2013-11-14,27.59,27.6,25.95,26.21,141100
PTLA,2013-11-15,26.16,26.7,25.59,26.21,222900
PTLA,2013-11-18,25.75,26.09,24.49,24.57,178700
PTLA,2013-11-19,24.57,25.37,24.07,24.88,327700
PTLA,2013-11-20,24.45,25.1,24.04,24.34,93900
PTLA,2013-11-21,24.46,24.8,23.75,23.98,101100
PTLA,2013-11-22,24.16,24.27,23.28,23.89,227200
