ticker,date,open,high,low,close,volume
QDEL,2002-04-05,6.64,6.75,6.3,6.5,103300
QDEL,2002-04-08,6,6.5,5.95,6.16,105000
QDEL,2002-04-09,6.17,6.51,5.97,6.4,124500
QDEL,2002-04-10,6.45,6.78,6.25,6.7,84300
QDEL,2002-04-11,6.7,6.75,6.52,6.6,49100
QDEL,2002-04-12,6.6,6.7,6.5,6.62,42300
QDEL,2002-04-15,6.53,6.67,6.35,6.56,51100
QDEL,2002-04-16,6.51,6.75,6.35,6.7,69300
QDEL,2002-04-17,6.56,6.75,6.55,6.75,33900
QDEL,2002-04-18,6.65,6.84,6.65,6.7,87200
QDEL,2002-04-19,6.75,7.09,6.64,6.95,100600
QDEL,2002-04-22,6.92,7.05,6.87,6.95,62400
QDEL,2002-04-23,6.91,7.09,6.88,7.01,162100
QDEL,2002-04-24,7.05,7.05,6.86,6.9,115900
QDEL,2002-04-25,6.86,6.93,6.79,6.79,104900
QDEL,2002-04-26,6.78,6.92,6.7,6.85,137400
QDEL,2002-04-29,6.72,6.9,6.72,6.78,71800
QDEL,2002-04-30,6.84,7,6.73,6.73,223600
QDEL,2002-05-01,6.73,6.85,5.65,5.76,293100
QDEL,2002-05-02,5.82,5.82,4.25,4.92,634300
QDEL,2002-05-03,4.9,5.3,4.9,5.21,186800
QDEL,2002-05-06,5.02,5.3,5.02,5.07,64600
QDEL,2002-05-07,5.08,5.18,5.05,5.17,39100
QDEL,2002-05-08,5.27,5.55,5.19,5.35,44000
QDEL,2002-05-09,5.28,5.6,5.07,5.6,79200
QDEL,2002-05-10,5.5,5.86,5.46,5.8,87400
QDEL,2002-05-13,6.1,6.1,5.25,5.74,114600
QDEL,2002-05-14,5.75,5.85,5.35,5.35,85100
QDEL,2002-05-15,5.5,6.08,5.5,5.9,79400
QDEL,2002-05-16,5.69,6.05,5.69,5.85,85900
QDEL,2002-05-17,6,6,5.75,5.85,58000
QDEL,2002-05-20,5.81,5.98,5.81,5.92,90400
QDEL,2002-05-21,5.9,6.1,5.85,6.01,87400
QDEL,2002-05-22,5.98,6.05,5.9,6.05,48200
QDEL,2002-05-23,6,6,5.82,5.87,43300
QDEL,2002-05-24,5.8,6.09,5.8,6.05,71000
QDEL,2002-05-28,5.87,6.3,5.82,6.22,56300
QDEL,2002-05-29,5.96,6.34,5.96,6.25,57400
QDEL,2002-05-30,6.28,6.35,5.76,6.22,30000
QDEL,2002-05-31,6.36,6.77,6.1,6.7,150600
QDEL,2002-06-03,6.62,6.62,6.12,6.24,57000
