ticker,date,open,high,low,close,volume
RCEL,2012-03-29,25,25,25,25,60
RCEL,2012-03-30,29.5,29.5,25,27,1480
RCEL,2012-04-02,26,27,25.75,26,1520
RCEL,2012-04-03,25.5,25.5,23.7,24,660
RCEL,2012-04-04,23.35,23.35,22.5,22.7,960
RCEL,2012-04-05,25.85,25.9,24,25.9,640
RCEL,2012-04-09,25.6,25.6,25.6,25.6,120
RCEL,2012-04-10,26.25,26.25,25,25,420
RCEL,2012-04-11,25.5,25.5,25,25,220
RCEL,2012-04-13,25.28,25.28,25,25,1720
RCEL,2012-04-16,28.1,28.1,28.1,28.1,100
RCEL,2012-04-18,28,28,27.5,27.5,320
RCEL,2012-04-20,28.7,28.7,27.5,28.65,2620
RCEL,2012-04-23,27.5,27.5,27.5,27.5,200
RCEL,2012-04-24,27.5,27.5,26.25,26.25,200
RCEL,2012-04-26,26.25,26.25,26.25,26.25,120
RCEL,2012-04-27,24.3,24.3,23.75,23.75,200
RCEL,2012-04-30,23.5,23.5,22.55,22.55,120
RCEL,2012-05-02,23,23,23,23,500
RCEL,2012-05-03,22.75,23.8,22.75,22.85,320
RCEL,2012-05-04,22.05,22.05,21.75,22,380
RCEL,2012-05-07,21.75,21.75,21.5,21.5,180
RCEL,2012-05-08,22,22,22,22,160
RCEL,2012-05-09,22,22.2,22,22.2,260
RCEL,2012-05-10,23.75,25,23.25,25,5480
RCEL,2012-05-11,25,25.75,25,25.75,1480
RCEL,2012-05-14,26.65,26.65,25,25,2020
RCEL,2012-05-15,27.45,27.45,26.25,26.25,1360
RCEL,2012-05-16,26,26,24.75,25.75,1840
RCEL,2012-05-17,26,27.15,26,27.15,360
RCEL,2012-05-18,25.4,25.4,24,24,680
RCEL,2012-05-21,25.3,25.55,25.3,25.3,160
RCEL,2012-05-22,25.7,25.7,24.5,25.25,180
RCEL,2012-05-23,23.05,23.05,21.25,22.25,3380
RCEL,2012-05-25,23.2,23.2,22.75,22.75,860
RCEL,2012-05-29,22.2,22.2,20.15,22.2,1080
RCEL,2012-05-30,21,21,20.5,21,280
RCEL,2012-05-31,21.5,21.5,21.5,21.5,480
RCEL,2012-06-01,20.85,20.85,20,20.5,800
RCEL,2012-06-04,19.55,19.55,18,18,2180
RCEL,2012-06-05,18.05,19.5,18.05,19.5,300
RCEL,2012-06-06,20.5,20.65,20.1,20.65,660
RCEL,2012-06-07,20.75,21.05,20.75,21.05,1520
RCEL,2012-06-08,21.5,22.2,21.5,22.2,500
RCEL,2012-06-11,21.8,21.8,21.8,21.8,200
RCEL,2012-06-12,21.1,21.1,20.84,21,1620
RCEL,2012-06-13,21.2,21.2,20.25,20.4,1020
RCEL,2012-06-14,20.59,20.59,20.5,20.5,420
RCEL,2012-06-15,21.15,21.15,21.1,21.1,160
RCEL,2012-06-18,20.5,21,20.4,21,880
RCEL,2012-06-19,20.68,20.68,20.68,20.68,100
RCEL,2012-06-20,20,20,20,20,100
RCEL,2012-06-21,20,20,20,20,200
RCEL,2012-06-25,17.6,19.5,17.6,19.5,700
RCEL,2012-06-28,19,19.5,19,19.5,440
RCEL,2012-06-29,20,20.65,20,20.65,400
RCEL,2012-07-02,19.95,19.95,19.95,19.95,40
RCEL,2012-07-05,20.24,20.24,20,20,1480
RCEL,2012-07-06,19.5,19.5,19.25,19.25,160
RCEL,2012-07-09,18.85,20.4,18.85,20.4,160
RCEL,2012-07-12,19.4,19.4,18.55,18.55,1160
RCEL,2012-07-13,18.95,20,18.95,20,460
RCEL,2012-07-17,20,20,20,20,240
RCEL,2012-07-19,19.96,19.96,19.96,19.96,200
RCEL,2012-07-20,19.75,19.75,19.625,19.625,400
RCEL,2012-07-23,19.95,19.95,19.95,19.95,20
RCEL,2012-07-26,18.55,18.55,18.25,18.25,1120
RCEL,2012-07-27,18.5,18.5,18,18.45,380
RCEL,2012-07-30,18.12,18.6,18.12,18.6,2900
RCEL,2012-07-31,17.75,18,17.75,18,1220
RCEL,2012-08-02,17.4,17.6,17.4,17.6,1200
RCEL,2012-08-03,17.75,17.75,17.75,17.75,520
RCEL,2012-08-06,17.75,17.75,17,17,1280
RCEL,2012-08-07,17,17,16.05,16.05,660
RCEL,2012-08-08,16.25,16.25,16.08,16.1,300
RCEL,2012-08-09,15.9,16,15.9,15.95,1120
RCEL,2012-08-10,15,15.05,14.5,14.78,2060
RCEL,2012-08-13,14.05,14.74,14.05,14.74,1340
RCEL,2012-08-14,14.75,16.6,14.75,16.3,1480
RCEL,2012-08-15,13.9,13.9,13.9,13.9,1000
RCEL,2012-08-16,15,15,15,15,220
RCEL,2012-08-20,13.4,13.45,13.4,13.45,60
RCEL,2012-08-21,15.75,15.75,15.75,15.75,160
RCEL,2012-08-22,13.4,16.25,13.4,16.25,1500
RCEL,2012-08-23,15.7,15.7,15.7,15.7,100
RCEL,2012-08-27,14.6,14.6,14.6,14.6,200
RCEL,2012-08-28,14.75,14.75,14.75,14.75,280
RCEL,2012-08-30,14.6,14.6,14.6,14.6,20
RCEL,2012-08-31,14.6,14.8,14.6,14.8,200
RCEL,2012-09-04,15.11,15.11,15.11,15.11,20
RCEL,2012-09-05,13.6,13.6,12.45,12.45,5140
RCEL,2012-09-06,12.25,14.09,12.25,14,2320
RCEL,2012-09-07,13.25,13.25,12.25,12.25,760
RCEL,2012-09-11,12.25,14.2,12.25,14,2920
