ticker,date,open,high,low,close,volume
RDHL,2013-01-07,11.1,11.1,11.1,11.1,100
RDHL,2013-01-18,11.1,11.6,11.1,11.6,1500
RDHL,2013-01-23,11.45,11.45,11,11,700
RDHL,2013-01-31,12.6,13.6,12.6,13.6,300
RDHL,2013-02-01,14.5,14.5,12,12,1900
RDHL,2013-02-04,12.43,12.43,11,12.29,2000
RDHL,2013-02-08,11.74,11.74,11.74,11.74,1000
RDHL,2013-02-11,11.49,11.49,11.42,11.42,500
RDHL,2013-02-13,11.5,11.5,10.71,10.71,2100
RDHL,2013-02-19,11.5,11.5,11.5,11.5,1000
RDHL,2013-02-22,11.45,11.45,11.45,11.45,1000
RDHL,2013-02-26,11,11,11,11,200
RDHL,2013-02-27,10.94,10.94,10.75,10.75,1100
RDHL,2013-03-14,10.53,10.59,7.59,10.02,6400
RDHL,2013-03-21,10.15,10.73,9.96,9.96,800
RDHL,2013-03-25,9.95,9.95,8.46,8.46,300
RDHL,2013-03-27,10.5,11.95,10.5,11.95,4300
RDHL,2013-03-28,11.5,11.5,10.2,11,2600
RDHL,2013-04-02,11,11,11,11,100
RDHL,2013-04-04,11,11,11,11,300
RDHL,2013-04-05,10.45,10.89,10.45,10.45,500
RDHL,2013-04-08,10.27,10.55,10.27,10.4,1700
RDHL,2013-04-09,10.95,10.95,10,10.65,300
RDHL,2013-04-10,10,10.01,10,10,1400
RDHL,2013-04-11,10.03,12.3,10.03,11.7,6300
RDHL,2013-04-12,10.3,11,10.3,10.31,600
RDHL,2013-04-15,10.3,10.42,10,10.33,1100
RDHL,2013-04-17,10.4,10.4,10,10,800
RDHL,2013-04-18,8.2,10,8.2,10,400
RDHL,2013-04-22,10,10,10,10,600
RDHL,2013-04-29,10.09,10.5,10.01,10.46,4400
RDHL,2013-04-30,10.05,10.05,10.05,10.05,100
RDHL,2013-05-03,10.5,10.75,10,10.5,500
RDHL,2013-05-06,10.68,10.75,10.68,10.75,400
RDHL,2013-05-07,10.74,11,10.74,10.75,1100
RDHL,2013-05-09,11,11.5,11,11.5,600
RDHL,2013-05-10,12,12,11.94,11.94,600
RDHL,2013-05-13,10.75,11,10.75,11,300
RDHL,2013-05-14,11.7,11.7,11.7,11.7,200
RDHL,2013-05-15,10.75,10.75,10.75,10.75,100
RDHL,2013-05-16,11.69,11.69,10.76,11.21,2400
RDHL,2013-05-17,10.75,11.21,10.75,11.1,4700
RDHL,2013-05-22,11.25,11.75,10.64,10.64,2700
RDHL,2013-05-23,11.5,11.5,11.49,11.49,200
RDHL,2013-05-24,10.71,10.72,10.7,10.7,1000
RDHL,2013-05-28,11,11,11,11,1100
RDHL,2013-05-29,11.75,11.75,10.96,10.96,3400
RDHL,2013-05-30,10.53,11.3,10.53,11.3,1200
RDHL,2013-05-31,10.5,10.7,10.05,10.7,2000
RDHL,2013-06-03,11,11,10.75,10.81,2300
RDHL,2013-06-06,10.76,10.76,10.76,10.76,300
RDHL,2013-06-07,10.23,10.92,10.05,10.05,600
RDHL,2013-06-10,10.17,10.7,10.17,10.7,600
RDHL,2013-06-11,10.46,10.46,10.41,10.41,500
RDHL,2013-06-12,10.15,10.15,10.15,10.15,100
RDHL,2013-06-18,11,11,10.51,10.7,1100
RDHL,2013-06-19,10.5,10.75,10.5,10.55,2200
RDHL,2013-06-20,10.06,10.06,10.06,10.06,100
RDHL,2013-06-24,10.5,10.5,10.5,10.5,500
RDHL,2013-06-25,10.05,10.35,10.05,10.35,300
RDHL,2013-07-03,10.5,10.5,10.5,10.5,300
RDHL,2013-07-05,10.11,10.39,10.11,10.39,500
RDHL,2013-07-08,9,9.98,8.2,8.31,4000
RDHL,2013-07-09,9.5,9.83,9.5,9.83,600
RDHL,2013-07-10,10.1,10.1,10.1,10.1,700
RDHL,2013-07-12,10,10,9.65,9.65,300
RDHL,2013-07-15,10.2,10.29,10,10.02,1800
RDHL,2013-07-16,10.03,10.03,10,10,600
RDHL,2013-07-22,9.9,9.9,9.9,9.9,100
RDHL,2013-07-23,9.72,9.72,9.72,9.72,700
RDHL,2013-07-29,9.92,10.1,9.83,10.09,900
RDHL,2013-07-30,10,10.27,9.82,10.02,900
RDHL,2013-07-31,10.24,10.24,10.24,10.24,700
RDHL,2013-08-01,10.02,10.5,10.02,10.5,2700
RDHL,2013-08-02,10.68,10.68,10.36,10.4,1300
RDHL,2013-08-05,10.02,10.48,10.02,10.21,300
RDHL,2013-08-06,10.45,10.5,10.1,10.37,1800
RDHL,2013-08-07,10.37,10.37,10.37,10.37,200
RDHL,2013-08-08,10.33,10.33,10.16,10.16,200
RDHL,2013-08-12,10.4,10.5,10.16,10.5,9600
RDHL,2013-08-13,10.5,10.5,10.5,10.5,5700
RDHL,2013-08-14,10.5,10.5,10.48,10.5,1000
RDHL,2013-08-15,10.42,10.48,10.12,10.45,1200
RDHL,2013-08-16,9.9,10.46,9.81,10.01,1900
RDHL,2013-08-19,10.31,10.5,10.3,10.5,1100
RDHL,2013-08-20,10.5,10.53,10.2,10.49,33800
RDHL,2013-08-21,10.5,11.25,10.38,10.59,19400
RDHL,2013-08-22,10.69,10.69,10.43,10.55,3800
RDHL,2013-08-23,10.68,10.68,10,10.4,11100
RDHL,2013-08-26,10.2,10.39,9.99,10.39,5400
RDHL,2013-08-27,9.8,10.58,9.8,10,1100
RDHL,2013-08-28,10.06,10.06,9.8,9.85,1200
RDHL,2013-08-29,10,10,10,10,100
RDHL,2013-08-30,10.49,10.49,10.49,10.49,100
RDHL,2013-09-03,10.28,10.48,9.9,10.48,800
RDHL,2013-09-04,10.47,10.47,9.8,9.9,2700
RDHL,2013-09-05,9.77,9.89,9.51,9.89,1500
RDHL,2013-09-06,9.56,9.99,9.56,9.99,1100
RDHL,2013-09-10,10.07,10.1,10.07,10.1,1500
RDHL,2013-09-11,9.9,10.06,9.72,10.06,1500
RDHL,2013-09-12,9.72,9.75,9.72,9.73,1300
RDHL,2013-09-13,9.76,9.9,9.6,9.9,700
RDHL,2013-09-16,9.56,9.85,9.56,9.85,200
RDHL,2013-09-17,9.77,9.8,9.75,9.8,1000
RDHL,2013-09-18,9.89,9.9,9.8,9.8,4900
RDHL,2013-09-19,9.7,10.39,9.58,10.2,4700
RDHL,2013-09-20,9.9,9.91,9.7,9.81,1000
RDHL,2013-09-23,9.6,10,9.6,9.99,1000
RDHL,2013-09-24,9.6,10.2,9.6,10.2,1000
RDHL,2013-09-26,10.2,10.5,10.2,10.3,2500
RDHL,2013-09-27,10.31,10.7,10.31,10.7,500
RDHL,2013-09-30,11,11,10.65,10.73,1100
RDHL,2013-10-01,10.77,10.77,10.01,10.77,300
RDHL,2013-10-02,11.49,11.49,10.8,11.15,11700
RDHL,2013-10-03,10.3,11,10.3,10.92,900
RDHL,2013-10-04,10.65,10.65,10.65,10.65,500
RDHL,2013-10-07,10.54,10.75,10.54,10.75,500
RDHL,2013-10-08,10.6,10.63,9.8,9.8,4200
RDHL,2013-10-09,10.2,10.2,10,10,700
RDHL,2013-10-10,9.86,10.03,9.65,10,1700
RDHL,2013-10-11,9.9,10,9.75,9.8,1900
RDHL,2013-10-14,10.3,10.3,9.69,10,700
RDHL,2013-10-15,10.2,10.24,10.05,10.05,5200
RDHL,2013-10-16,9.51,10,9.51,9.8,4200
RDHL,2013-10-17,9.91,9.91,9.8,9.8,2000
RDHL,2013-10-18,9.91,9.91,9.91,9.91,100
RDHL,2013-10-21,10.02,10.75,9.99,10.55,9100
RDHL,2013-10-22,10.73,10.92,10.67,10.92,12500
RDHL,2013-10-23,10.68,10.77,10.59,10.67,5800
RDHL,2013-10-24,10.67,10.92,10.45,10.74,12200
RDHL,2013-10-25,10.62,10.74,10.34,10.34,4000
RDHL,2013-10-28,10.5,10.79,10.5,10.79,5800
RDHL,2013-10-29,10.65,10.75,10.65,10.7,6500
