ticker,date,open,high,low,close,volume
REGN,2002-04-04,21.75,23.24,21.36,22.4,794900
REGN,2002-04-05,22.31,22.7,20.87,21.1,384300
REGN,2002-04-08,20.9,21.25,20.18,21.05,487000
REGN,2002-04-09,21.09,22.6,21,22.1,828000
REGN,2002-04-10,22.15,23.4,22.05,23.26,513700
REGN,2002-04-11,23.07,23.43,22.25,22.4,450300
REGN,2002-04-12,22.49,23.43,22,23.24,350400
REGN,2002-04-15,23.24,23.8,22.78,23.63,406800
REGN,2002-04-16,23.7,24.42,23.65,23.99,467500
REGN,2002-04-17,24.4,24.4,23.11,23.29,283800
REGN,2002-04-18,23.7,23.94,22.86,23.94,146000
REGN,2002-04-19,23.4,24.07,22.95,22.96,730300
REGN,2002-04-22,22.9,23.3,21.78,22.9,386600
REGN,2002-04-23,22.62,22.85,21.64,21.76,380000
REGN,2002-04-24,21.63,22.4,21.57,22.01,210300
REGN,2002-04-25,21.9,21.95,20.01,20.51,586600
REGN,2002-04-26,20.36,20.99,19.87,19.97,499700
REGN,2002-04-29,19.61,19.67,17.5,19.25,576600
REGN,2002-04-30,18.78,20.92,18.28,20.65,998300
REGN,2002-05-01,21.3,21.31,19.2,19.94,774200
REGN,2002-05-02,20,20,19,19.06,357800
REGN,2002-05-03,18.76,19.06,18.25,18.8,597000
REGN,2002-05-06,19.04,19.04,17.31,17.34,348300
REGN,2002-05-07,17.32,17.84,16.58,17.46,439600
REGN,2002-05-08,17.6,19.5,17.27,19.5,421600
REGN,2002-05-09,19.49,19.78,18.6,18.62,446100
REGN,2002-05-10,18.89,18.89,17.41,17.5,339800
REGN,2002-05-13,17.11,18.71,17.05,18.13,480400
REGN,2002-05-14,18.3,19.55,18.29,18.75,384700
REGN,2002-05-15,18.95,18.95,18.13,18.65,225200
REGN,2002-05-16,18.78,18.82,17.56,17.56,207300
REGN,2002-05-17,18.02,19.05,17.85,18.49,491200
REGN,2002-05-20,18.59,18.65,17.74,17.77,204000
REGN,2002-05-21,17.96,18.45,16.6,16.63,378200
REGN,2002-05-22,16.79,17.48,16,17.03,690300
REGN,2002-05-23,17.2,19.65,16.58,18.99,482800
REGN,2002-05-24,19.27,19.27,17.15,17.16,523700
REGN,2002-05-28,17.64,18.65,17.13,17.95,376800
REGN,2002-05-29,18.25,18.25,17.19,17.19,285700
REGN,2002-05-30,16.95,17.65,16.8,17.3,179000
REGN,2002-05-31,17.31,17.6,16.52,16.52,232000
REGN,2002-06-03,16.8,17.02,15.5,15.56,865600
REGN,2002-06-04,15.54,15.99,14.75,15.39,485500
