ticker,date,open,high,low,close,volume
RPRX,2020-06-16,44,46.27,42,44.5,27619300
RPRX,2020-06-17,45.9,51.95,45,48.61,9318700
RPRX,2020-06-18,56.39,56.5,49.49,50.9,11027900
RPRX,2020-06-19,52.94,52.96,46.56,49,5586400
RPRX,2020-06-22,49.83,51.49,49.25,51.29,2315100
RPRX,2020-06-23,53,54.44,50.87,50.95,2297700
RPRX,2020-06-24,51.35,51.49,47.686,50.25,4700200
RPRX,2020-06-25,49.19,52.5,48.83,52.11,1993000
RPRX,2020-06-26,52,52.24,48.7,49.59,1452000
RPRX,2020-06-29,49.88,50.05,48.01,48.73,1607500
RPRX,2020-06-30,48.2,49.36,48.1801,48.55,1227300
RPRX,2020-07-01,48.54,48.68,46.15,46.47,2094300
RPRX,2020-07-02,46.94,47.55,45.6,45.73,1231400
RPRX,2020-07-06,46.66,46.95,45.58,46.11,1424700
RPRX,2020-07-07,45.57,47.38,45.52,47.05,1177100
RPRX,2020-07-08,47,48.88,47,48.02,1045300
RPRX,2020-07-09,48.02,48.5,47.6,48.36,828300
RPRX,2020-07-10,48.59,48.62,47.47,47.64,692800
RPRX,2020-07-13,47.2,47.6,43.76,44.06,2099800
RPRX,2020-07-14,44,44.99,41.53,43.52,2658900
RPRX,2020-07-15,43.82,44.52,41.61,43,1316300
RPRX,2020-07-16,43.34,43.875,41.95,42.2,1096700
RPRX,2020-07-17,42.8,44.42,41.21,44.19,1763700
RPRX,2020-07-20,44.42,46.29,44.03,45.87,1160200
RPRX,2020-07-21,46.61,46.6299,42.6,43.07,1547900
RPRX,2020-07-22,43.28,43.76,42,43.07,594400
RPRX,2020-07-23,42.61,44.255,42.6,42.89,1042800
RPRX,2020-07-24,42.32,42.4,39.9,41.91,1749900
RPRX,2020-07-27,41.43,43.28,40.65,43.22,515800
RPRX,2020-07-28,42.33,42.7994,41.83,41.93,307700
RPRX,2020-07-29,42.11,43.14,42.1,43.05,646700
RPRX,2020-07-30,42.26,43.07,41.905,42.78,753300
RPRX,2020-07-31,42.86,43.49,42.15,43.05,865900
RPRX,2020-08-03,42.94,44.45,42.51,44.12,606600
RPRX,2020-08-04,43.97,45.33,42.42,43.2,1649400
RPRX,2020-08-05,43.31,43.93,41.71,41.93,794000
RPRX,2020-08-06,43,44,42.77,43.9,837700
RPRX,2020-08-07,43.9,45.25,43.13,43.76,1523000
RPRX,2020-08-10,43.86,45.94,43.82,45.76,843500
RPRX,2020-08-11,45.98,46.65,44.65,45.77,1072000
RPRX,2020-08-12,46.23,47.15,44.1,44.99,1715000
RPRX,2020-08-13,44.99,46.4,44.91,45.48,819500
RPRX,2020-08-14,45.11,45.97,45.0012,45.41,599300
RPRX,2020-08-17,45.61,46.06,45.44,45.95,361500
RPRX,2020-08-18,46.3,46.3,43.79,44.62,732100
RPRX,2020-08-19,44.64,45.34,43.77,43.9,618800
RPRX,2020-08-20,44,44.38,43.15,43.26,579700
RPRX,2020-08-21,43,43.49,41.51,41.97,918700
RPRX,2020-08-24,42.47,42.92,41.8,42.73,771800
RPRX,2020-08-25,42.6,42.73,41.18,41.78,842800
RPRX,2020-08-26,41.75,42.3,41.55,41.94,602600
RPRX,2020-08-27,42.12,42.16,40.99,41,623300
RPRX,2020-08-28,41.12,42.45,41.1,42.07,867000
RPRX,2020-08-31,42.25,42.98,41.2,41.38,947000
RPRX,2020-09-01,41.7,42.05,41,41.6,793500
RPRX,2020-09-02,41.75,41.95,41.24,41.75,470400
RPRX,2020-09-03,41.8,41.97,40.4,40.74,822200
RPRX,2020-09-04,40.36,40.5,38.91,39.78,1089300
RPRX,2020-09-08,39.8,39.826,38.7,39.04,779300
RPRX,2020-09-09,39.31,40.49,38.8,38.84,619300
RPRX,2020-09-10,38.93,40.09,38.93,39.44,886800
RPRX,2020-09-11,39.56,39.99,38.54,38.56,559700
RPRX,2020-09-14,39.1,40.49,38.81,39.82,1217500
RPRX,2020-09-15,40.15,41.22,40.15,40.705,891100
RPRX,2020-09-16,40.56,40.81,39.74,40.61,752200
RPRX,2020-09-17,39.8,41.29,39.72,41.28,1224300
RPRX,2020-09-18,41.28,43.19,41.13,41.98,5872500
RPRX,2020-09-21,41.64,41.99,40.56,40.59,1197200
RPRX,2020-09-22,40.5,41.82,40.16,41.72,683700
RPRX,2020-09-23,41.83,42.47,41.41,41.78,744300
RPRX,2020-09-24,41.52,41.565,38.91,40.23,2782800
RPRX,2020-09-25,39.99,41.2,39.9,40.07,882300
RPRX,2020-09-28,40.18,41.25,40.18,41.21,389900
RPRX,2020-09-29,41.3,42.19,40.71,42.01,666400
RPRX,2020-09-30,41.8,43.47,41.56,42.07,762500
RPRX,2020-10-01,42.53,42.99,42.01,42.59,776000
RPRX,2020-10-02,41.54,42.8,41.54,42.47,855800
RPRX,2020-10-05,42.31,43.87,42.31,43.4,1931500
RPRX,2020-10-06,43.2,44.17,43.11,43.8,1111000
RPRX,2020-10-07,43.9,44.62,43.8,44.59,1072700
RPRX,2020-10-08,44.5,44.91,43.74,44.1,854600
RPRX,2020-10-09,44.6,44.6,43.94,44.08,516200
RPRX,2020-10-12,44.1,44.64,43.93,44.41,423600
RPRX,2020-10-13,44.13,44.97,44.01,44.81,518000
RPRX,2020-10-14,42.88,44.31,42.46,42.79,1369600
RPRX,2020-10-15,42.18,43.2,41.27,42.48,2168600
RPRX,2020-10-16,44.25,44.49,41.5,41.81,7406100
RPRX,2020-10-19,42.4,42.75,40.11,40.27,3108600
RPRX,2020-10-20,40.92,41.49,40.05,40.09,2300100
RPRX,2020-10-21,39.99,40.18,38.1,39,4614400
RPRX,2020-10-22,39.16,39.38,38.2,39.21,1544800
RPRX,2020-10-23,39.49,40.1,38.8,39.01,876100
RPRX,2020-10-26,39,39.37,38.1222,38.77,2020400
RPRX,2020-10-27,38.8,39.16,37.645,37.87,1151200
RPRX,2020-10-28,37.47,37.48,35.5113,36.12,1798800
RPRX,2020-10-29,36.17,36.84,34.8,36.34,1550500
RPRX,2020-10-30,36.17,36.765,35.1802,36.7,1158800
RPRX,2020-11-02,38.54,38.7098,37.05,37.58,1216100
RPRX,2020-11-03,38.08,38.35,37.36,38.12,1367100
RPRX,2020-11-04,38.97,41.88,38.77,40.28,3070000
RPRX,2020-11-05,41.61,41.71,39.78,40.13,1398700
RPRX,2020-11-06,39.95,41.18,39.9016,40.24,1319000
RPRX,2020-11-09,41.77,42.86,40.4,40.97,2039700
RPRX,2020-11-10,41.08,41.46,39.44,40.6,1261400
RPRX,2020-11-11,41.8,43.39,39.62,40.31,5332100
RPRX,2020-11-12,40.1,41.378,38.585,40.65,2577100
RPRX,2020-11-13,40.82,42.21,40.57,42.12,1311300
RPRX,2020-11-16,42.26,42.37,41.21,41.83,897700
RPRX,2020-11-17,41.42,42.4,41.25,42.19,794300
RPRX,2020-11-18,41.5,42.43,40.59,40.72,548800
RPRX,2020-11-19,40.5,41.99,40.22,41.48,1051400
RPRX,2020-11-20,41.83,41.83,40.05,40.37,1115500
RPRX,2020-11-23,39.9002,41.22,39.9002,40.2,1434700
RPRX,2020-11-24,40.23,40.63,39.31,39.58,1159700
RPRX,2020-11-25,39.67,41.34,39.46,40.97,1355100
RPRX,2020-11-27,41.17,42.29,40.98,41.6,1504000
RPRX,2020-11-30,41.2,42.79,40.66,42.6,8171000
RPRX,2020-12-01,42.53,42.83,41.21,42.78,1361900
RPRX,2020-12-02,42.76,43.01,41.15,41.78,1409800
RPRX,2020-12-03,41.83,42.71,41.83,42.29,1118000
RPRX,2020-12-04,42.29,43.1,42.29,42.97,989200
RPRX,2020-12-07,43.06,43.42,42.29,42.75,1155800
RPRX,2020-12-08,42.74,45,42.69,44.05,1412700
RPRX,2020-12-09,44.22,44.83,43.44,44.7,1193300
RPRX,2020-12-10,44.69,46.41,44.05,45.2,1276500
RPRX,2020-12-11,45.24,46.29,42.02,42.41,2140000
RPRX,2020-12-14,43.13,43.68,42.37,43.12,2024900
RPRX,2020-12-15,43.15,44.65,42.31,43.85,3167300
RPRX,2020-12-16,43.97,44.135,43.17,43.4,1523000
RPRX,2020-12-17,43.5,45,43,44.18,12252800
RPRX,2020-12-18,44.57,44.97,43.76,44.4,12426300
RPRX,2020-12-21,43.87,46.13,43.3904,45.99,2872700
RPRX,2020-12-22,46.78,49.65,45.2,48.32,4177500
RPRX,2020-12-23,48.74,48.8,47.2,48.61,1750700
RPRX,2020-12-24,48.58,50.02,48.22,48.9,1580500
RPRX,2020-12-28,49.4,49.565,48,49.24,2404200
RPRX,2020-12-29,49.47,50.065,48.56,49.59,3111300
RPRX,2020-12-30,49.87,50,48.91,49.43,2184900
RPRX,2020-12-31,49.28,50.28,48.8,50.05,2352200
RPRX,2021-01-04,50,50.25,46.0604,46.83,9950700
RPRX,2021-01-05,47.03,49.73,46.99,48.95,2715800
RPRX,2021-01-06,48.24,49.1,46.495,47.81,4914800
RPRX,2021-01-07,48.09,49.89,48.05,49.34,3819900
RPRX,2021-01-08,49.87,51.84,49.56,51.27,4815600
RPRX,2021-01-11,51.22,52.8,50.7001,51.32,3462100
RPRX,2021-01-12,51.66,52.33,49.26,49.44,2337000
RPRX,2021-01-13,50.01,50.53,48.8193,49.97,2324400
RPRX,2021-01-14,49.67,51.679,49.5,51.25,1317700
RPRX,2021-01-15,51.4,52.4,50.7,51.95,4324200
RPRX,2021-01-19,52.5,53.23,51.51,51.85,4221900
RPRX,2021-01-20,51.85,51.94,50.215,50.35,3279600
RPRX,2021-01-21,50.35,51.4,50.23,50.42,4060500
RPRX,2021-01-22,50.41,51.5,49.84,51.16,1869900
RPRX,2021-01-25,50.98,52.475,50.7002,51.5,3578900
RPRX,2021-01-26,51.56,53.15,51.53,52.82,2477400
RPRX,2021-01-27,52.83,52.98,50.26,50.31,2764300
RPRX,2021-01-28,50.59,51.18,48.59,48.66,1856200
RPRX,2021-01-29,48.96,49.87,46.88,47.01,1838100
RPRX,2021-02-01,47.85,48.33,46.48,46.73,1789200
RPRX,2021-02-02,47.2,47.39,46.17,46.65,1380100
RPRX,2021-02-03,46.9,48.3175,46.68,48.11,1828100
RPRX,2021-02-04,48.72,48.74,46.96,47.11,1328300
RPRX,2021-02-05,47.11,47.73,46.64,47.04,914800
RPRX,2021-02-08,47.46,48.75,47.2,48.36,794800
RPRX,2021-02-09,48.77,49.405,48.12,48.74,1362600
RPRX,2021-02-10,49.31,50.17,47.57,47.81,1801200
RPRX,2021-02-11,48,48.06,46.8,47.31,1259400
RPRX,2021-02-12,47.32,48.02,47.09,47.98,863700
RPRX,2021-02-16,48.61,48.79,47.17,47.51,1521700
RPRX,2021-02-17,47.56,48.43,46.04,47.38,2026400
RPRX,2021-02-18,46.76,47.17,45.01,46.49,2829400
RPRX,2021-02-19,46.9,48.01,46.62,47.51,1440900
RPRX,2021-02-22,48.2,48.52,47.56,48.02,2455100
RPRX,2021-02-23,47.5,47.74,45.51,46.92,1431700
RPRX,2021-02-24,47.4,48.17,46.73,47.2,3376300
RPRX,2021-02-25,47.77,48.6499,45.94,47.02,1490100
RPRX,2021-02-26,46.81,47.4,45.8,46.57,4206600
RPRX,2021-03-01,48.05,48.34,47.55,48.03,2805500
RPRX,2021-03-02,48.05,48.125,46.51,46.95,2217000
RPRX,2021-03-03,46.83,46.83,43.44,43.57,3290500
RPRX,2021-03-04,43.6,43.95,41.63,42.34,2946900
RPRX,2021-03-05,42.92,42.92,39.63,42.54,3439500
RPRX,2021-03-08,43.8,45.38,43.56,44.85,5569400
RPRX,2021-03-09,45,46.55,45,46.04,2998000
RPRX,2021-03-10,46.5,46.82,45.97,46.24,3171100
RPRX,2021-03-11,46,47.65,45.9035,47.2,3299000
RPRX,2021-03-12,46.86,47.77,46.73,46.92,3670300
RPRX,2021-03-15,46.68,47.41,46.65,46.84,2422900
RPRX,2021-03-16,47.11,47.68,46.5,46.9,2701900
RPRX,2021-03-17,46.36,48.75,46.2036,48.62,8322800
RPRX,2021-03-18,47.72,48.62,46.31,46.5,6184900
RPRX,2021-03-19,46.51,47.24,45.835,46.79,22923300
RPRX,2021-03-22,46.38,47.3,45.41,45.94,6673300
RPRX,2021-03-23,45.52,45.6713,43.24,43.81,11801800
RPRX,2021-03-24,44.21,44.71,42.75,43.35,2135800
RPRX,2021-03-25,43.13,43.133,41.83,42.83,2048800
RPRX,2021-03-26,43.31,43.48,41.56,42.76,1452000
RPRX,2021-03-29,42.58,43.38,42.2,43.16,1393700
RPRX,2021-03-30,43.05,43.86,42.38,43.63,1158100
RPRX,2021-03-31,43.67,44.56,43.505,43.62,1527600
RPRX,2021-04-01,44.11,44.95,42.56,43.01,2900000
RPRX,2021-04-05,43.19,43.68,42.65,42.7,1088700
RPRX,2021-04-06,42.46,42.935,42.11,42.51,1353100
RPRX,2021-04-07,42.35,42.48,41.42,41.57,984700
RPRX,2021-04-08,41.77,42.15,41.66,41.94,1065800
RPRX,2021-04-09,41.94,42.4,41.4284,42.31,1063300
RPRX,2021-04-12,42.32,42.37,41.05,41.23,1590900
RPRX,2021-04-13,41,41.6,40.45,41.43,677500
RPRX,2021-04-14,41.25,42.86,41.2418,42.12,2581300
RPRX,2021-04-15,42.5,42.97,41.47,41.65,812100
RPRX,2021-04-16,41.87,42.02,41.38,41.87,833700
RPRX,2021-04-19,41.97,42.37,41.62,41.77,902800
RPRX,2021-04-20,41.71,42.25,40.6616,41.44,811700
RPRX,2021-04-21,41.43,42.864,41.251,42.78,891100
RPRX,2021-04-22,42.88,43.59,42.01,43.21,1656100
RPRX,2021-04-23,43.21,44.045,43.15,43.61,931700
RPRX,2021-04-26,44,45.04,43.755,44.94,949000
RPRX,2021-04-27,45.11,45.15,44.19,44.67,1794600
RPRX,2021-04-28,44.45,45.61,44.38,45.09,1091800
RPRX,2021-04-29,45.15,45.25,43.55,44.3,781500
RPRX,2021-04-30,44.17,44.88,43.98,44,1045500
RPRX,2021-05-03,44.18,44.57,43.3,43.84,1341700
RPRX,2021-05-04,43.52,43.82,42.27,42.46,1079100
RPRX,2021-05-05,42.4,42.88,41.6033,41.81,1778500
RPRX,2021-05-06,41.55,41.8082,40.31,41.05,1532900
RPRX,2021-05-07,40.82,42.1,40.35,40.97,1481700
RPRX,2021-05-10,41.19,41.56,40.22,41.49,2312500
RPRX,2021-05-11,40.4,42.32,40.02,41.68,3059800
RPRX,2021-05-12,41.73,42.67,40.42,40.58,1991400
RPRX,2021-05-13,40.64,41.07,39.31,40.18,1437900
RPRX,2021-05-14,40.4,41.065,40.25,40.73,948500
RPRX,2021-05-17,40.69,41.56,40.54,41.5,981200
RPRX,2021-05-18,41.31,41.92,41.05,41.53,1026100
RPRX,2021-05-19,40.26,40.64,39.6,40.01,1860500
RPRX,2021-05-20,39.76,41.28,39.76,40.6,1790800
RPRX,2021-05-21,40.84,41.01,40.22,40.7,1240700
RPRX,2021-05-24,40.46,41.01,40.35,40.72,1068900
RPRX,2021-05-25,40.56,40.87,40.02,40.22,1001000
RPRX,2021-05-26,40.28,40.35,39.67,39.85,1295100
RPRX,2021-05-27,39.96,40.26,39.36,40.17,2637400
RPRX,2021-05-28,40.34,40.79,40.01,40.12,841700
RPRX,2021-06-01,40.24,40.41,39.83,40.28,755900
RPRX,2021-06-02,41.86,42.97,41.18,42.97,3228800
RPRX,2021-06-03,42.9,43.73,42.37,43.68,2248800
