ticker,date,open,high,low,close,volume
RVLP,2018-10-18,9,9.09,8.03,8.15,699700
RVLP,2018-10-19,8.16,9.9,8.06,9.03,351900
RVLP,2018-10-22,9.19,9.4,8.56,9.2,152000
RVLP,2018-10-23,9.2,9.2,8.6,8.88,66300
RVLP,2018-10-24,8.84,8.84,7.3,8,86000
RVLP,2018-10-25,8.75,9.14,8.25,9.01,102700
RVLP,2018-10-26,8.75,8.9,8.25,8.5,71600
RVLP,2018-10-29,8.46,8.5,8.15,8.31,91800
RVLP,2018-10-30,8.39,9.04,8.39,8.71,79000
RVLP,2018-10-31,8.76,8.99,8.17,8.7,16000
RVLP,2018-11-01,8.74,8.97,8.455,8.75,23000
RVLP,2018-11-02,8.81,8.83,8.61,8.68,7100
RVLP,2018-11-05,8.69,8.78,8.2,8.7,12300
RVLP,2018-11-06,8.74,8.9,8.29,8.85,22500
RVLP,2018-11-07,8.86,8.86,8.31,8.82,7400
RVLP,2018-11-08,8.59,9,8.3,8.7,12900
RVLP,2018-11-09,8.58,8.9,8.415,8.6,4100
RVLP,2018-11-12,8.7,8.8,8.21,8.52,53300
RVLP,2018-11-13,8.63,8.67,7.035,7.66,59600
RVLP,2018-11-14,7,8.1,6.7,7.55,46700
RVLP,2018-11-15,7.58,8.095,7.36,7.56,36000
RVLP,2018-11-16,7.56,8,7.48,7.53,42300
RVLP,2018-11-19,7.45,7.78,6.95,7,32400
RVLP,2018-11-20,7,7.5,7,7.13,21000
RVLP,2018-11-21,7.2,7.54,6.22,6.7,94000
RVLP,2018-11-23,6.95,8.1,6.95,7.4,22500
RVLP,2018-11-26,7.77,8.14,6.95,7.06,35900
RVLP,2018-11-27,7.1,7.2,6.25,6.25,94200
RVLP,2018-11-28,6.21,7,6.21,6.81,30600
RVLP,2018-11-29,6.84,7.14,6.57,7,41400
RVLP,2018-11-30,6.96,8,6.96,7.88,50900
RVLP,2018-12-03,7.75,9.75,7.19,8.83,105500
RVLP,2018-12-04,8.81,9.45,8,8.2,236100
RVLP,2018-12-06,7.99,8.5,7.55,7.62,217500
RVLP,2018-12-07,7.6,8.24,7.37,7.84,71300
RVLP,2018-12-10,7.9,8.01,7.295,7.85,52200
RVLP,2018-12-11,8,8.48,7.47,8.12,47100
RVLP,2018-12-12,8.14,8.29,7.15,8.15,87200
RVLP,2018-12-13,8,8.125,7.54,8.04,35800
RVLP,2018-12-14,7.75,8.05,7.53,7.99,101500
RVLP,2018-12-17,7.91,8,7.42,7.97,62800
RVLP,2018-12-18,7.99,8.005,7.47,7.94,96400
RVLP,2018-12-19,7.89,8.11,7.785,7.93,129400
RVLP,2018-12-20,7.83,7.92,7.64,7.88,155600
RVLP,2018-12-21,7.73,8.075,7.66,7.88,946600
RVLP,2018-12-24,8.02,8.02,7.48,7.92,9200
RVLP,2018-12-26,8,8.19,7.67,8.09,33000
