ticker,date,open,high,low,close,volume
RVPH,2019-12-24,10.42,10.42,10.42,10.42,200
RVPH,2019-12-26,10.46,10.46,10.46,10.46,23000
RVPH,2020-01-08,10.45,10.45,10.45,10.45,1000
RVPH,2020-01-14,10.46,10.46,10.46,10.46,700
RVPH,2020-01-17,10.45,10.45,10.45,10.45,700
RVPH,2020-01-22,10.5,10.5525,10.5,10.5525,7100
RVPH,2020-02-04,10.5,10.5,10.5,10.5,39700
RVPH,2020-02-07,10.5,10.51,10.5,10.51,7200
RVPH,2020-02-10,10.52,10.54,10.5,10.53,153400
RVPH,2020-02-11,10.52,10.55,10.51,10.55,124800
RVPH,2020-02-12,10.52,10.564,10.52,10.564,15100
RVPH,2020-02-13,10.54,10.5405,10.54,10.54,5800
RVPH,2020-02-14,10.54,10.5663,10.54,10.54,5100
RVPH,2020-02-19,10.55,10.55,10.55,10.55,50000
RVPH,2020-02-20,10.585,10.585,10.5695,10.5695,1600
RVPH,2020-02-24,10.5708,10.575,10.52,10.55,5100
RVPH,2020-02-25,10.571,10.571,10.55,10.55,3500
RVPH,2020-02-28,10.56,10.5771,10.56,10.563,3400
RVPH,2020-03-09,10.55,10.62,10.465,10.5,363700
RVPH,2020-03-10,10.52,10.55,10.5,10.55,18100
RVPH,2020-03-12,10.5,10.5,10.485,10.5,76200
RVPH,2020-03-13,10.5,10.5,10.49,10.5,2200
RVPH,2020-03-16,10.38,10.41,10.35,10.35,75800
RVPH,2020-03-17,10.5,10.5,10.35,10.35,433100
RVPH,2020-03-18,10.38,10.38,10.38,10.38,100
RVPH,2020-03-20,10.38,10.38,10.2,10.2766,27300
RVPH,2020-03-23,10.34,10.43,10.33,10.43,31200
RVPH,2020-03-24,10.31,10.35,10.31,10.35,224200
RVPH,2020-03-25,10.4,10.5,10.4,10.5,10000
RVPH,2020-03-26,10.47,10.47,10.47,10.47,41800
RVPH,2020-03-30,10.61,10.61,10.52,10.52,3400
RVPH,2020-04-01,10.5,10.56,10.5,10.56,60200
RVPH,2020-04-02,10.5,10.5,10.5,10.5,200
RVPH,2020-04-03,10.5,10.5,10.5,10.5,300
RVPH,2020-04-06,10.5,10.54,10.5,10.54,600
RVPH,2020-04-08,10.55,10.55,10.55,10.55,300
RVPH,2020-04-09,10.55,10.55,10.55,10.55,13000
RVPH,2020-04-21,10.59,10.59,10.59,10.59,4000
RVPH,2020-04-22,10.6,10.63,10.6,10.63,40800
RVPH,2020-04-23,10.61,10.61,10.61,10.61,44600
RVPH,2020-04-30,10.61,10.61,10.61,10.61,75000
RVPH,2020-05-01,10.61,10.61,10.61,10.61,50000
RVPH,2020-05-04,10.62,10.62,10.62,10.62,4900
RVPH,2020-05-07,10.62,10.62,10.62,10.62,4500
RVPH,2020-05-08,10.62,10.68,10.62,10.65,51700
RVPH,2020-05-11,10.64,10.64,10.64,10.64,8700
RVPH,2020-05-12,10.65,10.65,10.65,10.65,1100
RVPH,2020-05-13,10.65,10.66,10.64,10.65,85200
RVPH,2020-05-14,10.65,10.65,10.65,10.65,125000
RVPH,2020-05-19,9.57,9.57,9.57,9.57,400
RVPH,2020-05-21,12.17,12.17,11.2,11.2,400
RVPH,2020-05-22,10.9,10.91,10.575,10.575,153300
RVPH,2020-05-26,10.64,10.64,10.64,10.64,64200
RVPH,2020-05-27,11.01,11.01,10.74,10.74,1700
RVPH,2020-05-29,10.5402,10.5402,10.5402,10.5402,200
RVPH,2020-06-10,10.675,10.8,10.675,10.78,2000
