ticker,date,open,high,low,close,volume
RXDX,2021-03-12,24.95,26.44,19.28,25.29,3923800
RXDX,2021-03-15,26.75,28.33,24.06,25,968600
RXDX,2021-03-16,25.23,25.235,22.35,23,271600
RXDX,2021-03-17,23.35,23.49,22,22.5,256300
RXDX,2021-03-18,22,24.06,20.7772,21.13,247100
RXDX,2021-03-19,21.15,21.91,20.04,21.19,159600
RXDX,2021-03-22,20.56,22.39,20.3153,21.7,78800
RXDX,2021-03-23,21.98,22.11,20.9822,21.42,81800
RXDX,2021-03-24,21.34,21.42,19.56,19.6,62500
RXDX,2021-03-25,19.75,19.79,18.15,18.7,168100
RXDX,2021-03-26,18.76,19.98,17.78,18.03,95300
RXDX,2021-03-29,18.47,18.47,16.11,16.51,201500
RXDX,2021-03-30,16.68,17.22,16.25,16.77,184200
RXDX,2021-03-31,16.95,18.715,16.9156,18.26,130500
RXDX,2021-04-01,18.14,18.95,17.555,18.18,154000
RXDX,2021-04-05,18.55,19.46,17.815,19.08,173200
RXDX,2021-04-06,20,20,18.85,18.85,103800
RXDX,2021-04-07,19.24,19.4,18.41,19.4,141700
RXDX,2021-04-08,20.33,22.8871,20.05,22.7,405900
RXDX,2021-04-09,23.68,23.73,22.7008,22.91,166000
RXDX,2021-04-12,22.9,22.9,18.6,18.8,204300
RXDX,2021-04-13,18.85,22.53,18.81,21.28,211600
RXDX,2021-04-14,21.3,22.89,20.75,22.48,129600
RXDX,2021-04-15,23,24.56,22.545,24.55,132200
RXDX,2021-04-16,24.25,26.24,23.03,25.99,85700
RXDX,2021-04-19,25.62,27.89,24.5,27.8,98300
RXDX,2021-04-20,27.76,27.89,25.7115,26.4,90900
RXDX,2021-04-21,26.09,29.495,24.63,28.69,231900
RXDX,2021-04-22,28.59,30.62,27.17,27.76,130100
RXDX,2021-04-23,27.6,28.47,25.11,25.41,119200
RXDX,2021-04-26,25.42,26.69,25.0101,25.25,139600
RXDX,2021-04-27,25.52,25.52,24.29,25.19,71600
RXDX,2021-04-28,25.16,25.34,24.15,24.39,59900
RXDX,2021-04-29,24.18,24.7797,23.6,24,50500
RXDX,2021-04-30,24.05,25.4,23.73,24.57,95200
RXDX,2021-05-03,24.5,25.25,23.08,23.29,53800
RXDX,2021-05-04,22.85,23.235,22.31,22.88,69700
RXDX,2021-05-05,23.51,23.51,22.29,22.39,81000
RXDX,2021-05-06,22.1,22.23,19.53,19.96,84700
RXDX,2021-05-07,19.79,20.95,19.79,20.09,113200
RXDX,2021-05-10,19.99,20.69,18.52,18.85,84200
RXDX,2021-05-11,18.51,19.2199,18.02,18.48,62100
RXDX,2021-05-12,18.07,18.265,17.68,17.79,74000
RXDX,2021-05-13,18.15,18.2,16.67,16.8,87800
RXDX,2021-05-14,16.76,17.69,16.65,16.82,30900
RXDX,2021-05-17,17.25,21.17,17.25,20.48,163900
RXDX,2021-05-18,23.15,27.7999,18.53,19.37,1250700
RXDX,2021-05-19,17.6,19.34,17.6,19.1,102200
RXDX,2021-05-20,19.06,20.815,18.16,20.51,75700
RXDX,2021-05-21,20.5,20.5,19,19.54,69000
RXDX,2021-05-24,19.76,20.4524,18.56,18.76,59700
RXDX,2021-05-25,18.98,19.56,18.66,19.1,120200
RXDX,2021-05-26,19.06,19.48,18.89,19.26,118800
RXDX,2021-05-27,19.18,20.16,18.995,20.16,33000
RXDX,2021-05-28,20.34,23.75,20.265,23.29,137900
RXDX,2021-06-01,23.38,24.14,22.8,23.09,187000
RXDX,2021-06-02,23.08,24.03,22.37,23.1,51800
RXDX,2021-06-03,22.81,23.81,21.38,23.3,87200
RXDX,2021-06-04,23.65,23.65,22.72,23.11,92600
RXDX,2021-06-07,23.43,23.97,21.81,21.97,136400
RXDX,2021-06-08,22.16,22.375,21,21.7,82800
RXDX,2021-06-09,21.78,21.96,20.79,21.03,176000
RXDX,2021-06-10,21.01,21.59,20.7657,21.26,64000
RXDX,2021-06-11,21.52,21.56,20.8,21.43,102400
RXDX,2021-06-14,21.4,24.535,21.1031,23.5,365800
RXDX,2021-06-15,23.42,27.05,22.945,27,232600
RXDX,2021-06-16,27.15,30.64,27.04,29.65,407100
RXDX,2021-06-17,28.84,30,26.37,26.61,349000
RXDX,2021-06-18,26.63,28.0048,25.36,25.53,649000
