ticker,date,open,high,low,close,volume
SBTX,2020-12-04,29,29.3,24.63,25,3564300
SBTX,2020-12-07,24.92,30,24.22,29.4,821800
SBTX,2020-12-08,28.29,32.74,27.9394,31.33,438800
SBTX,2020-12-09,31.78,32.89,29.7,31.71,315300
SBTX,2020-12-10,31.49,32.9135,30.555,31.85,401100
SBTX,2020-12-11,32,32.99,31.069,31.8,189900
SBTX,2020-12-14,32.12,32.7496,28.17,30.59,355100
SBTX,2020-12-15,30.21,30.26,29.01,30.25,159200
SBTX,2020-12-16,30.2,32.73,30.01,32.29,187200
SBTX,2020-12-17,32.09,33.85,31.39,32.65,67600
SBTX,2020-12-18,33.2,33.9,30.5,32,160400
SBTX,2020-12-21,32.29,32.95,30.07,31.86,178900
SBTX,2020-12-22,31.91,32.25,30.6,32,383900
SBTX,2020-12-23,31.23,35.965,30.35,34.2,239900
SBTX,2020-12-24,34,36.5,33.99,35.77,142900
SBTX,2020-12-28,35.78,36.7,34.43,36.5,141200
SBTX,2020-12-29,37.5,38.77,35.3,37,103200
SBTX,2020-12-30,36.52,44.36,35.5001,42.04,112300
SBTX,2020-12-31,42.68,49.8552,42.05,46.34,196200
SBTX,2021-01-04,45.01,45.305,39.12,39.54,324700
SBTX,2021-01-05,39.7,40.31,33.87,38,377600
SBTX,2021-01-06,38.45,39.0799,35.32,37.62,166800
SBTX,2021-01-07,38.06,41.225,37.66,40.57,272500
SBTX,2021-01-08,40.07,42.7151,39.01,41,243000
SBTX,2021-01-11,41.3,42.78,39.3262,41.78,108100
SBTX,2021-01-12,41.46,47.19,40.95,46.38,176500
SBTX,2021-01-13,46.91,49.16,44.34,46.97,223800
SBTX,2021-01-14,47.42,50.83,46.93,49.78,265200
SBTX,2021-01-15,50,54.41,48.2,48.32,98900
SBTX,2021-01-19,48.5,50,46.05,46.57,90200
SBTX,2021-01-20,46.52,47.305,45.05,45.68,64400
SBTX,2021-01-21,46.26,46.355,42,44.94,84100
SBTX,2021-01-22,44.76,47.15,43.8901,45.64,213000
SBTX,2021-01-25,45.99,49.14,45.3,47.21,206600
SBTX,2021-01-26,47.38,49.5699,47.19,47.6,72900
SBTX,2021-01-27,45.56,48.81,45.3,45.3,175900
SBTX,2021-01-28,45.4,47.97,45.175,45.3,211400
SBTX,2021-01-29,46.35,47.44,43.56,43.92,75600
SBTX,2021-02-01,44.78,47.6999,43.77,46.04,86700
SBTX,2021-02-02,47.6,49.32,46.17,48.07,156900
SBTX,2021-02-03,49.56,49.56,46.59,46.59,79400
SBTX,2021-02-04,46.41,47.75,43.02,43.11,333700
SBTX,2021-02-05,43.38,45.37,41.67,42.39,253200
SBTX,2021-02-08,42.72,44.87,41.72,43.92,238900
SBTX,2021-02-09,43.87,44.7,42.82,43.07,219300
SBTX,2021-02-10,43.52,44.1375,40,42.53,314300
SBTX,2021-02-11,42.5,44.585,40.23,43.2,286900
SBTX,2021-02-12,43.11,46.54,41.55,44.76,192300
SBTX,2021-02-16,45.68,48,42.02,47.92,166200
SBTX,2021-02-17,47.5,53.88,47.5,51.76,256900
SBTX,2021-02-18,51.76,52.6,46.305,48.4,232800
SBTX,2021-02-19,49.34,53.28,48.4,51.34,132100
SBTX,2021-02-22,50.74,54.15,49.755,51.14,108100
SBTX,2021-02-23,48.76,49.88,44.74,47.3,243100
SBTX,2021-02-24,47.05,50.24,46.0001,48.01,87700
SBTX,2021-02-25,48.02,51.58,46.56,49.6,156300
SBTX,2021-02-26,49.53,51.4099,47.22,48.06,141300
SBTX,2021-03-01,49.09,52.95,47.845,52.03,132900
SBTX,2021-03-02,51.52,53.71,50.065,52.8,145900
SBTX,2021-03-03,52.75,54.03,50.55,51.34,176200
SBTX,2021-03-04,51.05,51.24,44.76,46.26,341900
