ticker,date,open,high,low,close,volume
SEEL,2003-02-27,54,66,54,57.3,12186
SEEL,2003-02-28,59.1,59.4,52.8,54.3,2116
SEEL,2003-03-03,58.5,60,51.6,53.1,1793
SEEL,2003-03-04,53.4,53.4,50.1,50.7,1216
SEEL,2003-03-05,54,54,50.1,51.3,950
SEEL,2003-03-06,52.5,52.5,49.5,51,636
SEEL,2003-03-07,49.5,49.5,45,47.4,2733
SEEL,2003-03-10,45,46.5,38.1,42,3310
SEEL,2003-03-11,39,45.9,39,40.8,1840
SEEL,2003-03-12,41.4,41.4,37.5,39.3,1546
SEEL,2003-03-13,38.4,42,38.4,42,776
SEEL,2003-03-14,41.7,42,39,40.5,356
SEEL,2003-03-17,39,43.8,39,42.9,2490
SEEL,2003-03-18,43.5,43.5,40.5,41.7,1310
SEEL,2003-03-19,40.5,41.1,40.5,40.5,516
SEEL,2003-03-20,40.8,42,40.5,41.1,1226
SEEL,2003-03-21,43.2,43.2,40.5,40.8,506
SEEL,2003-03-24,40.5,40.8,39,40.8,440
SEEL,2003-03-25,39,40.2,36,38.4,1070
SEEL,2003-03-26,38.7,40.5,38.7,40.5,646
SEEL,2003-03-27,42,47.4,41.7,45.9,3556
SEEL,2003-03-28,47.1,47.1,37.8,39.3,3336
SEEL,2003-03-31,37.8,39,33,36.6,6123
SEEL,2003-04-01,39.9,39.9,33.3,34.5,2543
SEEL,2003-04-02,33.9,39,33.9,36.6,1913
SEEL,2003-04-03,35.4,36.3,34.5,35.4,1026
SEEL,2003-04-04,38.4,39.6,36.3,39.6,576
SEEL,2003-04-07,39.6,52.8,39.6,49.2,5813
SEEL,2003-04-08,45,54.6,45,48.9,3536
SEEL,2003-04-09,45.9,48,39,42,7610
SEEL,2003-04-10,40.8,47.1,39,40.5,5833
SEEL,2003-04-11,34.2,42,32.7,39,5690
SEEL,2003-04-14,37.5,42.6,37.5,39.9,2963
SEEL,2003-04-15,41.4,41.4,38.4,39.9,1673
SEEL,2003-04-16,42,42,40.5,42,713
SEEL,2003-04-17,43.2,44.4,40.5,44.1,1890
SEEL,2003-04-21,44.1,46.5,41.1,46.5,1270
SEEL,2003-04-22,45.3,48,43.5,46.5,4240
SEEL,2003-04-23,47.1,48,45,45,1153
SEEL,2003-04-24,45,47.1,41.4,45,2783
SEEL,2003-04-25,42.6,46.5,42.6,44.4,926
SEEL,2003-04-28,46.5,46.5,43.8,45,1203
SEEL,2003-04-29,46.2,46.8,44.7,45,2146
