ticker,date,open,high,low,close,volume
SELB,2016-06-22,15,16.32,13.9,14,1095000
SELB,2016-06-23,14.44,14.84,13.97,14.03,118000
SELB,2016-06-24,13.38,14.05,11.16,14,104500
SELB,2016-06-27,14.25,14.39,13.74,13.99,34600
SELB,2016-06-28,14,14.25,14,14,15000
SELB,2016-06-29,14,14.09,13.99,13.99,15400
SELB,2016-06-30,14.32,14.32,13.99,13.99,10000
SELB,2016-07-01,14.08,14.08,13.99,14.02,9200
SELB,2016-07-05,13.99,14.1,13.99,14.02,5300
SELB,2016-07-06,13.99,14.01,12.54,14.01,10200
SELB,2016-07-07,14.04,14.13,13.98,14,81200
SELB,2016-07-08,14,14.47,14,14.05,25900
SELB,2016-07-11,14.45,14.45,14,14,6400
SELB,2016-07-12,14,14.24,14,14,8200
SELB,2016-07-13,14,14.19,14,14.16,8300
SELB,2016-07-14,14.16,14.16,14,14,6300
SELB,2016-07-15,14.1,14.1,12.53,14,13100
SELB,2016-07-18,14.28,14.46,13.52,14,79500
SELB,2016-07-19,14,14.28,14,14,124100
SELB,2016-07-20,14.18,14.19,14,14.06,20000
SELB,2016-07-21,14.01,14.19,13.99,14.01,37900
SELB,2016-07-22,13.86,14.23,13.07,13.77,19900
SELB,2016-07-25,13.71,13.97,13.37,13.45,8000
SELB,2016-07-26,13.28,13.59,12.58,12.63,16600
SELB,2016-07-27,12.52,13,11.57,11.57,25000
SELB,2016-07-28,12.44,12.44,10.53,10.87,27900
SELB,2016-07-29,10.88,11.54,10.78,10.99,4800
SELB,2016-08-01,11,11.52,11,11.43,16500
SELB,2016-08-02,11.66,12.21,10.94,11.11,23400
SELB,2016-08-03,10.65,11.65,10.65,11.1,11100
SELB,2016-08-04,11.01,11.97,10.93,10.96,11200
SELB,2016-08-05,12.19,12.19,11.09,11.82,2000
SELB,2016-08-08,11.41,11.9,10.9,11.16,12400
SELB,2016-08-09,11.2,11.31,11.01,11.01,10400
SELB,2016-08-10,11.04,11.04,10.5,10.65,5100
SELB,2016-08-11,10.62,11.94,10.26,10.85,31300
SELB,2016-08-12,10.77,11.94,10.65,10.98,20500
SELB,2016-08-15,10.95,11.99,10.95,11.1,17200
SELB,2016-08-16,11.6,12.42,11.48,12.42,16200
SELB,2016-08-17,12.4,12.86,12.4,12.84,7300
SELB,2016-08-18,12.65,12.68,12.08,12.63,6500
SELB,2016-08-19,12.49,12.87,12.15,12.87,4700
SELB,2016-08-22,12.79,13,12.56,12.99,2300
SELB,2016-08-23,12.48,12.94,12.48,12.9,4000
SELB,2016-08-24,12.88,12.88,12.88,12.88,100
SELB,2016-08-25,12.97,12.99,12.52,12.93,4200
SELB,2016-08-26,12.98,12.99,12.16,12.82,3400
SELB,2016-08-29,12.45,12.99,12.39,12.39,13600
SELB,2016-08-30,12.92,12.92,12.78,12.78,1700
SELB,2016-08-31,12.98,12.98,12.01,12.01,4600
SELB,2016-09-01,12.42,12.42,12.05,12.05,3200
SELB,2016-09-02,12.05,12.05,11.78,11.85,1900
SELB,2016-09-06,12.34,12.86,11.61,12.55,15900
SELB,2016-09-07,12.19,12.98,12.16,12.97,5600
SELB,2016-09-08,12.95,14,12.11,14,7200
SELB,2016-09-09,13.01,14.12,12.2,14,4600
SELB,2016-09-12,13.92,13.92,13.02,13.51,6900
SELB,2016-09-13,13.38,13.42,12.57,13.09,7000
SELB,2016-09-14,11.93,13.1,11.82,13.1,17100
SELB,2016-09-15,12.66,13.2,12.66,13.18,2100
SELB,2016-09-16,13.24,15,13.03,13.03,94000
SELB,2016-09-19,13.38,13.73,12.96,13.08,36700
SELB,2016-09-20,13.22,13.76,12.76,13.25,21100
SELB,2016-09-21,13.09,14.47,13.09,14.43,27000
SELB,2016-09-22,14.52,14.52,13.4,14.07,11600
