ticker,date,open,high,low,close,volume
SIBN,2018-10-17,21,21.33,19.45,20.06,4389900
SIBN,2018-10-18,20,21.96,19.47,21,362600
SIBN,2018-10-19,21.44,21.44,20.09,20.35,236700
SIBN,2018-10-22,20.35,20.44,19.45,20.2,84500
SIBN,2018-10-23,19.9,20.33,19.46,19.5,73600
SIBN,2018-10-24,19.5,19.62,18.26,18.54,119900
SIBN,2018-10-25,18.44,18.5,17.22,18.36,151100
SIBN,2018-10-26,18.5,19,17.31,18.58,68600
SIBN,2018-10-29,17.92,18.95,17.92,18.51,78700
SIBN,2018-10-30,19.13,19.24,18,18.72,189600
SIBN,2018-10-31,18.69,19,18.3,18.75,173800
SIBN,2018-11-01,18.64,19.25,18.07,18.85,182400
SIBN,2018-11-02,18.88,19.25,17.75,18.34,219500
SIBN,2018-11-05,18.44,19.08,17.96,18.04,106000
SIBN,2018-11-06,18.05,18.65,17.75,18.48,76300
SIBN,2018-11-07,18.45,18.98,17.94,18.59,69700
SIBN,2018-11-08,18.36,18.99,18,18.54,71300
SIBN,2018-11-09,18.37,18.75,18.09,18.4,88100
SIBN,2018-11-12,18.3,18.95,18.16,18.34,102900
SIBN,2018-11-13,18.54,18.625,18.01,18.17,42200
SIBN,2018-11-14,18.12,18.3,17.46,17.81,76500
SIBN,2018-11-15,17.81,18.38,17.46,17.57,92500
SIBN,2018-11-16,17.46,18.245,16.31,17.68,90300
SIBN,2018-11-19,17.98,18.05,16.59,16.79,68400
SIBN,2018-11-20,16.27,17.95,16.27,16.9,74600
SIBN,2018-11-21,17.18,18.21,16.74,18.14,27100
SIBN,2018-11-23,18.07,18.1,17.4,18.1,7800
SIBN,2018-11-26,18.11,19,18,18.41,50200
SIBN,2018-11-27,18.4,18.79,18.09,18.56,40700
SIBN,2018-11-28,18.45,18.96,18.025,18.52,58400
SIBN,2018-11-29,18.56,18.88,18,18.47,28300
SIBN,2018-11-30,18.27,18.5,17.07,17.96,103100
SIBN,2018-12-03,18.11,20.75,17.27,20.44,157500
