ticker,date,open,high,low,close,volume
SLS,2008-03-12,180300,718500,180300,315300,1
SLS,2008-03-13,449999.97,570000,336000,408000,18
SLS,2008-03-14,420000,420000,294000,318000,5
SLS,2008-03-17,300300,300600,211200,227399.98,5
SLS,2008-03-18,227399.98,284400,224999.98,277800,3
SLS,2008-03-19,274500,300000,274500,300000,3
SLS,2008-03-20,285000,297900,260400.03,285000,4
SLS,2008-03-24,297600,297900,250500.02,289500,2
SLS,2008-03-25,298800,298800,279600,295800,3
SLS,2008-03-26,285300,295800,279600,289800,3
SLS,2008-03-27,285000,318900,285000,316800,3
SLS,2008-03-28,308100,308100,285000,285000,1
SLS,2008-03-31,285000,311400,285000,285000,1
SLS,2008-04-01,285000,298800,270900,271800,1
SLS,2008-04-02,288600,296100,279900,279900,2
SLS,2008-04-03,282000,288300,279000,285000,0
SLS,2008-04-04,291000,303000,285000,287700,1
SLS,2008-04-07,285000,300000,285000,293100,0
SLS,2008-04-08,285000,299700,270000,290100,0
SLS,2008-04-09,287100,287100,276300,282000,3
SLS,2008-04-10,285000,303600,277500,285000,1
SLS,2008-04-11,285000,299700,276900,282300,0
SLS,2008-04-14,285000,293100,252600.02,258599.98,2
SLS,2008-04-15,271500,271500,229500,236400,1
SLS,2008-04-16,232500,254399.97,226500,252900.02,1
SLS,2008-04-17,253500,253799.98,240000,241500,2
SLS,2008-04-18,238800,251100,218100,224999.98,3
SLS,2008-04-21,219600,236100,219600,223500,0
SLS,2008-04-22,222599.98,223500,221100,223500,0
SLS,2008-04-23,221100,230100,219600,224999.98,0
SLS,2008-04-24,228000,228000,220800,223200,1
SLS,2008-04-25,224999.98,224999.98,218100,218100,0
SLS,2008-04-28,218100,228000,214500,214500,0
SLS,2008-04-29,221100,221100,210600,211500,0
SLS,2008-04-30,210600,211500,209700,210300,0
SLS,2008-05-01,209100,209700,204900,205800,0
SLS,2008-05-02,207000,207000,192300,194700,1
SLS,2008-05-05,192000,192900,187500,189900,0
SLS,2008-05-06,187200,187200,177000,177600,0
SLS,2008-05-07,178200,184200,178200,179700,0
SLS,2008-05-08,178500,178500,166200,174000,0
SLS,2008-05-09,173700,176700,165600,166500,0
SLS,2008-05-12,166500,181500,166500,174000,0
SLS,2008-05-13,172200,179700,172200,173400,0
SLS,2008-05-14,180000,180000,171900,172500,0
SLS,2008-05-15,166500,168600,163500,165300,0
SLS,2008-05-16,169800,175200,165600,175200,0
SLS,2008-05-19,173100,173100,158100,166200,0
SLS,2008-05-20,166200,222000,156600,222000,1
SLS,2008-05-21,224700,224700,207000,222000,0
SLS,2008-05-22,224700,229500,211500,214800,0
SLS,2008-05-23,214800,214800,180300,187800,0
SLS,2008-05-27,187200,209100,184500,184500,0
SLS,2008-05-28,187500,205200,180000,199500,0
SLS,2008-05-29,210000,222000,206700,219300,1
SLS,2008-05-30,217799.98,298500,217799.98,296700,3
SLS,2008-06-02,292200,292500,271500,286800,0
SLS,2008-06-03,270000,280800,270000,270300,0
SLS,2008-06-04,271500,277500,271500,275100,0
SLS,2008-06-05,275700,279000,275700,279000,1
SLS,2008-06-06,270300,275400,258000.03,259800.02,0
