ticker,date,open,high,low,close,volume
SMMT,2015-03-05,10.02,10.35,9.75,10.19,1470400
SMMT,2015-03-06,10.38,10.38,10.05,10.29,219900
SMMT,2015-03-09,10.4,10.54,10.2,10.54,50200
SMMT,2015-03-10,10.65,11.75,10.5,11.48,155200
SMMT,2015-03-11,11.35,11.35,10.84,10.99,23700
SMMT,2015-03-12,10.82,11.17,10.07,10.67,45100
SMMT,2015-03-13,10.8,11.25,10.35,10.7,34500
SMMT,2015-03-16,10.65,10.99,10.61,10.76,40600
SMMT,2015-03-17,11.18,11.3,10.8,11.2,55000
SMMT,2015-03-18,11.85,11.98,11.11,11.49,57900
SMMT,2015-03-19,11.2,12.03,11.2,11.9,74800
SMMT,2015-03-20,12.2,12.2,11.6,11.82,34100
SMMT,2015-03-23,11.7,12.19,11.48,12.19,31600
SMMT,2015-03-24,11.91,12,11.76,12,12000
SMMT,2015-03-25,11.85,12.19,11.03,11.38,53000
SMMT,2015-03-26,11.38,11.6,11.1,11.6,13100
SMMT,2015-03-27,11.4,11.65,11.11,11.3,13300
SMMT,2015-03-30,12,12.25,11.76,12.25,46100
SMMT,2015-03-31,12.35,12.39,11.99,12.39,36100
SMMT,2015-04-01,11.9,12.57,11.8,12.57,11300
SMMT,2015-04-02,12.57,13.8,12.57,13.05,123600
SMMT,2015-04-06,12.48,14.78,12.48,13.68,98900
SMMT,2015-04-07,13.65,14.03,13.2,13.41,52000
SMMT,2015-04-08,13.02,13.6,13.02,13.6,17700
SMMT,2015-04-09,13.42,13.6,12.98,13.2,38200
SMMT,2015-04-10,12.6,13.24,12.5,13,19400
SMMT,2015-04-13,12.8,13,12.51,12.89,18700
SMMT,2015-04-14,12.83,13.08,12.5,13.03,21600
SMMT,2015-04-15,13,13,12.6,12.95,6600
SMMT,2015-04-16,12.53,12.7,12.1,12.15,18600
SMMT,2015-04-17,12.14,12.6,12.14,12.6,10500
SMMT,2015-04-20,12.7,12.7,12.05,12.05,2100
SMMT,2015-04-21,12.2,12.2,11.02,11.59,30800
SMMT,2015-04-22,11.2,11.2,10.37,11,22600
SMMT,2015-04-23,10.59,10.75,10.42,10.5,8800
SMMT,2015-04-24,10.29,10.49,10.29,10.3,9600
SMMT,2015-04-27,10.29,10.75,10.05,10.24,16100
SMMT,2015-04-28,10.39,10.5,10.11,10.29,5300
SMMT,2015-04-29,12.2,12.2,10.32,10.41,16000
SMMT,2015-04-30,10.99,11.63,10.44,10.44,26700
SMMT,2015-05-01,10.95,11,10.56,10.93,12600
SMMT,2015-05-04,11.1,11.71,11.06,11.45,24600
SMMT,2015-05-05,11.5,11.5,10.5,11.43,5600
SMMT,2015-05-06,10.98,11.07,10.8,11.05,6500
SMMT,2015-05-07,10.92,11.11,10.9,10.91,4800
SMMT,2015-05-08,10.93,10.93,10.57,10.57,2500
SMMT,2015-05-11,10.56,10.71,10.56,10.65,15200
SMMT,2015-05-12,10.52,10.7,10.3,10.3,12800
SMMT,2015-05-13,10.31,10.35,10.03,10.16,19300
SMMT,2015-05-14,10.2,10.5,10.03,10.5,15800
SMMT,2015-05-15,10.4,10.41,10.03,10.13,11200
SMMT,2015-05-18,10.02,10.3,10.02,10.25,13500
SMMT,2015-05-19,10.3,10.67,10.3,10.51,13100
SMMT,2015-05-20,10.55,11.8,10.46,11.35,70400
SMMT,2015-05-21,11.89,11.89,10.29,11,60200
SMMT,2015-05-22,11.1,11.38,10.6,11.18,7300
SMMT,2015-05-26,11.24,11.24,10.35,10.82,10900
SMMT,2015-05-27,10.91,10.93,10.87,10.9,1900
SMMT,2015-05-28,10.29,10.53,10.29,10.41,5100
SMMT,2015-05-29,10.3,10.54,10.29,10.38,11700
SMMT,2015-06-01,10.29,10.77,10.29,10.7,15500
SMMT,2015-06-02,10.5,10.6,10.45,10.51,4400
SMMT,2015-06-03,10.49,10.5,10.2,10.26,11600
SMMT,2015-06-04,10.59,11.14,10.57,10.77,34200
SMMT,2015-06-05,10.33,10.9,10.33,10.77,14300
SMMT,2015-06-08,10.7,11.09,10.51,10.9,34000
SMMT,2015-06-09,11,11,10.6,10.8,41900
SMMT,2015-06-10,10.95,11.19,10.82,10.98,15200
SMMT,2015-06-11,10.92,11.39,10.92,11.2,21300
SMMT,2015-06-12,11.14,11.5,11.14,11.5,37000
SMMT,2015-06-15,11.6,11.6,11.15,11.4,130800
SMMT,2015-06-16,11.7,11.7,11.21,11.5,11700
SMMT,2015-06-17,11.6,12.2,11.25,11.5,23700
SMMT,2015-06-18,11.69,12.25,11.64,12.1,52400
SMMT,2015-06-19,11.86,12.26,11.86,11.91,22100
SMMT,2015-06-22,12.04,12.45,12,12.4,11000
SMMT,2015-06-23,12.3,12.3,11.75,11.75,34200
SMMT,2015-06-24,12.44,12.44,11.1,11.3,8100
SMMT,2015-06-25,11.5,11.68,11,11.1,9000
SMMT,2015-06-26,11.54,11.68,10.94,11.17,7100
SMMT,2015-06-29,10.6,11.4,10.6,10.65,9400
