ticker,date,open,high,low,close,volume
SNY,2002-07-01,30.5,30.54,29.7,29.77,196800
SNY,2002-07-02,29.5,29.52,28.6,28.85,54500
SNY,2002-07-03,29,29.2,28.3,28.6,72600
SNY,2002-07-05,30.15,30.4,30.15,30.2,12600
SNY,2002-07-08,31.19,31.55,30.95,31.25,77400
SNY,2002-07-09,30.98,31.25,30.6,31.25,17700
SNY,2002-07-10,30.5,30.58,29.4,29.6,129000
SNY,2002-07-11,28.12,28.7,27.8,28.5,130400
SNY,2002-07-12,28.48,28.48,27.7,27.7,36600
SNY,2002-07-15,28.85,29.4,26.9,27.32,145500
SNY,2002-07-16,27.25,28,27,28,3000
SNY,2002-07-17,28.24,29.19,28.1,28.8,50700
SNY,2002-07-18,29.6,30.2,29.4,30,213700
SNY,2002-07-19,29.43,29.95,29.18,29.3,472600
SNY,2002-07-22,28.13,28.3,27.58,27.71,18600
SNY,2002-07-23,26.05,26.33,26.05,26.33,26500
SNY,2002-07-24,25.25,27.1,24.9,27.1,60800
SNY,2002-07-25,26.87,27.15,25.9,26.4,113000
SNY,2002-07-26,26.15,26.86,26.15,26.86,10200
SNY,2002-07-29,29.3,29.7,28.25,29.53,66800
SNY,2002-07-30,28.95,30.03,28.95,29.75,37300
SNY,2002-07-31,29.4,29.6,28.71,29.3,80200
SNY,2002-08-01,29.7,29.7,28.5,28.7,21500
SNY,2002-08-02,29.2,29.5,28.8,28.8,23800
SNY,2002-08-05,29.8,29.95,28.74,28.75,243900
SNY,2002-08-06,28.9,30.4,28.9,30.2,143200
SNY,2002-08-07,31.18,31.6,31.09,31.6,151100
SNY,2002-08-08,30.55,31.4,30.45,31.2,31300
SNY,2002-08-09,30.45,32.3,30.45,32.1,105800
SNY,2002-08-12,31.11,31.71,30.6,31.58,153900
SNY,2002-08-13,31.17,32.8,31.15,31.8,157700
SNY,2002-08-14,31.88,32.29,31.1,32.08,119000
SNY,2002-08-15,31.9,32.15,31.65,31.85,48700
SNY,2002-08-16,31.65,32.3,31.47,32,77400
SNY,2002-08-19,31.2,32.2,31.2,31.99,40800
SNY,2002-08-20,30.5,30.66,30.3,30.3,24800
SNY,2002-08-21,30.85,31.09,30.45,31.05,68700
SNY,2002-08-22,30.89,31.7,30.6,31.5,48200
SNY,2002-08-23,30.65,30.94,30.59,30.92,142100
SNY,2002-08-26,31.1,31.39,29.9,30.25,47800
SNY,2002-08-27,30.33,31.4,30.3,31,18200
SNY,2002-08-28,30.1,30.28,29.8,30.1,43300
SNY,2002-08-29,29.15,29.67,29,29.4,54100
SNY,2002-08-30,29.46,30.45,29.4,30.4,92000
SNY,2002-09-03,27.3,27.3,26.5,27.05,124900
SNY,2002-09-04,27.4,28.2,27.4,28.2,84300
SNY,2002-09-05,27.25,28.6,26.9,27.76,77700
SNY,2002-09-06,28,28.91,27.87,28.89,60700
SNY,2002-09-09,28.17,28.6,28.1,28.52,222700
SNY,2002-09-10,28.58,29.13,28.58,29.08,164200
SNY,2002-09-11,30.55,30.55,30.15,30.2,186900
SNY,2002-09-12,29.5,29.53,29.05,29.25,207300
SNY,2002-09-13,28.55,28.6,27.6,28.21,218700
SNY,2002-09-16,28.16,28.5,27.75,28.45,78600
SNY,2002-09-17,28.33,28.4,28,28.25,15900
SNY,2002-09-18,27.9,28.25,27.54,27.95,41900
SNY,2002-09-19,26.65,27.65,26.65,27.1,61100
SNY,2002-09-20,27.58,27.85,26.8,27.41,14200
SNY,2002-09-23,26.56,26.65,25.95,26.45,109100
SNY,2002-09-24,25.35,26.5,25.35,26.2,62300
SNY,2002-09-25,27,27.75,26.7,27.5,73000
SNY,2002-09-26,28.2,29.2,27.63,28.92,34500
SNY,2002-09-27,28.48,29.05,28,28.3,99300
SNY,2002-09-30,28.11,28.8,27.66,28.5,215600
SNY,2002-10-01,29.05,30.27,28.84,30.23,262200
SNY,2002-10-02,29.99,30.89,29.85,29.85,92100
SNY,2002-10-03,29.9,30.5,29.45,29.75,23800
SNY,2002-10-04,29.05,29.2,28.58,28.75,48500
SNY,2002-10-07,28.4,28.6,28.05,28.05,37100
SNY,2002-10-08,28.6,28.8,28.1,28.76,96800
SNY,2002-10-09,28.47,28.95,28.37,28.58,38500
SNY,2002-10-10,28.3,29.71,28.15,29.7,113700
SNY,2002-10-11,29.26,30.36,28.75,29.72,172800
SNY,2002-10-14,29.85,30.41,29.85,30.19,114200
SNY,2002-10-15,30.65,31.58,30.47,31.53,91600
SNY,2002-10-16,31,31.1,30.38,30.6,142500
SNY,2002-10-17,30.95,30.95,29.75,30.35,13900
SNY,2002-10-18,29.66,29.89,29.4,29.8,62400
SNY,2002-10-21,29.69,30.68,29.69,30.55,94300
SNY,2002-10-22,30.4,31.35,30.15,30.5,95100
SNY,2002-10-23,29.5,29.7,29.26,29.58,65600
SNY,2002-10-24,29.58,29.9,29.4,29.55,28300
SNY,2002-10-25,29.95,30.29,29.6,29.96,12200
SNY,2002-10-28,29.65,30.39,29.65,30,31100
SNY,2002-10-29,29.5,29.65,28.8,29.49,20600
SNY,2002-10-30,29.31,30.08,29.2,29.8,13700
SNY,2002-10-31,30.38,30.9,30.3,30.4,36900
SNY,2002-11-01,30.5,30.85,30.25,30.84,20300
SNY,2002-11-04,30.28,31.1,29.93,30.71,35400
SNY,2002-11-05,30.7,31.65,30.6,31.3,32400
SNY,2002-11-06,30.35,30.8,30.1,30.8,30900
SNY,2002-11-07,29.85,30.18,29.36,29.41,32900
SNY,2002-11-08,29.1,29.28,28.6,29.05,46000
SNY,2002-11-11,28.93,29.18,28.7,28.87,114400
SNY,2002-11-12,28.5,28.95,28.27,28.71,110600
SNY,2002-11-13,27.95,28.62,27.94,28.18,21400
SNY,2002-11-14,29.2,29.7,29.15,29.55,24300
SNY,2002-11-15,29.35,30.6,29.35,30.3,76200
