ticker,date,open,high,low,close,volume
SPIR,1999-05-19,1.565,1.565,1.47,1.5,16800
SPIR,1999-05-20,1.44,1.565,1.44,1.5,43800
SPIR,1999-05-21,1.5,1.565,1.5,1.565,59800
SPIR,1999-05-24,1.5,1.625,1.5,1.565,6200
SPIR,1999-05-25,1.625,1.75,1.625,1.625,20800
SPIR,1999-05-26,1.75,1.75,1.565,1.565,17400
SPIR,1999-05-27,1.565,1.565,1.47,1.47,36800
SPIR,1999-05-28,1.625,1.625,1.44,1.625,36000
SPIR,1999-06-01,1.69,1.69,1.69,1.69,400
SPIR,1999-06-02,1.655,1.655,1.655,1.655,1000
SPIR,1999-06-04,1.625,1.625,1.53,1.53,12000
SPIR,1999-06-07,1.69,1.815,1.565,1.75,45200
SPIR,1999-06-08,2,2.25,1.97,2.03,80400
SPIR,1999-06-09,2.065,2.125,2,2.125,33600
SPIR,1999-06-10,2,2,2,2,4600
SPIR,1999-06-11,2.125,2.125,1.94,1.94,14000
SPIR,1999-06-14,2.125,2.125,2.015,2.065,14000
SPIR,1999-06-15,1.94,2,1.815,1.815,19000
SPIR,1999-06-16,1.815,1.815,1.815,1.815,1600
SPIR,1999-06-17,1.875,1.94,1.875,1.94,2800
SPIR,1999-06-18,1.905,1.94,1.905,1.905,3400
SPIR,1999-06-21,2,2,1.905,1.905,16200
SPIR,1999-06-22,2,2,1.905,1.905,3400
SPIR,1999-06-23,1.905,1.905,1.905,1.905,3800
SPIR,1999-06-24,1.875,1.875,1.875,1.875,200
SPIR,1999-06-25,1.97,1.97,1.875,1.875,5200
SPIR,1999-06-28,1.94,1.94,1.625,1.72,29800
SPIR,1999-06-29,1.75,1.875,1.72,1.75,4400
SPIR,1999-06-30,1.94,2,1.815,1.94,17800
SPIR,1999-07-01,1.875,1.875,1.75,1.75,3800
SPIR,1999-07-02,1.75,1.94,1.75,1.94,1000
SPIR,1999-07-06,1.75,1.97,1.75,1.815,4200
SPIR,1999-07-07,1.94,2,1.815,2,34200
SPIR,1999-07-08,2,2,1.94,1.94,5000
SPIR,1999-07-09,1.875,1.875,1.69,1.815,34200
SPIR,1999-07-12,1.815,1.875,1.69,1.875,26400
SPIR,1999-07-13,1.69,1.69,1.69,1.69,400
SPIR,1999-07-14,1.845,1.875,1.845,1.845,6400
SPIR,1999-07-15,1.845,1.845,1.815,1.845,5400
