ticker,date,open,high,low,close,volume
SPRC,2021-08-30,5.6,5.6,4.5001,4.5001,700
SPRC,2021-08-31,4.55,5.6,3.9,5.6,14600
SPRC,2021-09-01,6,7,4.1,6,27300
SPRC,2021-09-02,5.45,6,4.51,5.6999,5700
SPRC,2021-09-03,6,6.15,6,6,2102
SPRC,2021-09-07,5.5,5.5,5.5,5.5,800
SPRC,2021-09-08,5.5,6,5.17,6,2900
SPRC,2021-09-09,6,6,5.3,5.3,7700
SPRC,2021-09-10,5.25,5.25,5.25,5.25,705
SPRC,2021-09-13,5,8.5,4.76,5.4,20800
SPRC,2021-09-14,5.65,5.85,5.2,5.2,3203
SPRC,2021-09-15,5.2,5.85,5.2,5.85,3510
SPRC,2021-09-16,5.44,5.44,5.34,5.34,610
SPRC,2021-09-17,5.34,5.85,5.34,5.85,200
SPRC,2021-09-20,6,6,5.73,5.73,329
SPRC,2021-09-22,5.72,5.85,5.72,5.73,20200
SPRC,2021-09-23,5.05,6,5,6,4905
SPRC,2021-09-24,5.05,6,5.05,6,2916
SPRC,2021-09-27,5.5,5.73,5.23,5.43,15100
SPRC,2021-09-28,5.4,5.4,5,5.4,27500
SPRC,2021-09-29,5,5.4,1.0E-4,5.4,3906
SPRC,2021-09-30,5,5.4,4.75,5.4,9900
SPRC,2021-10-01,2.5,6,2.5,5.8,17707
SPRC,2021-10-04,5.95,6,5.25,5.98,25600
SPRC,2021-10-05,6,6.1,5.5,5.5,2300
SPRC,2021-10-06,5.5,6,5.5,5.58,6110
SPRC,2021-10-07,5.51,5.99,5.51,5.99,300
SPRC,2021-10-08,5.99,6,5.99,6,7700
SPRC,2021-10-11,5.3,6,5.3,6,2215
SPRC,2021-10-12,6,6,5.78,6,6501
SPRC,2021-10-14,5.9,5.9,5.8,5.8,2101
SPRC,2021-10-15,5.68,5.68,5.66,5.66,4100
SPRC,2021-10-18,5.94,5.94,5.94,5.94,300
SPRC,2021-10-19,5.94,6,5.3,6,2360
SPRC,2021-10-20,6,6.02,5.75,5.75,10500
SPRC,2021-10-21,6.02,6.1,5.25,5.9,14500
SPRC,2021-10-22,6.1,6.12,5.6001,5.65,13600
SPRC,2021-10-25,5.65,6,5.3,5.8,7300
SPRC,2021-10-26,5.8,5.99,5.8,5.99,3800
SPRC,2021-10-27,6.12,6.3,5.945,6,12935
SPRC,2021-10-28,5.75,6,5.75,6,5903
SPRC,2021-10-29,5.85,6.27,5.85,6.27,9600
SPRC,2021-11-01,6.26,6.27,6,6.19,2318
SPRC,2021-11-02,6.1,6.1,6,6,6100
SPRC,2021-11-03,6,6.26,5.25,6.25,51000
SPRC,2021-11-04,5.95,6.62,5.95,6.62,8900
SPRC,2021-11-05,6.9,8.15,6.5,7.62,24800
SPRC,2021-11-08,7,7.7,5.72,7.7,3600
SPRC,2021-11-09,7.25,7.25,5.75,6.45,26200
SPRC,2021-11-10,6.78,7.3,6,6.75,9600
SPRC,2021-11-11,5.9,6.4,5.9,6.4,1800
SPRC,2021-11-12,5.95,7.3,5.95,7.3,13623
SPRC,2021-11-15,6.6,7.14,6.55,7,7309
SPRC,2021-11-17,6.95,7,6.95,7,7309
SPRC,2021-11-19,6.05,7.05,6.05,7.05,1200
SPRC,2021-11-22,7.05,7.3,6.75,7.3,3100
SPRC,2021-11-23,6.83,7.5,6.83,6.99,3001
SPRC,2021-11-24,6.9,7.8,6.895,7.3,18700
SPRC,2021-11-26,6.79,7.1,6.79,7,2602
SPRC,2021-11-29,7.2,7.2,7,7,2400
SPRC,2021-11-30,7,7.49,6.75,7,14200
SPRC,2021-12-01,7,7.42,6.7,7.05,10300
SPRC,2021-12-02,7.05,7.05,6.7,6.89,2900
SPRC,2021-12-03,6.9,7.04,6.1,6.937,3304
SPRC,2021-12-06,6.815,7.04,6.62,6.82,12200
SPRC,2021-12-07,6.95,7.29,6.7,7,3870
SPRC,2021-12-08,6.624,7.1,6.624,6.75,1600
SPRC,2021-12-09,7.43,7.5,7.1,7.45,8740
SPRC,2021-12-10,6.75,7.47,6.75,7.4,14800
SPRC,2021-12-13,7.38,7.38,6.7,7.3254,7586
SPRC,2021-12-14,6.6,7.35,6.6,6.9,12083
SPRC,2021-12-15,6.6,6.87,6.6,6.7,700
SPRC,2021-12-16,7,7.05,7,7.05,700
SPRC,2021-12-17,6.75,7.59,6.75,7.59,6400
SPRC,2021-12-20,6.75,7.5,5.9,6.84,27800
SPRC,2021-12-21,6.4075,6.84,6.4075,6.7,9100
SPRC,2021-12-22,7,7,6.32,6.8,1300
SPRC,2021-12-23,6.51,6.9,6.3,6.89,2800
SPRC,2021-12-27,6.9,7.0038,6.4,6.4,13400
SPRC,2021-12-28,6.5,6.8,6.29,6.7,14100
SPRC,2021-12-29,6.798,7.04,5.96,6.4899,6500
SPRC,2021-12-30,6.35,7,5.92,6.5,6100
SPRC,2021-12-31,6.35,6.35,6.11,6.23,5500
SPRC,2022-01-03,6.79,7.08,5.96,6.73,29300
SPRC,2022-01-04,6.78,6.78,5.95,6.25,13700
SPRC,2022-01-05,6.45,6.48,6,6.2,12200
SPRC,2022-01-06,7,7,6.2,6.31,53700
SPRC,2022-01-07,6.4,6.4,6.0201,6.27,8400
SPRC,2022-01-10,6.15,6.15,5.6601,5.6601,14100
SPRC,2022-01-11,6.49,6.49,6,6.14,30600
SPRC,2022-01-12,6.45,6.45,5.8001,6.1211,7200
SPRC,2022-01-13,5.9759,6.2694,5.8,5.9668,4400
SPRC,2022-01-14,6.1455,6.1455,6.138,6.138,700
SPRC,2022-01-18,6.32,6.32,5.56,6,53700
SPRC,2022-01-19,5.73,6.2528,5.53,5.75,13300
SPRC,2022-01-20,5.8131,5.85,5.6201,5.72,11500
SPRC,2022-01-21,6.1318,6.1318,5.59,5.59,6900
SPRC,2022-01-24,5.5383,5.5383,4.9783,5.01,13100
SPRC,2022-01-25,4.89,5.01,4.86,5.01,2300
SPRC,2022-01-26,4.86,5.96,4.86,5.5,16700
SPRC,2022-01-27,5.39,5.55,5.15,5.15,8700
SPRC,2022-01-28,5.11,5.4,4.86,5.04,3900
